data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37,data_38,data_39,data_40,data_41,data_42,data_43,data_44,data_45,data_46,data_47,data_48,data_49,data_50,data_51,data_52,data_53,data_54,data_55,data_56,data_57,data_58,data_59,data_60,data_61,data_62,data_63,data_64,data_65,data_66,data_67,data_68,data_69,data_70,data_71,data_72,data_73,data_74,data_75,data_76,data_77,data_78
3579,3579,3539,3539,3527,3527,3570,3570,3463,3463,3446,3446,3558,3558,3544,3544,3489,3489,3551,3551,3530,3530,3519,3519,3539,3539,3529,3529,3535,3535,3306,3306,3475,3475,3513,3513,3475,3475,3426,3426,3544,3544,3415,3415,3387,3387,3456,3456,3359,3359,3513,3513,3517,3517,3483,3483,3450,3450,3514,3514,3489,3489,3546,3546,3371,3371,3426,3426,3455,3455,3432,3432,3525,3525,3513,3513,3454,3454
3391,3391,3351,3351,3330,3330,3377,3377,3288,3288,3328,3328,3344,3344,3327,3327,3338,3338,3318,3318,3376,3376,3326,3326,3340,3340,3327,3327,3370,3370,3300,3300,3325,3325,3331,3331,3336,3336,3344,3344,3337,3337,3264,3264,3311,3311,3348,3348,3255,3255,3323,3323,3318,3318,3342,3342,3318,3318,3355,3355,3333,3333,3338,3338,3292,3292,3340,3340,3339,3339,3322,3322,3349,3349,3300,3300,3275,3275
2564,2564,2421,2421,2531,2531,2486,2486,2460,2460,2576,2576,2382,2382,2402,2402,2561,2561,2447,2447,2622,2622,2493,2493,2412,2412,2578,2578,2600,2600,2502,2502,2564,2564,2404,2404,2489,2489,2536,2536,2481,2481,2441,2441,2478,2478,2550,2550,2419,2419,2499,2499,2465,2465,2565,2565,2607,2607,2578,2578,2428,2428,2474,2474,2437,2437,2476,2476,2605,2605,2477,2477,2484,2484,2533,2533,2417,2417
2402,2402,2373,2373,2403,2403,2353,2353,2312,2312,2419,2419,2395,2395,2436,2436,2361,2361,2371,2371,2390,2390,2387,2387,2461,2461,2356,2356,2374,2374,2273,2273,2406,2406,2425,2425,2460,2460,2430,2430,2282,2282,2427,2427,2344,2344,2389,2389,2440,2440,2322,2322,2317,2317,2257,2257,2386,2386,2273,2273,2506,2506,2393,2393,2277,2277,2381,2381,2340,2340,2405,2405,2503,2503,2283,2283,2321,2321
2343,2343,2316,2316,2404,2404,2349,2349,2291,2291,2345,2345,2371,2371,2320,2320,2355,2355,2389,2389,2305,2305,2390,2390,2444,2444,2385,2385,2382,2382,2453,2453,2443,2443,2335,2335,2381,2381,2349,2349,2342,2342,2315,2315,2479,2479,2220,2220,2471,2471,2316,2316,2407,2407,2286,2286,2402,2402,2221,2221,2435,2435,2322,2322,2360,2360,2340,2340,2313,2313,2460,2460,2455,2455,2381,2381,2440,2440
2456,2456,2388,2388,2349,2349,2323,2323,2373,2373,2289,2289,2363,2363,2249,2249,2322,2322,2334,2334,2228,2228,2297,2297,2344,2344,2443,2443,2349,2349,2426,2426,2403,2403,2408,2408,2411,2411,2327,2327,2369,2369,2269,2269,2408,2408,2342,2342,2451,2451,2231,2231,2415,2415,2323,2323,2359,2359,2133,2133,2358,2358,2352,2352,2359,2359,2321,2321,2366,2366,2388,2388,2375,2375,2378,2378,2450,2450
2416,2416,2394,2394,2390,2390,2300,2300,2397,2397,2229,2229,2317,2317,2354,2354,2361,2361,2346,2346,2279,2279,2275,2275,2407,2407,2368,2368,2246,2246,2253,2253,2331,2331,2329,2329,2504,2504,2317,2317,2326,2326,2261,2261,2315,2315,2186,2186,2347,2347,2236,2236,2360,2360,2355,2355,2262,2262,2342,2342,2274,2274,2336,2336,2312,2312,2371,2371,2386,2386,2388,2388,2278,2278,2352,2352,2297,2297
2357,2357,2350,2350,2351,2351,2441,2441,2276,2276,2253,2253,2288,2288,2417,2417,2393,2393,2268,2268,2389,2389,2312,2312,2383,2383,2274,2274,2326,2326,2359,2359,2378,2378,2460,2460,2384,2384,2395,2395,2358,2358,2368,2368,2330,2330,2312,2312,2320,2320,2366,2366,2263,2263,2363,2363,2225,2225,2399,2399,2268,2268,2321,2321,2331,2331,2459,2459,2271,2271,2398,2398,2321,2321,2356,2356,2209,2209
2253,2253,2248,2248,2116,2116,2339,2339,1979,1979,2097,2097,2224,2224,2217,2217,2191,2191,2243,2243,2217,2217,2395,2395,2071,2071,2037,2037,2112,2112,2081,2081,2204,2204,2370,2370,2360,2360,2227,2227,2320,2320,2188,2188,2192,2192,2129,2129,2120,2120,2254,2254,2188,2188,2247,2247,2050,2050,2140,2140,2217,2217,2069,2069,2305,2305,2293,2293,1979,1979,2266,2266,2188,2188,2200,2200,2233,2233
2357,2357,2350,2350,2351,2351,2441,2441,2276,2276,2253,2253,2288,2288,2417,2417,2393,2393,2268,2268,2389,2389,2312,2312,2383,2383,2274,2274,2326,2326,2359,2359,2378,2378,2460,2460,2384,2384,2395,2395,2358,2358,2368,2368,2330,2330,2312,2312,2320,2320,2366,2366,2263,2263,2363,2363,2225,2225,2399,2399,2268,2268,2321,2321,2331,2331,2459,2459,2271,2271,2398,2398,2321,2321,2356,2356,2209,2209
