data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37,data_38,data_39,data_40,data_41,data_42,data_43,data_44,data_45,data_46,data_47,data_48,data_49,data_50,data_51,data_52,data_53,data_54,data_55,data_56,data_57,data_58,data_59,data_60,data_61,data_62,data_63,data_64,data_65,data_66,data_67,data_68,data_69
3498,3506,3506,3546,3546,3540,3540,3443,3443,3477,3477,3424,3424,3490,3490,3490,3490,3494,3494,3412,3412,3431,3431,3481,3481,3517,3517,3456,3456,3407,3407,3505,3505,3452,3452,3435,3435,3506,3506,3456,3456,3491,3491,3511,3511,3548,3548,3545,3545,3483,3483,3518,3518,3508,3508,3464,3464,3476,3476,3586,3586,3451,3451,3479,3479,3373,3373,3431,3431
3324,3304,3304,3348,3348,3365,3365,3319,3319,3333,3333,3340,3340,3395,3395,3313,3313,3288,3288,3299,3299,3318,3318,3348,3348,3328,3328,3270,3270,3255,3255,3337,3337,3329,3329,3304,3304,3338,3338,3306,3306,3300,3300,3323,3323,3330,3330,3337,3337,3309,3309,3325,3325,3329,3329,3314,3314,3313,3313,3370,3370,3301,3301,3302,3302,3229,3229,3296,3296
2524,2484,2484,2378,2378,2546,2546,2484,2484,2589,2589,2511,2511,2583,2583,2496,2496,2459,2459,2346,2346,2604,2604,2409,2409,2435,2435,2461,2461,2420,2420,2544,2544,2579,2579,2453,2453,2510,2510,2390,2390,2454,2454,2500,2500,2492,2492,2414,2414,2304,2304,2514,2514,2507,2507,2526,2526,2389,2389,2463,2463,2474,2474,2575,2575,2404,2404,2542,2542
2428,2391,2391,2404,2404,2348,2348,2342,2342,2331,2331,2340,2340,2335,2335,2353,2353,2437,2437,2463,2463,2408,2408,2329,2329,2408,2408,2413,2413,2331,2331,2357,2357,2327,2327,2397,2397,2218,2218,2379,2379,2329,2329,2571,2571,2371,2371,2448,2448,2489,2489,2456,2456,2398,2398,2505,2505,2296,2296,2293,2293,2454,2454,2382,2382,2366,2366,2259,2259
2377,2410,2410,2407,2407,2285,2285,2224,2224,2353,2353,2336,2336,2304,2304,2336,2336,2484,2484,2368,2368,2331,2331,2322,2322,2307,2307,2361,2361,2354,2354,2350,2350,2280,2280,2372,2372,2373,2373,2369,2369,2368,2368,2478,2478,2268,2268,2360,2360,2401,2401,2465,2465,2285,2285,2390,2390,2411,2411,2406,2406,2386,2386,2308,2308,2203,2203,2240,2240
2336,2362,2362,2338,2338,2206,2206,2291,2291,2218,2218,2431,2431,2318,2318,2292,2292,2331,2331,2402,2402,2375,2375,2441,2441,2310,2310,2349,2349,2439,2439,2288,2288,2382,2382,2437,2437,2461,2461,2438,2438,2393,2393,2314,2314,2379,2379,2380,2380,2314,2314,2361,2361,2321,2321,2391,2391,2353,2353,2365,2365,2309,2309,2418,2418,2330,2330,2286,2286
2296,2393,2393,2423,2423,2186,2186,2261,2261,2251,2251,2439,2439,2355,2355,2286,2286,2404,2404,2380,2380,2276,2276,2355,2355,2380,2380,2267,2267,2284,2284,2319,2319,2260,2260,2382,2382,2381,2381,2299,2299,2369,2369,2311,2311,2342,2342,2324,2324,2283,2283,2389,2389,2147,2147,2410,2410,2331,2331,2359,2359,2415,2415,2313,2313,2317,2317,2247,2247
2359,2309,2309,2361,2361,2402,2402,2327,2327,2353,2353,2253,2253,2278,2278,2385,2385,2379,2379,2358,2358,2369,2369,2118,2118,2299,2299,2224,2224,2281,2281,2297,2297,2404,2404,2353,2353,2342,2342,2313,2313,2349,2349,2344,2344,2341,2341,2275,2275,2314,2314,2406,2406,2273,2273,2316,2316,2358,2358,2294,2294,2381,2381,2368,2368,2457,2457,2311,2311
2179,2197,2197,2306,2306,2307,2307,2238,2238,2169,2169,2272,2272,2166,2166,2290,2290,2375,2375,2198,2198,2132,2132,2111,2111,2124,2124,2209,2209,2063,2063,2158,2158,2422,2422,2158,2158,2266,2266,2230,2230,2187,2187,2262,2262,2117,2117,2299,2299,2198,2198,1960,1960,2326,2326,2052,2052,2222,2222,2283,2283,2251,2251,2238,2238,2424,2424,2222,2222
2359,2309,2309,2361,2361,2402,2402,2327,2327,2353,2353,2253,2253,2278,2278,2385,2385,2379,2379,2358,2358,2369,2369,2118,2118,2299,2299,2224,2224,2281,2281,2297,2297,2404,2404,2353,2353,2342,2342,2313,2313,2349,2349,2344,2344,2341,2341,2275,2275,2314,2314,2406,2406,2273,2273,2316,2316,2358,2358,2294,2294,2381,2381,2368,2368,2457,2457,2311,2311
