data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3644,3626,3626,3624,3624,3632,3632,3629,3629,3623,3623,3623,3623,3622,3622,3628,3628
3422,3408,3408,3400,3400,3405,3405,3405,3405,3395,3395,3396,3396,3395,3395,3398,3398
2353,2403,2403,2350,2350,2362,2362,2257,2257,2279,2279,2270,2270,2207,2207,2290,2290
2095,2040,2040,2071,2071,2165,2165,2107,2107,1974,1974,1985,1985,2074,2074,1988,1988
1964,2081,2081,1989,1989,2059,2059,1999,1999,1904,1904,2135,2135,2055,2055,1955,1955
2016,2072,2072,2035,2035,1912,1912,2038,2038,1963,1963,1860,1860,1886,1886,1987,1987
2020,2099,2099,1984,1984,1864,1864,1888,1888,1965,1965,2008,2008,2043,2043,2084,2084
1866,2051,2051,1893,1893,2006,2006,1984,1984,1979,1979,1969,1969,1930,1930,2073,2073
1945,1980,1980,2111,2111,2048,2048,1976,1976,2029,2029,2015,2015,2160,2160,1977,1977
1886,1963,1963,1933,1933,2112,2112,2062,2062,2031,2031,2114,2114,2015,2015,1985,1985
1931,1988,1988,1977,1977,2057,2057,2051,2051,2054,2054,2059,2059,2016,2016,1979,1979
1979,1917,1917,2021,2021,2083,2083,1986,1986,2137,2137,1861,1861,1974,1974,1801,1801
1878,1961,1961,2101,2101,1930,1930,2015,2015,1957,1957,2061,2061,1933,1933,1931,1931
2075,2135,2135,2094,2094,2070,2070,1954,1954,2067,2067,2218,2218,2086,2086,2123,2123
2349,2257,2257,2355,2355,2401,2401,2230,2230,2360,2360,2252,2252,2267,2267,2276,2276
3430,3405,3405,3412,3412,3419,3419,3410,3410,3411,3411,3403,3403,3407,3407,3414,3414
3538,3525,3525,3526,3526,3533,3533,3531,3531,3522,3522,3523,3523,3524,3524,3528,3528
3320,3313,3313,3304,3304,3313,3313,3305,3305,3303,3303,3300,3300,3296,3296,3307,3307
2229,2296,2296,2247,2247,2244,2244,2179,2179,2185,2185,2157,2157,2077,2077,2270,2270
2079,1877,1877,1958,1958,2108,2108,2014,2014,1785,1785,1972,1972,2097,2097,1910,1910
2031,1809,1809,1846,1846,2044,2044,1919,1919,1803,1803,2093,2093,1908,1908,2003,2003
2016,1898,1898,1819,1819,1948,1948,1802,1802,1807,1807,1937,1937,1865,1865,1962,1962
1887,1828,1828,1868,1868,1858,1858,1898,1898,1871,1871,1966,1966,1867,1867,1810,1810
1794,1995,1995,1988,1988,1899,1899,1905,1905,1961,1961,1844,1844,1908,1908,1851,1851
1807,1939,1939,1912,1912,2024,2024,1916,1916,1763,1763,1959,1959,2024,2024,1845,1845
1931,1814,1814,1828,1828,2016,2016,2010,2010,2001,2001,1996,1996,1878,1878,2000,2000
1835,1860,1860,1890,1890,1976,1976,2027,2027,2017,2017,1990,1990,1978,1978,1962,1962
1904,1894,1894,1975,1975,1983,1983,1955,1955,2045,2045,1917,1917,1999,1999,1928,1928
1877,2001,2001,1979,1979,1877,1877,1947,1947,1990,1990,1891,1891,1878,1878,1894,1894
1819,1994,1994,2017,2017,1951,1951,1942,1942,1970,1970,2095,2095,2027,2027,1963,1963
2162,2220,2220,2266,2266,2320,2320,2138,2138,2202,2202,2210,2210,2186,2186,2185,2185
3326,3310,3310,3315,3315,3322,3322,3313,3313,3312,3312,3308,3308,3310,3310,3317,3317
3073,3065,3065,3065,3065,3075,3075,3063,3063,3060,3060,3075,3075,3069,3069,3077,3077
2859,2847,2847,2844,2844,2873,2873,2846,2846,2847,2847,2852,2852,2847,2847,2863,2863
1777,1867,1867,1876,1876,1958,1958,1979,1979,1862,1862,1930,1930,1956,1956,1998,1998
2052,1767,1767,1711,1711,1827,1827,1916,1916,1938,1938,1808,1808,1930,1930,1934,1934
1957,1823,1823,1623,1623,1853,1853,1661,1661,1893,1893,1871,1871,1985,1985,1885,1885
1989,1790,1790,1716,1716,1899,1899,1812,1812,1943,1943,1668,1668,1835,1835,1974,1974
1839,1897,1897,1909,1909,1878,1878,1660,1660,1932,1932,1773,1773,1903,1903,1885,1885
1761,1866,1866,1907,1907,1820,1820,1726,1726,1968,1968,1885,1885,1973,1973,1801,1801
1833,1837,1837,1932,1932,1898,1898,1777,1777,1990,1990,1885,1885,1938,1938,1882,1882
1919,1737,1737,1818,1818,1908,1908,1876,1876,1918,1918,1821,1821,1772,1772,1941,1941
1935,1713,1713,1898,1898,1885,1885,1942,1942,1797,1797,1860,1860,1883,1883,1984,1984
1764,1825,1825,1822,1822,1804,1804,1934,1934,1900,1900,1823,1823,1789,1789,1863,1863
1803,1975,1975,1834,1834,1874,1874,1797,1797,1952,1952,1761,1761,1970,1970,1787,1787
1798,1766,1766,1809,1809,1653,1653,1728,1728,1952,1952,1969,1969,1936,1936,1836,1836
2016,1949,1949,1974,1974,1778,1778,1883,1883,2016,2016,1912,1912,1780,1780,2029,2029
2852,2837,2837,2846,2846,2852,2852,2836,2836,2836,2836,2853,2853,2832,2832,2860,2860
2384,2270,2270,2240,2240,2255,2255,2294,2294,2305,2305,2289,2289,2220,2220,2288,2288
2199,2002,2002,1985,1985,2145,2145,1989,1989,2019,2019,2146,2146,1957,1957,2095,2095
1843,1708,1708,1816,1816,1928,1928,1944,1944,1888,1888,1906,1906,1866,1866,1767,1767
1914,1796,1796,1880,1880,1910,1910,1892,1892,1908,1908,1600,1600,1859,1859,1862,1862
1962,1834,1834,1712,1712,1939,1939,1889,1889,2000,2000,1920,1920,1780,1780,1905,1905
1984,1889,1889,1888,1888,1878,1878,1870,1870,2006,2006,1901,1901,1821,1821,1941,1941
1829,1856,1856,1772,1772,1858,1858,1817,1817,1944,1944,1844,1844,1914,1914,1808,1808
1728,1863,1863,1900,1900,1938,1938,1929,1929,1991,1991,1938,1938,1916,1916,1873,1873
1767,1891,1891,1830,1830,1906,1906,1839,1839,2093,2093,1903,1903,1936,1936,1939,1939
2015,1841,1841,1904,1904,1912,1912,1895,1895,1828,1828,1750,1750,1855,1855,1913,1913
2006,1708,1708,1825,1825,1868,1868,1857,1857,1760,1760,1786,1786,1895,1895,1934,1934
1811,1876,1876,1851,1851,1742,1742,1869,1869,1873,1873,1841,1841,1801,1801,1869,1869
1979,1884,1884,1870,1870,1866,1866,1845,1845,1961,1961,1847,1847,1923,1923,1857,1857
1885,1884,1884,1969,1969,1718,1718,1888,1888,2028,2028,1870,1870,1975,1975,1892,1892
1790,1812,1812,1930,1930,1826,1826,1923,1923,1912,1912,1883,1883,1957,1957,1932,1932
2159,2103,2103,1923,1923,2063,2063,2159,2159,2130,2130,2004,2004,2057,2057,2172,2172
2032,1970,1970,2102,2102,2036,2036,1959,1959,2106,2106,2000,2000,2137,2137,2015,2015
1926,1850,1850,2033,2033,2027,2027,1856,1856,2008,2008,1852,1852,2011,2011,1825,1825
1889,1734,1734,1820,1820,1960,1960,1957,1957,1905,1905,1844,1844,1974,1974,1921,1921
1751,1843,1843,1873,1873,1917,1917,2099,2099,1953,1953,1871,1871,1918,1918,1911,1911
1965,1830,1830,1900,1900,1921,1921,2067,2067,1987,1987,1917,1917,1727,1727,1862,1862
1955,1895,1895,1894,1894,1901,1901,1801,1801,1978,1978,1982,1982,1929,1929,1921,1921
1825,1807,1807,1839,1839,1870,1870,1807,1807,1833,1833,2001,2001,1942,1942,1841,1841
1798,1799,1799,1724,1724,1874,1874,1936,1936,2055,2055,1836,1836,1950,1950,1877,1877
1806,1764,1764,1882,1882,1886,1886,1796,1796,2031,2031,1869,1869,1913,1913,1892,1892
1993,1794,1794,1821,1821,1881,1881,1917,1917,1953,1953,1752,1752,1917,1917,1650,1650
2072,1934,1934,1772,1772,1777,1777,1966,1966,1820,1820,1776,1776,1632,1632,1759,1759
1863,1929,1929,1891,1891,1777,1777,1889,1889,1722,1722,1832,1832,1728,1728,1809,1809
1882,1863,1863,1888,1888,1800,1800,1866,1866,1967,1967,1857,1857,1832,1832,1786,1786
1893,1797,1797,1897,1897,1763,1763,1905,1905,2031,2031,1964,1964,1975,1975,1838,1838
1921,1846,1846,1879,1879,1859,1859,1860,1860,2017,2017,1936,1936,1896,1896,1801,1801
1957,1877,1877,2009,2009,1972,1972,1937,1937,1978,1978,1943,1943,1883,1883,1919,1919
2018,2009,2009,2107,2107,2180,2180,2014,2014,2154,2154,1970,1970,2033,2033,2081,2081
1973,1876,1876,1973,1973,2002,2002,1856,1856,2057,2057,1890,1890,1979,1979,2014,2014
1908,1830,1830,1800,1800,1759,1759,1950,1950,1960,1960,1891,1891,1965,1965,1728,1728
1830,1852,1852,1840,1840,1716,1716,1973,1973,1918,1918,1965,1965,1911,1911,1930,1930
1930,1863,1863,1901,1901,1908,1908,1915,1915,1994,1994,1779,1779,1858,1858,1942,1942
1936,1726,1726,1937,1937,1841,1841,1823,1823,2068,2068,1994,1994,2006,2006,1808,1808
1883,1845,1845,1839,1839,1908,1908,1867,1867,1883,1883,1885,1885,2027,2027,1757,1757
1918,1984,1984,1807,1807,1920,1920,1927,1927,2045,2045,1913,1913,1962,1962,1842,1842
1921,1866,1866,1920,1920,1900,1900,1858,1858,2104,2104,2051,2051,1659,1659,1867,1867
1887,1736,1736,1867,1867,1929,1929,1934,1934,1894,1894,1979,1979,1835,1835,1763,1763
1946,1834,1834,1821,1821,1939,1939,2005,2005,1800,1800,1832,1832,1846,1846,1797,1797
1854,1841,1841,1863,1863,1785,1785,1951,1951,1819,1819,1824,1824,1895,1895,1903,1903
1798,1860,1860,1860,1860,1770,1770,1887,1887,2007,2007,1882,1882,1920,1920,1871,1871
1723,1744,1744,1929,1929,1922,1922,2001,2001,2083,2083,1880,1880,2030,2030,2002,2002
1864,1741,1741,1956,1956,1828,1828,1952,1952,1985,1985,1913,1913,1721,1721,1949,1949
1866,1924,1924,1926,1926,1974,1974,1993,1993,1987,1987,1929,1929,1858,1858,1911,1911
2409,2377,2377,2304,2304,2399,2399,2360,2360,2216,2216,2323,2323,2335,2335,2348,2348
2245,2255,2255,2147,2147,2160,2160,2160,2160,2197,2197,2048,2048,2032,2032,2160,2160
1962,1946,1946,1861,1861,1800,1800,1987,1987,2039,2039,1978,1978,1820,1820,1889,1889
1988,1877,1877,1855,1855,1978,1978,1980,1980,2019,2019,1914,1914,1869,1869,1950,1950
1924,1907,1907,1953,1953,1925,1925,1917,1917,1985,1985,1857,1857,1768,1768,1921,1921
1872,1772,1772,2034,2034,1948,1948,1894,1894,2057,2057,1833,1833,1995,1995,1995,1995
1758,1895,1895,1971,1971,1898,1898,1955,1955,1852,1852,1828,1828,1992,1992,1841,1841
2004,1886,1886,1856,1856,1948,1948,1943,1943,1913,1913,1979,1979,1954,1954,1867,1867
1974,1950,1950,1708,1708,1928,1928,2047,2047,1997,1997,2064,2064,1855,1855,1941,1941
2003,1830,1830,1889,1889,1932,1932,1895,1895,1954,1954,1943,1943,1978,1978,1940,1940
2087,1968,1968,1949,1949,1954,1954,1916,1916,1951,1951,1895,1895,1970,1970,1865,1865
2053,1996,1996,1900,1900,1663,1663,1835,1835,1888,1888,1954,1954,1889,1889,1997,1997
1823,1953,1953,1767,1767,1690,1690,1913,1913,1918,1918,1997,1997,1640,1640,2034,2034
1803,1962,1962,1964,1964,1949,1949,2015,2015,1951,1951,1949,1949,1970,1970,1962,1962
1800,1902,1902,1990,1990,1807,1807,1955,1955,2028,2028,1976,1976,1836,1836,1951,1951
2254,2163,2163,2120,2120,2206,2206,2162,2162,2053,2053,2231,2231,2061,2061,2186,2186
2660,2677,2677,2710,2710,2664,2664,2728,2728,2659,2659,2707,2707,2644,2644,2666,2666
2494,2486,2486,2504,2504,2419,2419,2529,2529,2453,2453,2479,2479,2414,2414,2421,2421
1885,1947,1947,1956,1956,2064,2064,1931,1931,1942,1942,1950,1950,1920,1920,1982,1982
1964,1952,1952,1875,1875,2056,2056,1689,1689,2001,2001,2005,2005,1884,1884,1987,1987
1906,1878,1878,1923,1923,2049,2049,1873,1873,1947,1947,1994,1994,1881,1881,1853,1853
1933,1766,1766,1829,1829,1997,1997,1988,1988,1880,1880,1854,1854,2035,2035,1668,1668
1944,1935,1935,1897,1897,1962,1962,1994,1994,1886,1886,1928,1928,2051,2051,1950,1950
1921,1920,1920,1857,1857,2000,2000,1833,1833,1909,1909,2034,2034,2098,2098,2000,2000
1924,1915,1915,1758,1758,1913,1913,1857,1857,1812,1812,2128,2128,1992,1992,1971,1971
2033,1867,1867,1974,1974,1935,1935,1844,1844,2013,2013,2029,2029,1957,1957,1907,1907
2048,1983,1983,2016,2016,1928,1928,1843,1843,2091,2091,1985,1985,2013,2013,1892,1892
1974,1918,1918,2101,2101,1836,1836,1904,1904,1995,1995,1926,1926,2009,2009,1947,1947
1953,1809,1809,1824,1824,1990,1990,1971,1971,1919,1919,1940,1940,1886,1886,1994,1994
1866,2059,2059,1798,1798,2003,2003,1917,1917,1903,1903,1732,1732,1962,1962,1957,1957
1962,2158,2158,2022,2022,2022,2022,1936,1936,1951,1951,1789,1789,1945,1945,1972,1972
2507,2473,2473,2517,2517,2451,2451,2510,2510,2460,2460,2471,2471,2422,2422,2509,2509
3007,2983,2983,2976,2976,2928,2928,2978,2978,2965,2965,2985,2985,2958,2958,2971,2971
2777,2763,2763,2738,2738,2711,2711,2733,2733,2748,2748,2748,2748,2755,2755,2721,2721
1848,2082,2082,2033,2033,2190,2190,2077,2077,1972,1972,1984,1984,1915,1915,2052,2052
1870,1952,1952,2017,2017,2056,2056,1782,1782,1976,1976,1998,1998,1997,1997,2070,2070
1943,1957,1957,1891,1891,1918,1918,1912,1912,1812,1812,2058,2058,1873,1873,1854,1854
1907,1796,1796,1776,1776,1984,1984,2006,2006,2000,2000,1967,1967,2002,2002,1858,1858
1993,2023,2023,1800,1800,1915,1915,1999,1999,2006,2006,2022,2022,1822,1822,1862,1862
2036,2045,2045,2036,2036,1900,1900,1895,1895,1846,1846,1963,1963,2096,2096,1999,1999
1900,2001,2001,1933,1933,1938,1938,1977,1977,1822,1822,1971,1971,2071,2071,1824,1824
1975,1987,1987,2047,2047,1892,1892,1985,1985,2014,2014,1939,1939,1937,1937,1956,1956
1900,2054,2054,2138,2138,1989,1989,1972,1972,2139,2139,1943,1943,2067,2067,1967,1967
1982,2004,2004,2112,2112,1967,1967,1993,1993,1983,1983,2034,2034,1995,1995,1898,1898
1960,1958,1958,1894,1894,1935,1935,1872,1872,1882,1882,2042,2042,1981,1981,1781,1781
2090,2092,2092,1995,1995,2058,2058,1830,1830,1857,1857,1927,1927,2056,2056,1755,1755
2068,2070,2070,2120,2120,2036,2036,1829,1829,2039,2039,1935,1935,1965,1965,1914,1914
2792,2747,2747,2779,2779,2700,2700,2752,2752,2751,2751,2743,2743,2681,2681,2768,2768
2899,2977,2977,2892,2892,2932,2932,2934,2934,2975,2975,2916,2916,2887,2887,2989,2989
2693,2780,2780,2638,2638,2719,2719,2704,2704,2749,2749,2685,2685,2659,2659,2779,2779
2095,2076,2076,1826,1826,2152,2152,2057,2057,2084,2084,1931,1931,1937,1937,2121,2121
1966,2051,2051,2003,2003,1924,1924,2031,2031,1931,1931,2031,2031,2090,2090,2024,2024
1903,2051,2051,2080,2080,1942,1942,1979,1979,1978,1978,1901,1901,2076,2076,1874,1874
1823,1939,1939,2023,2023,1977,1977,1956,1956,2101,2101,2070,2070,2069,2069,1915,1915
1991,2024,2024,1967,1967,1968,1968,1939,1939,2027,2027,1996,1996,2025,2025,1939,1939
1976,1882,1882,1995,1995,1940,1940,1959,1959,1775,1775,1762,1762,2061,2061,1924,1924
2128,1923,1923,1994,1994,1938,1938,2063,2063,1893,1893,1905,1905,1980,1980,1885,1885
2016,2037,2037,2004,2004,1819,1819,2066,2066,1981,1981,2065,2065,1966,1966,1966,1966
1933,2032,2032,2152,2152,2052,2052,1965,1965,1938,1938,1940,1940,2094,2094,2003,2003
1936,2034,2034,2069,2069,2052,2052,1981,1981,1970,1970,2066,2066,1905,1905,1764,1764
1987,1899,1899,2055,2055,2141,2141,1832,1832,1954,1954,2026,2026,2002,2002,1703,1703
2039,2001,2001,2077,2077,2142,2142,1953,1953,1950,1950,1986,1986,2128,2128,1890,1890
1880,2050,2050,2086,2086,2043,2043,1957,1957,2078,2078,1950,1950,2096,2096,1899,1899
2694,2745,2745,2711,2711,2710,2710,2725,2725,2780,2780,2691,2691,2670,2670,2766,2766
2786,2800,2800,2833,2833,2850,2850,2787,2787,2864,2864,2775,2775,2811,2811,2762,2762
2569,2576,2576,2609,2609,2668,2668,2544,2544,2658,2658,2557,2557,2588,2588,2580,2580
1939,2038,2038,1998,1998,2148,2148,2094,2094,2156,2156,1972,1972,1950,1950,2149,2149
2089,1993,1993,1946,1946,1846,1846,2021,2021,2127,2127,1951,1951,2015,2015,2019,2019
2068,2029,2029,2045,2045,1942,1942,1955,1955,2131,2131,1938,1938,2034,2034,2031,2031
1958,1912,1912,2045,2045,2052,2052,1797,1797,2034,2034,2082,2082,2003,2003,1925,1925
1938,1893,1893,2015,2015,2109,2109,1885,1885,2021,2021,2031,2031,2078,2078,1987,1987
2177,1865,1865,2007,2007,2017,2017,1961,1961,1987,1987,1956,1956,2095,2095,2041,2041
2169,2010,2010,1976,1976,2087,2087,2095,2095,1992,1992,2068,2068,2062,2062,1934,1934
2075,2085,2085,2001,2001,1934,1934,2082,2082,1851,1851,2134,2134,1858,1858,2028,2028
1997,2143,2143,2011,2011,2030,2030,2002,2002,2024,2024,2006,2006,2103,2103,1933,1933
1909,2020,2020,2004,2004,1901,1901,1917,1917,1983,1983,1924,1924,1969,1969,1949,1949
1923,1952,1952,2020,2020,2041,2041,1902,1902,1958,1958,1812,1812,1895,1895,1762,1762
1853,2027,2027,1995,1995,2136,2136,1979,1979,1930,1930,1953,1953,2030,2030,2003,2003
1994,2109,2109,1984,1984,2120,2120,1975,1975,1918,1918,1822,1822,1998,1998,1938,1938
2536,2561,2561,2628,2628,2623,2623,2511,2511,2652,2652,2578,2578,2564,2564,2548,2548
