data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3842,3843,3843,3842,3842,3846,3846,3846,3846,3840,3840,3843,3843,3847,3847,3843,3843
3619,3617,3617,3617,3617,3623,3623,3624,3624,3618,3618,3618,3618,3621,3621,3624,3624
2486,2445,2445,2491,2491,2527,2527,2530,2530,2536,2536,2530,2530,2537,2537,2593,2593
2220,2208,2208,2100,2100,2132,2132,2296,2296,2134,2134,2197,2197,2031,2031,1907,1907
1989,2076,2076,2017,2017,2046,2046,2171,2171,2155,2155,2137,2137,2206,2206,2173,2173
1999,1892,1892,2065,2065,1942,1942,2071,2071,1955,1955,1901,1901,1981,1981,2011,2011
1985,2046,2046,1864,1864,2036,2036,2031,2031,1949,1949,2091,2091,1972,1972,1977,1977
1875,1800,1800,1867,1867,1856,1856,1949,1949,1831,1831,2097,2097,1931,1931,1922,1922
1865,1874,1874,2045,2045,1903,1903,2018,2018,1977,1977,1993,1993,1913,1913,1989,1989
1941,2097,2097,2037,2037,1927,1927,2010,2010,1958,1958,2085,2085,1714,1714,1916,1916
1999,1935,1935,2006,2006,1992,1992,1955,1955,1944,1944,2169,2169,1961,1961,1869,1869
2024,1989,1989,2009,2009,1978,1978,2000,2000,2031,2031,2114,2114,1960,1960,2128,2128
2049,2098,2098,2085,2085,2041,2041,1792,1792,1972,1972,2107,2107,2072,2072,2142,2142
2032,2123,2123,2006,2006,2081,2081,2260,2260,2269,2269,2030,2030,2256,2256,2204,2204
2476,2559,2559,2478,2478,2524,2524,2477,2477,2409,2409,2543,2543,2436,2436,2459,2459
3618,3620,3620,3614,3614,3623,3623,3620,3620,3613,3613,3617,3617,3619,3619,3614,3614
3852,3853,3853,3852,3852,3853,3853,3855,3855,3850,3850,3852,3852,3858,3858,3852,3852
3626,3624,3624,3626,3626,3628,3628,3631,3631,3627,3627,3628,3628,3629,3629,3631,3631
2505,2462,2462,2474,2474,2527,2527,2532,2532,2513,2513,2516,2516,2528,2528,2567,2567
2150,2209,2209,2120,2120,2068,2068,2187,2187,2071,2071,2131,2131,2000,2000,2016,2016
2023,2047,2047,1857,1857,2092,2092,1946,1946,2055,2055,2028,2028,2092,2092,2076,2076
1931,1921,1921,2016,2016,1872,1872,1978,1978,1940,1940,1939,1939,2001,2001,1867,1867
1956,1968,1968,1793,1793,1954,1954,1829,1829,1929,1929,1813,1813,1965,1965,1996,1996
1888,1831,1831,1861,1861,1899,1899,1785,1785,1772,1772,1928,1928,1907,1907,1943,1943
1777,1848,1848,2035,2035,1810,1810,1831,1831,1904,1904,1888,1888,1902,1902,1846,1846
1796,1997,1997,2067,2067,1723,1723,1757,1757,1778,1778,2052,2052,1729,1729,1854,1854
1963,1870,1870,2048,2048,1623,1623,1783,1783,1999,1999,2106,2106,1835,1835,1947,1947
1841,2021,2021,1923,1923,1786,1786,1869,1869,1978,1978,2060,2060,1954,1954,2081,2081
2102,2142,2142,2034,2034,1960,1960,1687,1687,1979,1979,2051,2051,1985,1985,2042,2042
1875,2107,2107,2008,2008,2090,2090,2240,2240,2229,2229,2073,2073,2192,2192,2221,2221
2528,2547,2547,2493,2493,2506,2506,2494,2494,2416,2416,2514,2514,2488,2488,2454,2454
3629,3630,3630,3626,3626,3630,3630,3626,3626,3621,3621,3627,3627,3631,3631,3625,3625
3480,3478,3478,3481,3481,3482,3482,3481,3481,3477,3477,3480,3480,3482,3482,3482,3482
3257,3256,3256,3263,3263,3262,3262,3266,3266,3254,3254,3261,3261,3260,3260,3265,3265
2205,2068,2068,2179,2179,2177,2177,2213,2213,2150,2150,2170,2170,2142,2142,2223,2223
1991,1969,1969,1830,1830,1895,1895,1747,1747,1818,1818,1870,1870,1716,1716,1818,1818
1923,1819,1819,1760,1760,1976,1976,1911,1911,1770,1770,1738,1738,1992,1992,2020,2020
1754,1824,1824,1830,1830,1777,1777,1866,1866,1770,1770,1756,1756,1989,1989,1906,1906
1954,1809,1809,1862,1862,1789,1789,1894,1894,1779,1779,1913,1913,1837,1837,1943,1943
1900,1790,1790,1940,1940,1915,1915,1803,1803,1902,1902,1927,1927,1767,1767,1970,1970
1873,1812,1812,2007,2007,1764,1764,1809,1809,1900,1900,1920,1920,1927,1927,1830,1830
1957,1922,1922,1996,1996,1737,1737,1790,1790,1766,1766,1942,1942,1932,1932,1761,1761
1875,1874,1874,1948,1948,1904,1904,1772,1772,1882,1882,1948,1948,1841,1841,1844,1844
1960,1840,1840,1760,1760,1836,1836,1980,1980,1750,1750,1922,1922,1863,1863,1828,1828
2006,1974,1974,1781,1781,1801,1801,1861,1861,1613,1613,1878,1878,1919,1919,1856,1856
1917,1926,1926,1853,1853,1973,1973,1943,1943,1973,1973,1952,1952,2145,2145,1737,1737
2187,2147,2147,2152,2152,2125,2125,2032,2032,1953,1953,2133,2133,2144,2144,2107,2107
3256,3254,3254,3255,3255,3259,3259,3254,3254,3249,3249,3253,3253,3262,3262,3252,3252
2313,2406,2406,2422,2422,2466,2466,2399,2399,2388,2388,2410,2410,2403,2403,2412,2412
2091,2207,2207,2174,2174,2235,2235,2189,2189,2158,2158,2253,2253,2150,2150,2255,2255
1897,1759,1759,1785,1785,1796,1796,1932,1932,1889,1889,1698,1698,1788,1788,1946,1946
1814,1812,1812,1919,1919,1813,1813,1730,1730,1864,1864,1893,1893,1925,1925,1806,1806
1873,1719,1719,1878,1878,1805,1805,1968,1968,2001,2001,1772,1772,1977,1977,1931,1931
1908,1925,1925,1750,1750,1781,1781,1979,1979,1948,1948,1826,1826,1926,1926,1796,1796
1902,1972,1972,1852,1852,1853,1853,1896,1896,1944,1944,1949,1949,1784,1784,1828,1828
2008,1786,1786,2011,2011,1809,1809,1781,1781,2071,2071,1914,1914,1799,1799,1881,1881
1843,1859,1859,2021,2021,1840,1840,1834,1834,2085,2085,1891,1891,1804,1804,1749,1749
1909,1831,1831,1952,1952,1800,1800,1895,1895,1995,1995,1865,1865,1885,1885,1784,1784
1975,1773,1773,1883,1883,1880,1880,1873,1873,1793,1793,1870,1870,1977,1977,1884,1884
1927,1848,1848,1821,1821,1891,1891,1819,1819,1859,1859,1839,1839,2036,2036,1831,1831
1993,1901,1901,1762,1762,1791,1791,1887,1887,1884,1884,1653,1653,2013,2013,1802,1802
1820,1805,1805,1805,1805,1938,1938,1762,1762,1739,1739,1904,1904,2001,2001,1788,1788
1944,1946,1946,1917,1917,1873,1873,1906,1906,1834,1834,1899,1899,1824,1824,1885,1885
2239,2214,2214,2291,2291,2341,2341,2133,2133,2187,2187,2263,2263,2149,2149,2333,2333
2093,1940,1940,1903,1903,2081,2081,1888,1888,2008,2008,1967,1967,2035,2035,2057,2057
1837,1880,1880,1963,1963,2017,2017,1971,1971,1830,1830,1897,1897,1863,1863,1933,1933
1828,1871,1871,1789,1789,1832,1832,1854,1854,1928,1928,1890,1890,1860,1860,1928,1928
1916,1691,1691,1861,1861,1827,1827,1769,1769,2023,2023,1929,1929,1942,1942,1785,1785
1817,1883,1883,1754,1754,1891,1891,1964,1964,1979,1979,1796,1796,1953,1953,1719,1719
1896,2012,2012,1724,1724,1914,1914,1935,1935,1889,1889,1808,1808,1835,1835,1785,1785
1892,1875,1875,1831,1831,1798,1798,1935,1935,1897,1897,1725,1725,1813,1813,1828,1828
1919,1906,1906,1964,1964,1795,1795,1905,1905,1913,1913,1776,1776,1916,1916,1939,1939
1738,1999,1999,2059,2059,1911,1911,1814,1814,2014,2014,1796,1796,1978,1978,1920,1920
1913,1786,1786,1974,1974,1857,1857,1948,1948,2004,2004,1850,1850,1979,1979,1845,1845
1963,1704,1704,1939,1939,1820,1820,1858,1858,1908,1908,1812,1812,1869,1869,1835,1835
2062,1797,1797,1872,1872,1907,1907,1781,1781,2039,2039,1918,1918,2047,2047,1871,1871
