data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3655,3669,3669,3659,3659,3659,3659,3669,3669,3668,3668,3663,3663,3668,3668,3662,3662
3429,3451,3451,3447,3447,3435,3435,3456,3456,3455,3455,3438,3438,3447,3447,3453,3453
2212,2311,2311,2452,2452,2285,2285,2371,2371,2451,2451,2366,2366,2279,2279,2418,2418
2186,2332,2332,2105,2105,2198,2198,2080,2080,2021,2021,2101,2101,2194,2194,2057,2057
2020,2042,2042,1946,1946,2026,2026,1993,1993,2020,2020,2080,2080,1903,1903,2033,2033
2012,2075,2075,1899,1899,2078,2078,2084,2084,1964,1964,1996,1996,1902,1902,1854,1854
1905,1794,1794,1826,1826,2046,2046,1973,1973,1889,1889,1916,1916,1810,1810,1998,1998
1949,1893,1893,1920,1920,1951,1951,2054,2054,1997,1997,1938,1938,1818,1818,1951,1951
1854,1990,1990,1945,1945,1902,1902,2040,2040,1898,1898,1970,1970,1989,1989,1871,1871
1856,2021,2021,1967,1967,1913,1913,2082,2082,1887,1887,1977,1977,1955,1955,2121,2121
1938,1885,1885,1909,1909,1856,1856,2085,2085,2000,2000,2092,2092,1923,1923,2098,2098
2056,1953,1953,1964,1964,1982,1982,2010,2010,2037,2037,1950,1950,1794,1794,2045,2045
2087,2038,2038,2142,2142,2066,2066,2032,2032,2106,2106,2008,2008,2094,2094,2077,2077
2037,2114,2114,2072,2072,2051,2051,2133,2133,2082,2082,2016,2016,2148,2148,2066,2066
2397,2411,2411,2366,2366,2305,2305,2359,2359,2391,2391,2465,2465,2308,2308,2379,2379
3419,3440,3440,3434,3434,3430,3430,3438,3438,3434,3434,3446,3446,3444,3444,3432,3432
3756,3761,3761,3755,3755,3755,3755,3759,3759,3759,3759,3759,3759,3760,3760,3756,3756
3535,3537,3537,3538,3538,3534,3534,3540,3540,3539,3539,3540,3540,3535,3535,3539,3539
2409,2377,2377,2412,2412,2432,2432,2445,2445,2500,2500,2457,2457,2331,2331,2445,2445
2141,2250,2250,2117,2117,2086,2086,2103,2103,1954,1954,2142,2142,2163,2163,2023,2023
2038,1981,1981,1929,1929,1987,1987,1940,1940,2022,2022,1995,1995,1859,1859,2082,2082
1945,2082,2082,1625,1625,1941,1941,1937,1937,1947,1947,1922,1922,1871,1871,1837,1837
1745,1853,1853,1719,1719,2022,2022,1715,1715,1967,1967,1965,1965,1662,1662,1900,1900
1846,1824,1824,1899,1899,1875,1875,1980,1980,1985,1985,1747,1747,1848,1848,1808,1808
1901,1908,1908,1978,1978,1852,1852,1992,1992,1939,1939,1851,1851,1825,1825,1853,1853
1899,1930,1930,1832,1832,1952,1952,2028,2028,1782,1782,1912,1912,1787,1787,2079,2079
1870,1768,1768,1789,1789,1773,1773,1897,1897,1831,1831,1839,1839,1890,1890,1988,1988
1995,1963,1963,1945,1945,1805,1805,1895,1895,1957,1957,1814,1814,1883,1883,1957,1957
1936,1884,1884,1994,1994,1875,1875,1944,1944,1986,1986,1928,1928,2038,2038,1979,1979
2088,2162,2162,2039,2039,2163,2163,2136,2136,2124,2124,2011,2011,2076,2076,2070,2070
2360,2437,2437,2412,2412,2272,2272,2398,2398,2403,2403,2490,2490,2436,2436,2422,2422
3533,3537,3537,3531,3531,3530,3530,3534,3534,3536,3536,3541,3541,3542,3542,3534,3534
3435,3437,3437,3437,3437,3435,3435,3437,3437,3436,3436,3438,3438,3437,3437,3438,3438
3213,3215,3215,3218,3218,3213,3213,3217,3217,3219,3219,3214,3214,3216,3216,3222,3222
2093,2142,2142,2185,2185,2110,2110,2165,2165,2232,2232,2107,2107,2135,2135,2178,2178
1800,2036,2036,2020,2020,1901,1901,1843,1843,1788,1788,1996,1996,1814,1814,1908,1908
1876,1865,1865,2046,2046,1749,1749,1875,1875,1926,1926,1708,1708,1692,1692,1885,1885
