data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3836,3836,3840,3840,3845,3845,3839,3839,3839,3839,3837,3837,3836,3836,3838,3838,3841,3841
3614,3614,3624,3624,3624,3624,3622,3622,3619,3619,3617,3617,3617,3617,3620,3620,3623,3623
2486,2486,2516,2516,2486,2486,2545,2545,2543,2543,2392,2392,2502,2502,2526,2526,2526,2526
2198,2198,2179,2179,2161,2161,2141,2141,1970,1970,2243,2243,2203,2203,2180,2180,2147,2147
1979,1979,2014,2014,1993,1993,1976,1976,2131,2131,2005,2005,1904,1904,1799,1799,1982,1982
1850,1850,2073,2073,1958,1958,1970,1970,1901,1901,2056,2056,1997,1997,1959,1959,2022,2022
1985,1985,1920,1920,2050,2050,1782,1782,2056,2056,1983,1983,2089,2089,2051,2051,1927,1927
1964,1964,1959,1959,1987,1987,1940,1940,2095,2095,1934,1934,2062,2062,2164,2164,2009,2009
1948,1948,2138,2138,1925,1925,1964,1964,2101,2101,2068,2068,1903,1903,2062,2062,1962,1962
2068,2068,2083,2083,1905,1905,2078,2078,1909,1909,2087,2087,1979,1979,2076,2076,1981,1981
1975,1975,1939,1939,2054,2054,2108,2108,1973,1973,2102,2102,1921,1921,2176,2176,1963,1963
2059,2059,1872,1872,2089,2089,2124,2124,2163,2163,2083,2083,1911,1911,2096,2096,2014,2014
1942,1942,2015,2015,2057,2057,2044,2044,2056,2056,2110,2110,2033,2033,2105,2105,2033,2033
2186,2186,2115,2115,2210,2210,2223,2223,2193,2193,2175,2175,2211,2211,2146,2146,2193,2193
2524,2524,2509,2509,2516,2516,2360,2360,2507,2507,2419,2419,2468,2468,2450,2450,2519,2519
3627,3627,3625,3625,3630,3630,3623,3623,3624,3624,3623,3623,3622,3622,3622,3622,3627,3627
3852,3852,3855,3855,3855,3855,3854,3854,3852,3852,3853,3853,3850,3850,3854,3854,3855,3855
3634,3634,3636,3636,3636,3636,3637,3637,3635,3635,3634,3634,3631,3631,3636,3636,3639,3639
2504,2504,2512,2512,2479,2479,2531,2531,2527,2527,2452,2452,2500,2500,2513,2513,2521,2521
2180,2180,2165,2165,2212,2212,2123,2123,2068,2068,2233,2233,2192,2192,2148,2148,1998,1998
2041,2041,1937,1937,1859,1859,1981,1981,2112,2112,1939,1939,1971,1971,1936,1936,2012,2012
1757,1757,2054,2054,2025,2025,1836,1836,1983,1983,2061,2061,1919,1919,2044,2044,2046,2046
1763,1763,1864,1864,2062,2062,1946,1946,1724,1724,1956,1956,1944,1944,2016,2016,1913,1913
1788,1788,1953,1953,2020,2020,1849,1849,1973,1973,1914,1914,1972,1972,2092,2092,1850,1850
1940,1940,1997,1997,1747,1747,1801,1801,1999,1999,1853,1853,2012,2012,1964,1964,1867,1867
2071,2071,1846,1846,1739,1739,1953,1953,1811,1811,2015,2015,1952,1952,1871,1871,1950,1950
1986,1986,1846,1846,1896,1896,1905,1905,1864,1864,2023,2023,1844,1844,1983,1983,2000,2000
1999,1999,1916,1916,1825,1825,1928,1928,2039,2039,1941,1941,1871,1871,1985,1985,1983,1983
1996,1996,2049,2049,1967,1967,2114,2114,2053,2053,1781,1781,2019,2019,2000,2000,1989,1989
2171,2171,2125,2125,2193,2193,2172,2172,2142,2142,2182,2182,2228,2228,2116,2116,2193,2193
2514,2514,2511,2511,2523,2523,2395,2395,2488,2488,2470,2470,2493,2493,2486,2486,2521,2521
3637,3637,3634,3634,3638,3638,3631,3631,3635,3635,3634,3634,3636,3636,3634,3634,3637,3637
3487,3487,3485,3485,3487,3487,3487,3487,3486,3486,3491,3491,3483,3483,3486,3486,3488,3488
3261,3261,3259,3259,3258,3258,3261,3261,3261,3261,3264,3264,3256,3256,3257,3257,3261,3261
2124,2124,2152,2152,2055,2055,2128,2128,2128,2128,2129,2129,2121,2121,2151,2151,2151,2151
2060,2060,2026,2026,2065,2065,1848,1848,1856,1856,1904,1904,1891,1891,1938,1938,1936,1936
1894,1894,1949,1949,1860,1860,1923,1923,1909,1909,1796,1796,1899,1899,1891,1891,2004,2004
1575,1575,1992,1992,1890,1890,1803,1803,1908,1908,1775,1775,1875,1875,1950,1950,1982,1982
1811,1811,1888,1888,1847,1847,1710,1710,1930,1930,1777,1777,1879,1879,1923,1923,1916,1916
1730,1730,1890,1890,1865,1865,1799,1799,1889,1889,1705,1705,1867,1867,1990,1990,1749,1749
1862,1862,1854,1854,1885,1885,1661,1661,1697,1697,1875,1875,1908,1908,2055,2055,1795,1795
1977,1977,1864,1864,1888,1888,1686,1686,1713,1713,1979,1979,1920,1920,1823,1823,1964,1964
1877,1877,1820,1820,1916,1916,1858,1858,1616,1616,1953,1953,1766,1766,1571,1571,2015,2015
1796,1796,1859,1859,1820,1820,1859,1859,1831,1831,1805,1805,1949,1949,1834,1834,1776,1776
1878,1878,1938,1938,1956,1956,1996,1996,1859,1859,1832,1832,1962,1962,1964,1964,1791,1791
1896,1896,1877,1877,1946,1946,1887,1887,2028,2028,1768,1768,1917,1917,1832,1832,2002,2002
2176,2176,2166,2166,2111,2111,2027,2027,2117,2117,2199,2199,2121,2121,2132,2132,2100,2100
3268,3268,3262,3262,3268,3268,3260,3260,3264,3264,3274,3274,3264,3264,3266,3266,3269,3269
2826,2826,2802,2802,2826,2826,2841,2841,2840,2840,2825,2825,2831,2831,2830,2830,2811,2811
2577,2577,2600,2600,2617,2617,2618,2618,2610,2610,2623,2623,2618,2618,2604,2604,2548,2548
1820,1820,1830,1830,1962,1962,1876,1876,1810,1810,1915,1915,1721,1721,1929,1929,1864,1864
1839,1839,1785,1785,1920,1920,1974,1974,1754,1754,1871,1871,1875,1875,1900,1900,1875,1875
1876,1876,1847,1847,1904,1904,1908,1908,1700,1700,1882,1882,1954,1954,1937,1937,1942,1942
1844,1844,1945,1945,1895,1895,1883,1883,1750,1750,1527,1527,1852,1852,1977,1977,1892,1892
1734,1734,1915,1915,1920,1920,1882,1882,1724,1724,1621,1621,1694,1694,1869,1869,2016,2016
1877,1877,1885,1885,1988,1988,1860,1860,1734,1734,1776,1776,1891,1891,1814,1814,1835,1835
2002,2002,1904,1904,1870,1870,1941,1941,1886,1886,1976,1976,1827,1827,1955,1955,1746,1746
1969,1969,1871,1871,1882,1882,1884,1884,1837,1837,1948,1948,1901,1901,1855,1855,1917,1917
1969,1969,1888,1888,1997,1997,1769,1769,1825,1825,1909,1909,1863,1863,1757,1757,1898,1898
1885,1885,1942,1942,1891,1891,1873,1873,1813,1813,1879,1879,1933,1933,1803,1803,1824,1824
1901,1901,1836,1836,1880,1880,1648,1648,1879,1879,1829,1829,1909,1909,1955,1955,1902,1902
1827,1827,1635,1635,1852,1852,1799,1799,1914,1914,1815,1815,1799,1799,1727,1727,1760,1760
1900,1900,1752,1752,1572,1572,1866,1866,1927,1927,1879,1879,1864,1864,1794,1794,1797,1797
2606,2606,2560,2560,2588,2588,2598,2598,2643,2643,2596,2596,2610,2610,2607,2607,2592,2592
2676,2676,2618,2618,2652,2652,2671,2671,2658,2658,2659,2659,2679,2679,2683,2683,2659,2659
2439,2439,2348,2348,2429,2429,2444,2444,2451,2451,2434,2434,2459,2459,2475,2475,2417,2417
1871,1871,1870,1870,1875,1875,1931,1931,1745,1745,1920,1920,1851,1851,1911,1911,1696,1696
