data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16
3825,3825,3825,3825,3826,3826,3827,3827,3825,3825,3817,3817,3823,3823,3827,3827
3612,3612,3608,3608,3610,3610,3608,3608,3606,3606,3600,3600,3608,3608,3613,3613
2566,2566,2510,2510,2535,2535,2483,2483,2419,2419,2486,2486,2508,2508,2485,2485
2188,2188,2216,2216,2042,2042,2209,2209,2183,2183,2056,2056,2067,2067,2173,2173
2185,2185,2075,2075,2077,2077,2128,2128,2047,2047,2087,2087,2206,2206,2045,2045
2048,2048,2035,2035,1898,1898,2025,2025,2052,2052,2103,2103,2012,2012,2057,2057
2011,2011,2023,2023,1898,1898,1989,1989,1985,1985,2056,2056,1960,1960,2044,2044
2035,2035,2105,2105,1963,1963,1882,1882,1981,1981,2041,2041,1951,1951,2032,2032
2052,2052,2013,2013,1965,1965,1995,1995,1834,1834,1833,1833,1964,1964,2051,2051
2109,2109,1895,1895,1872,1872,1893,1893,1819,1819,1933,1933,2006,2006,1945,1945
2015,2015,1976,1976,1944,1944,1926,1926,1867,1867,2038,2038,1992,1992,1987,1987
1998,1998,1973,1973,2130,2130,2139,2139,1910,1910,2037,2037,1929,1929,1921,1921
2036,2036,2134,2134,1826,1826,2030,2030,1963,1963,1977,1977,2078,2078,2037,2037
2123,2123,2209,2209,2114,2114,2217,2217,2043,2043,2140,2140,2222,2222,1987,1987
2528,2528,2386,2386,2490,2490,2528,2528,2541,2541,2415,2415,2498,2498,2534,2534
3603,3603,3602,3602,3610,3610,3609,3609,3610,3610,3598,3598,3605,3605,3609,3609
3841,3841,3839,3839,3842,3842,3842,3842,3842,3842,3840,3840,3842,3842,3843,3843
3624,3624,3621,3621,3624,3624,3625,3625,3622,3622,3619,3619,3621,3621,3623,3623
2573,2573,2506,2506,2531,2531,2526,2526,2492,2492,2541,2541,2508,2508,2488,2488
2108,2108,2128,2128,2087,2087,2044,2044,2232,2232,2080,2080,2026,2026,2201,2201
2068,2068,1896,1896,1980,1980,1974,1974,2082,2082,2005,2005,2128,2128,1952,1952
2014,2014,1935,1935,1982,1982,1982,1982,1978,1978,1985,1985,1848,1848,1968,1968
1938,1938,2011,2011,1974,1974,1980,1980,1916,1916,2053,2053,1954,1954,1999,1999
1826,1826,1938,1938,1950,1950,1835,1835,1888,1888,1939,1939,1869,1869,1983,1983
1860,1860,1972,1972,1945,1945,1736,1736,1813,1813,1704,1704,1884,1884,1933,1933
1905,1905,1937,1937,1909,1909,1885,1885,1920,1920,1848,1848,1878,1878,1892,1892
1842,1842,1908,1908,1906,1906,2057,2057,1860,1860,1826,1826,1904,1904,1751,1751
1868,1868,1858,1858,2003,2003,1999,1999,1947,1947,1988,1988,1902,1902,1722,1722
1893,1893,2114,2114,1938,1938,1809,1809,2046,2046,2006,2006,2112,2112,2090,2090
2096,2096,2132,2132,2226,2226,2140,2140,2133,2133,2046,2046,2132,2132,2036,2036
2493,2493,2425,2425,2461,2461,2526,2526,2518,2518,2473,2473,2482,2482,2525,2525
3618,3618,3617,3617,3622,3622,3623,3623,3623,3623,3616,3616,3622,3622,3622,3622
3495,3495,3494,3494,3493,3493,3498,3498,3494,3494,3493,3493,3493,3493,3492,3492
3273,3273,3276,3276,3274,3274,3282,3282,3272,3272,3273,3273,3273,3273,3275,3275
2169,2169,2130,2130,2160,2160,2262,2262,2214,2214,2290,2290,2196,2196,2166,2166
1984,1984,1913,1913,1904,1904,1866,1866,2075,2075,1961,1961,1761,1761,1849,1849
1914,1914,1886,1886,1656,1656,1841,1841,1828,1828,1926,1926,1796,1796,1888,1888
1883,1883,1898,1898,1804,1804,1880,1880,1741,1741,1951,1951,1767,1767,1813,1813
1836,1836,1884,1884,1975,1975,1952,1952,1799,1799,1965,1965,1856,1856,1867,1867
1866,1866,1892,1892,2000,2000,1892,1892,1912,1912,1971,1971,1944,1944,1922,1922
1782,1782,2007,2007,1813,1813,1833,1833,1862,1862,1864,1864,1832,1832,1940,1940
1577,1577,1991,1991,1933,1933,1865,1865,1992,1992,1814,1814,1625,1625,1879,1879
1671,1671,1860,1860,1902,1902,1997,1997,1927,1927,1879,1879,1839,1839,1821,1821
1762,1762,1894,1894,1924,1924,1852,1852,1887,1887,1800,1800,1776,1776,1740,1740
1900,1900,1901,1901,1813,1813,1885,1885,1865,1865,1815,1815,1742,1742,1934,1934
1814,1814,1940,1940,2037,2037,1954,1954,1878,1878,1776,1776,1945,1945,1856,1856
2174,2174,2096,2096,2100,2100,2182,2182,2122,2122,2226,2226,2140,2140,2142,2142
3270,3270,3272,3272,3271,3271,3274,3274,3271,3271,3270,3270,3270,3270,3270,3270
2909,2909,2912,2912,2900,2900,2911,2911,2897,2897,2897,2897,2901,2901,2902,2902
2686,2686,2699,2699,2699,2699,2703,2703,2698,2698,2659,2659,2683,2683,2691,2691
1920,1920,1861,1861,1966,1966,1889,1889,2015,2015,1979,1979,1803,1803,1825,1825
1841,1841,1720,1720,1864,1864,1848,1848,1926,1926,1940,1940,1799,1799,1774,1774
1868,1868,1790,1790,1724,1724,1794,1794,1918,1918,1942,1942,1839,1839,1918,1918
1912,1912,1897,1897,1661,1661,1875,1875,1826,1826,1888,1888,1881,1881,1705,1705
1967,1967,1907,1907,1718,1718,1910,1910,1874,1874,1854,1854,1981,1981,1823,1823
1973,1973,1881,1881,1820,1820,1869,1869,1885,1885,1812,1812,2001,2001,1898,1898
1746,1746,1777,1777,1823,1823,1895,1895,1926,1926,1713,1713,1744,1744,1852,1852
1725,1725,1847,1847,1854,1854,1911,1911,1925,1925,1632,1632,1553,1553,2017,2017
1710,1710,1785,1785,1969,1969,1936,1936,1883,1883,1833,1833,1825,1825,1971,1971
1768,1768,1847,1847,1825,1825,1714,1714,1871,1871,1737,1737,1831,1831,1877,1877
1865,1865,1781,1781,1907,1907,1821,1821,1967,1967,1858,1858,1686,1686,1825,1825
1982,1982,1899,1899,1819,1819,1829,1829,1924,1924,1864,1864,1637,1637,1824,1824
1957,1957,1973,1973,1947,1947,1853,1853,1925,1925,1903,1903,1912,1912,1828,1828
2678,2678,2673,2673,2659,2659,2686,2686,2662,2662,2649,2649,2685,2685,2663,2663
2867,2867,2876,2876,2753,2753,2823,2823,2782,2782,2824,2824,2791,2791,2758,2758
2633,2633,2665,2665,2531,2531,2623,2623,2575,2575,2604,2604,2565,2565,2524,2524
1973,1973,1868,1868,1900,1900,1974,1974,1899,1899,1971,1971,1909,1909,1846,1846
1895,1895,1933,1933,1918,1918,1714,1714,1848,1848,1941,1941,1865,1865,1874,1874
1771,1771,1928,1928,2049,2049,1845,1845,1858,1858,2009,2009,1904,1904,1949,1949
1857,1857,1667,1667,1933,1933,2000,2000,1966,1966,1959,1959,1879,1879,1834,1834
2024,2024,1809,1809,1889,1889,1956,1956,1840,1840,1886,1886,1972,1972,1747,1747
1906,1906,1760,1760,1774,1774,2022,2022,1888,1888,1879,1879,1966,1966,1823,1823
1816,1816,1628,1628,1908,1908,1899,1899,1999,1999,1810,1810,1645,1645,1858,1858
1777,1777,1902,1902,1963,1963,1696,1696,1990,1990,1679,1679,1765,1765,2012,2012
1845,1845,1781,1781,1949,1949,1868,1868,1839,1839,1885,1885,1899,1899,2029,2029
1822,1822,1867,1867,1823,1823,1836,1836,1924,1924,1964,1964,1942,1942,1967,1967
1831,1831,1971,1971,1899,1899,1870,1870,2026,2026,1989,1989,1799,1799,1983,1983
1883,1883,2061,2061,1998,1998,1826,1826,2058,2058,1909,1909,1896,1896,1836,1836
1915,1915,2113,2113,1984,1984,1794,1794,1978,1978,1918,1918,1865,1865,1683,1683
2647,2647,2647,2647,2566,2566,2592,2592,2601,2601,2606,2606,2570,2570,2512,2512
3171,3171,3135,3135,3155,3155,3182,3182,3169,3169,3128,3128,3146,3146,3153,3153
2952,2952,2912,2912,2932,2932,2954,2954,2954,2954,2913,2913,2926,2926,2924,2924
1811,1811,1998,1998,1985,1985,2061,2061,2122,2122,2066,2066,1957,1957,1942,1942
1888,1888,1861,1861,1887,1887,1717,1717,1874,1874,1982,1982,1902,1902,2019,2019
1856,1856,1823,1823,2061,2061,1906,1906,1837,1837,1878,1878,1913,1913,2021,2021
1830,1830,1955,1955,1917,1917,1842,1842,1913,1913,1834,1834,1843,1843,1770,1770
1893,1893,1853,1853,1825,1825,1958,1958,1879,1879,1854,1854,1822,1822,1870,1870
1875,1875,1945,1945,1858,1858,1928,1928,2025,2025,1800,1800,1904,1904,1917,1917
1921,1921,1836,1836,1971,1971,1956,1956,2029,2029,1753,1753,1891,1891,1806,1806
1783,1783,1943,1943,1885,1885,1921,1921,1964,1964,1955,1955,1945,1945,1936,1936
1889,1889,1878,1878,1880,1880,1947,1947,1893,1893,1965,1965,1903,1903,1977,1977
1839,1839,1901,1901,2004,2004,1811,1811,1873,1873,1915,1915,1975,1975,1932,1932
1887,1887,2037,2037,1954,1954,1953,1953,1986,1986,1876,1876,1906,1906,1891,1891
1928,1928,1995,1995,1957,1957,1797,1797,2086,2086,1960,1960,1943,1943,1827,1827
2007,2007,1953,1953,1981,1981,1980,1980,2051,2051,1897,1897,1992,1992,1990,1990
2953,2953,2914,2914,2938,2938,2956,2956,2934,2934,2888,2888,2912,2912,2925,2925
3328,3328,3276,3276,3277,3277,3308,3308,3253,3253,3257,3257,3286,3286,3283,3283
3108,3108,3042,3042,3038,3038,3074,3074,3040,3040,3043,3043,3065,3065,3056,3056
1977,1977,2006,2006,1919,1919,2090,2090,2144,2144,2059,2059,1932,1932,1993,1993
2041,2041,1945,1945,1873,1873,1838,1838,1865,1865,1860,1860,1966,1966,1992,1992
2070,2070,1712,1712,2038,2038,1990,1990,1766,1766,1875,1875,1878,1878,1951,1951
2044,2044,1932,1932,1976,1976,1876,1876,1930,1930,1838,1838,2052,2052,1843,1843
1975,1975,1918,1918,1886,1886,1999,1999,2023,2023,1783,1783,1984,1984,1952,1952
1974,1974,1998,1998,1956,1956,1949,1949,1986,1986,1771,1771,1656,1656,1999,1999
1931,1931,1916,1916,2089,2089,2011,2011,1984,1984,1810,1810,1885,1885,1877,1877
1729,1729,1965,1965,2016,2016,2045,2045,1929,1929,1989,1989,2035,2035,1852,1852
1923,1923,2008,2008,1946,1946,1960,1960,1898,1898,1876,1876,2057,2057,1923,1923
2003,2003,1939,1939,1941,1941,1917,1917,1763,1763,1900,1900,1972,1972,2042,2042
1957,1957,2002,2002,1725,1725,1825,1825,1761,1761,1827,1827,1901,1901,1974,1974
1978,1978,1923,1923,1842,1842,1928,1928,1938,1938,1927,1927,1917,1917,1845,1845
2003,2003,2051,2051,2066,2066,2070,2070,1975,1975,1920,1920,2035,2035,2048,2048
3107,3107,3053,3053,3068,3068,3085,3085,3036,3036,3035,3035,3058,3058,3063,3063
3247,3247,3201,3201,3222,3222,3219,3219,3236,3236,3239,3239,3233,3233,3243,3243
3033,3033,2958,2958,2997,2997,2988,2988,3003,3003,3008,3008,2999,2999,3029,3029
2088,2088,1948,1948,1983,1983,2114,2114,1961,1961,2137,2137,2028,2028,2186,2186
2101,2101,1985,1985,1875,1875,1991,1991,1842,1842,1990,1990,2010,2010,1960,1960
2145,2145,2052,2052,1661,1661,1876,1876,1851,1851,1975,1975,1903,1903,2003,2003
2109,2109,2018,2018,1931,1931,1890,1890,1902,1902,1876,1876,2063,2063,1882,1882
2023,2023,1957,1957,1871,1871,1957,1957,1890,1890,1854,1854,2013,2013,1939,1939
1984,1984,1994,1994,1847,1847,1976,1976,1972,1972,1881,1881,1927,1927,1945,1945
1711,1711,1893,1893,2075,2075,1889,1889,1952,1952,1893,1893,2018,2018,1810,1810
1847,1847,1981,1981,2060,2060,2012,2012,1975,1975,1957,1957,2033,2033,1893,1893
1879,1879,1974,1974,2036,2036,2050,2050,2019,2019,1967,1967,2092,2092,1963,1963
2031,2031,1903,1903,1842,1842,2007,2007,1957,1957,1817,1817,2037,2037,2019,2019
1998,1998,1964,1964,1907,1907,1830,1830,1960,1960,1936,1936,1924,1924,1940,1940
1847,1847,1933,1933,1731,1731,1929,1929,1740,1740,1888,1888,1842,1842,1977,1977
2006,2006,2072,2072,2086,2086,2087,2087,2047,2047,1994,1994,2097,2097,2095,2095
3029,3029,2991,2991,3008,3008,2997,2997,3021,3021,3016,3016,3011,3011,3028,3028
3108,3108,3118,3118,3100,3100,3114,3114,3118,3118,3107,3107,3106,3106,3129,3129
2886,2886,2899,2899,2876,2876,2891,2891,2889,2889,2878,2878,2868,2868,2912,2912
2053,2053,1976,1976,1949,1949,2086,2086,1899,1899,2081,2081,2031,2031,2154,2154
2107,2107,2009,2009,1663,1663,1930,1930,1852,1852,2031,2031,2046,2046,2052,2052
2087,2087,2018,2018,1973,1973,1905,1905,1770,1770,2078,2078,1986,1986,2070,2070
1952,1952,2051,2051,1940,1940,1894,1894,1839,1839,1934,1934,1937,1937,1944,1944
1955,1955,2030,2030,1772,1772,2071,2071,1927,1927,1880,1880,1883,1883,1900,1900
2045,2045,1804,1804,1812,1812,1991,1991,1881,1881,2047,2047,1989,1989,1860,1860
2023,2023,1852,1852,2058,2058,1838,1838,1945,1945,2022,2022,1920,1920,1948,1948
1869,1869,2058,2058,2118,2118,1908,1908,2045,2045,1909,1909,1993,1993,1866,1866
1889,1889,2017,2017,2011,2011,1830,1830,2153,2153,1996,1996,1943,1943,2019,2019
2021,2021,1989,1989,2007,2007,1930,1930,1896,1896,2007,2007,1991,1991,2043,2043
2094,2094,2002,2002,1876,1876,1919,1919,1966,1966,2047,2047,1968,1968,2008,2008
1951,1951,1972,1972,1916,1916,2094,2094,1837,1837,2058,2058,1954,1954,1964,1964
1934,1934,1902,1902,2125,2125,2159,2159,1936,1936,2035,2035,2133,2133,2106,2106
2886,2886,2894,2894,2885,2885,2895,2895,2895,2895,2886,2886,2882,2882,2908,2908
