data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3838,3835,3835,3835,3835,3848,3848,3843,3843,3835,3835,3843,3843,3837,3837,3841,3841
3623,3619,3619,3616,3616,3632,3632,3628,3628,3616,3616,3626,3626,3625,3625,3620,3620
2455,2485,2485,2489,2489,2562,2562,2549,2549,2485,2485,2486,2486,2552,2552,2518,2518
2183,2105,2105,2041,2041,2168,2168,2160,2160,2072,2072,2109,2109,2095,2095,2221,2221
1918,1940,1940,2076,2076,2003,2003,2064,2064,2096,2096,2161,2161,2060,2060,1991,1991
2004,2043,2043,2027,2027,2070,2070,1905,1905,2054,2054,2063,2063,1830,1830,1936,1936
1889,1981,1981,2010,2010,2135,2135,1900,1900,2081,2081,2033,2033,1985,1985,1978,1978
1859,2036,2036,2056,2056,1990,1990,1871,1871,1853,1853,1908,1908,1989,1989,1976,1976
1926,1878,1878,2050,2050,2016,2016,1768,1768,1939,1939,1792,1792,1901,1901,1859,1859
1967,1903,1903,2052,2052,2019,2019,1936,1936,2008,2008,1946,1946,1948,1948,1831,1831
2020,2045,2045,1946,1946,1960,1960,2077,2077,1978,1978,2045,2045,1990,1990,1968,1968
1883,2128,2128,2009,2009,1919,1919,2084,2084,2000,2000,2017,2017,2090,2090,1961,1961
1902,1942,1942,2012,2012,2202,2202,1939,1939,2134,2134,2040,2040,2085,2085,2009,2009
2209,2284,2284,2117,2117,2087,2087,2276,2276,2080,2080,2061,2061,2204,2204,2036,2036
2417,2457,2457,2464,2464,2517,2517,2369,2369,2549,2549,2545,2545,2479,2479,2589,2589
3607,3606,3606,3603,3603,3616,3616,3611,3611,3612,3612,3618,3618,3602,3602,3613,3613
3865,3864,3864,3862,3862,3870,3870,3868,3868,3865,3865,3871,3871,3865,3865,3864,3864
3645,3641,3641,3638,3638,3649,3649,3646,3646,3640,3640,3646,3646,3646,3646,3642,3642
2508,2511,2511,2514,2514,2552,2552,2543,2543,2516,2516,2524,2524,2542,2542,2457,2457
2185,2150,2150,2071,2071,2142,2142,2055,2055,2185,2185,2091,2091,2071,2071,2135,2135
1922,1942,1942,2018,2018,2007,2007,2032,2032,2059,2059,2121,2121,1936,1936,1887,1887
2008,2032,2032,2034,2034,1947,1947,1924,1924,2027,2027,2013,2013,1863,1863,1842,1842
1920,1922,1922,2004,2004,2000,2000,1965,1965,1897,1897,1986,1986,1872,1872,1979,1979
1712,1936,1936,1981,1981,1936,1936,1944,1944,1816,1816,1769,1769,1969,1969,1944,1944
1802,1748,1748,1968,1968,2001,2001,1880,1880,1825,1825,1853,1853,1845,1845,1809,1809
1889,1742,1742,2002,2002,2002,2002,1867,1867,1916,1916,1825,1825,1897,1897,1851,1851
1930,1936,1936,2028,2028,2034,2034,1994,1994,1939,1939,1883,1883,1974,1974,1899,1899
1871,1961,1961,1917,1917,1804,1804,2022,2022,1972,1972,1941,1941,2012,2012,1894,1894
1916,1930,1930,2065,2065,2159,2159,1923,1923,2023,2023,2114,2114,2033,2033,1894,1894
2178,2247,2247,2040,2040,2102,2102,2187,2187,2143,2143,2104,2104,2196,2196,2151,2151
2459,2476,2476,2513,2513,2520,2520,2435,2435,2563,2563,2546,2546,2503,2503,2520,2520
3636,3634,3634,3633,3633,3642,3642,3639,3639,3639,3639,3641,3641,3633,3633,3639,3639
3500,3499,3499,3498,3498,3504,3504,3503,3503,3502,3502,3503,3503,3502,3502,3500,3500
3278,3281,3281,3273,3273,3283,3283,3284,3284,3282,3282,3282,3282,3282,3282,3279,3279
2035,2167,2167,2039,2039,2209,2209,2233,2233,2156,2156,2204,2204,2157,2157,2139,2139
2049,1831,1831,1859,1859,1810,1810,1846,1846,1984,1984,1857,1857,1996,1996,1970,1970
1951,1884,1884,1945,1945,1859,1859,1878,1878,1939,1939,1851,1851,1926,1926,1806,1806
2016,1854,1854,2036,2036,1807,1807,1886,1886,1803,1803,1901,1901,2003,2003,1829,1829
1833,1902,1902,1955,1955,1872,1872,1852,1852,1654,1654,1873,1873,1880,1880,1912,1912
1855,1822,1822,2001,2001,1912,1912,1843,1843,1869,1869,1932,1932,1826,1826,1978,1978
1851,1789,1789,1834,1834,1948,1948,1902,1902,1854,1854,1817,1817,1672,1672,1869,1869
1924,1733,1733,1692,1692,1872,1872,1892,1892,1767,1767,1814,1814,1765,1765,1790,1790
1826,1859,1859,1769,1769,1920,1920,1948,1948,1831,1831,1862,1862,1810,1810,1656,1656
1850,1903,1903,1840,1840,1844,1844,1697,1697,1993,1993,1945,1945,1841,1841,1966,1966
1944,1739,1739,1962,1962,1949,1949,1807,1807,1892,1892,1876,1876,1666,1666,1899,1899
1829,1910,1910,1749,1749,2014,2014,1923,1923,1877,1877,1843,1843,1919,1919,1886,1886
2055,2126,2126,2248,2248,2072,2072,2078,2078,2251,2251,2180,2180,2011,2011,2164,2164
3272,3271,3271,3276,3276,3277,3277,3275,3275,3279,3279,3277,3277,3272,3272,3274,3274
2486,2410,2410,2472,2472,2499,2499,2471,2471,2453,2453,2504,2504,2471,2471,2447,2447
2269,2224,2224,2245,2245,2288,2288,2295,2295,2227,2227,2332,2332,2319,2319,2260,2260
1907,1709,1709,1881,1881,1746,1746,2032,2032,1896,1896,1975,1975,1802,1802,1932,1932
1993,1840,1840,1890,1890,1959,1959,1896,1896,1864,1864,1841,1841,1826,1826,1770,1770
1866,1725,1725,1922,1922,1974,1974,1636,1636,1851,1851,1755,1755,1903,1903,1803,1803
1823,1789,1789,1883,1883,1851,1851,1812,1812,1789,1789,1877,1877,1935,1935,1867,1867
1775,1789,1789,1915,1915,1885,1885,1838,1838,1902,1902,1909,1909,1677,1677,1954,1954
1894,1751,1751,1946,1946,1919,1919,1918,1918,1918,1918,1855,1855,1746,1746,1942,1942
1890,1868,1868,1833,1833,1720,1720,1875,1875,1961,1961,1806,1806,1757,1757,1942,1942
1858,1935,1935,1761,1761,1821,1821,1875,1875,1959,1959,1786,1786,1841,1841,1927,1927
1835,1894,1894,1699,1699,1815,1815,1976,1976,1893,1893,1710,1710,1899,1899,1697,1697
1951,1998,1998,1664,1664,1681,1681,1962,1962,1811,1811,1731,1731,1876,1876,1876,1876
1956,1875,1875,1784,1784,1687,1687,1921,1921,1901,1901,1849,1849,1752,1752,1822,1822
1852,1767,1767,1969,1969,1854,1854,1898,1898,1873,1873,1773,1773,1815,1815,1922,1922
1844,1821,1821,1940,1940,1891,1891,1776,1776,1881,1881,1758,1758,1895,1895,1741,1741
2256,2302,2302,2349,2349,2313,2313,2266,2266,2269,2269,2314,2314,2234,2234,2268,2268
2002,2069,2069,1959,1959,2061,2061,2091,2091,2026,2026,1967,1967,2066,2066,2003,2003
1895,1962,1962,1914,1914,1959,1959,2004,2004,1999,1999,1914,1914,1957,1957,1887,1887
1968,1820,1820,1817,1817,1786,1786,2035,2035,1966,1966,1955,1955,1986,1986,1812,1812
1936,1935,1935,1849,1849,1912,1912,1883,1883,2020,2020,1945,1945,1981,1981,1855,1855
1802,1924,1924,1670,1670,1943,1943,1927,1927,1941,1941,1842,1842,1896,1896,1999,1999
1717,1831,1831,1863,1863,1866,1866,1842,1842,1908,1908,1739,1739,2000,2000,2021,2021
1816,1845,1845,1873,1873,1862,1862,1829,1829,1866,1866,1889,1889,1784,1784,1984,1984
1863,1841,1841,1924,1924,1849,1849,1833,1833,1986,1986,1977,1977,1704,1704,1923,1923
1874,1890,1890,1781,1781,1871,1871,1765,1765,1994,1994,1939,1939,1858,1858,2025,2025
1926,1949,1949,1708,1708,1724,1724,1819,1819,2029,2029,1780,1780,1947,1947,2066,2066
1914,1881,1881,1895,1895,1836,1836,1819,1819,1982,1982,1739,1739,1839,1839,1918,1918
1943,1919,1919,1858,1858,1822,1822,1951,1951,1963,1963,1822,1822,1908,1908,1857,1857
1905,1941,1941,1795,1795,1728,1728,1832,1832,1846,1846,1777,1777,1940,1940,1787,1787
1850,1761,1761,1877,1877,1874,1874,1838,1838,1829,1829,1495,1495,1806,1806,1926,1926
1806,1718,1718,1652,1652,1958,1958,1923,1923,2012,2012,1796,1796,1913,1913,1805,1805
