data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3883,3881,3881,3882,3882,3883,3883,3881,3881,3881,3881,3883,3883,3877,3877,3884,3884
3662,3664,3664,3661,3661,3666,3666,3663,3663,3665,3665,3668,3668,3662,3662,3665,3665
2551,2576,2576,2520,2520,2535,2535,2603,2603,2530,2530,2605,2605,2536,2536,2563,2563
2146,2227,2227,2214,2214,2217,2217,2116,2116,2080,2080,2223,2223,2123,2123,2247,2247
1862,2023,2023,2125,2125,2001,2001,1980,1980,2160,2160,1897,1897,2195,2195,1979,1979
2091,1951,1951,1987,1987,1889,1889,2034,2034,1920,1920,1989,1989,2066,2066,1881,1881
2064,1932,1932,1994,1994,2108,2108,2056,2056,2039,2039,1843,1843,2074,2074,1974,1974
2056,2035,2035,1873,1873,1851,1851,2021,2021,1982,1982,1805,1805,1864,1864,2075,2075
1936,1977,1977,1823,1823,2053,2053,1787,1787,1988,1988,1790,1790,1873,1873,1787,1787
2081,2035,2035,1852,1852,2102,2102,1898,1898,1930,1930,1860,1860,1963,1963,1948,1948
2039,1872,1872,1999,1999,2028,2028,1842,1842,2082,2082,1892,1892,2088,2088,2087,2087
1930,2039,2039,2017,2017,1964,1964,2079,2079,2058,2058,1968,1968,2008,2008,2128,2128
1946,2003,2003,2073,2073,2123,2123,1999,1999,2104,2104,1988,1988,2097,2097,2156,2156
2187,2247,2247,2120,2120,2243,2243,2187,2187,2147,2147,2259,2259,2164,2164,2159,2159
2499,2511,2511,2557,2557,2388,2388,2578,2578,2512,2512,2479,2479,2514,2514,2573,2573
3654,3654,3654,3654,3654,3653,3653,3656,3656,3654,3654,3657,3657,3650,3650,3657,3657
3880,3882,3882,3881,3881,3884,3884,3881,3881,3883,3883,3883,3883,3880,3880,3884,3884
3660,3660,3660,3658,3658,3662,3662,3662,3662,3660,3660,3664,3664,3659,3659,3660,3660
2558,2558,2558,2521,2521,2524,2524,2561,2561,2508,2508,2602,2602,2508,2508,2509,2509
2099,2175,2175,2066,2066,2209,2209,2258,2258,2120,2120,2156,2156,2203,2203,2261,2261
1776,2140,2140,1938,1938,1908,1908,1967,1967,2140,2140,1868,1868,2139,2139,1854,1854
1928,1937,1937,1941,1941,1844,1844,1923,1923,1981,1981,2005,2005,1997,1997,1974,1974
1921,1950,1950,1961,1961,2043,2043,2044,2044,1941,1941,1831,1831,1973,1973,1913,1913
1951,1995,1995,1896,1896,1845,1845,1957,1957,2064,2064,1846,1846,1808,1808,1788,1788
1656,2026,2026,1943,1943,1842,1842,1828,1828,1960,1960,1730,1730,1878,1878,1806,1806
1936,1942,1942,1861,1861,1922,1922,1860,1860,1882,1882,1741,1741,1936,1936,1958,1958
1935,1892,1892,1939,1939,1911,1911,1668,1668,2001,2001,1782,1782,2038,2038,2088,2088
1765,2020,2020,1875,1875,1818,1818,2040,2040,1875,1875,1876,1876,1928,1928,2121,2121
1899,2026,2026,1937,1937,2069,2069,2005,2005,1964,1964,1981,1981,1957,1957,2104,2104
2138,2204,2204,2084,2084,2193,2193,2131,2131,2151,2151,2171,2171,2082,2082,2134,2134
2529,2531,2531,2560,2560,2463,2463,2556,2556,2517,2517,2472,2472,2540,2540,2558,2558
3651,3651,3651,3654,3654,3649,3649,3652,3652,3652,3652,3648,3648,3649,3649,3653,3653
3503,3504,3504,3502,3502,3504,3504,3500,3500,3503,3503,3502,3502,3499,3499,3501,3501
3280,3288,3288,3281,3281,3282,3282,3283,3283,3281,3281,3289,3289,3278,3278,3275,3275
2134,2238,2238,2225,2225,2207,2207,2149,2149,2136,2136,2278,2278,2081,2081,2030,2030
1898,1992,1992,1831,1831,1943,1943,2052,2052,1841,1841,1867,1867,1964,1964,1988,1988
1703,2002,2002,1902,1902,1964,1964,1860,1860,1974,1974,1737,1737,1962,1962,1882,1882
1707,1793,1793,1855,1855,1858,1858,1916,1916,1875,1875,1750,1750,1976,1976,1860,1860
1818,1880,1880,1935,1935,1758,1758,1988,1988,1930,1930,1789,1789,1821,1821,1855,1855
1825,1831,1831,1936,1936,1753,1753,1756,1756,1967,1967,1901,1901,1809,1809,1859,1859
1832,1994,1994,1844,1844,1686,1686,1724,1724,1874,1874,1835,1835,1794,1794,1978,1978
1814,1924,1924,1994,1994,1844,1844,1827,1827,1847,1847,1671,1671,1742,1742,1888,1888
1820,1818,1818,1936,1936,1911,1911,1854,1854,1905,1905,1902,1902,1915,1915,1840,1840
1894,1952,1952,1982,1982,1860,1860,1730,1730,1850,1850,1936,1936,1997,1997,1916,1916
1916,1980,1980,1960,1960,1764,1764,1813,1813,1886,1886,1868,1868,1799,1799,1962,1962
1917,1909,1909,2026,2026,1931,1931,1964,1964,2028,2028,1980,1980,1840,1840,1913,1913
2262,2209,2209,2179,2179,2056,2056,2196,2196,2155,2155,2065,2065,2260,2260,2218,2218
3280,3280,3280,3278,3278,3277,3277,3272,3272,3276,3276,3271,3271,3280,3280,3278,3278
2424,2517,2517,2423,2423,2495,2495,2424,2424,2478,2478,2470,2470,2469,2469,2330,2330
2192,2346,2346,2186,2186,2358,2358,2267,2267,2281,2281,2301,2301,2280,2280,2256,2256
1618,1802,1802,1912,1912,1892,1892,1829,1829,1768,1768,1894,1894,2050,2050,1830,1830
1738,1890,1890,1881,1881,2036,2036,1632,1632,1674,1674,1673,1673,1948,1948,1896,1896
1537,1903,1903,1875,1875,1929,1929,1693,1693,1864,1864,1650,1650,1954,1954,1952,1952
1630,1611,1611,1891,1891,1831,1831,1897,1897,1919,1919,1799,1799,1923,1923,1888,1888
1731,1887,1887,1954,1954,1792,1792,1984,1984,1940,1940,1776,1776,1967,1967,1777,1777
1716,1911,1911,1821,1821,1808,1808,1905,1905,1926,1926,1837,1837,1893,1893,1906,1906
1461,1958,1958,1813,1813,1867,1867,1813,1813,1709,1709,1976,1976,1832,1832,2019,2019
1667,1807,1807,1960,1960,1967,1967,1874,1874,1731,1731,1862,1862,1851,1851,1855,1855
1571,1869,1869,1936,1936,1939,1939,1827,1827,1896,1896,1885,1885,1944,1944,1795,1795
1629,1907,1907,1943,1943,1892,1892,1738,1738,1832,1832,1880,1880,1897,1897,1927,1927
1887,1913,1913,2029,2029,1910,1910,1749,1749,1921,1921,1707,1707,1633,1633,1854,1854
2017,1964,1964,1982,1982,1913,1913,1827,1827,2009,2009,1729,1729,1773,1773,1800,1800
2036,1898,1898,1996,1996,1886,1886,1934,1934,1792,1792,1824,1824,1845,1845,1893,1893
2239,2273,2273,2330,2330,2262,2262,2207,2207,2274,2274,2286,2286,2298,2298,2183,2183
2121,2072,2072,2105,2105,2109,2109,1963,1963,2091,2091,1886,1886,1981,1981,2139,2139
2029,1860,1860,2010,2010,1978,1978,1898,1898,1993,1993,1970,1970,2011,2011,2053,2053
1896,1904,1904,2008,2008,1932,1932,1857,1857,1801,1801,1964,1964,1981,1981,1822,1822
