data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3820,3824,3824,3824,3824,3828,3828,3823,3823,3826,3826,3829,3829,3820,3820,3821,3821
3607,3609,3609,3612,3612,3610,3610,3606,3606,3610,3610,3614,3614,3606,3606,3609,3609
2486,2508,2508,2517,2517,2535,2535,2481,2481,2422,2422,2515,2515,2411,2411,2510,2510
2088,2241,2241,2250,2250,2149,2149,2079,2079,2153,2153,2261,2261,2281,2281,2182,2182
2180,2103,2103,2014,2014,1986,1986,1980,1980,1943,1943,2086,2086,1885,1885,2023,2023
2036,2081,2081,2007,2007,2105,2105,2115,2115,2146,2146,2063,2063,1793,1793,1910,1910
1924,1957,1957,2037,2037,1888,1888,2108,2108,2056,2056,2058,2058,1903,1903,1987,1987
1879,2035,2035,2084,2084,1964,1964,2025,2025,2079,2079,1969,1969,1922,1922,1804,1804
1755,2049,2049,2097,2097,1921,1921,1913,1913,2074,2074,1982,1982,2010,2010,1918,1918
2074,1970,1970,1894,1894,1990,1990,2041,2041,1917,1917,2089,2089,2002,2002,2018,2018
2103,2003,2003,1931,1931,1999,1999,1994,1994,2051,2051,2057,2057,2026,2026,2000,2000
2164,1918,1918,1832,1832,2110,2110,1973,1973,1948,1948,1971,1971,2143,2143,1950,1950
2053,1928,1928,2026,2026,2001,2001,2006,2006,2030,2030,2067,2067,2072,2072,2061,2061
2146,2240,2240,2068,2068,2111,2111,2260,2260,2135,2135,2240,2240,2136,2136,2161,2161
2442,2484,2484,2541,2541,2459,2459,2473,2473,2469,2469,2483,2483,2458,2458,2424,2424
3599,3606,3606,3605,3605,3609,3609,3607,3607,3602,3602,3611,3611,3599,3599,3602,3602
3855,3852,3852,3855,3855,3855,3855,3853,3853,3852,3852,3857,3857,3850,3850,3852,3852
3634,3634,3634,3635,3635,3634,3634,3631,3631,3635,3635,3637,3637,3632,3632,3634,3634
2531,2477,2477,2547,2547,2534,2534,2496,2496,2458,2458,2539,2539,2453,2453,2537,2537
2043,2263,2263,2171,2171,2159,2159,2111,2111,2200,2200,2143,2143,2224,2224,1986,1986
2073,2042,2042,1947,1947,1817,1817,1904,1904,1969,1969,2063,2063,1851,1851,2044,2044
1870,2011,2011,1910,1910,2016,2016,2048,2048,2011,2011,1984,1984,1873,1873,2075,2075
1862,1922,1922,1921,1921,1840,1840,1911,1911,1989,1989,2039,2039,1821,1821,2050,2050
1792,1929,1929,2018,2018,1816,1816,1859,1859,2010,2010,1939,1939,1798,1798,1890,1890
1922,1953,1953,2093,2093,1838,1838,1878,1878,1997,1997,1905,1905,1959,1959,1880,1880
1958,1787,1787,1940,1940,1927,1927,2038,2038,1724,1724,1854,1854,1940,1940,1918,1918
2004,1877,1877,1884,1884,2049,2049,2058,2058,1877,1877,1922,1922,1926,1926,1859,1859
2071,2009,2009,1789,1789,1983,1983,2017,2017,1848,1848,1877,1877,2036,2036,1878,1878
2010,1979,1979,1836,1836,2028,2028,2184,2184,1962,1962,2032,2032,1969,1969,1939,1939
2149,2174,2174,2087,2087,2096,2096,2121,2121,2164,2164,2133,2133,2131,2131,2056,2056
2505,2477,2477,2506,2506,2518,2518,2492,2492,2455,2455,2526,2526,2469,2469,2493,2493
3621,3621,3621,3625,3625,3628,3628,3623,3623,3623,3623,3627,3627,3623,3623,3623,3623
3498,3495,3495,3498,3498,3498,3498,3494,3494,3495,3495,3500,3500,3494,3494,3498,3498
3280,3268,3268,3277,3277,3278,3278,3274,3274,3273,3273,3280,3280,3270,3270,3273,3273
2230,2018,2018,2240,2240,2101,2101,2142,2142,2119,2119,2215,2215,2071,2071,2195,2195
1975,1951,1951,1873,1873,1899,1899,1866,1866,2012,2012,1899,1899,1872,1872,1696,1696
1783,1663,1663,1895,1895,1739,1739,1776,1776,1818,1818,1872,1872,1734,1734,1985,1985
1906,1835,1835,1844,1844,1728,1728,1877,1877,1685,1685,1940,1940,1777,1777,2020,2020
1747,1861,1861,1744,1744,1877,1877,1894,1894,1774,1774,1910,1910,1765,1765,1907,1907
1768,1884,1884,1717,1717,1770,1770,1769,1769,1935,1935,1893,1893,1703,1703,1912,1912
1810,1891,1891,1814,1814,1591,1591,1713,1713,1933,1933,1762,1762,1827,1827,1819,1819
1853,1839,1839,1931,1931,1835,1835,1761,1761,1869,1869,1610,1610,1932,1932,1863,1863
1876,1876,1876,1777,1777,2043,2043,1827,1827,1773,1773,1748,1748,1902,1902,1663,1663
1814,1789,1789,1623,1623,1973,1973,1936,1936,1806,1806,1837,1837,1980,1980,1845,1845
1867,1808,1808,1641,1641,1872,1872,2055,2055,1824,1824,1947,1947,1777,1777,1864,1864
2023,2025,2025,1936,1936,1822,1822,1699,1699,1955,1955,2073,2073,1927,1927,1942,1942
2191,2136,2136,2120,2120,2224,2224,2137,2137,2022,2022,2255,2255,2112,2112,2194,2194
3275,3269,3269,3271,3271,3273,3273,3268,3268,3265,3265,3273,3273,3267,3267,3270,3270
2488,2422,2422,2485,2485,2502,2502,2510,2510,2484,2484,2435,2435,2510,2510,2508,2508
2299,2260,2260,2255,2255,2291,2291,2303,2303,2342,2342,2250,2250,2327,2327,2351,2351
1804,1944,1944,1879,1879,1939,1939,1798,1798,1900,1900,1789,1789,2023,2023,1889,1889
1754,1902,1902,1885,1885,2018,2018,1823,1823,1939,1939,1875,1875,1992,1992,1859,1859
1826,1860,1860,1910,1910,1878,1878,2000,2000,1833,1833,1804,1804,1859,1859,1904,1904
1783,1810,1810,1813,1813,1816,1816,1925,1925,1857,1857,1883,1883,1903,1903,1838,1838
1561,1787,1787,1844,1844,1818,1818,1912,1912,1860,1860,1891,1891,1983,1983,1917,1917
1609,1763,1763,1859,1859,1877,1877,1866,1866,1880,1880,1986,1986,1971,1971,1775,1775
1660,1717,1717,1819,1819,1753,1753,1832,1832,1867,1867,1835,1835,1965,1965,1715,1715
1733,1778,1778,1808,1808,1920,1920,1751,1751,1908,1908,1847,1847,1928,1928,1884,1884
1733,1640,1640,1795,1795,1839,1839,1751,1751,1880,1880,1832,1832,1993,1993,1747,1747
1647,1801,1801,1768,1768,1886,1886,1876,1876,1897,1897,1894,1894,1858,1858,1825,1825
