data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15
3618,3611,3611,3618,3618,3610,3610,3605,3605,3610,3610,3590,3590,3601,3601
3405,3389,3389,3405,3405,3397,3397,3393,3393,3398,3398,3370,3370,3395,3395
2380,2305,2305,2204,2204,2264,2264,2343,2343,2378,2378,2361,2361,2385,2385
1994,1960,1960,2158,2158,2059,2059,2096,2096,1956,1956,2135,2135,2160,2160
1831,2004,2004,1931,1931,1752,1752,2045,2045,1979,1979,2104,2104,2070,2070
2097,1922,1922,1901,1901,1968,1968,1920,1920,1821,1821,2132,2132,1994,1994
2029,1897,1897,1832,1832,2019,2019,1864,1864,1812,1812,1776,1776,1985,1985
1956,1866,1866,1967,1967,1876,1876,1833,1833,1834,1834,1959,1959,1989,1989
1900,2022,2022,2035,2035,1971,1971,1865,1865,1997,1997,2037,2037,2091,2091
1851,1964,1964,1978,1978,2094,2094,1941,1941,2081,2081,2004,2004,2013,2013
1932,2082,2082,1873,1873,2043,2043,1941,1941,2010,2010,2014,2014,1963,1963
1916,2087,2087,2031,2031,2065,2065,2079,2079,1941,1941,2075,2075,1976,1976
2139,2031,2031,2138,2138,1850,1850,1928,1928,2134,2134,1859,1859,2008,2008
2076,2163,2163,2189,2189,2091,2091,2038,2038,1904,1904,2116,2116,2061,2061
2290,2287,2287,2274,2274,2114,2114,2151,2151,2355,2355,2201,2201,2285,2285
3398,3386,3386,3394,3394,3378,3378,3377,3377,3389,3389,3361,3361,3377,3377
3529,3525,3525,3528,3528,3524,3524,3522,3522,3523,3523,3511,3511,3518,3518
3312,3302,3302,3310,3310,3305,3305,3307,3307,3304,3304,3286,3286,3306,3306
2296,2248,2248,2051,2051,2183,2183,2272,2272,2201,2201,2177,2177,2275,2275
1987,1920,1920,2024,2024,2078,2078,2002,2002,1932,1932,1994,1994,1996,1996
1660,1717,1717,1859,1859,1879,1879,1850,1850,1917,1917,1890,1890,1973,1973
2026,1919,1919,1823,1823,1906,1906,1925,1925,1946,1946,1996,1996,1968,1968
1973,1824,1824,1780,1780,1935,1935,1890,1890,1891,1891,1850,1850,1912,1912
1876,1790,1790,1939,1939,1876,1876,1836,1836,1813,1813,1997,1997,1943,1943
1794,1883,1883,1926,1926,1956,1956,1748,1748,1806,1806,1974,1974,2005,2005
1856,1927,1927,1817,1817,1997,1997,1890,1890,1939,1939,1834,1834,1926,1926
1825,2005,2005,1855,1855,1944,1944,1965,1965,1786,1786,1844,1844,1929,1929
1905,1925,1925,1900,1900,1877,1877,1940,1940,1619,1619,1945,1945,1887,1887
2010,1841,1841,2021,2021,1867,1867,1822,1822,1963,1963,1808,1808,1936,1936
1963,1895,1895,2129,2129,1974,1974,1886,1886,1915,1915,1960,1960,1929,1929
2129,2187,2187,2158,2158,2191,2191,2176,2176,2279,2279,2163,2163,2118,2118
