data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3850,3838,3838,3842,3842,3852,3852,3850,3850,3853,3853,3850,3850,3852,3852,3852,3852
3621,3616,3616,3617,3617,3626,3626,3625,3625,3625,3625,3626,3626,3629,3629,3630,3630
2443,2489,2489,2444,2444,2535,2535,2524,2524,2500,2500,2553,2553,2568,2568,2582,2582
2158,2211,2211,2150,2150,1994,1994,2059,2059,2087,2087,2007,2007,2121,2121,2151,2151
2156,2070,2070,1988,1988,2093,2093,2061,2061,2041,2041,2067,2067,2077,2077,2033,2033
2062,2070,2070,1996,1996,2096,2096,2127,2127,2027,2027,2070,2070,1994,1994,1975,1975
2038,1961,1961,1969,1969,2124,2124,1898,1898,1980,1980,1898,1898,1945,1945,2053,2053
1784,2043,2043,2036,2036,1825,1825,2009,2009,1902,1902,1930,1930,1963,1963,1998,1998
1899,1954,1954,2016,2016,1803,1803,1972,1972,2059,2059,2045,2045,1958,1958,1929,1929
1875,1947,1947,2055,2055,2020,2020,1940,1940,2134,2134,1898,1898,1990,1990,1897,1897
1992,1984,1984,2042,2042,1971,1971,2070,2070,2164,2164,2056,2056,1990,1990,2095,2095
1945,1839,1839,2030,2030,2056,2056,2002,2002,2170,2170,2029,2029,1907,1907,1974,1974
2059,2153,2153,2150,2150,1876,1876,2107,2107,2064,2064,2044,2044,2029,2029,1946,1946
2204,2203,2203,2077,2077,2105,2105,2104,2104,2206,2206,2193,2193,2122,2122,2142,2142
2545,2379,2379,2500,2500,2553,2553,2515,2515,2514,2514,2479,2479,2506,2506,2456,2456
3628,3611,3611,3618,3618,3631,3631,3625,3625,3629,3629,3627,3627,3624,3624,3622,3622
3855,3850,3850,3852,3852,3857,3857,3856,3856,3857,3857,3856,3856,3855,3855,3857,3857
3629,3625,3625,3625,3625,3630,3630,3633,3633,3632,3632,3631,3631,3631,3631,3632,3632
2491,2487,2487,2482,2482,2501,2501,2533,2533,2509,2509,2542,2542,2551,2551,2560,2560
2070,2158,2158,2078,2078,2059,2059,2102,2102,2033,2033,2063,2063,2056,2056,2087,2087
2050,1981,1981,1932,1932,2045,2045,2051,2051,1917,1917,2021,2021,2048,2048,1985,1985
1970,1823,1823,1930,1930,1949,1949,2054,2054,1952,1952,1829,1829,1820,1820,1966,1966
1937,1850,1850,1942,1942,2049,2049,1747,1747,1832,1832,1707,1707,1895,1895,1932,1932
1841,1785,1785,1810,1810,1782,1782,1851,1851,1892,1892,1878,1878,1891,1891,1968,1968
1787,1902,1902,1915,1915,1737,1737,1917,1917,1906,1906,1781,1781,1934,1934,1776,1776
1798,2012,2012,1950,1950,1729,1729,2001,2001,1805,1805,1740,1740,1852,1852,1878,1878
1875,1985,1985,1928,1928,1720,1720,1915,1915,1989,1989,1927,1927,1983,1983,2052,2052
1919,1863,1863,1977,1977,1878,1878,1876,1876,2017,2017,1927,1927,1854,1854,1993,1993
1882,2064,2064,1951,1951,1891,1891,1963,1963,1905,1905,2059,2059,1959,1959,1933,1933
2165,2151,2151,2014,2014,2159,2159,2201,2201,2158,2158,2133,2133,2122,2122,2105,2105
2542,2467,2467,2518,2518,2541,2541,2491,2491,2488,2488,2502,2502,2497,2497,2496,2496
3634,3623,3623,3626,3626,3632,3632,3631,3631,3632,3632,3632,3632,3629,3629,3631,3631
3484,3483,3483,3480,3480,3477,3477,3485,3485,3479,3479,3486,3486,3475,3475,3474,3474
3258,3259,3259,3262,3262,3254,3254,3265,3265,3259,3259,3266,3266,3251,3251,3256,3256
2160,2153,2153,2181,2181,2206,2206,2191,2191,2193,2193,2194,2194,2156,2156,2210,2210
1930,1850,1850,1881,1881,1666,1666,1997,1997,1820,1820,1822,1822,1883,1883,1816,1816
1865,1947,1947,1892,1892,1869,1869,1934,1934,1830,1830,1794,1794,1949,1949,1959,1959
1964,1949,1949,1864,1864,1874,1874,1776,1776,1795,1795,1830,1830,1674,1674,1815,1815
1932,1904,1904,1784,1784,2016,2016,1868,1868,1928,1928,1848,1848,1836,1836,1777,1777
1841,1651,1651,2041,2041,1881,1881,1961,1961,1972,1972,1836,1836,1959,1959,1756,1756
1890,1785,1785,1956,1956,1731,1731,1954,1954,1818,1818,1764,1764,1860,1860,1831,1831
1839,1822,1822,1770,1770,1885,1885,1787,1787,1865,1865,1724,1724,1848,1848,1906,1906
1675,1802,1802,1816,1816,1892,1892,1746,1746,1804,1804,1790,1790,1983,1983,1885,1885
1852,1650,1650,1965,1965,1892,1892,1828,1828,1785,1785,1879,1879,1888,1888,1850,1850
1898,1704,1704,1838,1838,2001,2001,1937,1937,1861,1861,2015,2015,1834,1834,1730,1730
1922,1854,1854,1774,1774,1881,1881,1969,1969,1928,1928,1945,1945,1811,1811,1916,1916
2210,2138,2138,2198,2198,2221,2221,2053,2053,2017,2017,2083,2083,2149,2149,2123,2123
3260,3256,3256,3253,3253,3252,3252,3258,3258,3253,3253,3258,3258,3251,3251,3250,3250
2469,2468,2468,2477,2477,2507,2507,2504,2504,2467,2467,2512,2512,2403,2403,2505,2505
2238,2245,2245,2269,2269,2325,2325,2338,2338,2297,2297,2366,2366,2312,2312,2328,2328
1860,1875,1875,1984,1984,1901,1901,1998,1998,1777,1777,1929,1929,1798,1798,2008,2008
1993,1857,1857,1935,1935,1784,1784,1947,1947,1853,1853,1970,1970,1771,1771,1903,1903
1973,1887,1887,1893,1893,1849,1849,2000,2000,1984,1984,1892,1892,1855,1855,1831,1831
1937,1956,1956,1930,1930,1928,1928,1890,1890,1857,1857,1854,1854,1801,1801,1894,1894
1748,1876,1876,1898,1898,1959,1959,1810,1810,1933,1933,1909,1909,1781,1781,1882,1882
1885,1928,1928,1996,1996,1818,1818,1958,1958,1958,1958,1993,1993,1923,1923,1907,1907
1906,1833,1833,1798,1798,1845,1845,2041,2041,1811,1811,1933,1933,1797,1797,1960,1960
1796,1879,1879,1650,1650,1954,1954,1943,1943,1826,1826,1929,1929,1870,1870,1749,1749
1787,1851,1851,1808,1808,1933,1933,1843,1843,1890,1890,1966,1966,1860,1860,1737,1737
1734,1860,1860,1901,1901,1875,1875,1790,1790,1974,1974,1855,1855,1870,1870,1853,1853
1830,1762,1762,1874,1874,1915,1915,1934,1934,1976,1976,1920,1920,1816,1816,1717,1717
1886,1703,1703,1882,1882,1848,1848,1779,1779,1879,1879,1981,1981,1780,1780,1663,1663
