data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3842,3837,3837,3841,3841,3837,3837,3838,3838,3836,3836,3835,3835,3832,3832,3831,3831
3620,3612,3612,3614,3614,3613,3613,3612,3612,3613,3613,3611,3611,3608,3608,3600,3600
2510,2460,2460,2508,2508,2467,2467,2500,2500,2507,2507,2546,2546,2542,2542,2433,2433
2177,2132,2132,2090,2090,2102,2102,2179,2179,2322,2322,2120,2120,2154,2154,2267,2267
1659,1959,1959,2139,2139,2029,2029,2120,2120,2025,2025,2076,2076,2006,2006,2052,2052
2061,1989,1989,2121,2121,2101,2101,2032,2032,2008,2008,2113,2113,1998,1998,1893,1893
1971,2071,2071,1949,1949,2080,2080,2124,2124,1996,1996,2019,2019,1931,1931,1865,1865
1937,1788,1788,1828,1828,1949,1949,2099,2099,2083,2083,1876,1876,1867,1867,2054,2054
1965,1935,1935,1827,1827,1938,1938,2055,2055,2148,2148,2050,2050,1953,1953,2081,2081
1962,1972,1972,1844,1844,2146,2146,1946,1946,2207,2207,2035,2035,1756,1756,1984,1984
1975,1955,1955,2032,2032,2049,2049,1986,1986,2170,2170,1985,1985,1909,1909,1852,1852
2068,2048,2048,1999,1999,1990,1990,2086,2086,1938,1938,1907,1907,1807,1807,1972,1972
2134,2239,2239,1998,1998,2186,2186,2106,2106,2022,2022,1912,1912,2084,2084,1973,1973
2013,2190,2190,2131,2131,2064,2064,2148,2148,2144,2144,2272,2272,2183,2183,2191,2191
2514,2445,2445,2489,2489,2559,2559,2512,2512,2487,2487,2522,2522,2511,2511,2501,2501
3614,3610,3610,3613,3613,3617,3617,3616,3616,3608,3608,3614,3614,3608,3608,3607,3607
3842,3840,3840,3843,3843,3840,3840,3841,3841,3840,3840,3839,3839,3837,3837,3834,3834
3613,3613,3613,3616,3616,3610,3610,3612,3612,3613,3613,3611,3611,3613,3613,3608,3608
2494,2451,2451,2518,2518,2460,2460,2492,2492,2485,2485,2536,2536,2531,2531,2473,2473
2143,2224,2224,2062,2062,2181,2181,2121,2121,2230,2230,1952,1952,1977,1977,2194,2194
1849,1954,1954,2009,2009,1983,1983,2061,2061,2039,2039,2098,2098,1968,1968,1914,1914
2072,2035,2035,1959,1959,2005,2005,1872,1872,2017,2017,2133,2133,1879,1879,1778,1778
1982,1997,1997,1887,1887,1961,1961,2096,2096,1838,1838,2035,2035,1852,1852,1779,1779
1913,1843,1843,1929,1929,1842,1842,2063,2063,1924,1924,1734,1734,2003,2003,1984,1984
1920,1940,1940,1892,1892,1908,1908,1930,1930,2063,2063,1908,1908,2003,2003,1972,1972
1747,1960,1960,1867,1867,2049,2049,1847,1847,2098,2098,1848,1848,1885,1885,1948,1948
1909,1889,1889,1919,1919,1998,1998,1845,1845,2091,2091,1861,1861,1900,1900,1685,1685
1883,2000,2000,1831,1831,2055,2055,1920,1920,1835,1835,1743,1743,1754,1754,2003,2003
2066,2029,2029,1967,1967,2036,2036,2085,2085,2030,2030,1900,1900,1963,1963,1962,1962
2070,2208,2208,2168,2168,2084,2084,2127,2127,2069,2069,2201,2201,2076,2076,2154,2154
2446,2438,2438,2481,2481,2524,2524,2487,2487,2502,2502,2518,2518,2493,2493,2508,2508
3620,3616,3616,3621,3621,3620,3620,3621,3621,3619,3619,3620,3620,3616,3616,3616,3616
3458,3460,3460,3463,3463,3456,3456,3461,3461,3461,3461,3458,3458,3458,3458,3461,3461
3238,3238,3238,3243,3243,3234,3234,3239,3239,3241,3241,3236,3236,3242,3242,3242,3242
2149,1994,1994,2173,2173,2160,2160,2131,2131,2175,2175,2106,2106,2197,2197,2067,2067
1978,2024,2024,1848,1848,1969,1969,1867,1867,1932,1932,1825,1825,1676,1676,1742,1742
1823,2012,2012,1832,1832,1927,1927,1891,1891,1937,1937,1859,1859,1861,1861,1829,1829
1864,1948,1948,1774,1774,1895,1895,1904,1904,1921,1921,1948,1948,1870,1870,1778,1778
1937,1833,1833,1843,1843,1857,1857,2030,2030,1929,1929,1849,1849,1824,1824,1776,1776
1816,1715,1715,1937,1937,1869,1869,2018,2018,1892,1892,1970,1970,1959,1959,1891,1891
