data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3920,3923,3923,3919,3919,3915,3915,3920,3920,3924,3924,3925,3925,3922,3922,3919,3919
3700,3703,3703,3701,3701,3693,3693,3705,3705,3700,3700,3704,3704,3704,3704,3701,3701
2575,2573,2573,2585,2585,2489,2489,2647,2647,2515,2515,2619,2619,2580,2580,2590,2590
2186,2203,2203,2168,2168,2300,2300,2077,2077,2270,2270,2172,2172,2265,2265,2165,2165
2120,2094,2094,2109,2109,1892,1892,2036,2036,1952,1952,2180,2180,2002,2002,2120,2120
2117,1915,1915,2164,2164,2090,2090,2010,2010,1929,1929,2016,2016,2013,2013,2023,2023
2164,2048,2048,2092,2092,1905,1905,1955,1955,1983,1983,2054,2054,2017,2017,1897,1897
2040,1742,1742,2036,2036,1919,1919,2026,2026,1925,1925,1771,1771,2107,2107,2113,2113
1914,1856,1856,1992,1992,1946,1946,1953,1953,2097,2097,1826,1826,2119,2119,2140,2140
1966,2057,2057,1881,1881,1969,1969,1906,1906,2060,2060,1905,1905,2111,2111,1970,1970
2061,2074,2074,1870,1870,2060,2060,1781,1781,2103,2103,1910,1910,2027,2027,1963,1963
1944,1992,1992,1940,1940,1995,1995,2001,2001,2024,2024,1966,1966,2061,2061,1956,1956
2112,2117,2117,2081,2081,2063,2063,1997,1997,1974,1974,2122,2122,2052,2052,2127,2127
2200,2089,2089,2262,2262,2227,2227,2277,2277,2207,2207,2254,2254,2076,2076,2279,2279
2594,2603,2603,2578,2578,2507,2507,2542,2542,2586,2586,2546,2546,2582,2582,2554,2554
3694,3699,3699,3694,3694,3690,3690,3695,3695,3698,3698,3699,3699,3697,3697,3695,3695
3930,3931,3931,3930,3930,3929,3929,3932,3932,3931,3931,3933,3933,3931,3931,3931,3931
3716,3718,3718,3717,3717,3713,3713,3718,3718,3715,3715,3719,3719,3715,3715,3714,3714
2586,2605,2605,2616,2616,2541,2541,2601,2601,2560,2560,2611,2611,2590,2590,2590,2590
2112,2183,2183,2171,2171,2324,2324,2215,2215,2233,2233,2157,2157,2204,2204,2134,2134
2132,2113,2113,1992,1992,1897,1897,2088,2088,1973,1973,1948,1948,1965,1965,1966,1966
2070,1912,1912,2005,2005,2088,2088,2009,2009,1936,1936,2004,2004,1921,1921,2007,2007
2011,1932,1932,1891,1891,1921,1921,1967,1967,1786,1786,2005,2005,1921,1921,1900,1900
2005,1625,1625,1966,1966,1895,1895,1882,1882,1827,1827,1806,1806,2036,2036,1988,1988
1919,1742,1742,1976,1976,1918,1918,1937,1937,1969,1969,1857,1857,1861,1861,1957,1957
1936,1847,1847,1819,1819,1980,1980,1693,1693,1901,1901,1944,1944,1996,1996,1734,1734
1911,1959,1959,1825,1825,1951,1951,1876,1876,1873,1873,1930,1930,1753,1753,1884,1884
1965,1961,1961,1932,1932,1851,1851,1966,1966,1747,1747,1883,1883,1822,1822,1821,1821
2053,2118,2118,2000,2000,2098,2098,2082,2082,1926,1926,2101,2101,2151,2151,2065,2065
2137,2143,2143,2286,2286,2250,2250,2226,2226,2203,2203,2214,2214,2094,2094,2268,2268
2604,2594,2594,2597,2597,2537,2537,2580,2580,2565,2565,2584,2584,2567,2567,2576,2576
3708,3709,3709,3707,3707,3703,3703,3707,3707,3707,3707,3710,3710,3706,3706,3705,3705
3555,3559,3559,3556,3556,3555,3555,3557,3557,3556,3556,3559,3559,3554,3554,3555,3555
3335,3342,3342,3338,3338,3334,3334,3336,3336,3337,3337,3339,3339,3332,3332,3333,3333
2204,2278,2278,2252,2252,2150,2150,2155,2155,2191,2191,2205,2205,2173,2173,2198,2198
1829,1863,1863,1816,1816,2012,2012,2060,2060,1898,1898,1816,1816,1844,1844,1941,1941
1820,1879,1879,1845,1845,1843,1843,1882,1882,1900,1900,1936,1936,1810,1810,1914,1914
1852,1816,1816,1914,1914,1920,1920,1823,1823,1875,1875,1825,1825,1896,1896,1690,1690
1979,1807,1807,1858,1858,1953,1953,1725,1725,1878,1878,1906,1906,1796,1796,1846,1846
1809,1786,1786,1872,1872,1865,1865,1713,1713,1879,1879,1826,1826,1878,1878,1780,1780
1882,1958,1958,1929,1929,1858,1858,1818,1818,1900,1900,1785,1785,1799,1799,1833,1833
1955,1921,1921,1866,1866,1832,1832,1840,1840,1890,1890,1935,1935,1893,1893,1776,1776
1776,1895,1895,1755,1755,1636,1636,1700,1700,1931,1931,1929,1929,1731,1731,1924,1924
