data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15
3879,3880,3880,3879,3879,3885,3885,3883,3883,3884,3884,3880,3880,3878,3878
3657,3662,3662,3660,3660,3665,3665,3661,3661,3666,3666,3665,3665,3665,3665
2534,2521,2521,2513,2513,2485,2485,2471,2471,2558,2558,2580,2580,2587,2587
2168,2169,2169,2197,2197,2215,2215,2216,2216,2172,2172,2197,2197,2245,2245
2120,2048,2048,2023,2023,2041,2041,2085,2085,2099,2099,2061,2061,1947,1947
2005,1765,1765,1983,1983,1942,1942,2095,2095,2002,2002,2016,2016,2097,2097
1991,1973,1973,2032,2032,2053,2053,2004,2004,1917,1917,1897,1897,2011,2011
2028,1886,1886,2113,2113,1994,1994,1920,1920,1906,1906,1930,1930,2024,2024
2006,1917,1917,1866,1866,2055,2055,1955,1955,2052,2052,1896,1896,1976,1976
1840,2087,2087,1933,1933,2083,2083,1920,1920,1988,1988,1940,1940,1893,1893
2047,1952,1952,1969,1969,1714,1714,1984,1984,1910,1910,1839,1839,2023,2023
2017,2048,2048,2055,2055,2126,2126,1963,1963,2110,2110,2108,2108,1811,1811
2008,2043,2043,2145,2145,2074,2074,1931,1931,2136,2136,2003,2003,1967,1967
2310,2106,2106,2023,2023,2149,2149,2073,2073,2158,2158,2255,2255,2157,2157
2521,2541,2541,2600,2600,2575,2575,2619,2619,2516,2516,2479,2479,2522,2522
3652,3652,3652,3654,3654,3656,3656,3654,3654,3655,3655,3654,3654,3647,3647
3878,3878,3878,3880,3880,3883,3883,3882,3882,3882,3882,3880,3880,3877,3877
3653,3655,3655,3656,3656,3660,3660,3657,3657,3662,3662,3660,3660,3660,3660
2534,2508,2508,2520,2520,2514,2514,2499,2499,2519,2519,2545,2545,2560,2560
2079,2218,2218,2136,2136,2057,2057,2142,2142,2178,2178,2211,2211,2221,2221
2024,1990,1990,1908,1908,1946,1946,1922,1922,2077,2077,1889,1889,1872,1872
1871,1755,1755,1724,1724,1941,1941,1933,1933,1918,1918,1905,1905,2064,2064
1881,2023,2023,1796,1796,1890,1890,1810,1810,1833,1833,1863,1863,1914,1914
1798,1880,1880,1929,1929,2052,2052,1856,1856,1867,1867,1766,1766,1781,1781
1815,1934,1934,1793,1793,1910,1910,1881,1881,1965,1965,1705,1705,1875,1875
1765,1968,1968,1860,1860,1977,1977,1949,1949,1909,1909,1895,1895,1926,1926
1961,1767,1767,2000,2000,1754,1754,2004,2004,1805,1805,1921,1921,1997,1997
1910,1940,1940,2036,2036,1978,1978,2047,2047,1984,1984,2081,2081,1897,1897
1876,1910,1910,1995,1995,1898,1898,1971,1971,1966,1966,1955,1955,2038,2038
2274,2112,2112,2075,2075,2219,2219,1993,1993,2209,2209,2193,2193,2175,2175
2498,2541,2541,2556,2556,2540,2540,2599,2599,2485,2485,2474,2474,2511,2511
3647,3649,3649,3651,3651,3654,3654,3654,3654,3652,3652,3650,3650,3648,3648
3494,3496,3496,3500,3500,3500,3500,3502,3502,3502,3502,3499,3499,3500,3500
3278,3276,3276,3282,3282,3283,3283,3278,3278,3280,3280,3281,3281,3281,3281
2222,2152,2152,2166,2166,2219,2219,2120,2120,2046,2046,2180,2180,2177,2177
1856,2040,2040,1838,1838,1818,1818,1825,1825,1956,1956,1813,1813,1973,1973
1837,1928,1928,1745,1745,1877,1877,1755,1755,1852,1852,1824,1824,1876,1876
1805,1872,1872,1721,1721,1772,1772,1834,1834,1818,1818,1904,1904,1922,1922
1867,1903,1903,1790,1790,1796,1796,1759,1759,1862,1862,1893,1893,1914,1914
1928,1789,1789,1817,1817,1765,1765,1818,1818,1870,1870,1763,1763,1870,1870
2011,1761,1761,1888,1888,1845,1845,1946,1946,1853,1853,1723,1723,1872,1872
1888,1784,1784,1946,1946,1920,1920,1780,1780,1896,1896,1817,1817,1936,1936
1808,1781,1781,1832,1832,1761,1761,1893,1893,1876,1876,1819,1819,1910,1910
1809,1861,1861,1880,1880,1907,1907,1996,1996,1769,1769,1777,1777,1867,1867
1874,1802,1802,1865,1865,1821,1821,1932,1932,1930,1930,1842,1842,1900,1900
2033,1804,1804,2012,2012,1823,1823,1797,1797,2004,2004,1871,1871,1965,1965
2071,2187,2187,2143,2143,2196,2196,2294,2294,2174,2174,2095,2095,2158,2158
3270,3270,3270,3274,3274,3276,3276,3282,3282,3279,3279,3273,3273,3274,3274
2389,2391,2391,2466,2466,2476,2476,2436,2436,2522,2522,2465,2465,2467,2467
2245,2195,2195,2230,2230,2280,2280,2221,2221,2307,2307,2202,2202,2286,2286
1831,1898,1898,1783,1783,1888,1888,1925,1925,1776,1776,1807,1807,1925,1925
1816,1894,1894,1917,1917,1801,1801,1835,1835,1864,1864,1883,1883,1873,1873
1898,1854,1854,1872,1872,1890,1890,1819,1819,1696,1696,2011,2011,1797,1797
1863,1933,1933,1815,1815,1881,1881,1953,1953,1817,1817,2027,2027,1929,1929
1912,1860,1860,1894,1894,1888,1888,1982,1982,1840,1840,1861,1861,1883,1883
1990,1918,1918,1693,1693,1829,1829,1878,1878,1895,1895,1824,1824,1935,1935
1836,1854,1854,1765,1765,1839,1839,1923,1923,1845,1845,1787,1787,1896,1896
1910,1765,1765,1934,1934,1874,1874,1791,1791,1945,1945,1753,1753,1969,1969
1718,1880,1880,1814,1814,1789,1789,1792,1792,1946,1946,1833,1833,1935,1935
1818,1823,1823,1912,1912,1904,1904,1888,1888,1825,1825,1822,1822,1785,1785
1950,1811,1811,1948,1948,1928,1928,1939,1939,1840,1840,1899,1899,1961,1961
1956,1837,1837,1898,1898,1979,1979,1869,1869,1964,1964,1842,1842,2005,2005
1884,1875,1875,1964,1964,1933,1933,2012,2012,1824,1824,1886,1886,1718,1718
2235,2232,2232,2272,2272,2264,2264,2349,2349,2325,2325,2308,2308,2291,2291
1975,1900,1900,2035,2035,1975,1975,1964,1964,2104,2104,2165,2165,1959,1959
1957,1740,1740,1917,1917,1996,1996,1968,1968,1944,1944,2052,2052,1896,1896
1812,1711,1711,1869,1869,1796,1796,2003,2003,1881,1881,1834,1834,1819,1819
1888,1806,1806,1929,1929,1763,1763,1889,1889,1853,1853,1821,1821,1805,1805
1923,1801,1801,1979,1979,1826,1826,1934,1934,1811,1811,2024,2024,1883,1883
1992,1892,1892,1844,1844,1904,1904,1928,1928,1817,1817,1996,1996,1835,1835
1973,1879,1879,1806,1806,1906,1906,1968,1968,1924,1924,1911,1911,1852,1852
2023,1844,1844,1754,1754,1940,1940,1954,1954,1946,1946,2076,2076,1833,1833
1816,1946,1946,1883,1883,1836,1836,1953,1953,1915,1915,1929,1929,1821,1821
1873,1845,1845,1870,1870,1812,1812,1995,1995,1868,1868,1720,1720,1917,1917
1790,1897,1897,1928,1928,1893,1893,1962,1962,2005,2005,1824,1824,2001,2001
2009,1794,1794,1997,1997,1959,1959,1827,1827,1929,1929,1853,1853,1859,1859
1965,1780,1780,1989,1989,1998,1998,1885,1885,1962,1962,1755,1755,1796,1796
1856,1849,1849,1911,1911,1909,1909,1685,1685,1921,1921,1883,1883,2005,2005
1833,1943,1943,1875,1875,1712,1712,1951,1951,1841,1841,1955,1955,1930,1930
1823,1894,1894,2017,2017,1919,1919,2047,2047,2010,2010,1959,1959,1983,1983
2095,1936,1936,2007,2007,2078,2078,2030,2030,1948,1948,1912,1912,2026,2026
2023,1883,1883,2002,2002,1864,1864,1911,1911,1910,1910,1902,1902,1909,1909
1812,1869,1869,1942,1942,1688,1688,2006,2006,1940,1940,1837,1837,1799,1799
1866,1938,1938,1773,1773,1862,1862,1953,1953,1970,1970,1901,1901,1937,1937
1856,1933,1933,1875,1875,1845,1845,1938,1938,1839,1839,1999,1999,1942,1942
1969,1967,1967,1846,1846,1934,1934,1896,1896,1900,1900,1951,1951,1852,1852
1963,1933,1933,1842,1842,1904,1904,1911,1911,1805,1805,1892,1892,1905,1905
1996,1855,1855,1651,1651,1873,1873,1767,1767,1877,1877,2001,2001,1959,1959
1891,1977,1977,1912,1912,1887,1887,1746,1746,1852,1852,1919,1919,2016,2016
