data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3823,3822,3822,3821,3821,3823,3823,3829,3829,3827,3827,3819,3819,3837,3837,3823,3823
3610,3604,3604,3606,3606,3602,3602,3615,3615,3614,3614,3604,3604,3623,3623,3613,3613
2487,2410,2410,2498,2498,2386,2386,2531,2531,2571,2571,2494,2494,2565,2565,2367,2367
2235,2212,2212,2104,2104,2224,2224,2054,2054,2169,2169,2064,2064,2023,2023,2232,2232
2116,2178,2178,2127,2127,1984,1984,2145,2145,1902,1902,2234,2234,2089,2089,1984,1984
1992,2078,2078,1962,1962,1756,1756,2000,2000,1955,1955,1896,1896,1852,1852,2112,2112
1991,1972,1972,1882,1882,2025,2025,2028,2028,2000,2000,1877,1877,1887,1887,1828,1828
2121,2106,2106,1986,1986,1857,1857,1873,1873,2017,2017,2058,2058,2050,2050,2000,2000
2132,2046,2046,1964,1964,1845,1845,1876,1876,2033,2033,1908,1908,2025,2025,1989,1989
2105,1993,1993,2037,2037,2077,2077,1916,1916,1970,1970,1991,1991,2092,2092,1938,1938
2073,1996,1996,2045,2045,2027,2027,1962,1962,1998,1998,2088,2088,2062,2062,1926,1926
2105,2151,2151,1990,1990,1838,1838,2093,2093,2157,2157,1984,1984,2137,2137,2055,2055
2138,1849,1849,2168,2168,2084,2084,2085,2085,2069,2069,2109,2109,2051,2051,2097,2097
2206,2155,2155,2062,2062,2210,2210,2165,2165,2139,2139,2176,2176,2104,2104,2167,2167
2441,2485,2485,2479,2479,2446,2446,2523,2523,2524,2524,2499,2499,2518,2518,2461,2461
3602,3604,3604,3601,3601,3601,3601,3609,3609,3609,3609,3601,3601,3616,3616,3603,3603
3849,3851,3851,3849,3849,3850,3850,3853,3853,3854,3854,3849,3849,3858,3858,3851,3851
3632,3630,3630,3629,3629,3627,3627,3634,3634,3635,3635,3630,3630,3638,3638,3634,3634
2501,2466,2466,2482,2482,2448,2448,2525,2525,2564,2564,2506,2506,2541,2541,2438,2438
2188,2151,2151,2055,2055,2155,2155,2117,2117,2188,2188,2125,2125,2056,2056,2141,2141
1972,2104,2104,1997,1997,1904,1904,2005,2005,1890,1890,2072,2072,1977,1977,2001,2001
1954,1963,1963,2037,2037,1894,1894,1709,1709,2030,2030,1905,1905,1882,1882,2046,2046
1971,1994,1994,1872,1872,1901,1901,1815,1815,1922,1922,2063,2063,1945,1945,1999,1999
1968,1918,1918,1870,1870,1836,1836,1828,1828,1859,1859,1893,1893,2045,2045,1976,1976
2027,1961,1961,1874,1874,1858,1858,1880,1880,1845,1845,1851,1851,2083,2083,1858,1858
2020,1910,1910,2108,2108,1894,1894,1938,1938,1813,1813,1798,1798,2036,2036,1967,1967
1839,1870,1870,2014,2014,2029,2029,1862,1862,1926,1926,1899,1899,2032,2032,1975,1975
1892,2147,2147,1968,1968,1901,1901,1947,1947,1986,1986,1959,1959,2016,2016,1916,1916
1888,1714,1714,2132,2132,1967,1967,1975,1975,1953,1953,2047,2047,2026,2026,1998,1998
2222,2202,2202,2081,2081,2175,2175,2158,2158,2144,2144,2065,2065,2172,2172,2193,2193
2496,2489,2489,2456,2456,2512,2512,2518,2518,2518,2518,2511,2511,2524,2524,2441,2441
3623,3621,3621,3620,3620,3623,3623,3626,3626,3626,3626,3621,3621,3629,3629,3621,3621
3494,3493,3493,3490,3490,3492,3492,3494,3494,3495,3495,3493,3493,3496,3496,3492,3492
3270,3273,3273,3268,3268,3269,3269,3273,3273,3279,3279,3273,3273,3274,3274,3273,3273
2170,2168,2168,2157,2157,2154,2154,2167,2167,2239,2239,2137,2137,2162,2162,2143,2143
1967,2013,2013,1901,1901,1830,1830,1882,1882,1884,1884,1993,1993,1898,1898,1816,1816
1827,1969,1969,1899,1899,1751,1751,1904,1904,1865,1865,1957,1957,1833,1833,1792,1792
1811,1994,1994,1863,1863,1825,1825,1880,1880,1962,1962,1956,1956,1740,1740,1802,1802
1930,1888,1888,1966,1966,1652,1652,1833,1833,1857,1857,1947,1947,1876,1876,1877,1877
2030,1965,1965,1991,1991,1846,1846,1845,1845,1820,1820,1838,1838,1865,1865,1906,1906
