data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3920,3921,3921,3921,3921,3921,3921,3921,3921,3919,3919,3923,3923,3919,3919,3925,3925
3701,3704,3704,3704,3704,3702,3702,3705,3705,3697,3697,3706,3706,3703,3703,3709,3709
2555,2628,2628,2588,2588,2593,2593,2591,2591,2504,2504,2579,2579,2587,2587,2599,2599
2198,2188,2188,2253,2253,2129,2129,2214,2214,2337,2337,2262,2262,2238,2238,2198,2198
2166,2119,2119,2174,2174,1953,1953,2139,2139,2045,2045,1917,1917,1975,1975,2075,2075
1877,2129,2129,2122,2122,2061,2061,1973,1973,1983,1983,2036,2036,1944,1944,2055,2055
2055,2017,2017,2164,2164,1982,1982,2009,2009,1957,1957,1965,1965,1941,1941,1993,1993
2025,2006,2006,2042,2042,1874,1874,2022,2022,1940,1940,1757,1757,2092,2092,2058,2058
2071,2029,2029,1987,1987,2046,2046,2070,2070,1999,1999,2023,2023,1999,1999,2044,2044
1954,1990,1990,2066,2066,1955,1955,1937,1937,2141,2141,1969,1969,2016,2016,2086,2086
2010,1876,1876,2065,2065,2040,2040,1727,1727,2039,2039,1939,1939,2011,2011,1988,1988
2063,1808,1808,2080,2080,2151,2151,1864,1864,2053,2053,2005,2005,2070,2070,2048,2048
2096,1930,1930,2145,2145,1992,1992,2116,2116,2122,2122,2071,2071,1942,1942,2029,2029
2272,2245,2245,2087,2087,2290,2290,2106,2106,2301,2301,2315,2315,2228,2228,2247,2247
2481,2520,2520,2622,2622,2562,2562,2604,2604,2523,2523,2544,2544,2573,2573,2555,2555
3693,3697,3697,3700,3700,3695,3695,3696,3696,3690,3690,3697,3697,3695,3695,3699,3699
3931,3931,3931,3933,3933,3930,3930,3931,3931,3930,3930,3931,3931,3931,3931,3932,3932
3713,3717,3717,3716,3716,3714,3714,3715,3715,3713,3713,3714,3714,3715,3715,3718,3718
2568,2607,2607,2581,2581,2587,2587,2579,2579,2540,2540,2592,2592,2600,2600,2617,2617
2096,2229,2229,2241,2241,2174,2174,2181,2181,2291,2291,2187,2187,2204,2204,2216,2216
2191,2020,2020,2139,2139,2063,2063,2052,2052,2004,2004,1918,1918,2050,2050,1965,1965
1910,2023,2023,2064,2064,2015,2015,2032,2032,1930,1930,2063,2063,1987,1987,1923,1923
1982,1841,1841,2105,2105,1847,1847,1863,1863,1996,1996,1936,1936,2049,2049,1914,1914
1934,1860,1860,1871,1871,1821,1821,1977,1977,1954,1954,1714,1714,1919,1919,2031,2031
1976,1916,1916,1870,1870,1808,1808,2134,2134,1930,1930,1985,1985,1898,1898,2053,2053
1931,1833,1833,1913,1913,1921,1921,2156,2156,1930,1930,1931,1931,1847,1847,1977,1977
1973,1841,1841,1945,1945,1951,1951,2083,2083,1877,1877,1851,1851,1994,1994,1919,1919
1971,1826,1826,1932,1932,2062,2062,1936,1936,1935,1935,1963,1963,1999,1999,1909,1909
1912,2082,2082,2185,2185,1996,1996,2096,2096,2024,2024,1972,1972,1868,1868,2053,2053
2293,2261,2261,2172,2172,2211,2211,2161,2161,2266,2266,2302,2302,2194,2194,2217,2217
2519,2562,2562,2610,2610,2564,2564,2595,2595,2556,2556,2545,2545,2577,2577,2561,2561
3703,3706,3706,3709,3709,3706,3706,3707,3707,3705,3705,3704,3704,3703,3703,3703,3703
3557,3555,3555,3556,3556,3550,3550,3558,3558,3553,3553,3553,3553,3555,3555,3554,3554
3335,3337,3337,3333,3333,3331,3331,3338,3338,3331,3331,3334,3334,3339,3339,3336,3336
2212,2238,2238,2195,2195,2196,2196,2147,2147,2127,2127,2266,2266,2256,2256,2222,2222
1985,1943,1943,1947,1947,1895,1895,1930,1930,1978,1978,1797,1797,1920,1920,1918,1918
1965,1856,1856,1886,1886,1911,1911,1839,1839,1900,1900,1823,1823,1901,1901,1788,1788
1871,1836,1836,1847,1847,1937,1937,1901,1901,2003,2003,1906,1906,1979,1979,1855,1855
1910,1797,1797,1849,1849,1917,1917,1786,1786,2001,2001,1789,1789,1934,1934,1947,1947
1937,1821,1821,1950,1950,1856,1856,1774,1774,1998,1998,1662,1662,1736,1736,1945,1945
1896,1886,1886,1770,1770,1899,1899,1966,1966,1862,1862,1861,1861,1837,1837,1840,1840
1852,1892,1892,1751,1751,1882,1882,2086,2086,1868,1868,1908,1908,1852,1852,1743,1743
1938,1985,1985,1807,1807,1786,1786,2010,2010,1919,1919,1943,1943,1812,1812,1850,1850
1896,1815,1815,1935,1935,1802,1802,1904,1904,1900,1900,1969,1969,2004,2004,1967,1967
1769,1896,1896,2095,2095,1829,1829,1891,1891,1770,1770,1769,1769,1974,1974,1763,1763
1936,1995,1995,1957,1957,1938,1938,1869,1869,1958,1958,2050,2050,1944,1944,1965,1965
2140,2149,2149,2205,2205,2249,2249,2214,2214,2191,2191,2134,2134,2257,2257,2168,2168
3322,3326,3326,3324,3324,3318,3318,3327,3327,3323,3323,3319,3319,3319,3319,3323,3323
2592,2613,2613,2602,2602,2619,2619,2604,2604,2604,2604,2585,2585,2644,2644,2583,2583
2325,2405,2405,2388,2388,2386,2386,2341,2341,2419,2419,2355,2355,2452,2452,2370,2370
2039,1886,1886,1775,1775,1883,1883,1956,1956,1854,1854,1753,1753,1750,1750,1924,1924
