data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3822,3816,3816,3821,3821,3817,3817,3825,3825,3828,3828,3823,3823,3821,3821,3819,3819
3607,3601,3601,3600,3600,3600,3600,3606,3606,3609,3609,3610,3610,3604,3604,3602,3602
2504,2496,2496,2401,2401,2419,2419,2476,2476,2509,2509,2500,2500,2493,2493,2444,2444
2213,2157,2157,2223,2223,2198,2198,2212,2212,2185,2185,2044,2044,2144,2144,2264,2264
1981,2086,2086,1981,1981,2110,2110,2062,2062,2053,2053,2160,2160,2026,2026,2013,2013
1963,2087,2087,2057,2057,2112,2112,2002,2002,1935,1935,1922,1922,2018,2018,1955,1955
1923,2117,2117,1976,1976,2000,2000,1817,1817,1750,1750,1845,1845,2047,2047,2106,2106
1942,2087,2087,1968,1968,1942,1942,1925,1925,1919,1919,1966,1966,1956,1956,2118,2118
2045,1949,1949,2054,2054,1895,1895,1902,1902,1907,1907,1804,1804,1893,1893,2063,2063
2043,1893,1893,2073,2073,1945,1945,2056,2056,1969,1969,1935,1935,1942,1942,1973,1973
1884,2048,2048,1892,1892,2041,2041,2069,2069,2160,2160,1943,1943,1840,1840,2008,2008
2121,2160,2160,2069,2069,2106,2106,2080,2080,2104,2104,2024,2024,1931,1931,2090,2090
1921,2202,2202,2020,2020,1998,1998,1823,1823,2124,2124,2093,2093,2200,2200,2164,2164
2130,2224,2224,2258,2258,2122,2122,2150,2150,2121,2121,2205,2205,2294,2294,2093,2093
2435,2492,2492,2447,2447,2515,2515,2508,2508,2479,2479,2414,2414,2528,2528,2501,2501
3598,3596,3596,3600,3600,3596,3596,3610,3610,3607,3607,3597,3597,3605,3605,3598,3598
3852,3848,3848,3850,3850,3847,3847,3853,3853,3853,3853,3853,3853,3851,3851,3850,3850
3634,3628,3628,3629,3629,3628,3628,3630,3630,3633,3633,3634,3634,3631,3631,3630,3630
2531,2510,2510,2453,2453,2475,2475,2487,2487,2516,2516,2534,2534,2529,2529,2459,2459
2102,2158,2158,2195,2195,2178,2178,2155,2155,2165,2165,1989,1989,2207,2207,2211,2211
1987,1975,1975,1931,1931,1909,1909,2020,2020,1957,1957,2104,2104,2021,2021,1986,1986
1986,2081,2081,1890,1890,1931,1931,1961,1961,1932,1932,1933,1933,1817,1817,1741,1741
1987,1912,1912,1759,1759,1885,1885,1885,1885,1754,1754,1978,1978,1943,1943,1860,1860
1918,1888,1888,1897,1897,1822,1822,1792,1792,1892,1892,1772,1772,1833,1833,2014,2014
2039,1827,1827,1983,1983,1923,1923,1843,1843,1850,1850,1778,1778,1891,1891,1890,1890
2067,1894,1894,1871,1871,1925,1925,1907,1907,1825,1825,1888,1888,1899,1899,1856,1856
1906,2069,2069,1843,1843,1837,1837,1921,1921,1918,1918,1898,1898,1978,1978,1883,1883
1997,2048,2048,1935,1935,2038,2038,1893,1893,1739,1739,1876,1876,1854,1854,1834,1834
1901,2159,2159,1884,1884,1905,1905,1924,1924,2063,2063,2004,2004,2175,2175,2064,2064
2095,2110,2110,2219,2219,2139,2139,2206,2206,2026,2026,2199,2199,2084,2084,2066,2066
2453,2541,2541,2505,2505,2509,2509,2540,2540,2537,2537,2419,2419,2531,2531,2532,2532
3620,3620,3620,3624,3624,3620,3620,3628,3628,3625,3625,3622,3622,3625,3625,3625,3625
3495,3489,3489,3495,3495,3494,3494,3496,3496,3497,3497,3496,3496,3496,3496,3498,3498
3276,3269,3269,3272,3272,3272,3272,3275,3275,3276,3276,3276,3276,3272,3272,3272,3272
2193,2181,2181,2157,2157,2159,2159,2188,2188,2118,2118,2203,2203,2161,2161,2047,2047
1743,1888,1888,1998,1998,1832,1832,1838,1838,2027,2027,1934,1934,1864,1864,1867,1867
1779,1967,1967,1830,1830,1866,1866,1885,1885,1807,1807,1954,1954,1911,1911,1834,1834
1836,1888,1888,1784,1784,1873,1873,1864,1864,1635,1635,1830,1830,1806,1806,1770,1770
1846,1847,1847,1908,1908,1673,1673,1855,1855,1778,1778,1892,1892,1917,1917,1866,1866
1815,1834,1834,1925,1925,1732,1732,1873,1873,1787,1787,1810,1810,1816,1816,1934,1934
1799,1797,1797,1878,1878,1974,1974,1859,1859,1770,1770,1868,1868,1665,1665,1906,1906
1931,1875,1875,1775,1775,1856,1856,1810,1810,1794,1794,1771,1771,1849,1849,1905,1905
1747,1912,1912,1700,1700,1795,1795,1892,1892,1752,1752,1858,1858,1939,1939,1932,1932
1789,1796,1796,1592,1592,1910,1910,1901,1901,1813,1813,1628,1628,1962,1962,1863,1863
1936,2003,2003,1670,1670,1888,1888,1769,1769,1885,1885,1726,1726,1919,1919,1580,1580
1845,1911,1911,1987,1987,2047,2047,1995,1995,1921,1921,1867,1867,1960,1960,1864,1864
2103,2187,2187,2188,2188,2133,2133,2106,2106,2210,2210,2089,2089,2129,2129,2207,2207
3262,3262,3262,3271,3271,3270,3270,3271,3271,3272,3272,3268,3268,3268,3268,3273,3273
2450,2473,2473,2485,2485,2475,2475,2484,2484,2434,2434,2511,2511,2443,2443,2458,2458
2248,2322,2322,2312,2312,2292,2292,2289,2289,2306,2306,2326,2326,2200,2200,2220,2220
1774,1999,1999,1659,1659,1916,1916,1907,1907,1946,1946,1740,1740,1793,1793,1797,1797
