data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3880,3882,3882,3886,3886,3883,3883,3887,3887,3886,3886,3882,3882,3882,3882,3889,3889
3663,3666,3666,3670,3670,3666,3666,3670,3670,3669,3669,3665,3665,3662,3662,3673,3673
2544,2549,2549,2599,2599,2537,2537,2603,2603,2543,2543,2566,2566,2505,2505,2549,2549
2107,2196,2196,2188,2188,2242,2242,2177,2177,2222,2222,2288,2288,2209,2209,2196,2196
2116,2114,2114,2067,2067,2035,2035,2116,2116,2133,2133,2083,2083,1991,1991,1939,1939
2023,2090,2090,2027,2027,2009,2009,2017,2017,2111,2111,1998,1998,2007,2007,1922,1922
2020,2081,2081,1914,1914,1962,1962,1848,1848,1973,1973,1949,1949,1983,1983,1936,1936
1979,1990,1990,2078,2078,1977,1977,1755,1755,1810,1810,1972,1972,1933,1933,1977,1977
2025,1927,1927,2114,2114,1985,1985,1883,1883,2057,2057,2089,2089,2015,2015,2106,2106
2064,1848,1848,2158,2158,2163,2163,1835,1835,2007,2007,2026,2026,1889,1889,2021,2021
1932,1926,1926,2056,2056,2072,2072,2076,2076,1972,1972,1976,1976,1940,1940,1742,1742
2058,1982,1982,2079,2079,2045,2045,2075,2075,1982,1982,2087,2087,2078,2078,1967,1967
2070,2116,2116,2112,2112,1978,1978,2212,2212,1968,1968,2007,2007,1905,1905,2103,2103
2268,2240,2240,2143,2143,2232,2232,2097,2097,2198,2198,2265,2265,2191,2191,2263,2263
2549,2548,2548,2526,2526,2533,2533,2610,2610,2578,2578,2473,2473,2581,2581,2445,2445
3654,3655,3655,3659,3659,3659,3659,3660,3660,3658,3658,3652,3652,3655,3655,3661,3661
3882,3885,3885,3887,3887,3885,3885,3885,3885,3885,3885,3882,3882,3882,3882,3887,3887
3662,3664,3664,3666,3666,3663,3663,3666,3666,3665,3665,3663,3663,3659,3659,3668,3668
2551,2556,2556,2565,2565,2525,2525,2544,2544,2533,2533,2539,2539,2515,2515,2536,2536
2055,2129,2129,2157,2157,2235,2235,2154,2154,2142,2142,2198,2198,2194,2194,2214,2214
2065,2069,2069,2078,2078,2078,2078,2058,2058,2077,2077,2006,2006,1919,1919,1972,1972
1920,2034,2034,2003,2003,1953,1953,2032,2032,2047,2047,1969,1969,1808,1808,1966,1966
1918,1981,1981,1849,1849,1928,1928,1856,1856,1856,1856,1926,1926,1713,1713,1767,1767
1888,1870,1870,1921,1921,1851,1851,1848,1848,1911,1911,2003,2003,1763,1763,1896,1896
1968,1567,1567,1964,1964,1984,1984,1903,1903,1910,1910,1960,1960,1919,1919,1968,1968
1916,1862,1862,1986,1986,2048,2048,1873,1873,1877,1877,1859,1859,1916,1916,1831,1831
1838,1994,1994,1947,1947,1953,1953,1915,1915,2016,2016,2011,2011,1869,1869,1870,1870
1831,1835,1835,1964,1964,1878,1878,1990,1990,1927,1927,2026,2026,2024,2024,1854,1854
1990,2011,2011,2065,2065,1952,1952,2096,2096,1936,1936,1918,1918,1804,1804,1989,1989
2209,2181,2181,2142,2142,2220,2220,2016,2016,2227,2227,2153,2153,2196,2196,2202,2202
2512,2539,2539,2495,2495,2537,2537,2587,2587,2547,2547,2496,2496,2569,2569,2456,2456
