data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3923,3921,3921,3919,3919,3919,3919,3923,3923,3913,3913,3915,3915,3919,3919,3920,3920
3702,3703,3703,3702,3702,3702,3702,3702,3702,3696,3696,3697,3697,3702,3702,3700,3700
2583,2558,2558,2583,2583,2586,2586,2520,2520,2596,2596,2557,2557,2586,2586,2571,2571
2036,2231,2231,2293,2293,2098,2098,2245,2245,2074,2074,2190,2190,2230,2230,2232,2232
2189,2148,2148,2071,2071,2133,2133,2012,2012,2085,2085,1885,1885,2023,2023,2115,2115
2008,2075,2075,1938,1938,2020,2020,2012,2012,2064,2064,1987,1987,2178,2178,1992,1992
2054,2081,2081,1959,1959,2068,2068,2074,2074,1982,1982,1960,1960,2038,2038,1946,1946
2075,2051,2051,2028,2028,2067,2067,2152,2152,1972,1972,1976,1976,2007,2007,1965,1965
2032,2071,2071,2060,2060,2012,2012,1938,1938,1949,1949,1979,1979,1991,1991,1960,1960
1968,2078,2078,1980,1980,1913,1913,2061,2061,1987,1987,1941,1941,2033,2033,2005,2005
1887,2036,2036,1815,1815,1964,1964,2029,2029,1932,1932,1765,1765,1931,1931,1954,1954
2044,1990,1990,2146,2146,1908,1908,2048,2048,2127,2127,1990,1990,1915,1915,2043,2043
2110,2047,2047,2017,2017,2017,2017,2174,2174,2009,2009,2018,2018,1966,1966,2119,2119
2128,2301,2301,2185,2185,2295,2295,2116,2116,2169,2169,2242,2242,2193,2193,2122,2122
2601,2554,2554,2602,2602,2515,2515,2639,2639,2453,2453,2569,2569,2604,2604,2603,2603
3697,3695,3695,3697,3697,3693,3693,3702,3702,3688,3688,3692,3692,3697,3697,3696,3696
3932,3929,3929,3932,3932,3929,3929,3932,3932,3927,3927,3927,3927,3934,3934,3929,3929
3715,3713,3713,3714,3714,3714,3714,3713,3713,3711,3711,3710,3710,3715,3715,3710,3710
2599,2579,2579,2590,2590,2583,2583,2553,2553,2570,2570,2589,2589,2588,2588,2573,2573
2093,2160,2160,2243,2243,2136,2136,2182,2182,2199,2199,2176,2176,2230,2230,2244,2244
2113,2137,2137,1977,1977,2055,2055,2049,2049,1985,1985,2029,2029,1949,1949,2119,2119
1979,1962,1962,2006,2006,1977,1977,1946,1946,2059,2059,1989,1989,2083,2083,1951,1951
1916,2057,2057,2023,2023,1948,1948,2019,2019,1913,1913,1865,1865,1982,1982,1943,1943
1992,1999,1999,2060,2060,1976,1976,1915,1915,1924,1924,1945,1945,1964,1964,1953,1953
1924,1992,1992,2059,2059,1831,1831,1903,1903,1897,1897,1938,1938,1950,1950,1901,1901
1780,1967,1967,1971,1971,1883,1883,2056,2056,1843,1843,1923,1923,1966,1966,2009,2009
1786,1962,1962,1849,1849,1835,1835,1894,1894,1852,1852,1708,1708,1979,1979,1946,1946
1968,2041,2041,2126,2126,1982,1982,2001,2001,1978,1978,2106,2106,1824,1824,2016,2016
1981,2056,2056,1930,1930,1949,1949,2065,2065,2006,2006,1935,1935,2040,2040,2110,2110
2119,2237,2237,2238,2238,2224,2224,2100,2100,2158,2158,2248,2248,2212,2212,2138,2138
2600,2562,2562,2586,2586,2578,2578,2603,2603,2540,2540,2564,2564,2573,2573,2602,2602
3705,3704,3704,3703,3703,3701,3701,3705,3705,3698,3698,3701,3701,3705,3705,3703,3703
3552,3553,3553,3555,3555,3553,3553,3554,3554,3550,3550,3551,3551,3556,3556,3550,3550
3335,3332,3332,3332,3332,3334,3334,3335,3335,3326,3326,3330,3330,3334,3334,3332,3332
2226,2203,2203,2205,2205,2192,2192,2181,2181,2110,2110,2243,2243,2199,2199,2192,2192
1902,2021,2021,1923,1923,2045,2045,1982,1982,1984,1984,1875,1875,1969,1969,1989,1989
