data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3843,3843,3846,3846,3847,3847,3844,3844,3840,3840,3845,3845,3850,3850,3839,3839,3843,3843
3618,3618,3625,3625,3625,3625,3619,3619,3616,3616,3620,3620,3624,3624,3614,3614,3624,3624
2459,2459,2570,2570,2555,2555,2521,2521,2354,2354,2509,2509,2504,2504,2527,2527,2561,2561
2181,2181,2165,2165,2124,2124,2266,2266,2307,2307,2032,2032,2225,2225,1906,1906,2025,2025
2093,2093,2075,2075,2046,2046,2017,2017,2047,2047,2192,2192,1979,1979,2001,2001,2074,2074
2009,2009,1855,1855,1875,1875,1905,1905,2137,2137,1897,1897,2034,2034,1908,1908,2071,2071
2039,2039,1905,1905,2034,2034,1914,1914,1893,1893,1935,1935,2011,2011,2092,2092,2006,2006
2060,2060,1994,1994,2061,2061,1997,1997,1868,1868,2012,2012,2124,2124,2061,2061,2040,2040
2010,2010,1979,1979,1885,1885,1944,1944,2019,2019,1925,1925,2039,2039,2058,2058,2016,2016
2055,2055,2026,2026,1653,1653,1884,1884,2012,2012,1879,1879,2098,2098,1887,1887,1812,1812
2069,2069,2077,2077,2054,2054,2054,2054,2082,2082,1743,1743,2057,2057,1886,1886,2037,2037
2053,2053,2042,2042,1968,1968,1976,1976,1935,1935,1986,1986,1917,1917,2000,2000,2002,2002
1957,1957,1845,1845,2059,2059,2083,2083,2054,2054,2070,2070,2046,2046,2024,2024,2146,2146
2169,2169,2147,2147,2123,2123,2171,2171,2094,2094,2124,2124,2239,2239,2140,2140,2136,2136
2499,2499,2482,2482,2507,2507,2507,2507,2500,2500,2582,2582,2534,2534,2506,2506,2520,2520
3630,3630,3632,3632,3632,3632,3628,3628,3625,3625,3634,3634,3636,3636,3622,3622,3629,3629
3855,3855,3856,3856,3855,3855,3852,3852,3850,3850,3852,3852,3855,3855,3849,3849,3850,3850
3637,3637,3639,3639,3637,3637,3633,3633,3632,3632,3631,3631,3636,3636,3629,3629,3633,3633
2486,2486,2532,2532,2565,2565,2476,2476,2440,2440,2486,2486,2513,2513,2481,2481,2546,2546
2039,2039,2121,2121,2147,2147,2243,2243,2210,2210,2120,2120,2200,2200,2158,2158,2084,2084
2034,2034,2012,2012,2063,2063,1944,1944,2073,2073,2128,2128,1901,1901,1959,1959,2052,2052
1991,1991,1473,1473,1882,1882,1870,1870,2103,2103,1796,1796,1848,1848,1905,1905,2065,2065
1970,1970,1875,1875,1960,1960,2019,2019,1838,1838,1974,1974,1902,1902,1964,1964,1888,1888
1985,1985,1962,1962,1905,1905,1833,1833,1877,1877,1981,1981,2006,2006,2046,2046,1920,1920
1938,1938,1960,1960,1732,1732,1968,1968,1938,1938,1952,1952,1986,1986,1953,1953,1850,1850
1949,1949,1910,1910,1862,1862,1963,1963,1814,1814,1801,1801,2006,2006,1942,1942,1886,1886
2003,2003,2056,2056,1933,1933,1985,1985,1959,1959,1759,1759,1962,1962,1909,1909,1992,1992
1946,1946,2022,2022,1963,1963,2069,2069,2021,2021,1894,1894,1822,1822,1921,1921,2015,2015
1938,1938,2014,2014,1950,1950,1960,1960,1964,1964,1972,1972,2079,2079,2070,2070,2110,2110
2155,2155,2123,2123,2158,2158,2203,2203,2191,2191,2129,2129,2219,2219,2127,2127,2177,2177
2497,2497,2486,2486,2519,2519,2487,2487,2468,2468,2512,2512,2529,2529,2515,2515,2506,2506
3635,3635,3637,3637,3635,3635,3628,3628,3627,3627,3632,3632,3636,3636,3628,3628,3629,3629
3481,3481,3483,3483,3480,3480,3468,3468,3471,3471,3472,3472,3478,3478,3472,3472,3471,3471
3255,3255,3256,3256,3251,3251,3240,3240,3241,3241,3240,3240,3250,3250,3240,3240,3238,3238
2118,2118,2196,2196,2042,2042,2097,2097,2086,2086,2052,2052,2191,2191,2098,2098,2193,2193
1929,1929,1894,1894,1980,1980,1939,1939,1950,1950,1974,1974,1948,1948,2078,2078,1999,1999
1871,1871,1865,1865,1948,1948,1755,1755,1690,1690,1926,1926,1809,1809,1923,1923,1950,1950
1825,1825,1665,1665,1723,1723,1875,1875,1774,1774,1796,1796,1844,1844,1974,1974,1942,1942
1839,1839,1813,1813,1736,1736,1945,1945,1782,1782,1889,1889,1859,1859,1946,1946,1751,1751
1676,1676,1987,1987,1810,1810,1843,1843,1949,1949,1877,1877,1887,1887,1776,1776,1885,1885
1766,1766,2017,2017,1702,1702,1967,1967,1850,1850,1914,1914,1954,1954,1959,1959,1926,1926
1851,1851,1991,1991,1863,1863,1997,1997,1740,1740,1826,1826,1849,1849,1827,1827,1920,1920
1879,1879,2006,2006,1895,1895,2032,2032,1766,1766,1818,1818,1861,1861,1773,1773,1780,1780
1731,1731,1973,1973,1878,1878,1987,1987,1782,1782,1811,1811,1782,1782,1749,1749,1888,1888
1912,1912,1907,1907,1898,1898,1821,1821,1948,1948,1754,1754,1842,1842,1844,1844,2064,2064
1873,1873,1867,1867,1949,1949,1943,1943,2011,2011,1950,1950,1990,1990,1895,1895,2078,2078
2159,2159,2167,2167,2127,2127,2080,2080,2034,2034,2118,2118,2099,2099,2143,2143,2079,2079
3256,3256,3256,3256,3256,3256,3236,3236,3242,3242,3245,3245,3248,3248,3245,3245,3244,3244
2748,2748,2700,2700,2765,2765,2743,2743,2757,2757,2763,2763,2662,2662,2737,2737,2731,2731
2541,2541,2534,2534,2518,2518,2486,2486,2553,2553,2588,2588,2437,2437,2513,2513,2532,2532
1933,1933,1883,1883,1899,1899,1760,1760,1848,1848,2042,2042,1828,1828,1863,1863,1949,1949
1860,1860,1791,1791,1753,1753,1817,1817,1726,1726,1952,1952,1903,1903,1818,1818,1903,1903
1840,1840,1874,1874,1904,1904,1868,1868,1609,1609,1938,1938,1701,1701,1830,1830,1988,1988
1889,1889,1932,1932,1891,1891,1892,1892,1785,1785,1864,1864,1745,1745,1886,1886,1890,1890
1958,1958,1965,1965,1800,1800,1749,1749,1813,1813,1971,1971,1769,1769,1883,1883,1783,1783
1820,1820,2038,2038,1808,1808,1798,1798,1955,1955,2046,2046,1814,1814,1928,1928,1971,1971
1681,1681,1995,1995,1844,1844,1938,1938,1884,1884,1941,1941,1871,1871,1969,1969,1908,1908
1770,1770,1959,1959,1844,1844,1976,1976,1793,1793,1880,1880,1860,1860,1879,1879,1799,1799
1734,1734,1938,1938,1629,1629,1845,1845,1768,1768,1907,1907,1851,1851,1773,1773,1810,1810
1799,1799,1899,1899,1750,1750,1818,1818,1739,1739,1965,1965,1904,1904,1662,1662,1919,1919
1761,1761,1858,1858,1847,1847,1924,1924,1785,1785,1911,1911,1733,1733,1921,1921,2025,2025
1797,1797,1818,1818,1919,1919,1908,1908,1975,1975,1803,1803,1891,1891,1875,1875,1921,1921
1775,1775,1857,1857,1804,1804,1938,1938,1980,1980,1850,1850,1817,1817,1806,1806,1826,1826
2502,2502,2548,2548,2559,2559,2571,2571,2562,2562,2540,2540,2481,2481,2534,2534,2476,2476
2669,2669,2656,2656,2681,2681,2685,2685,2682,2682,2695,2695,2666,2666,2642,2642,2679,2679
2470,2470,2474,2474,2457,2457,2434,2434,2453,2453,2531,2531,2443,2443,2439,2439,2450,2450
1891,1891,1947,1947,1835,1835,1602,1602,1822,1822,2010,2010,1945,1945,1889,1889,1896,1896
1833,1833,1822,1822,1834,1834,1789,1789,1677,1677,1960,1960,1922,1922,1770,1770,1900,1900
1841,1841,1868,1868,1896,1896,1839,1839,1818,1818,1936,1936,1877,1877,1769,1769,2040,2040
1950,1950,1716,1716,1899,1899,1792,1792,1866,1866,1811,1811,1972,1972,1763,1763,1883,1883
1994,1994,1963,1963,1853,1853,1852,1852,1979,1979,1942,1942,1875,1875,1919,1919,1816,1816
1860,1860,1965,1965,1742,1742,1918,1918,1984,1984,1934,1934,1850,1850,1944,1944,1894,1894
1805,1805,1967,1967,1846,1846,1940,1940,1866,1866,1845,1845,2021,2021,1920,1920,1940,1940
1879,1879,1957,1957,1782,1782,1940,1940,1800,1800,1819,1819,1865,1865,1833,1833,1811,1811
1872,1872,1788,1788,1767,1767,1880,1880,1841,1841,1869,1869,1826,1826,1715,1715,1873,1873
1811,1811,1847,1847,1692,1692,1814,1814,1887,1887,1878,1878,1919,1919,1804,1804,1929,1929
1554,1554,1857,1857,1811,1811,1661,1661,1904,1904,1753,1753,1835,1835,2014,2014,1887,1887
1944,1944,1918,1918,1855,1855,1884,1884,1824,1824,1908,1908,1805,1805,1941,1941,1749,1749
1795,1795,1898,1898,1917,1917,1861,1861,1987,1987,1908,1908,1880,1880,1581,1581,1874,1874
2410,2410,2393,2393,2397,2397,2471,2471,2470,2470,2462,2462,2456,2456,2394,2394,2472,2472
2217,2217,2278,2278,2307,2307,2187,2187,2074,2074,2263,2263,2256,2256,2229,2229,2135,2135
2012,2012,2144,2144,2114,2114,2060,2060,2052,2052,2178,2178,2067,2067,2147,2147,2046,2046
