data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16
3838,3838,3839,3839,3838,3838,3838,3838,3841,3841,3834,3834,3831,3831,3833,3833
3619,3619,3616,3616,3617,3617,3624,3624,3628,3628,3621,3621,3616,3616,3610,3610
2521,2521,2401,2401,2492,2492,2560,2560,2532,2532,2511,2511,2463,2463,2376,2376
2171,2171,2084,2084,2177,2177,2144,2144,2230,2230,2010,2010,2228,2228,2289,2289
2025,2025,1986,1986,2172,2172,1949,1949,2047,2047,2015,2015,2065,2065,1741,1741
2069,2069,2067,2067,2025,2025,2008,2008,2019,2019,1948,1948,2020,2020,1948,1948
1925,1925,1996,1996,1937,1937,1909,1909,2003,2003,2006,2006,1909,1909,1976,1976
1891,1891,1912,1912,2093,2093,1875,1875,1966,1966,1994,1994,1929,1929,1957,1957
2019,2019,1904,1904,2063,2063,1874,1874,1983,1983,1979,1979,1873,1873,1899,1899
1972,1972,1982,1982,2061,2061,1868,1868,1932,1932,2066,2066,1901,1901,2087,2087
1985,1985,2004,2004,2001,2001,1873,1873,2128,2128,1919,1919,2072,2072,1997,1997
1954,1954,1910,1910,2131,2131,2035,2035,1951,1951,1976,1976,1972,1972,2055,2055
1951,1951,2093,2093,2021,2021,2129,2129,1939,1939,2039,2039,2110,2110,2082,2082
2191,2191,2186,2186,2089,2089,2098,2098,2203,2203,2075,2075,2078,2078,2211,2211
2549,2549,2516,2516,2510,2510,2598,2598,2455,2455,2482,2482,2474,2474,2498,2498
3628,3628,3624,3624,3624,3624,3623,3623,3623,3623,3618,3618,3613,3613,3619,3619
3855,3855,3858,3858,3857,3857,3857,3857,3858,3858,3855,3855,3854,3854,3852,3852
3636,3636,3633,3633,3633,3633,3637,3637,3639,3639,3635,3635,3632,3632,3631,3631
2511,2511,2438,2438,2500,2500,2548,2548,2536,2536,2502,2502,2487,2487,2425,2425
2159,2159,2195,2195,2129,2129,2216,2216,2050,2050,2004,2004,2142,2142,2251,2251
1971,1971,1880,1880,2094,2094,1973,1973,1997,1997,2038,2038,2023,2023,1951,1951
2002,2002,1957,1957,1852,1852,1798,1798,1875,1875,1884,1884,1826,1826,1743,1743
1874,1874,1891,1891,1911,1911,1669,1669,1826,1826,1859,1859,1747,1747,1988,1988
1858,1858,1798,1798,1965,1965,1758,1758,1921,1921,1876,1876,1786,1786,2025,2025
1897,1897,1838,1838,1977,1977,1955,1955,2001,2001,1903,1903,1782,1782,1953,1953
1944,1944,1805,1805,1997,1997,1875,1875,1943,1943,1962,1962,1880,1880,1977,1977
1925,1925,1753,1753,1966,1966,1868,1868,1905,1905,1855,1855,1980,1980,1932,1932
1906,1906,1727,1727,2021,2021,1957,1957,1892,1892,1940,1940,1966,1966,1942,1942
1888,1888,2006,2006,1903,1903,1976,1976,1823,1823,2006,2006,1924,1924,2037,2037
2145,2145,2182,2182,2138,2138,2051,2051,2214,2214,2062,2062,2172,2172,2188,2188
2549,2549,2520,2520,2502,2502,2572,2572,2499,2499,2514,2514,2493,2493,2489,2489
3633,3633,3633,3633,3632,3632,3631,3631,3632,3632,3628,3628,3626,3626,3628,3628
3475,3475,3479,3479,3480,3480,3478,3478,3479,3479,3475,3475,3474,3474,3473,3473
3250,3250,3248,3248,3253,3253,3254,3254,3255,3255,3250,3250,3252,3252,3252,3252
2125,2125,2087,2087,2154,2154,2128,2128,2184,2184,2165,2165,2149,2149,2206,2206
1990,1990,1988,1988,1906,1906,1865,1865,1804,1804,1945,1945,1822,1822,1829,1829
1961,1961,1817,1817,1961,1961,1792,1792,1880,1880,1689,1689,1810,1810,1763,1763
1931,1931,1903,1903,1927,1927,1715,1715,1890,1890,1804,1804,1636,1636,1803,1803
1826,1826,1950,1950,1892,1892,1825,1825,1936,1936,1953,1953,1662,1662,1860,1860
1855,1855,1885,1885,1827,1827,1779,1779,1941,1941,1865,1865,1756,1756,1862,1862
1822,1822,1618,1618,1874,1874,1873,1873,1805,1805,1851,1851,1705,1705,1866,1866
1833,1833,1780,1780,1926,1926,1998,1998,1900,1900,1965,1965,1769,1769,1910,1910
1951,1951,1736,1736,1769,1769,1949,1949,1830,1830,1909,1909,1858,1858,1877,1877
1982,1982,1875,1875,1907,1907,1849,1849,1869,1869,1874,1874,1903,1903,1763,1763
1791,1791,1927,1927,1923,1923,1895,1895,1804,1804,1944,1944,1878,1878,1861,1861
1819,1819,2082,2082,1763,1763,1746,1746,2066,2066,1881,1881,1960,1960,1959,1959
2194,2194,2129,2129,2110,2110,2175,2175,2156,2156,2158,2158,2014,2014,2002,2002
3257,3257,3260,3260,3255,3255,3258,3258,3257,3257,3253,3253,3251,3251,3248,3248
2851,2851,2878,2878,2874,2874,2878,2878,2874,2874,2894,2894,2886,2886,2859,2859
2622,2622,2637,2637,2655,2655,2670,2670,2648,2648,2691,2691,2670,2670,2659,2659
