data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3642,3626,3626,3637,3637,3644,3644,3622,3622,3634,3634,3647,3647,3622,3622,3648,3648
3437,3412,3412,3416,3416,3427,3427,3416,3416,3417,3417,3438,3438,3413,3413,3425,3425
2468,2257,2257,2396,2396,2372,2372,2420,2420,2329,2329,2364,2364,2359,2359,2319,2319
2002,2212,2212,2107,2107,2058,2058,2172,2172,2129,2129,2120,2120,2163,2163,2179,2179
2042,2099,2099,1954,1954,2060,2060,2050,2050,2103,2103,1888,1888,2096,2096,2065,2065
1903,1916,1916,1864,1864,1928,1928,1910,1910,2086,2086,1914,1914,2135,2135,2003,2003
2029,1873,1873,1983,1983,2065,2065,1995,1995,2015,2015,1963,1963,2020,2020,1964,1964
1943,1942,1942,2080,2080,2058,2058,2039,2039,1949,1949,1930,1930,2061,2061,1991,1991
2062,1948,1948,2092,2092,1980,1980,2074,2074,2033,2033,2022,2022,1960,1960,1803,1803
2107,2014,2014,1988,1988,2014,2014,2030,2030,2056,2056,2045,2045,1950,1950,2018,2018
2048,1959,1959,2048,2048,2111,2111,2089,2089,1922,1922,1841,1841,1973,1973,2062,2062
2088,1977,1977,2028,2028,2048,2048,2027,2027,1978,1978,1818,1818,2034,2034,2018,2018
2019,1964,1964,1976,1976,2028,2028,2068,2068,1988,1988,1991,1991,1965,1965,2118,2118
2114,2213,2213,2142,2142,2105,2105,2055,2055,2009,2009,2101,2101,2225,2225,2153,2153
2357,2429,2429,2404,2404,2432,2432,2375,2375,2298,2298,2475,2475,2404,2404,2389,2389
3414,3393,3393,3417,3417,3428,3428,3393,3393,3405,3405,3423,3423,3381,3381,3419,3419
3756,3750,3750,3751,3751,3755,3755,3752,3752,3751,3751,3755,3755,3752,3752,3756,3756
3542,3530,3530,3530,3530,3535,3535,3534,3534,3531,3531,3539,3539,3534,3534,3536,3536
2487,2385,2385,2440,2440,2378,2378,2438,2438,2364,2364,2452,2452,2418,2418,2391,2391
2104,2160,2160,2060,2060,2193,2193,2070,2070,2157,2157,2081,2081,2181,2181,2167,2167
1929,1893,1893,2036,2036,2008,2008,1938,1938,1961,1961,1902,1902,2025,2025,2020,2020
1975,1841,1841,1848,1848,2070,2070,1806,1806,1978,1978,1673,1673,1975,1975,1867,1867
1943,1890,1890,1890,1890,1992,1992,1884,1884,2007,2007,1810,1810,1965,1965,1923,1923
1803,1835,1835,1796,1796,1969,1969,2040,2040,1960,1960,1962,1962,2031,2031,1967,1967
1994,1973,1973,2033,2033,1909,1909,2026,2026,1966,1966,1974,1974,1966,1966,1719,1719
1986,1923,1923,1943,1943,1869,1869,1945,1945,1889,1889,1904,1904,1953,1953,1852,1852
1906,1838,1838,2030,2030,1974,1974,1988,1988,1892,1892,1885,1885,1868,1868,1938,1938
1984,1921,1921,1795,1795,1931,1931,1958,1958,1888,1888,1815,1815,1984,1984,2007,2007
1905,1921,1921,1823,1823,1924,1924,1932,1932,1904,1904,1931,1931,1959,1959,2037,2037
2048,2019,2019,2110,2110,2165,2165,2033,2033,2101,2101,2143,2143,2176,2176,2098,2098
2442,2458,2458,2462,2462,2423,2423,2372,2372,2386,2386,2442,2442,2345,2345,2452,2452
3532,3529,3529,3528,3528,3531,3531,3527,3527,3526,3526,3532,3532,3524,3524,3531,3531
3439,3441,3441,3441,3441,3438,3438,3440,3440,3438,3438,3442,3442,3442,3442,3442,3442
3222,3217,3217,3218,3218,3220,3220,3218,3218,3218,3218,3223,3223,3219,3219,3221,3221
2159,2097,2097,2167,2167,2012,2012,2122,2122,1990,1990,2210,2210,2078,2078,2082,2082
1904,1937,1937,1735,1735,1968,1968,1906,1906,2022,2022,1872,1872,1963,1963,1884,1884
1821,1795,1795,1858,1858,1980,1980,1659,1659,1883,1883,1945,1945,1851,1851,1904,1904
1897,1740,1740,1866,1866,1924,1924,1696,1696,1870,1870,1950,1950,1821,1821,1868,1868
