data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3830,3839,3839,3828,3828,3839,3839,3836,3836,3832,3832,3837,3837,3828,3828,3826,3826
3610,3621,3621,3606,3606,3624,3624,3613,3613,3614,3614,3618,3618,3610,3610,3609,3609
2477,2527,2527,2393,2393,2608,2608,2436,2436,2474,2474,2513,2513,2498,2498,2390,2390
2210,2217,2217,2161,2161,2019,2019,2191,2191,2128,2128,2141,2141,2233,2233,2205,2205
2112,1815,1815,2167,2167,2101,2101,2014,2014,2053,2053,1919,1919,2023,2023,1885,1885
1893,1963,1963,2014,2014,2121,2121,1999,1999,2041,2041,2089,2089,2000,2000,2053,2053
1921,1974,1974,1982,1982,2164,2164,2045,2045,1929,1929,1994,1994,2014,2014,1838,1838
1976,2063,2063,1959,1959,2069,2069,2026,2026,1914,1914,1856,1856,2009,2009,1816,1816
1805,2103,2103,1896,1896,2050,2050,1968,1968,1921,1921,1823,1823,1948,1948,1970,1970
1978,2102,2102,1796,1796,1982,1982,2008,2008,2001,2001,2066,2066,1959,1959,2006,2006
2098,2027,2027,1995,1995,1921,1921,1998,1998,1969,1969,2147,2147,2076,2076,2096,2096
2120,1984,1984,2102,2102,1936,1936,1995,1995,2039,2039,2162,2162,2001,2001,1948,1948
2048,2164,2164,2061,2061,2140,2140,2039,2039,2047,2047,1995,1995,2145,2145,1989,1989
2173,2147,2147,1984,1984,2143,2143,2263,2263,2162,2162,2230,2230,2225,2225,2257,2257
2500,2566,2566,2575,2575,2510,2510,2461,2461,2506,2506,2463,2463,2505,2505,2523,2523
3615,3624,3624,3609,3609,3623,3623,3617,3617,3611,3611,3616,3616,3607,3607,3609,3609
3856,3861,3861,3855,3855,3860,3860,3860,3860,3858,3858,3859,3859,3856,3856,3855,3855
3635,3642,3642,3635,3635,3642,3642,3639,3639,3637,3637,3638,3638,3638,3638,3634,3634
2468,2550,2550,2502,2502,2599,2599,2474,2474,2503,2503,2527,2527,2536,2536,2456,2456
2223,2196,2196,2055,2055,1933,1933,2212,2212,1992,1992,2179,2179,2161,2161,2183,2183
2026,1984,1984,2143,2143,2126,2126,2030,2030,2058,2058,1902,1902,1919,1919,1907,1907
1740,1898,1898,1921,1921,1914,1914,1893,1893,1801,1801,2067,2067,1938,1938,1890,1890
1962,1963,1963,2070,2070,2040,2040,1989,1989,1854,1854,1924,1924,1996,1996,1718,1718
1964,1969,1969,2010,2010,2052,2052,1933,1933,1895,1895,1781,1781,1848,1848,1809,1809
1940,2032,2032,1915,1915,2068,2068,1804,1804,1890,1890,1731,1731,1893,1893,1874,1874
