data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3882,3884,3884,3876,3876,3878,3878,3882,3882,3881,3881,3875,3875,3882,3882,3882,3882
3662,3662,3662,3656,3656,3659,3659,3664,3664,3659,3659,3655,3655,3665,3665,3663,3663
2537,2567,2567,2479,2479,2515,2515,2637,2637,2496,2496,2493,2493,2568,2568,2568,2568
2252,2021,2021,2254,2254,2271,2271,2106,2106,2315,2315,2213,2213,2271,2271,2117,2117
2198,1936,1936,2129,2129,1952,1952,2238,2238,2025,2025,1957,1957,2051,2051,1996,1996
1905,2017,2017,2099,2099,2007,2007,1951,1951,2032,2032,1893,1893,1854,1854,2060,2060
1971,1895,1895,1934,1934,1947,1947,2035,2035,1937,1937,2043,2043,1902,1902,1931,1931
1927,1960,1960,1930,1930,1906,1906,1958,1958,1872,1872,1835,1835,1971,1971,1963,1963
2075,1911,1911,1977,1977,1921,1921,1928,1928,1909,1909,1939,1939,1967,1967,2067,2067
2021,1886,1886,1866,1866,2073,2073,1930,1930,1890,1890,1940,1940,1966,1966,2074,2074
2037,1934,1934,2000,2000,1964,1964,1834,1834,1907,1907,2031,2031,2080,2080,2060,2060
2082,1880,1880,1985,1985,2048,2048,1961,1961,2023,2023,2060,2060,2153,2153,2085,2085
2063,2105,2105,1922,1922,2014,2014,1796,1796,2023,2023,1788,1788,1948,1948,2092,2092
2260,2259,2259,2214,2214,2164,2164,2254,2254,2205,2205,2201,2201,2252,2252,2249,2249
2517,2513,2513,2487,2487,2510,2510,2501,2501,2559,2559,2545,2545,2515,2515,2514,2514
3654,3655,3655,3650,3650,3649,3649,3651,3651,3654,3654,3650,3650,3658,3658,3656,3656
3879,3880,3880,3877,3877,3876,3876,3879,3879,3880,3880,3874,3874,3880,3880,3882,3882
3656,3655,3655,3652,3652,3651,3651,3659,3659,3654,3654,3651,3651,3659,3659,3660,3660
2521,2541,2541,2472,2472,2496,2496,2585,2585,2516,2516,2497,2497,2554,2554,2529,2529
2164,2129,2129,2231,2231,2214,2214,2012,2012,2284,2284,2255,2255,2169,2169,2135,2135
2064,1922,1922,2019,2019,1981,1981,2053,2053,1921,1921,1938,1938,2060,2060,2028,2028
1982,1991,1991,1990,1990,1824,1824,1966,1966,1976,1976,1858,1858,1870,1870,1997,1997
1988,1957,1957,1836,1836,1864,1864,2016,2016,1931,1931,1975,1975,1812,1812,1829,1829
1921,1818,1818,1868,1868,1874,1874,1889,1889,1895,1895,1853,1853,1720,1720,1882,1882
2011,1928,1928,1857,1857,1927,1927,1944,1944,1988,1988,1707,1707,1934,1934,1957,1957
1990,1945,1945,1833,1833,2011,2011,1895,1895,1853,1853,1858,1858,2024,2024,2107,2107
1958,1973,1973,1958,1958,1898,1898,1859,1859,1838,1838,1956,1956,1969,1969,1980,1980
2031,1867,1867,1864,1864,1987,1987,1794,1794,1887,1887,1945,1945,2039,2039,1899,1899
2014,2043,2043,1960,1960,2020,2020,1943,1943,1932,1932,1939,1939,2014,2014,1995,1995
2197,2196,2196,2233,2233,2126,2126,2192,2192,2160,2160,2111,2111,2229,2229,2211,2211
2512,2516,2516,2484,2484,2503,2503,2520,2520,2544,2544,2542,2542,2479,2479,2506,2506
