data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3919,3922,3922,3923,3923,3922,3922,3926,3926,3921,3921,3928,3928,3925,3925,3922,3922
3704,3705,3705,3704,3704,3702,3702,3708,3708,3700,3700,3712,3712,3707,3707,3705,3705
2602,2571,2571,2510,2510,2534,2534,2549,2549,2563,2563,2639,2639,2594,2594,2537,2537
2253,2307,2307,2297,2297,2265,2265,2260,2260,2052,2052,2168,2168,2205,2205,2322,2322
2111,1782,1782,2135,2135,2079,2079,2136,2136,2206,2206,2029,2029,2095,2095,2132,2132
2049,1893,1893,2173,2173,2010,2010,2054,2054,2012,2012,2054,2054,2084,2084,2039,2039
2040,2011,2011,1996,1996,1907,1907,1968,1968,1987,1987,1987,1987,1984,1984,1969,1969
2069,2010,2010,1934,1934,1922,1922,1938,1938,2041,2041,1849,1849,1992,1992,2021,2021
2095,2045,2045,1840,1840,2003,2003,1918,1918,2029,2029,1963,1963,2089,2089,1881,1881
2055,1992,1992,2062,2062,2055,2055,1845,1845,1883,1883,1935,1935,1965,1965,1964,1964
1968,1964,1964,2061,2061,2042,2042,1986,1986,1913,1913,1924,1924,2020,2020,2029,2029
2144,1852,1852,2040,2040,1876,1876,2063,2063,1950,1950,2015,2015,2241,2241,1979,1979
2159,2008,2008,2042,2042,2070,2070,2035,2035,2003,2003,2099,2099,1897,1897,2026,2026
2103,2087,2087,2146,2146,2288,2288,2257,2257,2232,2232,2135,2135,2218,2218,2181,2181
2577,2575,2575,2575,2575,2547,2547,2501,2501,2643,2643,2630,2630,2600,2600,2599,2599
3694,3696,3696,3699,3699,3696,3696,3700,3700,3698,3698,3704,3704,3700,3700,3698,3698
3931,3931,3931,3932,3932,3931,3931,3934,3934,3931,3931,3934,3934,3932,3932,3931,3931
3716,3715,3715,3715,3715,3713,3713,3716,3716,3714,3714,3719,3719,3717,3717,3715,3715
2603,2564,2564,2578,2578,2533,2533,2576,2576,2601,2601,2621,2621,2582,2582,2550,2550
2243,2339,2339,2223,2223,2223,2223,2213,2213,2131,2131,2199,2199,2216,2216,2273,2273
2050,1671,1671,1893,1893,2003,2003,2021,2021,2096,2096,1979,1979,2040,2040,2098,2098
1981,2034,2034,2017,2017,1910,1910,2049,2049,1999,1999,2051,2051,1897,1897,1927,1927
1968,1765,1765,2042,2042,1907,1907,1942,1942,1813,1813,1971,1971,1930,1930,1881,1881
1940,1901,1901,1912,1912,1952,1952,1910,1910,1783,1783,1944,1944,1843,1843,1957,1957
2091,1825,1825,1848,1848,1959,1959,1990,1990,1827,1827,1860,1860,1924,1924,1899,1899
1988,1982,1982,1996,1996,1967,1967,1846,1846,1817,1817,1792,1792,1940,1940,1664,1664
1789,1965,1965,2075,2075,1962,1962,1934,1934,2012,2012,1804,1804,1944,1944,1893,1893
2025,1763,1763,2052,2052,1970,1970,2028,2028,1922,1922,2044,2044,2173,2173,1929,1929
2079,2010,2010,1897,1897,2039,2039,1907,1907,2083,2083,1970,1970,2007,2007,1954,1954
2125,2182,2182,2219,2219,2279,2279,2268,2268,2267,2267,2079,2079,2182,2182,2168,2168
2583,2596,2596,2560,2560,2574,2574,2564,2564,2601,2601,2617,2617,2601,2601,2587,2587
3704,3706,3706,3706,3706,3705,3705,3709,3709,3706,3706,3708,3708,3708,3708,3705,3705
3550,3552,3552,3553,3553,3553,3553,3555,3555,3552,3552,3553,3553,3553,3553,3555,3555
3329,3329,3329,3333,3333,3331,3331,3335,3335,3337,3337,3332,3332,3330,3330,3336,3336
2198,2124,2124,2219,2219,2164,2164,2258,2258,2286,2286,2216,2216,2151,2151,2164,2164
2033,2050,2050,1826,1826,2002,2002,1842,1842,1840,1840,1954,1954,1974,1974,1870,1870
1896,1811,1811,1829,1829,1973,1973,1870,1870,1955,1955,1892,1892,1924,1924,1925,1925
1897,1846,1846,1776,1776,1904,1904,1910,1910,1806,1806,1925,1925,1800,1800,1664,1664
1844,1881,1881,1967,1967,1814,1814,1919,1919,1776,1776,1971,1971,1834,1834,1853,1853
