data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3933,3929,3929,3934,3934,3935,3935,3930,3930,3933,3933,3933,3933,3929,3929,3929,3929
3710,3710,3710,3716,3716,3717,3717,3709,3709,3711,3711,3708,3708,3706,3706,3708,3708
2594,2677,2677,2602,2602,2572,2572,2487,2487,2573,2573,2542,2542,2546,2546,2535,2535
2175,2147,2147,2178,2178,2223,2223,2256,2256,2251,2251,2240,2240,2223,2223,2296,2296
2147,2145,2145,2183,2183,2026,2026,2052,2052,2067,2067,2003,2003,2180,2180,2098,2098
2021,1905,1905,1988,1988,2045,2045,1927,1927,2007,2007,1956,1956,1888,1888,2152,2152
1875,1983,1983,2033,2033,1871,1871,1932,1932,1998,1998,1986,1986,1842,1842,2055,2055
2112,2035,2035,2003,2003,1932,1932,2083,2083,1996,1996,1902,1902,1924,1924,1954,1954
2168,2049,2049,2048,2048,1823,1823,2083,2083,1967,1967,1849,1849,1825,1825,1930,1930
2041,1958,1958,2029,2029,2001,2001,1970,1970,1883,1883,1868,1868,1945,1945,1829,1829
2029,1935,1935,2126,2126,1904,1904,1996,1996,2175,2175,2052,2052,1946,1946,1933,1933
2072,2044,2044,2097,2097,2053,2053,1947,1947,2163,2163,2060,2060,2098,2098,1796,1796
2136,2106,2106,2106,2106,1894,1894,2084,2084,2129,2129,2060,2060,1795,1795,2003,2003
2185,2267,2267,2259,2259,2293,2293,2230,2230,2309,2309,2243,2243,2322,2322,2006,2006
2676,2562,2562,2596,2596,2610,2610,2597,2597,2499,2499,2644,2644,2566,2566,2625,2625
3714,3703,3703,3711,3711,3712,3712,3706,3706,3706,3706,3713,3713,3707,3707,3707,3707
3941,3938,3938,3943,3943,3940,3940,3937,3937,3940,3940,3939,3939,3936,3936,3938,3938
3728,3729,3729,3729,3729,3728,3728,3725,3725,3726,3726,3725,3725,3724,3724,3722,3722
2610,2655,2655,2574,2574,2594,2594,2534,2534,2611,2611,2552,2552,2590,2590,2554,2554
2188,2097,2097,2257,2257,2253,2253,2239,2239,2230,2230,2248,2248,2211,2211,2248,2248
2034,2120,2120,2154,2154,2050,2050,2028,2028,2028,2028,2009,2009,2128,2128,2109,2109
2040,1903,1903,2025,2025,1957,1957,1996,1996,2058,2058,1864,1864,1757,1757,2061,2061
1922,1815,1815,1878,1878,1872,1872,1940,1940,1955,1955,1920,1920,1767,1767,1975,1975
2017,1850,1850,1960,1960,1735,1735,2065,2065,1891,1891,1884,1884,1858,1858,1942,1942
1899,2001,2001,1967,1967,1897,1897,2036,2036,1869,1869,1801,1801,1871,1871,1951,1951
1679,1979,1979,1989,1989,1871,1871,1913,1913,1857,1857,1801,1801,1912,1912,1873,1873
1920,1952,1952,2134,2134,1848,1848,1963,1963,2018,2018,1802,1802,1857,1857,1828,1828
2003,1955,1955,2011,2011,2015,2015,1963,1963,1900,1900,1940,1940,2085,2085,1660,1660
1948,2113,2113,2007,2007,2057,2057,2019,2019,2090,2090,1988,1988,1935,1935,1932,1932
2195,2245,2245,2270,2270,2239,2239,2199,2199,2271,2271,2117,2117,2320,2320,2166,2166
2649,2600,2600,2582,2582,2622,2622,2569,2569,2553,2553,2624,2624,2587,2587,2623,2623
3721,3717,3717,3720,3720,3720,3720,3718,3718,3718,3718,3720,3720,3718,3718,3718,3718
3567,3570,3570,3564,3564,3567,3567,3566,3566,3566,3566,3565,3565,3563,3563,3563,3563
3353,3351,3351,3346,3346,3345,3345,3344,3344,3348,3348,3341,3341,3346,3346,3344,3344
2240,2252,2252,2163,2163,2167,2167,2133,2133,2261,2261,2181,2181,2237,2237,2212,2212
1822,1918,1918,2038,2038,2019,2019,2058,2058,1945,1945,1929,1929,1837,1837,1982,1982
1957,1845,1845,1913,1913,1876,1876,1698,1698,1851,1851,2040,2040,2010,2010,1841,1841
1954,1876,1876,1762,1762,1976,1976,1726,1726,1943,1943,1761,1761,1877,1877,1846,1846
1913,1799,1799,1768,1768,1852,1852,1704,1704,1949,1949,1748,1748,1860,1860,1901,1901
1761,1777,1777,1909,1909,1867,1867,1787,1787,1840,1840,1826,1826,1888,1888,1969,1969
1803,1800,1800,1963,1963,1790,1790,1840,1840,1987,1987,1900,1900,1923,1923,1900,1900
1834,1827,1827,1884,1884,1848,1848,1733,1733,1881,1881,1940,1940,1775,1775,1901,1901
1767,1845,1845,2005,2005,1926,1926,1833,1833,1804,1804,1892,1892,1771,1771,1797,1797
1939,1976,1976,1917,1917,1914,1914,1881,1881,1750,1750,1808,1808,1927,1927,1781,1781
1870,1996,1996,1921,1921,1821,1821,2007,2007,1860,1860,1935,1935,1938,1938,1707,1707
2011,2043,2043,2088,2088,2032,2032,2029,2029,2052,2052,1858,1858,1988,1988,1914,1914
2244,2258,2258,2055,2055,2264,2264,2188,2188,2110,2110,2200,2200,2228,2228,2218,2218
3335,3338,3338,3334,3334,3337,3337,3333,3333,3332,3332,3333,3333,3334,3334,3332,3332
2647,2625,2625,2623,2623,2598,2598,2601,2601,2597,2597,2588,2588,2597,2597,2604,2604
2444,2371,2371,2356,2356,2383,2383,2341,2341,2377,2377,2419,2419,2391,2391,2436,2436
1856,1976,1976,1797,1797,1804,1804,1909,1909,1806,1806,2013,2013,1800,1800,2056,2056
1808,1866,1866,1893,1893,1939,1939,1801,1801,1871,1871,2030,2030,1818,1818,1983,1983
1863,1868,1868,1983,1983,2009,2009,1752,1752,1884,1884,1810,1810,1885,1885,1815,1815
1947,1857,1857,1849,1849,1877,1877,1795,1795,2006,2006,1813,1813,1982,1982,1911,1911
1852,1781,1781,1863,1863,1778,1778,1899,1899,1972,1972,1849,1849,2017,2017,1907,1907
1615,1882,1882,1858,1858,1893,1893,1882,1882,1828,1828,1909,1909,1917,1917,1849,1849
1677,2026,2026,1939,1939,1779,1779,1864,1864,1795,1795,2005,2005,1859,1859,1847,1847
1917,1826,1826,1798,1798,1836,1836,1579,1579,1740,1740,1849,1849,1802,1802,1756,1756
1881,1945,1945,1901,1901,1931,1931,1777,1777,1866,1866,1851,1851,1821,1821,1900,1900
1733,1927,1927,1849,1849,1903,1903,1900,1900,1685,1685,1900,1900,2026,2026,1826,1826
1886,1960,1960,1794,1794,1836,1836,1812,1812,1858,1858,2011,2011,1945,1945,1809,1809
1811,1945,1945,2017,2017,1792,1792,1784,1784,1854,1854,2029,2029,1729,1729,1797,1797
1789,1776,1776,1774,1774,1957,1957,1701,1701,1825,1825,1951,1951,1748,1748,1766,1766
2430,2453,2453,2404,2404,2372,2372,2391,2391,2313,2313,2325,2325,2375,2375,2331,2331
2030,1890,1890,2014,2014,2021,2021,2105,2105,1978,1978,2053,2053,1950,1950,1955,1955
1970,1865,1865,2074,2074,2058,2058,1957,1957,1755,1755,1904,1904,1979,1979,1881,1881
1836,1940,1940,1795,1795,1926,1926,1924,1924,1630,1630,1988,1988,1916,1916,1898,1898
1848,1860,1860,1832,1832,1916,1916,1983,1983,1838,1838,1963,1963,1934,1934,1945,1945
1951,1861,1861,1838,1838,1928,1928,1944,1944,1938,1938,1858,1858,1755,1755,1884,1884
1821,1880,1880,1917,1917,1822,1822,1939,1939,1936,1936,1936,1936,1888,1888,1747,1747
1878,1858,1858,1983,1983,1982,1982,2024,2024,1792,1792,1923,1923,2008,2008,1861,1861
1842,1881,1881,1848,1848,1904,1904,2020,2020,1889,1889,1883,1883,1909,1909,1957,1957
1891,2012,2012,1893,1893,1876,1876,1837,1837,1946,1946,2006,2006,1872,1872,2052,2052
1858,1874,1874,1971,1971,1831,1831,1772,1772,1748,1748,1948,1948,1862,1862,1999,1999
1929,1926,1926,1870,1870,1938,1938,1826,1826,1664,1664,1952,1952,1857,1857,1980,1980
1920,1963,1963,1793,1793,1891,1891,1869,1869,1846,1846,1890,1890,2034,2034,1933,1933
1992,1939,1939,1863,1863,2040,2040,1797,1797,1980,1980,2003,2003,1873,1873,1792,1792
1914,1779,1779,1937,1937,1933,1933,1786,1786,1988,1988,1949,1949,1719,1719,1660,1660
1714,1890,1890,1788,1788,1919,1919,1904,1904,2014,2014,2006,2006,1816,1816,1750,1750
1960,1947,1947,1953,1953,1944,1944,2043,2043,2065,2065,2057,2057,1838,1838,1896,1896
1940,2102,2102,1942,1942,2071,2071,2021,2021,2133,2133,2015,2015,2051,2051,2022,2022
1991,1936,1936,1905,1905,2054,2054,1929,1929,2024,2024,2019,2019,1886,1886,1934,1934
1913,1915,1915,1874,1874,1997,1997,1912,1912,1767,1767,1934,1934,1894,1894,1923,1923
1861,1888,1888,1818,1818,1883,1883,1961,1961,1873,1873,1914,1914,1838,1838,1908,1908
2034,1798,1798,1962,1962,1771,1771,1928,1928,1929,1929,1878,1878,1857,1857,1915,1915
1864,1923,1923,1861,1861,1956,1956,1964,1964,2006,2006,1909,1909,1972,1972,1863,1863
1836,1933,1933,2010,2010,1802,1802,1981,1981,2015,2015,1818,1818,1912,1912,1900,1900
1770,1907,1907,1800,1800,1909,1909,2004,2004,1977,1977,1974,1974,1908,1908,1951,1951
1937,2005,2005,1967,1967,1917,1917,1906,1906,1957,1957,1882,1882,1856,1856,1985,1985
1987,2014,2014,1963,1963,1994,1994,1934,1934,1770,1770,1847,1847,1897,1897,2016,2016
1990,2002,2002,2024,2024,1944,1944,1952,1952,1814,1814,1881,1881,1855,1855,2010,2010
2093,2081,2081,2064,2064,1996,1996,1898,1898,1762,1762,1834,1834,1922,1922,1930,1930
1995,1888,1888,1928,1928,2107,2107,1939,1939,1860,1860,1898,1898,1887,1887,1885,1885
1972,1713,1713,1851,1851,1995,1995,2053,2053,1874,1874,1884,1884,1940,1940,1750,1750
1788,1947,1947,1885,1885,1941,1941,2033,2033,1914,1914,2045,2045,1921,1921,1925,1925
1841,1941,1941,1951,1951,1947,1947,1976,1976,1916,1916,2128,2128,1985,1985,2051,2051
2172,1988,1988,2049,2049,2171,2171,2101,2101,1944,1944,2151,2151,1870,1870,2137,2137
2013,1921,1921,1980,1980,2057,2057,2017,2017,2005,2005,2093,2093,1859,1859,2179,2179
1909,1880,1880,1891,1891,1906,1906,1924,1924,1949,1949,1879,1879,1884,1884,1977,1977
1715,1987,1987,1957,1957,1911,1911,1964,1964,1998,1998,2115,2115,1949,1949,2062,2062
1973,1822,1822,1900,1900,1961,1961,1954,1954,2104,2104,2047,2047,1987,1987,1988,1988
2010,1849,1849,1997,1997,2022,2022,1941,1941,2018,2018,1998,1998,1991,1991,1991,1991
1969,1778,1778,2028,2028,1898,1898,1929,1929,1884,1884,2058,2058,1837,1837,1993,1993
1997,1893,1893,1898,1898,1981,1981,1980,1980,1952,1952,1898,1898,1871,1871,1909,1909
2042,1986,1986,1642,1642,1945,1945,1935,1935,1849,1849,1866,1866,1877,1877,1955,1955
1955,2017,2017,1899,1899,1870,1870,2017,2017,1910,1910,1932,1932,1787,1787,2114,2114
1949,2012,2012,2003,2003,1864,1864,2074,2074,1784,1784,1926,1926,1982,1982,2058,2058
2127,2059,2059,2106,2106,1910,1910,2040,2040,1866,1866,1953,1953,2034,2034,1961,1961
2069,1921,1921,2095,2095,1874,1874,2034,2034,1847,1847,1931,1931,1902,1902,1962,1962
1982,1870,1870,1816,1816,1953,1953,1989,1989,1792,1792,1952,1952,1929,1929,1896,1896
2009,1906,1906,2044,2044,1967,1967,1979,1979,1963,1963,2005,2005,1895,1895,1940,1940
1973,1919,1919,2013,2013,2141,2141,1910,1910,1842,1842,2128,2128,1915,1915,2066,2066
2081,2184,2184,1965,1965,1937,1937,1974,1974,2124,2124,2058,2058,2073,2073,2054,2054
1907,2088,2088,2007,2007,1946,1946,1932,1932,2019,2019,2021,2021,2080,2080,1947,1947
1931,1877,1877,1983,1983,1905,1905,1938,1938,2053,2053,2023,2023,2077,2077,1979,1979
1830,1895,1895,2092,2092,1947,1947,2038,2038,2081,2081,2173,2173,2005,2005,1999,1999
