data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15
3822,3829,3829,3832,3832,3828,3828,3839,3839,3835,3835,3831,3831,3832,3832
3602,3611,3611,3615,3615,3608,3608,3623,3623,3619,3619,3617,3617,3613,3613
2480,2446,2446,2505,2505,2480,2480,2510,2510,2586,2586,2569,2569,2525,2525
2186,2240,2240,2023,2023,2263,2263,2140,2140,2112,2112,2020,2020,2138,2138
2083,2025,2025,1963,1963,1969,1969,2009,2009,2057,2057,2031,2031,2020,2020
2005,2113,2113,2058,2058,2038,2038,1989,1989,1910,1910,1963,1963,1822,1822
2018,2077,2077,1945,1945,1931,1931,2070,2070,1833,1833,1956,1956,1936,1936
1955,2129,2129,1846,1846,2122,2122,1954,1954,2019,2019,1958,1958,1831,1831
1979,2072,2072,2052,2052,2202,2202,1840,1840,1946,1946,2008,2008,1876,1876
2037,2062,2062,2053,2053,2189,2189,1892,1892,1919,1919,2089,2089,1965,1965
2020,2013,2013,1903,1903,2145,2145,1969,1969,2077,2077,2064,2064,1980,1980
2105,2048,2048,1854,1854,2087,2087,2033,2033,2070,2070,1837,1837,2076,2076
2056,2110,2110,2103,2103,1876,1876,1795,1795,2015,2015,1960,1960,2087,2087
2130,2190,2190,2137,2137,2198,2198,2126,2126,2136,2136,2208,2208,2264,2264
2466,2436,2436,2535,2535,2522,2522,2555,2555,2536,2536,2485,2485,2474,2474
3604,3609,3609,3616,3616,3609,3609,3623,3623,3618,3618,3615,3615,3613,3613
3854,3855,3855,3859,3859,3857,3857,3863,3863,3862,3862,3859,3859,3858,3858
3632,3635,3635,3638,3638,3635,3635,3642,3642,3642,3642,3642,3642,3637,3637
2447,2479,2479,2510,2510,2508,2508,2509,2509,2568,2568,2580,2580,2521,2521
2208,2133,2133,2051,2051,2231,2231,2113,2113,2056,2056,2065,2065,2152,2152
2047,1984,1984,2017,2017,1874,1874,1960,1960,2001,2001,2036,2036,1991,1991
