data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3832,3831,3831,3827,3827,3831,3831,3829,3829,3826,3826,3829,3829,3832,3832,3826,3826
3619,3616,3616,3619,3619,3615,3615,3615,3615,3611,3611,3618,3618,3622,3622,3609,3609
2547,2430,2430,2571,2571,2482,2482,2526,2526,2520,2520,2502,2502,2466,2466,2357,2357
2204,2273,2273,2101,2101,2207,2207,2141,2141,1998,1998,2140,2140,2235,2235,2250,2250
2092,1777,1777,2082,2082,1944,1944,2063,2063,2167,2167,1951,1951,2131,2131,1928,1928
1951,1982,1982,2009,2009,1979,1979,2063,2063,1939,1939,1894,1894,1868,1868,1945,1945
2003,2046,2046,2142,2142,1967,1967,2043,2043,1899,1899,1825,1825,1950,1950,1934,1934
2021,2032,2032,2044,2044,1954,1954,1989,1989,1893,1893,1992,1992,2016,2016,1970,1970
2109,2010,2010,1880,1880,1888,1888,1940,1940,2018,2018,1930,1930,2040,2040,2068,2068
2090,2040,2040,1983,1983,1930,1930,1872,1872,2058,2058,1940,1940,2026,2026,1977,1977
2032,1889,1889,1946,1946,1946,1946,2045,2045,2077,2077,1987,1987,2123,2123,2037,2037
2049,1994,1994,2011,2011,1679,1679,2049,2049,1999,1999,1994,1994,2130,2130,2016,2016
2155,1877,1877,2088,2088,2054,2054,2075,2075,2149,2149,1931,1931,1982,1982,1995,1995
1948,2239,2239,2158,2158,2189,2189,2233,2233,2205,2205,2117,2117,2114,2114,2169,2169
2450,2464,2464,2459,2459,2395,2395,2513,2513,2512,2512,2419,2419,2521,2521,2443,2443
3607,3610,3610,3606,3606,3605,3605,3609,3609,3604,3604,3604,3604,3612,3612,3607,3607
3851,3852,3852,3851,3851,3851,3851,3850,3850,3849,3849,3853,3853,3854,3854,3850,3850
3630,3630,3630,3633,3633,3630,3630,3629,3629,3627,3627,3632,3632,3633,3633,3625,3625
2522,2458,2458,2546,2546,2494,2494,2515,2515,2502,2502,2514,2514,2484,2484,2374,2374
2201,2267,2267,2236,2236,2181,2181,2160,2160,2023,2023,2210,2210,2166,2166,2279,2279
1977,1900,1900,2026,2026,2003,2003,1842,1842,1989,1989,1998,1998,2083,2083,2014,2014
1882,1846,1846,2030,2030,2011,2011,1822,1822,1659,1659,1917,1917,1928,1928,1897,1897
1881,1961,1961,2005,2005,1868,1868,1874,1874,1831,1831,1815,1815,1929,1929,1831,1831
1970,1863,1863,1959,1959,1733,1733,1950,1950,1937,1937,1831,1831,1903,1903,1789,1789
2012,1810,1810,1957,1957,1704,1704,1637,1637,2008,2008,1836,1836,1951,1951,1705,1705
2017,1969,1969,1916,1916,1692,1692,1821,1821,1843,1843,1803,1803,1961,1961,1746,1746
1907,1981,1981,1787,1787,1678,1678,1962,1962,1906,1906,1893,1893,2015,2015,1871,1871
1921,2101,2101,1948,1948,1797,1797,1895,1895,1952,1952,1944,1944,1929,1929,1990,1990
2089,1924,1924,2013,2013,2057,2057,1954,1954,2103,2103,2008,2008,1921,1921,1950,1950
2015,2220,2220,2108,2108,2155,2155,2208,2208,2035,2035,2129,2129,2105,2105,2180,2180
2525,2468,2468,2501,2501,2446,2446,2480,2480,2517,2517,2471,2471,2533,2533,2475,2475
3623,3621,3621,3618,3618,3619,3619,3619,3619,3618,3618,3621,3621,3622,3622,3618,3618
3488,3489,3489,3487,3487,3487,3487,3485,3485,3483,3483,3485,3485,3485,3485,3486,3486
3260,3268,3268,3267,3267,3268,3268,3261,3261,3264,3264,3265,3265,3267,3267,3261,3261
2122,2152,2152,2177,2177,2116,2116,2141,2141,2139,2139,2182,2182,2190,2190,2005,2005
1927,2045,2045,1893,1893,2056,2056,1843,1843,1877,1877,2034,2034,1846,1846,2066,2066
1865,1773,1773,1942,1942,1914,1914,1732,1732,1983,1983,1804,1804,1897,1897,1944,1944
1711,1865,1865,2005,2005,1994,1994,1912,1912,1851,1851,1781,1781,1902,1902,1824,1824
1851,1765,1765,1779,1779,1794,1794,1905,1905,1811,1811,1796,1796,1838,1838,2005,2005
1897,1782,1782,1748,1748,1750,1750,2022,2022,1882,1882,1792,1792,1567,1567,1949,1949
1888,1914,1914,1909,1909,1866,1866,1929,1929,2005,2005,1847,1847,1892,1892,1788,1788
1868,1731,1731,1870,1870,1871,1871,1802,1802,1890,1890,1901,1901,1873,1873,1727,1727
1801,1785,1785,1929,1929,1861,1861,1801,1801,1732,1732,1827,1827,1916,1916,1801,1801
1899,1981,1981,1954,1954,1884,1884,1817,1817,1871,1871,1909,1909,1823,1823,1897,1897
1859,1772,1772,1954,1954,1830,1830,1751,1751,1706,1706,1864,1864,1776,1776,1780,1780
1785,1933,1933,1975,1975,1891,1891,2026,2026,1873,1873,1825,1825,1961,1961,1816,1816
2196,2187,2187,2128,2128,2138,2138,2042,2042,2239,2239,2210,2210,2138,2138,2069,2069
3262,3257,3257,3259,3259,3260,3260,3257,3257,3259,3259,3259,3259,3259,3259,3255,3255
2449,2450,2450,2426,2426,2451,2451,2467,2467,2450,2450,2466,2466,2468,2468,2498,2498
2285,2220,2220,2239,2239,2274,2274,2299,2299,2356,2356,2329,2329,2284,2284,2305,2305
1984,1889,1889,1916,1916,1870,1870,1953,1953,1859,1859,1892,1892,1900,1900,1919,1919
1850,1943,1943,1975,1975,2029,2029,1847,1847,1809,1809,1858,1858,1776,1776,1908,1908
1763,1915,1915,1929,1929,1859,1859,1881,1881,1901,1901,1704,1704,1863,1863,1885,1885
1921,1864,1864,1875,1875,1807,1807,1966,1966,1928,1928,1765,1765,1952,1952,1896,1896
1981,1805,1805,1877,1877,1776,1776,2030,2030,1975,1975,1693,1693,1882,1882,1941,1941
1750,1821,1821,1877,1877,1796,1796,1985,1985,1832,1832,1862,1862,1763,1763,1959,1959
1773,1798,1798,1868,1868,1922,1922,1868,1868,1970,1970,1961,1961,1675,1675,1765,1765
1843,1589,1589,1857,1857,1951,1951,1871,1871,1788,1788,1954,1954,1867,1867,1600,1600
1712,1754,1754,1905,1905,1983,1983,1916,1916,1808,1808,1756,1756,1915,1915,1793,1793
1922,1879,1879,1972,1972,1888,1888,1901,1901,1762,1762,1824,1824,1822,1822,1785,1785
1759,1854,1854,1938,1938,1845,1845,1969,1969,1790,1790,1854,1854,1855,1855,1733,1733
1797,1917,1917,1800,1800,1729,1729,1933,1933,1736,1736,1893,1893,1916,1916,1887,1887
1942,2037,2037,1764,1764,1972,1972,1879,1879,1889,1889,1967,1967,1997,1997,1889,1889
2397,2275,2275,2292,2292,2281,2281,2270,2270,2201,2201,2273,2273,2335,2335,2134,2134
2021,2020,2020,2065,2065,2058,2058,2118,2118,2009,2009,2099,2099,2058,2058,2127,2127
1870,1881,1881,1984,1984,1871,1871,2058,2058,2043,2043,1939,1939,1910,1910,2044,2044
1947,1907,1907,1784,1784,1854,1854,1935,1935,1883,1883,1930,1930,1735,1735,1967,1967
1979,1990,1990,1941,1941,1969,1969,1939,1939,1892,1892,1955,1955,1719,1719,1971,1971
1939,1880,1880,1951,1951,1899,1899,1959,1959,1831,1831,1823,1823,1866,1866,1977,1977
1982,1828,1828,1905,1905,1894,1894,1943,1943,1878,1878,1848,1848,1847,1847,1899,1899
1923,1911,1911,1947,1947,1949,1949,1892,1892,1792,1792,1840,1840,1754,1754,1956,1956
1844,1892,1892,1867,1867,1831,1831,1868,1868,1897,1897,2015,2015,1804,1804,1954,1954
1926,1919,1919,1778,1778,1850,1850,1970,1970,1884,1884,1948,1948,1837,1837,1708,1708
1854,1921,1921,1904,1904,1968,1968,2017,2017,1925,1925,1900,1900,1842,1842,1962,1962
1871,1929,1929,1962,1962,1944,1944,1887,1887,1805,1805,1821,1821,1573,1573,1900,1900
1957,1910,1910,1961,1961,1861,1861,1926,1926,1952,1952,1916,1916,1838,1838,1690,1690
1858,1793,1793,1866,1866,1808,1808,1996,1996,1833,1833,1963,1963,1908,1908,1940,1940
1845,2003,2003,1869,1869,1855,1855,1974,1974,1756,1756,1936,1936,1903,1903,1897,1897
1905,1974,1974,1941,1941,1957,1957,1920,1920,1911,1911,1850,1850,1973,1973,1818,1818
1940,1835,1835,1985,1985,1988,1988,1981,1981,1879,1879,2019,2019,2086,2086,1902,1902
2060,2058,2058,1920,1920,2035,2035,2042,2042,2098,2098,1915,1915,1973,1973,2007,2007
1985,1889,1889,1956,1956,1777,1777,2023,2023,1995,1995,1804,1804,1992,1992,1917,1917
1931,1923,1923,1904,1904,1756,1756,1953,1953,1884,1884,1882,1882,2039,2039,2018,2018
1936,1989,1989,1916,1916,1969,1969,1935,1935,1924,1924,1886,1886,1867,1867,1968,1968
1928,1855,1855,1900,1900,1865,1865,1980,1980,1841,1841,1907,1907,1954,1954,2002,2002
1939,1859,1859,1811,1811,1888,1888,2003,2003,1793,1793,1967,1967,1988,1988,1844,1844
1819,2010,2010,1948,1948,1793,1793,2104,2104,1878,1878,1845,1845,1909,1909,1885,1885
1950,2050,2050,1872,1872,1786,1786,1909,1909,1901,1901,1883,1883,1951,1951,1868,1868
1904,1995,1995,1905,1905,1849,1849,2013,2013,1952,1952,1900,1900,1968,1968,1697,1697
1856,1923,1923,1919,1919,1842,1842,1948,1948,1676,1676,1949,1949,1828,1828,1643,1643
1886,1936,1936,1920,1920,1928,1928,1945,1945,1860,1860,1868,1868,1783,1783,1643,1643
1894,1986,1986,1926,1926,1959,1959,1888,1888,1880,1880,1972,1972,1917,1917,1865,1865
