data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3921,3921,3921,3924,3924,3924,3924,3924,3924,3922,3922,3914,3914,3921,3921,3926,3926
3698,3702,3702,3701,3701,3704,3704,3707,3707,3700,3700,3696,3696,3703,3703,3707,3707
2520,2593,2593,2572,2572,2562,2562,2597,2597,2503,2503,2585,2585,2580,2580,2629,2629
2252,2200,2200,2204,2204,2113,2113,2290,2290,2195,2195,2218,2218,2305,2305,2102,2102
1907,2096,2096,2090,2090,2164,2164,1903,1903,2092,2092,2072,2072,2029,2029,2092,2092
2156,2126,2126,1986,1986,2091,2091,1950,1950,2085,2085,2028,2028,1917,1917,2061,2061
2120,2146,2146,2025,2025,2057,2057,2032,2032,1994,1994,2084,2084,2007,2007,1951,1951
2147,2079,2079,2044,2044,1894,1894,1978,1978,1923,1923,2040,2040,2076,2076,1989,1989
2116,1942,1942,1981,1981,1945,1945,1992,1992,2033,2033,2030,2030,1988,1988,1775,1775
1885,1922,1922,1878,1878,2043,2043,1923,1923,2056,2056,1979,1979,2036,2036,1790,1790
1945,1937,1937,2014,2014,2061,2061,1882,1882,2081,2081,2029,2029,2052,2052,2008,2008
1943,1935,1935,2062,2062,2030,2030,2037,2037,1848,1848,2136,2136,2108,2108,1985,1985
2073,1979,1979,1988,1988,2088,2088,2088,2088,1998,1998,2103,2103,2037,2037,2011,2011
2254,2246,2246,2236,2236,2249,2249,2230,2230,2240,2240,2195,2195,2271,2271,2294,2294
2599,2587,2587,2561,2561,2572,2572,2594,2594,2588,2588,2564,2564,2553,2553,2624,2624
3699,3697,3697,3695,3695,3699,3699,3701,3701,3696,3696,3692,3692,3696,3696,3702,3702
3929,3929,3929,3931,3931,3931,3931,3933,3933,3928,3928,3926,3926,3930,3930,3933,3933
3712,3714,3714,3714,3714,3714,3714,3715,3715,3710,3710,3710,3710,3715,3715,3717,3717
2574,2628,2628,2573,2573,2567,2567,2576,2576,2551,2551,2596,2596,2571,2571,2615,2615
2212,2190,2190,2144,2144,2182,2182,2267,2267,2185,2185,2230,2230,2309,2309,2136,2136
1992,2104,2104,1910,1910,2018,2018,2074,2074,2158,2158,1980,1980,1807,1807,2114,2114
2112,2039,2039,1920,1920,1995,1995,1974,1974,2001,2001,1767,1767,1822,1822,2048,2048
1953,2043,2043,1893,1893,1947,1947,1995,1995,1879,1879,1841,1841,1943,1943,1889,1889
2065,2016,2016,1904,1904,1845,1845,1909,1909,1837,1837,1951,1951,1897,1897,1805,1805
1983,1960,1960,1914,1914,1936,1936,1841,1841,2052,2052,1967,1967,1924,1924,1881,1881
1820,1966,1966,1863,1863,2000,2000,1907,1907,1991,1991,2033,2033,1953,1953,1781,1781
1955,1902,1902,1900,1900,1976,1976,1982,1982,1929,1929,2064,2064,2045,2045,1914,1914
1867,1909,1909,1980,1980,2108,2108,2037,2037,1823,1823,2106,2106,2171,2171,2021,2021
2054,2063,2063,1982,1982,1943,1943,2034,2034,1922,1922,2068,2068,2060,2060,1894,1894
2208,2232,2232,2245,2245,2212,2212,2242,2242,2204,2204,2155,2155,2275,2275,2267,2267
2591,2577,2577,2546,2546,2581,2581,2575,2575,2598,2598,2564,2564,2541,2541,2603,2603
3703,3704,3704,3704,3704,3705,3705,3706,3706,3704,3704,3698,3698,3702,3702,3706,3706
3547,3550,3550,3553,3553,3553,3553,3550,3550,3548,3548,3547,3547,3549,3549,3551,3551
3329,3330,3330,3333,3333,3333,3333,3328,3328,3329,3329,3327,3327,3332,3332,3330,3330
2263,2273,2273,2248,2248,2218,2218,2159,2159,2176,2176,2166,2166,2195,2195,2278,2278
1767,2007,2007,1873,1873,2013,2013,1892,1892,2037,2037,2024,2024,2000,2000,1822,1822
1764,1828,1828,1890,1890,1915,1915,2018,2018,1953,1953,1807,1807,1703,1703,1946,1946
1845,1782,1782,1861,1861,1944,1944,1869,1869,1813,1813,1966,1966,1878,1878,1877,1877
1937,1801,1801,1650,1650,1964,1964,1834,1834,1862,1862,1764,1764,1896,1896,1715,1715
1955,1908,1908,1817,1817,1897,1897,1931,1931,1833,1833,1944,1944,1900,1900,1696,1696
1874,1938,1938,1849,1849,1859,1859,1800,1800,1949,1949,1903,1903,1746,1746,1923,1923
1776,1950,1950,1850,1850,1947,1947,1884,1884,1900,1900,1983,1983,1829,1829,1899,1899
1809,1915,1915,1903,1903,1832,1832,1859,1859,1855,1855,1932,1932,2034,2034,1654,1654
1923,1854,1854,1838,1838,1865,1865,1865,1865,1757,1757,1879,1879,1993,1993,1917,1917
2018,1907,1907,1936,1936,1791,1791,1978,1978,1860,1860,1927,1927,1935,1935,1693,1693
1991,1791,1791,2033,2033,1855,1855,1992,1992,1995,1995,1908,1908,1918,1918,1988,1988
2169,2204,2204,2074,2074,2219,2219,2154,2154,2164,2164,2226,2226,2204,2204,2203,2203
3316,3315,3315,3317,3317,3317,3317,3313,3313,3314,3314,3313,3313,3316,3316,3317,3317
2581,2582,2582,2601,2601,2577,2577,2608,2608,2591,2591,2597,2597,2563,2563,2587,2587
2382,2368,2368,2415,2415,2404,2404,2394,2394,2375,2375,2401,2401,2341,2341,2349,2349
1876,2011,2011,1894,1894,1956,1956,2002,2002,2026,2026,1881,1881,1933,1933,1961,1961
1768,1973,1973,1850,1850,1736,1736,1917,1917,1979,1979,1841,1841,1730,1730,1701,1701
1796,1860,1860,1814,1814,1885,1885,1898,1898,1793,1793,1761,1761,1959,1959,1772,1772
1883,1902,1902,1812,1812,1960,1960,1887,1887,1834,1834,1930,1930,2013,2013,1855,1855
2041,1791,1791,1835,1835,1905,1905,1870,1870,1821,1821,1795,1795,1960,1960,1731,1731
2030,1953,1953,1896,1896,1937,1937,1847,1847,1885,1885,2002,2002,1909,1909,1732,1732
1900,1914,1914,1837,1837,1793,1793,1802,1802,1908,1908,1971,1971,1989,1989,1837,1837
1933,1779,1779,1911,1911,1915,1915,1981,1981,1940,1940,1772,1772,1955,1955,1783,1783
1899,1793,1793,1887,1887,1896,1896,1998,1998,1869,1869,1754,1754,1928,1928,1719,1719
1954,1890,1890,1904,1904,2019,2019,1867,1867,1850,1850,1943,1943,2039,2039,1798,1798
1941,2001,2001,2026,2026,1987,1987,1867,1867,1764,1764,1916,1916,1824,1824,1902,1902
1928,1993,1993,1990,1990,1827,1827,1830,1830,1852,1852,1858,1858,1800,1800,1887,1887
1896,1853,1853,1829,1829,1782,1782,1878,1878,1962,1962,1944,1944,1933,1933,1958,1958
2327,2312,2312,2333,2333,2327,2327,2367,2367,2318,2318,2317,2317,2311,2311,2337,2337
2094,2005,2005,1938,1938,2086,2086,2004,2004,2042,2042,2098,2098,2091,2091,2092,2092
1997,1976,1976,1950,1950,2024,2024,1849,1849,1977,1977,1895,1895,2079,2079,1915,1915
1891,1886,1886,1936,1936,1913,1913,1928,1928,1979,1979,1685,1685,1953,1953,1907,1907
1706,1999,1999,1696,1696,1929,1929,2056,2056,1961,1961,1903,1903,1653,1653,1971,1971
1832,1902,1902,1715,1715,1917,1917,1839,1839,1931,1931,1803,1803,1882,1882,1856,1856
1904,1774,1774,1854,1854,2004,2004,1902,1902,1774,1774,1880,1880,1868,1868,1973,1973
1967,1882,1882,1948,1948,1884,1884,1905,1905,1789,1789,1985,1985,1944,1944,1909,1909
2098,1878,1878,1897,1897,1918,1918,1872,1872,1903,1903,1907,1907,1956,1956,1759,1759
1852,1927,1927,1830,1830,1876,1876,1855,1855,1958,1958,1892,1892,2045,2045,1763,1763
1965,1906,1906,1910,1910,1751,1751,1996,1996,2024,2024,1920,1920,1998,1998,1854,1854
1892,1885,1885,1939,1939,1981,1981,1958,1958,1948,1948,1776,1776,1925,1925,1832,1832
1815,1859,1859,1881,1881,1967,1967,1979,1979,1929,1929,1921,1921,1974,1974,1925,1925
1802,1927,1927,1950,1950,1815,1815,1853,1853,1938,1938,1931,1931,1779,1779,1978,1978
1791,1857,1857,1929,1929,1909,1909,1883,1883,1858,1858,1752,1752,1753,1753,1994,1994
1871,1847,1847,1978,1978,1836,1836,1746,1746,1875,1875,1831,1831,1680,1680,1977,1977
1896,1851,1851,1904,1904,1690,1690,1938,1938,1926,1926,2047,2047,1964,1964,1990,1990
2100,2011,2011,2011,2011,1920,1920,2018,2018,2022,2022,1966,1966,1874,1874,1853,1853
2010,1817,1817,1934,1934,1949,1949,1965,1965,1971,1971,1854,1854,1862,1862,1963,1963
1906,1863,1863,1970,1970,2062,2062,1776,1776,1982,1982,1736,1736,1944,1944,1969,1969
1852,1887,1887,1878,1878,1996,1996,1993,1993,1954,1954,1895,1895,1945,1945,2090,2090
1807,1879,1879,1954,1954,1869,1869,1961,1961,1943,1943,1805,1805,1879,1879,2031,2031
1950,1916,1916,1963,1963,1778,1778,1850,1850,1979,1979,1969,1969,1845,1845,1985,1985
2004,1990,1990,2027,2027,1993,1993,1943,1943,1890,1890,1991,1991,1968,1968,2044,2044
2044,1934,1934,2026,2026,1994,1994,1924,1924,1980,1980,2000,2000,1839,1839,1986,1986
1929,1984,1984,1851,1851,1908,1908,1982,1982,2037,2037,1993,1993,1990,1990,1937,1937
1901,1956,1956,1915,1915,1833,1833,2002,2002,2025,2025,1859,1859,2007,2007,1931,1931
1796,1859,1859,1956,1956,1945,1945,2039,2039,2049,2049,1893,1893,1976,1976,1904,1904
1942,1813,1813,1883,1883,2000,2000,1959,1959,1903,1903,1814,1814,1828,1828,1830,1830
1964,1918,1918,2020,2020,1949,1949,1821,1821,1862,1862,2005,2005,1865,1865,1872,1872
1962,1901,1901,1993,1993,1844,1844,1786,1786,1806,1806,1975,1975,1915,1915,1778,1778
1797,1871,1871,1962,1962,1872,1872,1866,1866,1809,1809,1811,1811,1787,1787,1804,1804
1850,1846,1846,1951,1951,1910,1910,1913,1913,1986,1986,1814,1814,1775,1775,1915,1915
1948,1951,1951,1892,1892,1925,1925,2119,2119,1978,1978,2167,2167,1998,1998,1993,1993
2026,1882,1882,1916,1916,2000,2000,2008,2008,1863,1863,2046,2046,1795,1795,2011,2011
1984,1913,1913,1909,1909,1969,1969,1930,1930,2001,2001,1778,1778,1960,1960,1863,1863
1916,1776,1776,2011,2011,1830,1830,1770,1770,2064,2064,1849,1849,1920,1920,1927,1927
1885,1962,1962,2080,2080,1846,1846,1871,1871,2023,2023,1891,1891,1763,1763,2062,2062
1970,1990,1990,2060,2060,2056,2056,1878,1878,1864,1864,1965,1965,1918,1918,1936,1936
1978,2036,2036,1859,1859,1898,1898,1992,1992,1859,1859,1763,1763,1899,1899,1984,1984
2056,2088,2088,2018,2018,1998,1998,1988,1988,2074,2074,1949,1949,1851,1851,2092,2092
2102,2028,2028,1911,1911,1904,1904,1939,1939,1920,1920,2061,2061,1973,1973,2079,2079
1974,1883,1883,1905,1905,1740,1740,2009,2009,2001,2001,1921,1921,1936,1936,1872,1872
1934,1919,1919,1716,1716,1993,1993,1876,1876,2002,2002,2073,2073,1912,1912,1897,1897
1936,2055,2055,1885,1885,2028,2028,1861,1861,1980,1980,2009,2009,1991,1991,1859,1859
1948,1981,1981,2024,2024,2035,2035,1966,1966,2045,2045,2010,2010,2117,2117,1998,1998
2013,2051,2051,1912,1912,1995,1995,1896,1896,1931,1931,2013,2013,2094,2094,2035,2035
1910,1960,1960,1914,1914,2027,2027,1978,1978,1735,1735,1972,1972,1899,1899,2001,2001
1889,1838,1838,1677,1677,1970,1970,2049,2049,1847,1847,1948,1948,2011,2011,1795,1795
1999,2004,2004,2007,2007,2095,2095,1986,1986,2104,2104,2073,2073,1844,1844,2123,2123
1994,1936,1936,2018,2018,2025,2025,1920,1920,1963,1963,1946,1946,1951,1951,2018,2018
1836,2011,2011,2041,2041,1945,1945,1963,1963,1998,1998,1873,1873,1992,1992,1956,1956
1845,1966,1966,1856,1856,1878,1878,1854,1854,1872,1872,1921,1921,2025,2025,1875,1875
1943,1940,1940,1790,1790,2030,2030,1950,1950,1982,1982,1934,1934,1828,1828,1970,1970
2103,2054,2054,1940,1940,1948,1948,1844,1844,1942,1942,1743,1743,1997,1997,1956,1956
2044,1995,1995,1916,1916,1990,1990,1834,1834,1971,1971,1949,1949,1894,1894,1848,1848
2061,2077,2077,1953,1953,1941,1941,1699,1699,2069,2069,2083,2083,1912,1912,2010,2010
2134,2020,2020,1986,1986,1871,1871,1987,1987,2037,2037,2090,2090,1955,1955,2078,2078
2084,1999,1999,1948,1948,2034,2034,2026,2026,1987,1987,1950,1950,1918,1918,2018,2018
2067,1970,1970,1865,1865,2063,2063,1904,1904,2037,2037,1992,1992,1854,1854,1991,1991
2034,2026,2026,1895,1895,1946,1946,1892,1892,1963,1963,2103,2103,1967,1967,1949,1949
2019,2029,2029,2035,2035,2067,2067,2052,2052,1919,1919,2003,2003,2101,2101,2126,2126
1975,1943,1943,2032,2032,2051,2051,1815,1815,1979,1979,1951,1951,2100,2100,2107,2107
1952,1939,1939,1928,1928,1790,1790,1958,1958,1885,1885,1969,1969,2012,2012,1997,1997
1986,1928,1928,1935,1935,1955,1955,1990,1990,1913,1913,2004,2004,1865,1865,2028,2028
2354,2237,2237,2408,2408,2428,2428,2414,2414,2302,2302,2347,2347,2296,2296,2350,2350
2219,2089,2089,2224,2224,2276,2276,2243,2243,2213,2213,2141,2141,1948,1948,2248,2248
1985,1981,1981,1958,1958,2025,2025,1997,1997,1995,1995,1904,1904,1951,1951,2081,2081
1906,2002,2002,1835,1835,2055,2055,1993,1993,1961,1961,1921,1921,1910,1910,1852,1852
1906,2010,2010,1830,1830,2072,2072,2016,2016,1931,1931,1888,1888,1973,1973,1786,1786
2056,1954,1954,1959,1959,2068,2068,1989,1989,1998,1998,2002,2002,1984,1984,1706,1706
2008,2058,2058,1898,1898,2018,2018,1888,1888,1985,1985,1868,1868,2032,2032,1840,1840
1963,1981,1981,1985,1985,1892,1892,1900,1900,2030,2030,1995,1995,1969,1969,1905,1905
2107,2007,2007,2055,2055,1998,1998,1978,1978,2021,2021,1983,1983,1950,1950,1932,1932
2144,2047,2047,1941,1941,2041,2041,1973,1973,2047,2047,1942,1942,2047,2047,1918,1918
2070,1969,1969,2030,2030,2076,2076,1884,1884,2017,2017,1981,1981,1982,1982,1945,1945
2069,1986,1986,2054,2054,2005,2005,2037,2037,2021,2021,2046,2046,2090,2090,2020,2020
2051,2099,2099,2086,2086,2050,2050,1961,1961,2025,2025,1949,1949,2028,2028,2189,2189
1952,1964,1964,1995,1995,2071,2071,1881,1881,2032,2032,2018,2018,2066,2066,2105,2105
1904,1945,1945,1973,1973,1950,1950,1849,1849,2042,2042,2009,2009,1894,1894,1970,1970
2139,2078,2078,2232,2232,2097,2097,2239,2239,1987,1987,2168,2168,2110,2110,2081,2081
2787,2779,2779,2799,2799,2832,2832,2776,2776,2768,2768,2783,2783,2760,2760,2763,2763
