data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3925,3925,3933,3933,3925,3925,3924,3924,3924,3924,3926,3926,3921,3921,3918,3918,3919,3919
3709,3709,3715,3715,3709,3709,3707,3707,3703,3703,3703,3703,3703,3703,3702,3702,3705,3705
2603,2603,2620,2620,2634,2634,2597,2597,2623,2623,2544,2544,2596,2596,2591,2591,2599,2599
2201,2201,2271,2271,2103,2103,2161,2161,1937,1937,2376,2376,2219,2219,2236,2236,2026,2026
2156,2156,2060,2060,2126,2126,2116,2116,2077,2077,2027,2027,2051,2051,2173,2173,2141,2141
2031,2031,2020,2020,1943,1943,2015,2015,2039,2039,2100,2100,2018,2018,1971,1971,1906,1906
1996,1996,1942,1942,1858,1858,1918,1918,2057,2057,2002,2002,1985,1985,1937,1937,2100,2100
2054,2054,2017,2017,1992,1992,2099,2099,2084,2084,2017,2017,2090,2090,2029,2029,2061,2061
2100,2100,2035,2035,1990,1990,2021,2021,2133,2133,2062,2062,2128,2128,2050,2050,2024,2024
2070,2070,1966,1966,1958,1958,1928,1928,2016,2016,1951,1951,2035,2035,2079,2079,1991,1991
2018,2018,1889,1889,1974,1974,1874,1874,2060,2060,2139,2139,1953,1953,2053,2053,2051,2051
2033,2033,1977,1977,1933,1933,2063,2063,1884,1884,2140,2140,1981,1981,1941,1941,1957,1957
2192,2192,2099,2099,2203,2203,2166,2166,2147,2147,2049,2049,1981,1981,2040,2040,1995,1995
2190,2190,2260,2260,2110,2110,2212,2212,2202,2202,2239,2239,2268,2268,2308,2308,2330,2330
2506,2506,2554,2554,2558,2558,2539,2539,2569,2569,2611,2611,2511,2511,2592,2592,2426,2426
3696,3696,3707,3707,3698,3698,3697,3697,3698,3698,3703,3703,3692,3692,3695,3695,3691,3691
3935,3935,3939,3939,3933,3933,3932,3932,3931,3931,3933,3933,3931,3931,3930,3930,3930,3930
3721,3721,3725,3725,3720,3720,3718,3718,3719,3719,3718,3718,3718,3718,3717,3717,3716,3716
2592,2592,2614,2614,2614,2614,2585,2585,2606,2606,2564,2564,2605,2605,2615,2615,2602,2602
2305,2305,2229,2229,2147,2147,2206,2206,2054,2054,2336,2336,2193,2193,2181,2181,2181,2181
2036,2036,1956,1956,2157,2157,1933,1933,2074,2074,1882,1882,1938,1938,2156,2156,2117,2117
1993,1993,2008,2008,1855,1855,2013,2013,1865,1865,1942,1942,2045,2045,1769,1769,1985,1985
1885,1885,1863,1863,1832,1832,2013,2013,2045,2045,1976,1976,1920,1920,1865,1865,2096,2096
1948,1948,2029,2029,1825,1825,1985,1985,2036,2036,1916,1916,1974,1974,1912,1912,1986,1986
1950,1950,2017,2017,1904,1904,1936,1936,1967,1967,2048,2048,1899,1899,1960,1960,1867,1867
2068,2068,1926,1926,1823,1823,1852,1852,1894,1894,1776,1776,1801,1801,1947,1947,1979,1979
1981,1981,1883,1883,2027,2027,1928,1928,2002,2002,1979,1979,1951,1951,2054,2054,2041,2041
2075,2075,1935,1935,1829,1829,2047,2047,1945,1945,2082,2082,1900,1900,1980,1980,1956,1956
2107,2107,2026,2026,2163,2163,2042,2042,2006,2006,2056,2056,1985,1985,1959,1959,2014,2014
2132,2132,2251,2251,2179,2179,2165,2165,2169,2169,2258,2258,2218,2218,2285,2285,2258,2258
2557,2557,2584,2584,2595,2595,2574,2574,2600,2600,2595,2595,2572,2572,2582,2582,2536,2536
3709,3709,3714,3714,3708,3708,3708,3708,3708,3708,3711,3711,3706,3706,3706,3706,3704,3704
3557,3557,3560,3560,3554,3554,3555,3555,3556,3556,3556,3556,3558,3558,3556,3556,3551,3551
3339,3339,3344,3344,3336,3336,3337,3337,3335,3335,3335,3335,3336,3336,3339,3339,3332,3332
2162,2162,2255,2255,2115,2115,2176,2176,2254,2254,2217,2217,2237,2237,2303,2303,2184,2184
2048,2048,1929,1929,1802,1802,1985,1985,1866,1866,1905,1905,1858,1858,1948,1948,1920,1920
1829,1829,1945,1945,1944,1944,1953,1953,1901,1901,2001,2001,1787,1787,1934,1934,1834,1834
1872,1872,1917,1917,1883,1883,1868,1868,1729,1729,1789,1789,1896,1896,1722,1722,1934,1934
1869,1869,1813,1813,1801,1801,1895,1895,1945,1945,1824,1824,1984,1984,1731,1731,2108,2108
1873,1873,1905,1905,1661,1661,1964,1964,1927,1927,1780,1780,1997,1997,1865,1865,1968,1968
1888,1888,2034,2034,1755,1755,1702,1702,1842,1842,1846,1846,1772,1772,1921,1921,1951,1951
2025,2025,1958,1958,1934,1934,1830,1830,1857,1857,1629,1629,1809,1809,1894,1894,1938,1938
1995,1995,1826,1826,2012,2012,1902,1902,1970,1970,1762,1762,1795,1795,1926,1926,1957,1957
1990,1990,1843,1843,1876,1876,1813,1813,1984,1984,1974,1974,1898,1898,1807,1807,1862,1862
1914,1914,1933,1933,1906,1906,1803,1803,1892,1892,1884,1884,1994,1994,1750,1750,1778,1778
2016,2016,1820,1820,2007,2007,1928,1928,2029,2029,2005,2005,1844,1844,2068,2068,1944,1944
2164,2164,2240,2240,2276,2276,2292,2292,2205,2205,2189,2189,2324,2324,2165,2165,2205,2205
3324,3324,3330,3330,3325,3325,3329,3329,3325,3325,3325,3325,3330,3330,3326,3326,3323,3323
2601,2601,2609,2609,2616,2616,2615,2615,2613,2613,2604,2604,2630,2630,2632,2632,2591,2591
2378,2378,2430,2430,2373,2373,2343,2343,2403,2403,2391,2391,2377,2377,2436,2436,2390,2390
1918,1918,1901,1901,1854,1854,1809,1809,1888,1888,1876,1876,1879,1879,1899,1899,1930,1930
1738,1738,1872,1872,1912,1912,1715,1715,1877,1877,1869,1869,1687,1687,1791,1791,1645,1645
1754,1754,1886,1886,1956,1956,1906,1906,1860,1860,1889,1889,1814,1814,1844,1844,1799,1799
1889,1889,1737,1737,1827,1827,1966,1966,1704,1704,1852,1852,1835,1835,1851,1851,1904,1904
1879,1879,1791,1791,1860,1860,1909,1909,1758,1758,1949,1949,1924,1924,1733,1733,1952,1952
1911,1911,1734,1734,1808,1808,1908,1908,1626,1626,1957,1957,1853,1853,1812,1812,1950,1950
1877,1877,1814,1814,1757,1757,1912,1912,1792,1792,1898,1898,1912,1912,1845,1845,1921,1921
1943,1943,1866,1866,1860,1860,1900,1900,1809,1809,1888,1888,1940,1940,1854,1854,1928,1928
1971,1971,1825,1825,1923,1923,1943,1943,1964,1964,1946,1946,1985,1985,1914,1914,1918,1918
1996,1996,1840,1840,1855,1855,1874,1874,2029,2029,1885,1885,2014,2014,1922,1922,1891,1891
1824,1824,1884,1884,1832,1832,1922,1922,1930,1930,1977,1977,1928,1928,1808,1808,1885,1885
1813,1813,1733,1733,1844,1844,1934,1934,2025,2025,1868,1868,1770,1770,1912,1912,1847,1847
1955,1955,1853,1853,1899,1899,1932,1932,1951,1951,1821,1821,1875,1875,1927,1927,1819,1819
2388,2388,2374,2374,2399,2399,2433,2433,2364,2364,2336,2336,2426,2426,2390,2390,2350,2350
2094,2094,1933,1933,1999,1999,2038,2038,2073,2073,2013,2013,1720,1720,2115,2115,1921,1921
1867,1867,1962,1962,2040,2040,2069,2069,1943,1943,1788,1788,1962,1962,1923,1923,1886,1886
1923,1923,1902,1902,1908,1908,2012,2012,1846,1846,1891,1891,1876,1876,1858,1858,1957,1957
1826,1826,1835,1835,1820,1820,1937,1937,1925,1925,1846,1846,1834,1834,1783,1783,1726,1726
1722,1722,1793,1793,1894,1894,1945,1945,1900,1900,1681,1681,1812,1812,1881,1881,1736,1736
1837,1837,1809,1809,1959,1959,1919,1919,1923,1923,1827,1827,1916,1916,1914,1914,1694,1694
1963,1963,1792,1792,1972,1972,1869,1869,1857,1857,1972,1972,1825,1825,1816,1816,1786,1786
1847,1847,1885,1885,1961,1961,1951,1951,1827,1827,1897,1897,1801,1801,1946,1946,1853,1853
1857,1857,2039,2039,1900,1900,1984,1984,1891,1891,1958,1958,1912,1912,1864,1864,1939,1939
1860,1860,2023,2023,1912,1912,1912,1912,1835,1835,1920,1920,1888,1888,1997,1997,1934,1934
1879,1879,1966,1966,1876,1876,1924,1924,1921,1921,2012,2012,1931,1931,1923,1923,1855,1855
1868,1868,1951,1951,1922,1922,1994,1994,2025,2025,1908,1908,1914,1914,1781,1781,1866,1866
1786,1786,1795,1795,1802,1802,1995,1995,1934,1934,1906,1906,1941,1941,1770,1770,1831,1831
1811,1811,1727,1727,1872,1872,1879,1879,1997,1997,1922,1922,1923,1923,1842,1842,1835,1835
1991,1991,1809,1809,1788,1788,1876,1876,1940,1940,1922,1922,1889,1889,1816,1816,1723,1723
2021,2021,1784,1784,1844,1844,1993,1993,1922,1922,1909,1909,1921,1921,2036,2036,1961,1961
1916,1916,1945,1945,2057,2057,2091,2091,2127,2127,1942,1942,1803,1803,1970,1970,2070,2070
1855,1855,1793,1793,1979,1979,1903,1903,1949,1949,1894,1894,2001,2001,1749,1749,2019,2019
1871,1871,1989,1989,1920,1920,1981,1981,1823,1823,1997,1997,1904,1904,1790,1790,1884,1884
1873,1873,2015,2015,1805,1805,1978,1978,1966,1966,1937,1937,1906,1906,2006,2006,1890,1890
1835,1835,1930,1930,1931,1931,1905,1905,1981,1981,1722,1722,1812,1812,1957,1957,1953,1953
1805,1805,2043,2043,1876,1876,1884,1884,2023,2023,1920,1920,1859,1859,2016,2016,1857,1857
1944,1944,1912,1912,1967,1967,1945,1945,2014,2014,1866,1866,1881,1881,1978,1978,1826,1826
1892,1892,1923,1923,2002,2002,1993,1993,1794,1794,1891,1891,1919,1919,1863,1863,1917,1917
1795,1795,1996,1996,1946,1946,1882,1882,1872,1872,1862,1862,1841,1841,1978,1978,1918,1918
1796,1796,1983,1983,1875,1875,2028,2028,1918,1918,1897,1897,1893,1893,1988,1988,1983,1983
1956,1956,2018,2018,1807,1807,1951,1951,1961,1961,2000,2000,1872,1872,1926,1926,1942,1942
1971,1971,1896,1896,1895,1895,2053,2053,1917,1917,1957,1957,1925,1925,1846,1846,1788,1788
1911,1911,1890,1890,1881,1881,1853,1853,1839,1839,1873,1873,1985,1985,1752,1752,1878,1878
1970,1970,1903,1903,1688,1688,1702,1702,1877,1877,1819,1819,1948,1948,1736,1736,1835,1835
1921,1921,1966,1966,1908,1908,1820,1820,1995,1995,1922,1922,1854,1854,1926,1926,1964,1964
1904,1904,1915,1915,1958,1958,2074,2074,1838,1838,1924,1924,1683,1683,1822,1822,1905,1905
2067,2067,2019,2019,2061,2061,1978,1978,2011,2011,1994,1994,2019,2019,2036,2036,1879,1879
2083,2083,1824,1824,1935,1935,1935,1935,1946,1946,1862,1862,1910,1910,1897,1897,1743,1743
1992,1992,1927,1927,1901,1901,1967,1967,1918,1918,1910,1910,1910,1910,1908,1908,1755,1755
1888,1888,2048,2048,1908,1908,1910,1910,2022,2022,1959,1959,1958,1958,1842,1842,1823,1823
2018,2018,2001,2001,1924,1924,1993,1993,1967,1967,1947,1947,1955,1955,1905,1905,1945,1945
2000,2000,1917,1917,2023,2023,1978,1978,1977,1977,1914,1914,1896,1896,2005,2005,1823,1823
