data_1,data_2,data_3,data_4,data_5,data_6
3819,3819,3822,3822,3821,3821
3599,3599,3603,3603,3601,3601
2523,2523,2488,2488,2419,2419
2118,2118,1986,1986,2217,2217
2157,2157,2023,2023,2010,2010
2057,2057,1961,1961,2063,2063
2110,2110,1918,1918,1969,1969
1951,1951,1896,1896,2046,2046
2033,2033,1707,1707,2010,2010
1937,1937,1992,1992,1860,1860
1883,1883,2017,2017,2000,2000
1924,1924,1888,1888,2153,2153
2135,2135,2032,2032,2015,2015
2120,2120,2130,2130,2209,2209
2480,2480,2508,2508,2393,2393
3605,3605,3610,3610,3602,3602
3819,3819,3819,3819,3818,3818
3593,3593,3595,3595,3593,3593
2444,2444,2492,2492,2418,2418
2121,2121,1983,1983,2139,2139
2065,2065,2104,2104,2014,2014
2070,2070,1956,1956,1932,1932
1924,1924,1696,1696,2036,2036
1929,1929,1740,1740,1925,1925
2041,2041,1771,1771,1867,1867
1955,1955,2002,2002,1816,1816
1681,1681,2015,2015,1816,1816
1986,1986,1906,1906,2048,2048
1996,1996,1978,1978,1970,1970
2231,2231,2130,2130,2192,2192
2412,2412,2497,2497,2434,2434
3595,3595,3601,3601,3595,3595
3427,3427,3426,3426,3431,3431
3202,3202,3195,3195,3207,3207
1958,1958,2052,2052,2111,2111
1934,1934,1827,1827,1766,1766
1943,1943,1967,1967,1919,1919
1946,1946,1873,1873,1957,1957
1856,1856,1732,1732,1970,1970
1853,1853,1699,1699,1841,1841
1854,1854,1819,1819,1867,1867
1917,1917,1872,1872,1815,1815
1807,1807,1924,1924,1899,1899
1820,1820,1729,1729,1784,1784
1969,1969,1904,1904,1959,1959
1939,1939,1943,1943,1955,1955
2012,2012,2132,2132,2134,2134
3206,3206,3207,3207,3208,3208
2801,2801,2780,2780,2785,2785
2608,2608,2566,2566,2561,2561
1982,1982,1810,1810,1933,1933
2063,2063,1727,1727,1690,1690
1943,1943,1632,1632,1852,1852
1755,1755,1779,1779,1937,1937
1934,1934,1735,1735,1851,1851
1923,1923,1833,1833,1757,1757
1910,1910,1937,1937,1766,1766
1913,1913,1831,1831,1874,1874
1942,1942,1882,1882,1942,1942
1876,1876,1821,1821,1916,1916
1852,1852,1895,1895,1963,1963
1942,1942,1968,1968,1977,1977
1876,1876,2029,2029,2001,2001
2565,2565,2563,2563,2551,2551
2675,2675,2670,2670,2683,2683
2504,2504,2494,2494,2475,2475
2033,2033,1851,1851,1949,1949
2086,2086,1763,1763,1840,1840
2011,2011,1644,1644,1877,1877
1914,1914,1690,1690,1978,1978
1821,1821,1855,1855,1992,1992
1897,1897,1911,1911,1871,1871
1931,1931,2029,2029,1740,1740
1910,1910,1837,1837,1863,1863
1752,1752,1825,1825,2056,2056
1971,1971,1911,1911,2052,2052
1910,1910,1975,1975,1821,1821
1880,1880,1965,1965,1933,1933
1654,1654,1968,1968,1941,1941
2437,2437,2474,2474,2511,2511
2485,2485,2324,2324,2385,2385
2306,2306,2180,2180,2154,2154
1907,1907,1843,1843,1960,1960
1984,1984,1966,1966,1972,1972
2010,2010,1848,1848,2041,2041
1998,1998,1877,1877,2016,2016
2020,2020,1871,1871,2065,2065
2025,2025,1930,1930,1907,1907
2082,2082,1978,1978,1745,1745
2040,2040,1836,1836,1823,1823
1895,1895,1781,1781,2037,2037
1893,1893,1753,1753,1995,1995
1987,1987,1952,1952,1990,1990
1974,1974,1892,1892,1986,1986
1821,1821,1944,1944,1988,1988
2229,2229,2105,2105,2185,2185
2113,2113,2165,2165,2136,2136
2056,2056,2067,2067,1881,1881
1857,1857,1887,1887,1853,1853
1919,1919,2020,2020,1886,1886
2029,2029,1888,1888,2020,2020
2058,2058,1843,1843,1981,1981
2105,2105,1839,1839,2038,2038
1973,1973,1945,1945,2011,2011
1943,1943,2078,2078,1936,1936
1871,1871,2021,2021,1964,1964
1826,1826,1743,1743,2010,2010
1889,1889,1844,1844,2080,2080
1984,1984,1825,1825,2008,2008
1994,1994,1854,1854,1987,1987
1795,1795,1919,1919,2018,2018
1813,1813,2076,2076,2121,2121
2440,2440,2399,2399,2230,2230
2250,2250,2282,2282,2151,2151
2022,2022,1942,1942,1641,1641
2086,2086,2014,2014,1885,1885
1989,1989,1957,1957,2048,2048
2071,2071,1953,1953,1918,1918
1991,1991,1898,1898,1815,1815
1864,1864,2046,2046,1815,1815
1864,1864,2102,2102,1893,1893
1915,1915,2120,2120,1989,1989
1886,1886,1996,1996,1812,1812
2041,2041,1893,1893,1830,1830
1941,1941,1807,1807,1853,1853
2006,2006,1967,1967,2040,2040
2054,2054,1931,1931,1982,1982
2168,2168,2251,2251,2185,2185
2591,2591,2582,2582,2584,2584
2392,2392,2387,2387,2360,2360
1899,1899,2002,2002,1745,1745
2118,2118,1885,1885,1985,1985
2028,2028,2026,2026,2059,2059
1884,1884,2069,2069,1888,1888
1977,1977,2026,2026,1963,1963
1938,1938,2082,2082,1899,1899
1855,1855,2066,2066,1999,1999
1953,1953,2089,2089,2058,2058
1964,1964,1946,1946,1892,1892
2056,2056,1870,1870,1770,1770
2032,2032,1896,1896,1898,1898
2045,2045,2108,2108,1971,1971
1993,1993,2048,2048,1887,1887
2371,2371,2291,2291,2283,2283
3065,3065,3070,3070,3061,3061
2848,2848,2831,2831,2839,2839
2090,2090,1920,1920,2007,2007
2137,2137,1921,1921,1982,1982
2070,2070,1957,1957,1999,1999
1962,1962,1972,1972,1969,1969
1904,1904,2098,2098,2062,2062
1946,1946,2075,2075,1971,1971
2113,2113,1954,1954,2053,2053
1913,1913,2020,2020,2099,2099
1962,1962,2023,2023,1912,1912
1998,1998,1986,1986,1837,1837
1975,1975,1904,1904,1910,1910
1979,1979,1934,1934,2011,2011
2041,2041,2109,2109,1775,1775
2848,2848,2844,2844,2832,2832
3250,3250,3254,3254,3239,3239
3022,3022,3016,3016,3014,3014
2053,2053,2154,2154,2111,2111
2045,2045,2026,2026,1986,1986
2020,2020,2013,2013,2034,2034
2088,2088,1849,1849,1886,1886
2037,2037,1955,1955,1999,1999
2025,2025,2023,2023,2090,2090
2051,2051,2021,2021,2070,2070
1927,1927,2030,2030,2097,2097
1921,1921,2076,2076,1930,1930
1985,1985,1967,1967,1948,1948
1938,1938,1835,1835,1914,1914
2023,2023,1942,1942,1991,1991
2110,2110,2111,2111,1961,1961
3031,3031,3029,3029,2004,2004
3200,3200,3197,3197,1963,1963
2978,2978,2968,2968,1797,1797
2124,2124,2189,2189,1812,1812
1995,1995,2057,2057,1792,1792
2040,2040,2004,2004,1855,1855
2141,2141,2069,2069,1915,1915
1863,1863,1992,1992,1819,1819
1820,1820,2031,2031,1752,1752
1995,1995,2071,2071,1905,1905
2003,2003,2107,2107,1924,1924
2035,2035,2091,2091,1642,1642
2081,2081,2110,2110,1829,1829
1864,1864,2084,2084,1832,1832
1917,1917,1962,1962,1667,1667
2043,2043,2088,2088,1848,1848
2982,2982,2959,2959,2087,2087
3162,3162,3166,3166,1941,1941
2928,2928,2942,2942,1667,1667
2005,2005,2219,2219,1818,1818
1905,1905,2061,2061,1802,1802
1968,1968,2013,2013,1835,1835
2096,2096,1949,1949,1754,1754
1969,1969,1965,1965,1779,1779
1870,1870,1883,1883,1822,1822
1973,1973,2031,2031,1878,1878
1962,1962,1920,1920,1866,1866
2054,2054,2006,2006,1848,1848
2068,2068,2052,2052,1829,1829
1999,1999,2186,2186,1886,1886
1978,1978,1949,1949,1790,1790
2018,2018,2078,2078,1811,1811
2945,2945,2946,2946,1958,1958
2899,2899,2896,2896,1912,1912
2682,2682,2705,2705,1658,1658
1941,1941,2174,2174,1767,1767
2003,2003,2126,2126,1854,1854
2081,2081,2108,2108,1852,1852
2057,2057,2089,2089,1801,1801
1879,1879,2099,2099,1785,1785
2027,2027,1929,1929,1765,1765
1973,1973,2012,2012,1667,1667
1998,1998,2003,2003,1783,1783
2051,2051,1919,1919,1820,1820
2078,2078,2020,2020,1921,1921
2086,2086,1988,1988,1972,1972
2113,2113,1894,1894,1816,1816
2049,2049,2042,2042,1827,1827
2694,2694,2685,2685,1910,1910
2658,2658,2574,2574,1838,1838
2486,2486,2498,2498,1714,1714
1990,1990,2129,2129,1714,1714
1959,1959,2083,2083,1701,1701
2035,2035,2199,2199,1829,1829
2052,2052,2215,2215,1755,1755
2039,2039,2217,2217,1789,1789
2067,2067,2069,2069,1707,1707
1961,1961,2047,2047,1755,1755
2014,2014,2129,2129,1876,1876
2189,2189,2171,2171,1867,1867
2145,2145,2010,2010,1750,1750
2152,2152,1954,1954,1872,1872
2212,2212,2161,2161,1729,1729
2164,2164,2087,2087,1799,1799
2490,2490,2468,2468,1699,1699
2880,2880,2844,2844,1725,1725
2675,2675,2599,2599,1688,1688
1867,1867,2254,2254,1822,1822
1786,1786,2175,2175,1764,1764
2094,2094,2229,2229,1823,1823
2111,2111,2235,2235,1785,1785
2087,2087,2237,2237,1837,1837
2078,2078,2039,2039,1726,1726
2006,2006,1940,1940,1666,1666
2103,2103,2183,2183,1772,1772
2145,2145,2189,2189,1834,1834
2022,2022,2131,2131,1767,1767
2094,2094,2187,2187,1800,1800
2190,2190,2134,2134,1838,1838
2152,2152,2151,2151,1591,1591
2643,2643,2709,2709,1675,1675
3025,3025,3000,3000,1714,1714
2819,2819,2754,2754,1744,1744
1971,1971,2243,2243,1806,1806
2017,2017,2207,2207,1804,1804
2107,2107,2226,2226,1830,1830
2272,2272,2218,2218,1649,1649
2138,2138,2124,2124,1733,1733
1953,1953,2184,2184,1653,1653
2017,2017,1945,1945,1772,1772
1991,1991,2208,2208,1814,1814
1822,1822,2173,2173,1813,1813
2097,2097,2220,2220,1739,1739
2064,2064,2209,2209,1735,1735
2113,2113,2067,2067,1867,1867
1934,1934,2089,2089,1679,1679
2800,2800,2810,2810,1883,1883
3057,3057,2864,2864,1776,1776
2887,2887,2570,2570,1694,1694
2157,2157,2048,2048,1714,1714
2072,2072,1976,1976,1710,1710
2036,2036,2064,2064,1854,1854
2246,2246,1943,1943,1692,1692
2218,2218,2137,2137,1782,1782
2061,2061,2218,2218,1714,1714
2086,2086,2007,2007,1653,1653
