data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3835,3835,3842,3842,3833,3833,3831,3831,3837,3837,3832,3832,3839,3839,3833,3833,3831,3831
3620,3620,3627,3627,3619,3619,3618,3618,3622,3622,3621,3621,3627,3627,3623,3623,3615,3615
2532,2532,2535,2535,2472,2472,2491,2491,2505,2505,2491,2491,2539,2539,2483,2483,2521,2521
2199,2199,2278,2278,2134,2134,2089,2089,2158,2158,2223,2223,2206,2206,2180,2180,2049,2049
1935,1935,2125,2125,2034,2034,2097,2097,2060,2060,2153,2153,2034,2034,1957,1957,2060,2060
2023,2023,2108,2108,1934,1934,1931,1931,1847,1847,2006,2006,2107,2107,2004,2004,2193,2193
2076,2076,2051,2051,2013,2013,2083,2083,1922,1922,2079,2079,1962,1962,1966,1966,1810,1810
2031,2031,1942,1942,2081,2081,1984,1984,1936,1936,2020,2020,1980,1980,1996,1996,2024,2024
1842,1842,2072,2072,2093,2093,2091,2091,1874,1874,1992,1992,1981,1981,2040,2040,2036,2036
1927,1927,2081,2081,2107,2107,2076,2076,2070,2070,2012,2012,2059,2059,1995,1995,1978,1978
2015,2015,1984,1984,2133,2133,2010,2010,1967,1967,1997,1997,1977,1977,1966,1966,2008,2008
2121,2121,1789,1789,2115,2115,2083,2083,1952,1952,2025,2025,1975,1975,2057,2057,1851,1851
2101,2101,2019,2019,2116,2116,1970,1970,2104,2104,2147,2147,2093,2093,2124,2124,2094,2094
2179,2179,2109,2109,2165,2165,2209,2209,2156,2156,2026,2026,1960,1960,2105,2105,2158,2158
2477,2477,2472,2472,2509,2509,2440,2440,2529,2529,2464,2464,2538,2538,2535,2535,2524,2524
3621,3621,3628,3628,3622,3622,3618,3618,3623,3623,3617,3617,3622,3622,3622,3622,3620,3620
3862,3862,3864,3864,3862,3862,3859,3859,3862,3862,3859,3859,3862,3862,3862,3862,3859,3859
3642,3642,3644,3644,3642,3642,3638,3638,3642,3642,3642,3642,3643,3643,3641,3641,3638,3638
2549,2549,2534,2534,2508,2508,2506,2506,2535,2535,2523,2523,2536,2536,2509,2509,2507,2507
2134,2134,2229,2229,2168,2168,2152,2152,2014,2014,2143,2143,2224,2224,2211,2211,2160,2160
1981,1981,2003,2003,1998,1998,2036,2036,2081,2081,2104,2104,1879,1879,1973,1973,1936,1936
2012,2012,2004,2004,1947,1947,1879,1879,1750,1750,1828,1828,2072,2072,1853,1853,2029,2029
1948,1948,1952,1952,1996,1996,1909,1909,1819,1819,2013,2013,1883,1883,1998,1998,1947,1947
1859,1859,1863,1863,1921,1921,1874,1874,1765,1765,1955,1955,2030,2030,1917,1917,2001,2001
1808,1808,2011,2011,1975,1975,2004,2004,1838,1838,1969,1969,1864,1864,1904,1904,1905,1905
1884,1884,2003,2003,1902,1902,1986,1986,1701,1701,2056,2056,1951,1951,1882,1882,1911,1911
1983,1983,1882,1882,1985,1985,1909,1909,1849,1849,1901,1901,1974,1974,1852,1852,1948,1948
1969,1969,1712,1712,1984,1984,1875,1875,1920,1920,1965,1965,1917,1917,1814,1814,1865,1865
2114,2114,1957,1957,2122,2122,1915,1915,1920,1920,1987,1987,1906,1906,2098,2098,2063,2063
2160,2160,2168,2168,2133,2133,2152,2152,2173,2173,2192,2192,2005,2005,2153,2153,2158,2158
2488,2488,2486,2486,2520,2520,2498,2498,2537,2537,2431,2431,2539,2539,2517,2517,2512,2512
3637,3637,3645,3645,3638,3638,3635,3635,3640,3640,3636,3636,3639,3639,3640,3640,3635,3635
3491,3491,3491,3491,3490,3490,3484,3484,3489,3489,3488,3488,3488,3488,3490,3490,3485,3485
3272,3272,3273,3273,3275,3275,3263,3263,3270,3270,3271,3271,3271,3271,3269,3269,3262,3262
2233,2233,2230,2230,2164,2164,2152,2152,2107,2107,2208,2208,2168,2168,2208,2208,2074,2074
1888,1888,1634,1634,1854,1854,1898,1898,1985,1985,1834,1834,2049,2049,1989,1989,1915,1915
1847,1847,1917,1917,1750,1750,1900,1900,1910,1910,1891,1891,1838,1838,1950,1950,1731,1731
1827,1827,1887,1887,1667,1667,1776,1776,1685,1685,1764,1764,1917,1917,1932,1932,1837,1837
1644,1644,1758,1758,1805,1805,1796,1796,1755,1755,1858,1858,2050,2050,1897,1897,1897,1897
1817,1817,1828,1828,1843,1843,1806,1806,1823,1823,1831,1831,2002,2002,1900,1900,1928,1928
1960,1960,1900,1900,1842,1842,1748,1748,1895,1895,2038,2038,1880,1880,1925,1925,1866,1866
1898,1898,2005,2005,1916,1916,1808,1808,1964,1964,2046,2046,1913,1913,1880,1880,1754,1754
1791,1791,1897,1897,1815,1815,1832,1832,1814,1814,1984,1984,1823,1823,1951,1951,1753,1753
1857,1857,1819,1819,2006,2006,1842,1842,1777,1777,1912,1912,1636,1636,2013,2013,1951,1951
1925,1925,1872,1872,2025,2025,1746,1746,1775,1775,1727,1727,1812,1812,1913,1913,1915,1915
1853,1853,1979,1979,1967,1967,1828,1828,1857,1857,1865,1865,1866,1866,1973,1973,1916,1916
2116,2116,2136,2136,2153,2153,2175,2175,2212,2212,2084,2084,2137,2137,2103,2103,2059,2059
3268,3268,3272,3272,3268,3268,3266,3266,3270,3270,3264,3264,3267,3267,3267,3267,3267,3267
2923,2923,2929,2929,2916,2916,2908,2908,2914,2914,2910,2910,2930,2930,2910,2910,2903,2903
2708,2708,2703,2703,2697,2697,2662,2662,2679,2679,2654,2654,2691,2691,2670,2670,2668,2668
1987,1987,1830,1830,1883,1883,2006,2006,1979,1979,1647,1647,1950,1950,1859,1859,1884,1884
1944,1944,1923,1923,1770,1770,1906,1906,1972,1972,1704,1704,1896,1896,1948,1948,1782,1782
1917,1917,1945,1945,1685,1685,1793,1793,1880,1880,1774,1774,1771,1771,1937,1937,1748,1748
1814,1814,1945,1945,1624,1624,1823,1823,1919,1919,1884,1884,1907,1907,1749,1749,1816,1816
1766,1766,1787,1787,1831,1831,1847,1847,1876,1876,1771,1771,1926,1926,1803,1803,1805,1805
1819,1819,1820,1820,1921,1921,1841,1841,1883,1883,1870,1870,1949,1949,1919,1919,1806,1806
1943,1943,1831,1831,1827,1827,1856,1856,1949,1949,1924,1924,1931,1931,2005,2005,1879,1879
1876,1876,1959,1959,1729,1729,1649,1649,1896,1896,1915,1915,1755,1755,1705,1705,1844,1844
1886,1886,1886,1886,1797,1797,1713,1713,1752,1752,1889,1889,1854,1854,1856,1856,1820,1820
1889,1889,1936,1936,1989,1989,1836,1836,1753,1753,1974,1974,1866,1866,1969,1969,1821,1821
1772,1772,1908,1908,1794,1794,1765,1765,1810,1810,1918,1918,1990,1990,1892,1892,1811,1811
1815,1815,1817,1817,1965,1965,1721,1721,1809,1809,1793,1793,1763,1763,1953,1953,1791,1791
1684,1684,1935,1935,1878,1878,1841,1841,1912,1912,1908,1908,1906,1906,2041,2041,1857,1857
2694,2694,2722,2722,2688,2688,2702,2702,2701,2701,2685,2685,2713,2713,2699,2699,2676,2676
2696,2696,2619,2619,2619,2619,2600,2600,2609,2609,2610,2610,2641,2641,2670,2670,2578,2578
2486,2486,2468,2468,2365,2365,2432,2432,2343,2343,2460,2460,2436,2436,2420,2420,2399,2399
1848,1848,1924,1924,1918,1918,1977,1977,1922,1922,1698,1698,1974,1974,1811,1811,1757,1757
1925,1925,1783,1783,1821,1821,1889,1889,1930,1930,1888,1888,1948,1948,1704,1704,1845,1845
1904,1904,1932,1932,1669,1669,1832,1832,1915,1915,1709,1709,1845,1845,1607,1607,1775,1775
1890,1890,1895,1895,1673,1673,1894,1894,1959,1959,1851,1851,1861,1861,1862,1862,1971,1971
1845,1845,1790,1790,1910,1910,1887,1887,1868,1868,1872,1872,1851,1851,1898,1898,1891,1891
1773,1773,1852,1852,1808,1808,1871,1871,1665,1665,1919,1919,1791,1791,2001,2001,1950,1950
1904,1904,1772,1772,1754,1754,1786,1786,1760,1760,1844,1844,1742,1742,2070,2070,1904,1904
1854,1854,1886,1886,1880,1880,1760,1760,1891,1891,1897,1897,1877,1877,1874,1874,1876,1876
1870,1870,1899,1899,1837,1837,1765,1765,1874,1874,2002,2002,1666,1666,1846,1846,1829,1829
1902,1902,1897,1897,1914,1914,1731,1731,1889,1889,1983,1983,2008,2008,1768,1768,1885,1885
1827,1827,1884,1884,1960,1960,1647,1647,1876,1876,1796,1796,2069,2069,1927,1927,1683,1683
1906,1906,1694,1694,1823,1823,1771,1771,1804,1804,1817,1817,1932,1932,1837,1837,1747,1747
1810,1810,2016,2016,1925,1925,1922,1922,1839,1839,1987,1987,1792,1792,1988,1988,1937,1937
2469,2469,2399,2399,2450,2450,2495,2495,2428,2428,2436,2436,2427,2427,2455,2455,2414,2414
2428,2428,2421,2421,2395,2395,2457,2457,2411,2411,2386,2386,2400,2400,2385,2385,2432,2432
2227,2227,2248,2248,2248,2248,2240,2240,2172,2172,2143,2143,2272,2272,2158,2158,2267,2267
1915,1915,1655,1655,2030,2030,1938,1938,1903,1903,1819,1819,1832,1832,1803,1803,1977,1977
1688,1688,1833,1833,1936,1936,1881,1881,1912,1912,2000,2000,1910,1910,1826,1826,1897,1897
1824,1824,1892,1892,2011,2011,1813,1813,1880,1880,1926,1926,1911,1911,1869,1869,1765,1765
1852,1852,1834,1834,1941,1941,1747,1747,1928,1928,1838,1838,1908,1908,1913,1913,1799,1799
1784,1784,1898,1898,1845,1845,1766,1766,2009,2009,1848,1848,1941,1941,2013,2013,1839,1839
1854,1854,1806,1806,1935,1935,1862,1862,1912,1912,1920,1920,1759,1759,1880,1880,1715,1715
1854,1854,1903,1903,1915,1915,1889,1889,1822,1822,1936,1936,1740,1740,1939,1939,1854,1854
1879,1879,1933,1933,1837,1837,1895,1895,1965,1965,1924,1924,1751,1751,1983,1983,1740,1740
1854,1854,1920,1920,1907,1907,1857,1857,1903,1903,2038,2038,1847,1847,1959,1959,1616,1616
1838,1838,1995,1995,2036,2036,1824,1824,1915,1915,2034,2034,1994,1994,1893,1893,1774,1774
1763,1763,1919,1919,1890,1890,1890,1890,1951,1951,1931,1931,2064,2064,1879,1879,1890,1890
1976,1976,1833,1833,1919,1919,1805,1805,1824,1824,1895,1895,1921,1921,1878,1878,1859,1859
1991,1991,2131,2131,1873,1873,1955,1955,1779,1779,1917,1917,1787,1787,1807,1807,1935,1935
2209,2209,2143,2143,2150,2150,2288,2288,2178,2178,2264,2264,2082,2082,2182,2182,2196,2196
2119,2119,2243,2243,2156,2156,2126,2126,2190,2190,2142,2142,2162,2162,2213,2213,2059,2059
1902,1902,2012,2012,2080,2080,2071,2071,2130,2130,2022,2022,2093,2093,2111,2111,2008,2008
1800,1800,1876,1876,2061,2061,1959,1959,1968,1968,2020,2020,1937,1937,1904,1904,1996,1996
1884,1884,1856,1856,1972,1972,1958,1958,1969,1969,2003,2003,1943,1943,1936,1936,1941,1941
1896,1896,1848,1848,1973,1973,2012,2012,1943,1943,1968,1968,1959,1959,1955,1955,1800,1800
1961,1961,1942,1942,1926,1926,1980,1980,1957,1957,1916,1916,1950,1950,2007,2007,1855,1855
2034,2034,1883,1883,1957,1957,2014,2014,1983,1983,1927,1927,1804,1804,2040,2040,1963,1963
1863,1863,1835,1835,1987,1987,1895,1895,1952,1952,1910,1910,1840,1840,1745,1745,1810,1810
1942,1942,1949,1949,1927,1927,1945,1945,2039,2039,2048,2048,1829,1829,1813,1813,1837,1837
1795,1795,1995,1995,1776,1776,1971,1971,2109,2109,1965,1965,1880,1880,1867,1867,1982,1982
1810,1810,1977,1977,1944,1944,1944,1944,2014,2014,1912,1912,1873,1873,2052,2052,1948,1948
1961,1961,2053,2053,1987,1987,1987,1987,1954,1954,1956,1956,1986,1986,1998,1998,1933,1933
1871,1871,1905,1905,1956,1956,1934,1934,1899,1899,1990,1990,1895,1895,1861,1861,1954,1954
