data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37
3923,3923,3923,3920,3920,3918,3918,3919,3919,3924,3924,3923,3923,3925,3925,3930,3930,3918,3918,3923,3923,3923,3923,3920,3920,3918,3918,3919,3919,3924,3924,3923,3923,3925,3925,3930,3930
3707,3703,3703,3705,3705,3702,3702,3702,3702,3707,3707,3704,3704,3707,3707,3710,3710,3700,3700,3707,3707,3703,3703,3705,3705,3702,3702,3702,3702,3707,3707,3704,3704,3707,3707,3710,3710
2617,2526,2526,2613,2613,2518,2518,2568,2568,2563,2563,2541,2541,2614,2614,2578,2578,2573,2573,2617,2617,2526,2526,2613,2613,2518,2518,2568,2568,2563,2563,2541,2541,2614,2614,2578,2578
2289,2336,2336,2214,2214,2355,2355,2233,2233,2327,2327,2247,2247,2134,2134,2245,2245,2284,2284,2289,2289,2336,2336,2214,2214,2355,2355,2233,2233,2327,2327,2247,2247,2134,2134,2245,2245
2154,2028,2028,1883,1883,2060,2060,2166,2166,1936,1936,2063,2063,2037,2037,2011,2011,2107,2107,2154,2154,2028,2028,1883,1883,2060,2060,2166,2166,1936,1936,2063,2063,2037,2037,2011,2011
1919,1920,1920,2023,2023,1965,1965,2081,2081,1967,1967,2079,2079,2139,2139,2061,2061,2008,2008,1919,1919,1920,1920,2023,2023,1965,1965,2081,2081,1967,1967,2079,2079,2139,2139,2061,2061
2091,2033,2033,2004,2004,2068,2068,2009,2009,1948,1948,2125,2125,2049,2049,2075,2075,2070,2070,2091,2091,2033,2033,2004,2004,2068,2068,2009,2009,1948,1948,2125,2125,2049,2049,2075,2075
2042,2078,2078,2073,2073,2051,2051,1952,1952,1976,1976,2068,2068,2012,2012,1868,1868,2040,2040,2042,2042,2078,2078,2073,2073,2051,2051,1952,1952,1976,1976,2068,2068,2012,2012,1868,1868
1938,2060,2060,2029,2029,1985,1985,1980,1980,1870,1870,2013,2013,1976,1976,2009,2009,2121,2121,1938,1938,2060,2060,2029,2029,1985,1985,1980,1980,1870,1870,2013,2013,1976,1976,2009,2009
1836,2016,2016,1992,1992,1954,1954,1936,1936,1961,1961,1951,1951,2020,2020,2027,2027,2122,2122,1836,1836,2016,2016,1992,1992,1954,1954,1936,1936,1961,1961,1951,1951,2020,2020,2027,2027
2096,2089,2089,2108,2108,2110,2110,1949,1949,1938,1938,1983,1983,2105,2105,1936,1936,2042,2042,2096,2096,2089,2089,2108,2108,2110,2110,1949,1949,1938,1938,1983,1983,2105,2105,1936,1936
2025,2125,2125,2153,2153,2135,2135,2091,2091,1926,1926,1958,1958,1903,1903,1701,1701,2080,2080,2025,2025,2125,2125,2153,2153,2135,2135,2091,2091,1926,1926,1958,1958,1903,1903,1701,1701
2132,2119,2119,2000,2000,2166,2166,2058,2058,2084,2084,2100,2100,2118,2118,2053,2053,2177,2177,2132,2132,2119,2119,2000,2000,2166,2166,2058,2058,2084,2084,2100,2100,2118,2118,2053,2053
2189,2052,2052,2247,2247,2011,2011,2196,2196,2246,2246,2181,2181,2156,2156,2187,2187,2166,2166,2189,2189,2052,2052,2247,2247,2011,2011,2196,2196,2246,2246,2181,2181,2156,2156,2187,2187
2547,2597,2597,2562,2562,2611,2611,2580,2580,2521,2521,2522,2522,2579,2579,2595,2595,2568,2568,2547,2547,2597,2597,2562,2562,2611,2611,2580,2580,2521,2521,2522,2522,2579,2579,2595,2595
3695,3698,3698,3695,3695,3693,3693,3694,3694,3698,3698,3694,3694,3702,3702,3705,3705,3695,3695,3695,3695,3698,3698,3695,3695,3693,3693,3694,3694,3698,3698,3694,3694,3702,3702,3705,3705
3934,3932,3932,3932,3932,3931,3931,3931,3931,3933,3933,3933,3933,3934,3934,3936,3936,3932,3932,3934,3934,3932,3932,3932,3932,3931,3931,3931,3931,3933,3933,3933,3933,3934,3934,3936,3936
3719,3716,3716,3719,3719,3716,3716,3717,3717,3719,3719,3717,3717,3718,3718,3720,3720,3715,3715,3719,3719,3716,3716,3719,3719,3716,3716,3717,3717,3719,3719,3717,3717,3718,3718,3720,3720
2604,2569,2569,2624,2624,2532,2532,2621,2621,2567,2567,2563,2563,2590,2590,2591,2591,2591,2591,2604,2604,2569,2569,2624,2624,2532,2532,2621,2621,2567,2567,2563,2563,2590,2590,2591,2591
2312,2274,2274,2202,2202,2296,2296,2079,2079,2232,2232,2209,2209,2164,2164,2242,2242,2207,2207,2312,2312,2274,2274,2202,2202,2296,2296,2079,2079,2232,2232,2209,2209,2164,2164,2242,2242
2159,2058,2058,1906,1906,2089,2089,2196,2196,1980,1980,2066,2066,2109,2109,1979,1979,2045,2045,2159,2159,2058,2058,1906,1906,2089,2089,2196,2196,1980,1980,2066,2066,2109,2109,1979,1979
2004,1842,1842,1952,1952,1928,1928,2016,2016,2017,2017,1931,1931,2124,2124,1910,1910,1997,1997,2004,2004,1842,1842,1952,1952,1928,1928,2016,2016,2017,2017,1931,1931,2124,2124,1910,1910
2025,1976,1976,1946,1946,2048,2048,1876,1876,1894,1894,2113,2113,2073,2073,1917,1917,1827,1827,2025,2025,1976,1976,1946,1946,2048,2048,1876,1876,1894,1894,2113,2113,2073,2073,1917,1917
1931,1844,1844,1989,1989,1939,1939,1810,1810,1895,1895,2028,2028,2050,2050,1892,1892,1878,1878,1931,1931,1844,1844,1989,1989,1939,1939,1810,1810,1895,1895,2028,2028,2050,2050,1892,1892
1781,1909,1909,2028,2028,1698,1698,1872,1872,1874,1874,1863,1863,1980,1980,1992,1992,1993,1993,1781,1781,1909,1909,2028,2028,1698,1698,1872,1872,1874,1874,1863,1863,1980,1980,1992,1992
1759,1907,1907,1908,1908,1741,1741,1831,1831,1943,1943,1739,1739,1914,1914,1969,1969,1991,1991,1759,1759,1907,1907,1908,1908,1741,1741,1831,1831,1943,1943,1739,1739,1914,1914,1969,1969
2043,1925,1925,2003,2003,2114,2114,1804,1804,1959,1959,1784,1784,2004,2004,1988,1988,1939,1939,2043,2043,1925,1925,2003,2003,2114,2114,1804,1804,1959,1959,1784,1784,2004,2004,1988,1988
2000,2075,2075,2073,2073,2022,2022,1952,1952,2045,2045,1779,1779,1801,1801,1765,1765,2038,2038,2000,2000,2075,2075,2073,2073,2022,2022,1952,1952,2045,2045,1779,1779,1801,1801,1765,1765
2123,2004,2004,2006,2006,2136,2136,1926,1926,1963,1963,1962,1962,2082,2082,2052,2052,1893,1893,2123,2123,2004,2004,2006,2006,2136,2136,1926,1926,1963,1963,1962,1962,2082,2082,2052,2052
2165,2130,2130,2239,2239,2018,2018,2240,2240,2193,2193,2146,2146,2208,2208,2194,2194,2199,2199,2165,2165,2130,2130,2239,2239,2018,2018,2240,2240,2193,2193,2146,2146,2208,2208,2194,2194
2586,2613,2613,2579,2579,2624,2624,2563,2563,2588,2588,2570,2570,2568,2568,2591,2591,2583,2583,2586,2586,2613,2613,2579,2579,2624,2624,2563,2563,2588,2588,2570,2570,2568,2568,2591,2591
3706,3707,3707,3705,3705,3704,3704,3705,3705,3708,3708,3706,3706,3708,3708,3709,3709,3706,3706,3706,3706,3707,3707,3705,3705,3704,3704,3705,3705,3708,3708,3706,3706,3708,3708,3709,3709
3555,3554,3554,3557,3557,3558,3558,3554,3554,3556,3556,3557,3557,3556,3556,3555,3555,3556,3556,3555,3555,3554,3554,3557,3557,3558,3558,3554,3554,3556,3556,3557,3557,3556,3556,3555,3555
3336,3334,3334,3340,3340,3336,3336,3342,3342,3335,3335,3342,3342,3337,3337,3336,3336,3334,3334,3336,3336,3334,3334,3340,3340,3336,3336,3342,3342,3335,3335,3342,3342,3337,3337,3336,3336
2202,2160,2160,2314,2314,2124,2124,2327,2327,2165,2165,2216,2216,2213,2213,2182,2182,2190,2190,2202,2202,2160,2160,2314,2314,2124,2124,2327,2327,2165,2165,2216,2216,2213,2213,2182,2182
2041,2045,2045,1954,1954,1978,1978,1907,1907,1865,1865,1882,1882,2038,2038,1972,1972,1936,1936,2041,2041,2045,2045,1954,1954,1978,1978,1907,1907,1865,1865,1882,1882,2038,2038,1972,1972
1946,1886,1886,1814,1814,1933,1933,1949,1949,1914,1914,1912,1912,2026,2026,1843,1843,1863,1863,1946,1946,1886,1886,1814,1814,1933,1933,1949,1949,1914,1914,1912,1912,2026,2026,1843,1843
2003,1987,1987,1860,1860,1715,1715,1823,1823,1956,1956,1721,1721,1894,1894,1707,1707,1983,1983,2003,2003,1987,1987,1860,1860,1715,1715,1823,1823,1956,1956,1721,1721,1894,1894,1707,1707
1899,1765,1765,1785,1785,1849,1849,1903,1903,1766,1766,1904,1904,1995,1995,1813,1813,2023,2023,1899,1899,1765,1765,1785,1785,1849,1849,1903,1903,1766,1766,1904,1904,1995,1995,1813,1813
1703,1889,1889,1677,1677,1847,1847,1726,1726,1870,1870,1680,1680,1904,1904,1888,1888,1834,1834,1703,1703,1889,1889,1677,1677,1847,1847,1726,1726,1870,1870,1680,1680,1904,1904,1888,1888
1662,1974,1974,1786,1786,1953,1953,1797,1797,1880,1880,1741,1741,1993,1993,1899,1899,1859,1859,1662,1662,1974,1974,1786,1786,1953,1953,1797,1797,1880,1880,1741,1741,1993,1993,1899,1899
1808,1792,1792,1728,1728,1926,1926,1827,1827,1937,1937,1862,1862,1924,1924,2100,2100,1903,1903,1808,1808,1792,1792,1728,1728,1926,1926,1827,1827,1937,1937,1862,1862,1924,1924,2100,2100
1792,1885,1885,1761,1761,1899,1899,1812,1812,1952,1952,1903,1903,1950,1950,1961,1961,1967,1967,1792,1792,1885,1885,1761,1761,1899,1899,1812,1812,1952,1952,1903,1903,1950,1950,1961,1961
1839,1899,1899,1877,1877,1808,1808,1734,1734,2050,2050,1939,1939,1724,1724,1827,1827,1894,1894,1839,1839,1899,1899,1877,1877,1808,1808,1734,1734,2050,2050,1939,1939,1724,1724,1827,1827
1878,1903,1903,1974,1974,1890,1890,1817,1817,1831,1831,1966,1966,1775,1775,1813,1813,1867,1867,1878,1878,1903,1903,1974,1974,1890,1890,1817,1817,1831,1831,1966,1966,1775,1775,1813,1813
1859,1787,1787,1906,1906,1892,1892,2054,2054,1879,1879,1915,1915,1989,1989,1914,1914,1973,1973,1859,1859,1787,1787,1906,1906,1892,1892,2054,2054,1879,1879,1915,1915,1989,1989,1914,1914
2212,2281,2281,2292,2292,2248,2248,2163,2163,2265,2265,2230,2230,2192,2192,2188,2188,2258,2258,2212,2212,2281,2281,2292,2292,2248,2248,2163,2163,2265,2265,2230,2230,2192,2192,2188,2188
3319,3323,3323,3323,3323,3324,3324,3321,3321,3325,3325,3323,3323,3327,3327,3324,3324,3325,3325,3319,3319,3323,3323,3323,3323,3324,3324,3321,3321,3325,3325,3323,3323,3327,3327,3324,3324
2573,2624,2624,2593,2593,2558,2558,2646,2646,2649,2649,2627,2627,2618,2618,2633,2633,2642,2642,2573,2573,2624,2624,2593,2593,2558,2558,2646,2646,2649,2649,2627,2627,2618,2618,2633,2633
2360,2400,2400,2379,2379,2356,2356,2424,2424,2414,2414,2444,2444,2402,2402,2368,2368,2411,2411,2360,2360,2400,2400,2379,2379,2356,2356,2424,2424,2414,2414,2444,2444,2402,2402,2368,2368
1780,1929,1929,1941,1941,1937,1937,1953,1953,1848,1848,1950,1950,1725,1725,1877,1877,2011,2011,1780,1780,1929,1929,1941,1941,1937,1937,1953,1953,1848,1848,1950,1950,1725,1725,1877,1877
1919,1875,1875,1915,1915,1776,1776,1969,1969,1798,1798,1755,1755,1856,1856,1831,1831,1871,1871,1919,1919,1875,1875,1915,1915,1776,1776,1969,1969,1798,1798,1755,1755,1856,1856,1831,1831
1909,1845,1845,1874,1874,1751,1751,1990,1990,1964,1964,1653,1653,1961,1961,1766,1766,1925,1925,1909,1909,1845,1845,1874,1874,1751,1751,1990,1990,1964,1964,1653,1653,1961,1961,1766,1766
1992,1874,1874,1869,1869,1806,1806,1868,1868,1973,1973,1846,1846,1862,1862,1820,1820,1937,1937,1992,1992,1874,1874,1869,1869,1806,1806,1868,1868,1973,1973,1846,1846,1862,1862,1820,1820
1927,1777,1777,1821,1821,1859,1859,1807,1807,1914,1914,1860,1860,1888,1888,1841,1841,1916,1916,1927,1927,1777,1777,1821,1821,1859,1859,1807,1807,1914,1914,1860,1860,1888,1888,1841,1841
1795,1840,1840,1880,1880,1887,1887,1815,1815,1850,1850,1819,1819,1842,1842,1756,1756,1907,1907,1795,1795,1840,1840,1880,1880,1887,1887,1815,1815,1850,1850,1819,1819,1842,1842,1756,1756
1751,1862,1862,1948,1948,1990,1990,1971,1971,1967,1967,1927,1927,1891,1891,1923,1923,1898,1898,1751,1751,1862,1862,1948,1948,1990,1990,1971,1971,1967,1967,1927,1927,1891,1891,1923,1923
1688,1935,1935,1888,1888,1984,1984,1892,1892,1858,1858,1831,1831,1805,1805,2047,2047,1851,1851,1688,1688,1935,1935,1888,1888,1984,1984,1892,1892,1858,1858,1831,1831,1805,1805,2047,2047
1863,2002,2002,1849,1849,1882,1882,1663,1663,1930,1930,1812,1812,1905,1905,1916,1916,1915,1915,1863,1863,2002,2002,1849,1849,1882,1882,1663,1663,1930,1930,1812,1812,1905,1905,1916,1916
1946,1965,1965,1884,1884,1953,1953,1784,1784,2009,2009,1964,1964,1896,1896,1864,1864,1842,1842,1946,1946,1965,1965,1884,1884,1953,1953,1784,1784,2009,2009,1964,1964,1896,1896,1864,1864
1886,1985,1985,1858,1858,1943,1943,1890,1890,1875,1875,1969,1969,1785,1785,1953,1953,1835,1835,1886,1886,1985,1985,1858,1858,1943,1943,1890,1890,1875,1875,1969,1969,1785,1785,1953,1953
1841,1866,1866,1852,1852,1922,1922,1837,1837,1905,1905,1730,1730,1912,1912,1937,1937,1774,1774,1841,1841,1866,1866,1852,1852,1922,1922,1837,1837,1905,1905,1730,1730,1912,1912,1937,1937
1805,1908,1908,1897,1897,1918,1918,1860,1860,1958,1958,1821,1821,1892,1892,1931,1931,1670,1670,1805,1805,1908,1908,1897,1897,1918,1918,1860,1860,1958,1958,1821,1821,1892,1892,1931,1931
2304,2377,2377,2400,2400,2287,2287,2430,2430,2439,2439,2367,2367,2406,2406,2413,2413,2414,2414,2304,2304,2377,2377,2400,2400,2287,2287,2430,2430,2439,2439,2367,2367,2406,2406,2413,2413
2037,2029,2029,2006,2006,2127,2127,2136,2136,2037,2037,1981,1981,2000,2000,1999,1999,2076,2076,2037,2037,2029,2029,2006,2006,2127,2127,2136,2136,2037,2037,1981,1981,2000,2000,1999,1999
1894,2092,2092,2068,2068,1986,1986,2120,2120,1892,1892,2008,2008,1881,1881,2061,2061,1983,1983,1894,1894,2092,2092,2068,2068,1986,1986,2120,2120,1892,1892,2008,2008,1881,1881,2061,2061
1883,1949,1949,1906,1906,1842,1842,2002,2002,1956,1956,1962,1962,1917,1917,2007,2007,1920,1920,1883,1883,1949,1949,1906,1906,1842,1842,2002,2002,1956,1956,1962,1962,1917,1917,2007,2007
1950,1920,1920,1936,1936,1991,1991,1947,1947,1865,1865,1906,1906,1888,1888,1734,1734,1876,1876,1950,1950,1920,1920,1936,1936,1991,1991,1947,1947,1865,1865,1906,1906,1888,1888,1734,1734
2004,1868,1868,1854,1854,1920,1920,1944,1944,1889,1889,1789,1789,1916,1916,1476,1476,1866,1866,2004,2004,1868,1868,1854,1854,1920,1920,1944,1944,1889,1889,1789,1789,1916,1916,1476,1476
2098,1712,1712,1971,1971,1821,1821,1967,1967,1958,1958,1917,1917,1978,1978,1672,1672,1839,1839,2098,2098,1712,1712,1971,1971,1821,1821,1967,1967,1958,1958,1917,1917,1978,1978,1672,1672
2035,1713,1713,1821,1821,1929,1929,1780,1780,1924,1924,1900,1900,1871,1871,1890,1890,1758,1758,2035,2035,1713,1713,1821,1821,1929,1929,1780,1780,1924,1924,1900,1900,1871,1871,1890,1890
1898,1910,1910,1958,1958,1869,1869,1837,1837,1825,1825,1912,1912,1924,1924,1868,1868,1877,1877,1898,1898,1910,1910,1958,1958,1869,1869,1837,1837,1825,1825,1912,1912,1924,1924,1868,1868
1874,1836,1836,1892,1892,1900,1900,1968,1968,1963,1963,1823,1823,1935,1935,1868,1868,2011,2011,1874,1874,1836,1836,1892,1892,1900,1900,1968,1968,1963,1963,1823,1823,1935,1935,1868,1868
1786,1952,1952,1966,1966,1955,1955,1952,1952,1887,1887,1830,1830,1888,1888,1791,1791,1856,1856,1786,1786,1952,1952,1966,1966,1955,1955,1952,1952,1887,1887,1830,1830,1888,1888,1791,1791
1885,2022,2022,1926,1926,1930,1930,1853,1853,1924,1924,1544,1544,1949,1949,1850,1850,1954,1954,1885,1885,2022,2022,1926,1926,1930,1930,1853,1853,1924,1924,1544,1544,1949,1949,1850,1850
1866,1995,1995,1914,1914,1881,1881,1785,1785,2008,2008,1789,1789,1934,1934,1816,1816,1839,1839,1866,1866,1995,1995,1914,1914,1881,1881,1785,1785,2008,2008,1789,1789,1934,1934,1816,1816
1924,1923,1923,1959,1959,1892,1892,1746,1746,1993,1993,1851,1851,1981,1981,1926,1926,1928,1928,1924,1924,1923,1923,1959,1959,1892,1892,1746,1746,1993,1993,1851,1851,1981,1981,1926,1926
1753,1777,1777,1899,1899,1957,1957,1781,1781,1835,1835,1755,1755,1925,1925,1915,1915,1827,1827,1753,1753,1777,1777,1899,1899,1957,1957,1781,1781,1835,1835,1755,1755,1925,1925,1915,1915
1876,1730,1730,1816,1816,1958,1958,1859,1859,1953,1953,1801,1801,1979,1979,1994,1994,1688,1688,1876,1876,1730,1730,1816,1816,1958,1958,1859,1859,1953,1953,1801,1801,1979,1979,1994,1994
1991,1967,1967,1935,1935,1876,1876,2023,2023,1965,1965,2038,2038,1962,1962,2051,2051,1911,1911,1991,1991,1967,1967,1935,1935,1876,1876,2023,2023,1965,1965,2038,2038,1962,1962,2051,2051
1840,2104,2104,1992,1992,1987,1987,1999,1999,1929,1929,2065,2065,1825,1825,2111,2111,2099,2099,1840,1840,2104,2104,1992,1992,1987,1987,1999,1999,1929,1929,2065,2065,1825,1825,2111,2111
1968,2149,2149,1899,1899,1939,1939,1911,1911,1671,1671,1791,1791,1883,1883,2058,2058,2008,2008,1968,1968,2149,2149,1899,1899,1939,1939,1911,1911,1671,1671,1791,1791,1883,1883,2058,2058
1896,1911,1911,1892,1892,1892,1892,1837,1837,1925,1925,2051,2051,1996,1996,1907,1907,1967,1967,1896,1896,1911,1911,1892,1892,1892,1892,1837,1837,1925,1925,2051,2051,1996,1996,1907,1907
1906,1928,1928,1925,1925,1946,1946,1899,1899,1880,1880,2040,2040,1921,1921,1862,1862,1959,1959,1906,1906,1928,1928,1925,1925,1946,1946,1899,1899,1880,1880,2040,2040,1921,1921,1862,1862
2039,1943,1943,1831,1831,1943,1943,1886,1886,1930,1930,1861,1861,1796,1796,1798,1798,1962,1962,2039,2039,1943,1943,1831,1831,1943,1943,1886,1886,1930,1930,1861,1861,1796,1796,1798,1798
2053,1912,1912,1940,1940,2007,2007,1934,1934,1967,1967,1812,1812,1901,1901,1827,1827,1876,1876,2053,2053,1912,1912,1940,1940,2007,2007,1934,1934,1967,1967,1812,1812,1901,1901,1827,1827
1959,1832,1832,2044,2044,1888,1888,1899,1899,1907,1907,1874,1874,1951,1951,1986,1986,1905,1905,1959,1959,1832,1832,2044,2044,1888,1888,1899,1899,1907,1907,1874,1874,1951,1951,1986,1986
1858,1854,1854,2014,2014,1865,1865,1941,1941,1891,1891,2014,2014,2004,2004,2064,2064,1971,1971,1858,1858,1854,1854,2014,2014,1865,1865,1941,1941,1891,1891,2014,2014,2004,2004,2064,2064
1762,1676,1676,1912,1912,1889,1889,1950,1950,1901,1901,1987,1987,1943,1943,1922,1922,2037,2037,1762,1762,1676,1676,1912,1912,1889,1889,1950,1950,1901,1901,1987,1987,1943,1943,1922,1922
2001,2007,2007,1795,1795,1694,1694,1897,1897,1946,1946,1929,1929,1857,1857,1725,1725,2028,2028,2001,2001,2007,2007,1795,1795,1694,1694,1897,1897,1946,1946,1929,1929,1857,1857,1725,1725
1817,1975,1975,1857,1857,1805,1805,1771,1771,1871,1871,1760,1760,2022,2022,1829,1829,1914,1914,1817,1817,1975,1975,1857,1857,1805,1805,1771,1771,1871,1871,1760,1760,2022,2022,1829,1829
2041,1852,1852,1936,1936,1949,1949,1896,1896,2036,2036,1683,1683,1983,1983,1841,1841,1891,1891,2041,2041,1852,1852,1936,1936,1949,1949,1896,1896,2036,2036,1683,1683,1983,1983,1841,1841
2024,1954,1954,2027,2027,1963,1963,1921,1921,1848,1848,1885,1885,1984,1984,1927,1927,1832,1832,2024,2024,1954,1954,2027,2027,1963,1963,1921,1921,1848,1848,1885,1885,1984,1984,1927,1927
1781,1903,1903,1889,1889,1919,1919,1961,1961,1915,1915,1987,1987,1883,1883,1748,1748,1894,1894,1781,1781,1903,1903,1889,1889,1919,1919,1961,1961,1915,1915,1987,1987,1883,1883,1748,1748
1854,1900,1900,1912,1912,1968,1968,1969,1969,1963,1963,1902,1902,2011,2011,1976,1976,1875,1875,1854,1854,1900,1900,1912,1912,1968,1968,1969,1969,1963,1963,1902,1902,2011,2011,1976,1976
1903,1936,1936,1977,1977,2008,2008,1801,1801,1946,1946,1971,1971,1929,1929,1881,1881,1960,1960,1903,1903,1936,1936,1977,1977,2008,2008,1801,1801,1946,1946,1971,1971,1929,1929,1881,1881
2073,2060,2060,1992,1992,2081,2081,1911,1911,1874,1874,2014,2014,2137,2137,2029,2029,1941,1941,2073,2073,2060,2060,1992,1992,2081,2081,1911,1911,1874,1874,2014,2014,2137,2137,2029,2029
1975,2008,2008,1838,1838,1980,1980,1978,1978,1840,1840,1937,1937,2076,2076,1996,1996,2070,2070,1975,1975,2008,2008,1838,1838,1980,1980,1978,1978,1840,1840,1937,1937,2076,2076,1996,1996
1974,2000,2000,1946,1946,1958,1958,2003,2003,1871,1871,2069,2069,1979,1979,1831,1831,2031,2031,1974,1974,2000,2000,1946,1946,1958,1958,2003,2003,1871,1871,2069,2069,1979,1979,1831,1831
1969,1815,1815,1907,1907,1949,1949,2010,2010,1911,1911,2037,2037,1951,1951,1935,1935,2041,2041,1969,1969,1815,1815,1907,1907,1949,1949,2010,2010,1911,1911,2037,2037,1951,1951,1935,1935
1937,1806,1806,1927,1927,1927,1927,1976,1976,1979,1979,1958,1958,1915,1915,1952,1952,1998,1998,1937,1937,1806,1806,1927,1927,1927,1927,1976,1976,1979,1979,1958,1958,1915,1915,1952,1952
1946,1899,1899,1847,1847,2049,2049,1871,1871,1839,1839,1735,1735,1952,1952,1923,1923,1901,1901,1946,1946,1899,1899,1847,1847,2049,2049,1871,1871,1839,1839,1735,1735,1952,1952,1923,1923
2001,2011,2011,1992,1992,1947,1947,1884,1884,1984,1984,1881,1881,2039,2039,1865,1865,1861,1861,2001,2001,2011,2011,1992,1992,1947,1947,1884,1884,1984,1984,1881,1881,2039,2039,1865,1865
1871,1967,1967,1977,1977,1925,1925,1785,1785,2019,2019,1866,1866,2092,2092,1987,1987,1972,1972,1871,1871,1967,1967,1977,1977,1925,1925,1785,1785,2019,2019,1866,1866,2092,2092,1987,1987
1948,1913,1913,1857,1857,1952,1952,1879,1879,1942,1942,1979,1979,1962,1962,1979,1979,2087,2087,1948,1948,1913,1913,1857,1857,1952,1952,1879,1879,1942,1942,1979,1979,1962,1962,1979,1979
2034,2093,2093,1846,1846,1873,1873,1985,1985,1933,1933,1759,1759,1979,1979,1857,1857,1995,1995,2034,2034,2093,2093,1846,1846,1873,1873,1985,1985,1933,1933,1759,1759,1979,1979,1857,1857
1942,2044,2044,1933,1933,1808,1808,1887,1887,2015,2015,1866,1866,2013,2013,1948,1948,1892,1892,1942,1942,2044,2044,1933,1933,1808,1808,1887,1887,2015,2015,1866,1866,2013,2013,1948,1948
1962,1936,1936,1913,1913,1836,1836,1946,1946,2005,2005,1909,1909,2017,2017,1987,1987,1964,1964,1962,1962,1936,1936,1913,1913,1836,1836,1946,1946,2005,2005,1909,1909,2017,2017,1987,1987
1882,2040,2040,2033,2033,1748,1748,1917,1917,1807,1807,1756,1756,1831,1831,1958,1958,2014,2014,1882,1882,2040,2040,2033,2033,1748,1748,1917,1917,1807,1807,1756,1756,1831,1831,1958,1958
1887,1937,1937,1897,1897,1876,1876,1953,1953,1897,1897,1909,1909,1951,1951,1957,1957,1877,1877,1887,1887,1937,1937,1897,1897,1876,1876,1953,1953,1897,1897,1909,1909,1951,1951,1957,1957
1816,1929,1929,1879,1879,1974,1974,2000,2000,1927,1927,1960,1960,1986,1986,2124,2124,1878,1878,1816,1816,1929,1929,1879,1879,1974,1974,2000,2000,1927,1927,1960,1960,1986,1986,2124,2124
1714,1982,1982,2011,2011,2054,2054,1972,1972,1819,1819,1982,1982,1966,1966,2118,2118,1817,1817,1714,1714,1982,1982,2011,2011,2054,2054,1972,1972,1819,1819,1982,1982,1966,1966,2118,2118
2031,1953,1953,2071,2071,2035,2035,2070,2070,2056,2056,2078,2078,2045,2045,2112,2112,1996,1996,2031,2031,1953,1953,2071,2071,2035,2035,2070,2070,2056,2056,2078,2078,2045,2045,2112,2112
1963,1898,1898,2025,2025,1995,1995,1967,1967,2126,2126,2056,2056,1934,1934,2075,2075,1844,1844,1963,1963,1898,1898,2025,2025,1995,1995,1967,1967,2126,2126,2056,2056,1934,1934,2075,2075
1999,1924,1924,2029,2029,2023,2023,1958,1958,2085,2085,2047,2047,1946,1946,1882,1882,2090,2090,1999,1999,1924,1924,2029,2029,2023,2023,1958,1958,2085,2085,2047,2047,1946,1946,1882,1882
2083,1933,1933,2090,2090,1940,1940,1993,1993,1969,1969,2065,2065,2022,2022,1861,1861,2141,2141,2083,2083,1933,1933,2090,2090,1940,1940,1993,1993,1969,1969,2065,2065,2022,2022,1861,1861
2004,1988,1988,2040,2040,1916,1916,1773,1773,1959,1959,2035,2035,1974,1974,2029,2029,2037,2037,2004,2004,1988,1988,2040,2040,1916,1916,1773,1773,1959,1959,2035,2035,1974,1974,2029,2029
1911,1937,1937,1929,1929,2021,2021,1754,1754,1971,1971,1693,1693,1936,1936,1875,1875,1928,1928,1911,1911,1937,1937,1929,1929,2021,2021,1754,1754,1971,1971,1693,1693,1936,1936,1875,1875
2017,2079,2079,1829,1829,1951,1951,1848,1848,1974,1974,1878,1878,2072,2072,1936,1936,1926,1926,2017,2017,2079,2079,1829,1829,1951,1951,1848,1848,1974,1974,1878,1878,2072,2072,1936,1936
2068,1941,1941,1892,1892,1871,1871,1890,1890,1885,1885,1874,1874,2147,2147,1942,1942,2008,2008,2068,2068,1941,1941,1892,1892,1871,1871,1890,1890,1885,1885,1874,1874,2147,2147,1942,1942
