data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3921,3922,3922,3920,3920,3921,3921,3921,3921,3923,3923,3922,3922,3922,3922,3923,3923
3701,3700,3700,3701,3701,3705,3705,3703,3703,3704,3704,3702,3702,3703,3703,3703,3703
2615,2576,2576,2582,2582,2564,2564,2611,2611,2551,2551,2577,2577,2557,2557,2620,2620
2175,2205,2205,2319,2319,2218,2218,2206,2206,2287,2287,2299,2299,2266,2266,2162,2162
2109,2045,2045,2044,2044,2047,2047,2051,2051,2048,2048,2000,2000,1745,1745,2061,2061
2188,2090,2090,2076,2076,1934,1934,1948,1948,2138,2138,2085,2085,2055,2055,2017,2017
2040,2073,2073,1983,1983,2018,2018,1978,1978,2054,2054,1964,1964,1984,1984,1994,1994
1995,1844,1844,1858,1858,1996,1996,2018,2018,1990,1990,1987,1987,1904,1904,1995,1995
1988,2048,2048,2013,2013,1985,1985,2041,2041,1898,1898,1831,1831,1844,1844,2006,2006
1884,1885,1885,2066,2066,1997,1997,2053,2053,2011,2011,2000,2000,1809,1809,1859,1859
2072,1917,1917,2103,2103,1934,1934,2044,2044,2172,2172,2099,2099,1809,1809,1938,1938
2132,2076,2076,2175,2175,2035,2035,2053,2053,1899,1899,2096,2096,2021,2021,1996,1996
1982,2072,2072,2122,2122,2039,2039,1961,1961,2160,2160,2053,2053,2105,2105,2052,2052
2184,2354,2354,2217,2217,2254,2254,2314,2314,2241,2241,2272,2272,2270,2270,2285,2285
2595,2565,2565,2597,2597,2551,2551,2520,2520,2603,2603,2618,2618,2519,2519,2527,2527
3698,3696,3696,3695,3695,3694,3694,3694,3694,3699,3699,3698,3698,3693,3693,3692,3692
3931,3930,3930,3929,3929,3930,3930,3931,3931,3931,3931,3930,3930,3929,3929,3928,3928
3716,3714,3714,3715,3715,3719,3719,3719,3719,3716,3716,3715,3715,3716,3716,3716,3716
2599,2583,2583,2590,2590,2625,2625,2602,2602,2590,2590,2587,2587,2583,2583,2591,2591
2144,2271,2271,2297,2297,2193,2193,2170,2170,2251,2251,2241,2241,2209,2209,2109,2109
2047,1997,1997,1973,1973,1833,1833,1961,1961,1948,1948,1992,1992,1848,1848,1996,1996
2055,1969,1969,2031,2031,1667,1667,1986,1986,2001,2001,2001,2001,1954,1954,2092,2092
1904,2030,2030,1925,1925,1919,1919,1939,1939,2004,2004,1870,1870,1867,1867,1943,1943
1866,1837,1837,1930,1930,1912,1912,1810,1810,2055,2055,2008,2008,1751,1751,1858,1858
1871,1896,1896,1832,1832,2004,2004,1931,1931,1911,1911,1941,1941,1729,1729,1832,1832
1899,1907,1907,1926,1926,1953,1953,1954,1954,1977,1977,1911,1911,1745,1745,1865,1865
2005,2021,2021,2023,2023,1855,1855,1972,1972,2092,2092,1883,1883,1812,1812,1905,1905
2017,2009,2009,2038,2038,1929,1929,2028,2028,1891,1891,2078,2078,1969,1969,2080,2080
1918,1889,1889,1988,1988,2052,2052,1911,1911,1926,1926,1966,1966,2158,2158,2007,2007
2196,2313,2313,2221,2221,2180,2180,2287,2287,2291,2291,2256,2256,2270,2270,2251,2251
2577,2570,2570,2601,2601,2573,2573,2534,2534,2579,2579,2611,2611,2559,2559,2567,2567
3705,3705,3705,3704,3704,3705,3705,3703,3703,3707,3707,3708,3708,3702,3702,3703,3703
3556,3555,3555,3554,3554,3555,3555,3556,3556,3555,3555,3556,3556,3553,3553,3553,3553
3339,3338,3338,3336,3336,3343,3343,3336,3336,3338,3338,3337,3337,3333,3333,3334,3334
2260,2257,2257,2218,2218,2301,2301,2153,2153,2205,2205,2260,2260,2231,2231,2227,2227
2007,1922,1922,1977,1977,1978,1978,1946,1946,1967,1967,2033,2033,1926,1926,1989,1989
1821,1841,1841,1750,1750,1957,1957,1807,1807,1877,1877,1956,1956,1746,1746,1828,1828
1909,1897,1897,1893,1893,1866,1866,1635,1635,2009,2009,1919,1919,1785,1785,1802,1802
1810,1996,1996,1941,1941,1778,1778,1848,1848,2010,2010,1904,1904,1899,1899,1786,1786
1861,1921,1921,1996,1996,1812,1812,1785,1785,2052,2052,1929,1929,1770,1770,1690,1690
1832,1984,1984,1988,1988,1829,1829,1853,1853,1957,1957,1844,1844,1721,1721,1910,1910
1845,1985,1985,1888,1888,1913,1913,1916,1916,1836,1836,1753,1753,1805,1805,1940,1940
1843,2004,2004,1884,1884,1701,1701,1914,1914,1872,1872,1921,1921,1683,1683,1796,1796
1899,1846,1846,1881,1881,1721,1721,1951,1951,1759,1759,1982,1982,1701,1701,1905,1905
1811,1868,1868,1899,1899,1887,1887,1759,1759,1826,1826,1920,1920,1963,1963,1703,1703
2072,2070,2070,1885,1885,1827,1827,1845,1845,2080,2080,1904,1904,1967,1967,1902,1902
2024,2199,2199,2241,2241,2211,2211,2160,2160,2180,2180,2215,2215,2233,2233,2210,2210
3319,3322,3322,3319,3319,3325,3325,3319,3319,3325,3325,3321,3321,3320,3320,3325,3325
2652,2615,2615,2602,2602,2638,2638,2594,2594,2630,2630,2632,2632,2588,2588,2614,2614
2447,2423,2423,2399,2399,2422,2422,2377,2377,2393,2393,2429,2429,2348,2348,2390,2390
1949,1911,1911,1929,1929,1929,1929,1837,1837,1832,1832,1841,1841,1924,1924,1685,1685
1843,1837,1837,1836,1836,1949,1949,1866,1866,1977,1977,1840,1840,1914,1914,1967,1967
1825,1770,1770,1760,1760,2014,2014,1964,1964,1945,1945,1820,1820,1840,1840,1913,1913
1854,1830,1830,1851,1851,1839,1839,1941,1941,2040,2040,1830,1830,1728,1728,1773,1773
1867,1960,1960,1957,1957,1860,1860,1824,1824,1993,1993,1942,1942,1861,1861,1851,1851
1752,1903,1903,1932,1932,1921,1921,1804,1804,1949,1949,1949,1949,1840,1840,1890,1890
1773,1917,1917,1960,1960,1824,1824,1868,1868,1862,1862,1907,1907,1978,1978,1964,1964
1863,1946,1946,1821,1821,1932,1932,1839,1839,1859,1859,1828,1828,1863,1863,1976,1976
1923,1875,1875,1955,1955,1889,1889,1934,1934,1896,1896,1711,1711,1676,1676,1763,1763
1958,1811,1811,1945,1945,1925,1925,1899,1899,1877,1877,1902,1902,1589,1589,1863,1863
1888,1891,1891,1876,1876,1896,1896,1918,1918,1891,1891,2014,2014,1678,1678,1852,1852
1948,1976,1976,1615,1615,1832,1832,1876,1876,1945,1945,1908,1908,1724,1724,1832,1832
1958,1902,1902,1650,1650,1617,1617,1964,1964,1757,1757,1809,1809,1683,1683,1864,1864
2410,2372,2372,2389,2389,2419,2419,2367,2367,2414,2414,2416,2416,2393,2393,2380,2380
2031,2028,2028,2043,2043,2085,2085,1973,1973,1848,1848,2055,2055,2144,2144,1927,1927
2038,2022,2022,1936,1936,2028,2028,2042,2042,1724,1724,1968,1968,1947,1947,1861,1861
1751,1976,1976,1685,1685,1965,1965,1883,1883,1869,1869,1895,1895,1927,1927,1961,1961
1987,1983,1983,1806,1806,1991,1991,1778,1778,1759,1759,1923,1923,2046,2046,1993,1993
1982,1999,1999,1883,1883,1954,1954,1859,1859,1813,1813,1780,1780,1967,1967,2036,2036
1750,1980,1980,1724,1724,1934,1934,2055,2055,2011,2011,1774,1774,1857,1857,1845,1845
1796,1944,1944,1926,1926,1952,1952,1925,1925,1935,1935,1954,1954,1858,1858,1819,1819
1844,1864,1864,1850,1850,1987,1987,1821,1821,1732,1732,1942,1942,1871,1871,1930,1930
1687,1921,1921,1928,1928,1827,1827,1843,1843,1870,1870,2046,2046,1989,1989,1986,1986
1901,1823,1823,1819,1819,1945,1945,1782,1782,1862,1862,1970,1970,1942,1942,1909,1909
1997,1821,1821,1948,1948,1968,1968,1929,1929,1815,1815,1841,1841,1828,1828,1772,1772
2053,1724,1724,1992,1992,1891,1891,1947,1947,1913,1913,1937,1937,1873,1873,1852,1852
1827,1856,1856,2019,2019,1918,1918,1870,1870,1977,1977,1958,1958,1755,1755,1961,1961
1909,1985,1985,1860,1860,1783,1783,1899,1899,1956,1956,1695,1695,1641,1641,1882,1882
1901,1933,1933,1631,1631,1878,1878,1895,1895,1788,1788,1849,1849,1785,1785,2034,2034
1962,1995,1995,1805,1805,1956,1956,1868,1868,1917,1917,2006,2006,2016,2016,2008,2008
2092,2059,2059,1898,1898,2004,2004,2116,2116,1920,1920,2054,2054,2001,2001,1908,1908
1883,2052,2052,1813,1813,1852,1852,2050,2050,2005,2005,2087,2087,2014,2014,1985,1985
1936,2015,2015,1773,1773,1916,1916,1883,1883,1899,1899,1965,1965,1992,1992,2074,2074
2100,2029,2029,1939,1939,1940,1940,1959,1959,1842,1842,1875,1875,1905,1905,1997,1997
1986,2018,2018,1884,1884,2034,2034,1891,1891,1980,1980,1882,1882,1987,1987,1983,1983
1645,1992,1992,1956,1956,2013,2013,1988,1988,2033,2033,1891,1891,2024,2024,1859,1859
1744,1962,1962,1815,1815,2081,2081,1964,1964,1888,1888,1993,1993,1977,1977,1970,1970
1707,1874,1874,1860,1860,2113,2113,1911,1911,1884,1884,1960,1960,1877,1877,1958,1958
1796,1908,1908,1967,1967,2072,2072,1893,1893,1973,1973,2032,2032,1974,1974,2081,2081
1812,1916,1916,1950,1950,2023,2023,1916,1916,2009,2009,2068,2068,1936,1936,2042,2042
2006,1881,1881,1781,1781,1915,1915,1884,1884,1951,1951,2086,2086,1888,1888,1988,1988
1940,1881,1881,1863,1863,1899,1899,1872,1872,1951,1951,2007,2007,1862,1862,1880,1880
1908,1849,1849,1980,1980,1934,1934,1910,1910,2021,2021,2046,2046,1891,1891,1925,1925
1845,1915,1915,1893,1893,1988,1988,2013,2013,1882,1882,2068,2068,1960,1960,1945,1945
1896,1946,1946,1885,1885,1924,1924,1869,1869,1861,1861,2043,2043,1957,1957,1931,1931
2076,1983,1983,2020,2020,1998,1998,1928,1928,1811,1811,1972,1972,2058,2058,1863,1863
2006,1931,1931,1990,1990,1951,1951,2171,2171,2116,2116,1884,1884,2020,2020,2111,2111
1968,1989,1989,1892,1892,1946,1946,1937,1937,1874,1874,1650,1650,1938,1938,2033,2033
1973,1962,1962,1788,1788,1877,1877,1917,1917,2023,2023,1852,1852,1715,1715,2029,2029
2028,1785,1785,1994,1994,1834,1834,2006,2006,1936,1936,1958,1958,1817,1817,1950,1950
1935,1818,1818,1961,1961,1867,1867,1988,1988,2036,2036,1933,1933,1838,1838,1889,1889
1811,1907,1907,1979,1979,1916,1916,1840,1840,2070,2070,1932,1932,2010,2010,1982,1982
1997,1968,1968,1857,1857,2066,2066,2045,2045,1797,1797,2039,2039,2041,2041,1955,1955
1974,1844,1844,1942,1942,2191,2191,2057,2057,1928,1928,2000,2000,2009,2009,2007,2007
2021,1874,1874,1942,1942,2103,2103,1962,1962,1940,1940,2087,2087,1949,1949,2041,2041
1817,1890,1890,1821,1821,2085,2085,1903,1903,1890,1890,2124,2124,1950,1950,2029,2029
1874,1919,1919,1882,1882,1846,1846,1947,1947,1928,1928,2048,2048,1874,1874,2026,2026
1814,1886,1886,2006,2006,1898,1898,1861,1861,2040,2040,1913,1913,1861,1861,1969,1969
1733,1965,1965,2005,2005,1998,1998,1867,1867,1981,1981,1654,1654,1925,1925,1882,1882
1819,2085,2085,1935,1935,2002,2002,2030,2030,2024,2024,2053,2053,1951,1951,1823,1823
1979,1979,1979,1837,1837,2025,2025,1945,1945,1849,1849,2088,2088,1982,1982,1787,1787
1985,1940,1940,1781,1781,1896,1896,2035,2035,2011,2011,1933,1933,2032,2032,2067,2067
2095,2039,2039,2095,2095,2091,2091,2135,2135,1985,1985,2009,2009,1936,1936,1929,1929
2117,1923,1923,2055,2055,2018,2018,2058,2058,2077,2077,2005,2005,1892,1892,2012,2012
1906,2030,2030,1855,1855,2003,2003,2005,2005,2018,2018,1889,1889,1862,1862,1930,1930
1798,1980,1980,1945,1945,1985,1985,2049,2049,1990,1990,1837,1837,1930,1930,1995,1995
1917,1778,1778,1997,1997,2019,2019,1905,1905,1792,1792,1792,1792,1962,1962,1925,1925
1902,1918,1918,1914,1914,2076,2076,2050,2050,1839,1839,2008,2008,2003,2003,2004,2004
2099,1883,1883,1927,1927,2092,2092,2009,2009,2017,2017,1996,1996,1949,1949,2039,2039
2036,1863,1863,2006,2006,2117,2117,2015,2015,2029,2029,1922,1922,1966,1966,2082,2082
1942,1871,1871,1758,1758,2041,2041,1981,1981,2054,2054,1885,1885,1921,1921,1923,1923
1858,1892,1892,1999,1999,1890,1890,1948,1948,1966,1966,1976,1976,1917,1917,1999,1999
1842,2017,2017,1904,1904,1942,1942,1951,1951,1907,1907,1940,1940,1938,1938,1950,1950
1979,1894,1894,1972,1972,1953,1953,1909,1909,2046,2046,1920,1920,1958,1958,1762,1762
1964,1994,1994,1935,1935,1977,1977,1667,1667,1862,1862,1925,1925,1996,1996,1812,1812
1933,1938,1938,1769,1769,1915,1915,1925,1925,1962,1962,2036,2036,2003,2003,1905,1905
2013,2032,2032,1889,1889,1932,1932,1982,1982,1943,1943,1917,1917,2013,2013,1967,1967
1991,2110,2110,1911,1911,2079,2079,1920,1920,1922,1922,2010,2010,1838,1838,2011,2011
2060,1989,1989,2105,2105,1994,1994,2230,2230,2120,2120,2092,2092,2068,2068,2142,2142
2045,1943,1943,2163,2163,1971,1971,2149,2149,2088,2088,1973,1973,2076,2076,2162,2162
1973,2024,2024,2012,2012,2020,2020,1978,1978,2068,2068,1901,1901,1953,1953,2100,2100
1993,1954,1954,2007,2007,2017,2017,2013,2013,2089,2089,1990,1990,1947,1947,1931,1931
1901,1916,1916,1943,1943,2066,2066,2056,2056,1942,1942,1954,1954,2028,2028,1902,1902
1991,1938,1938,1961,1961,2027,2027,2111,2111,1833,1833,2097,2097,1827,1827,2007,2007
1927,1958,1958,2024,2024,2065,2065,1926,1926,1951,1951,1937,1937,1919,1919,2049,2049
1884,1968,1968,1908,1908,2103,2103,1874,1874,2095,2095,1940,1940,1855,1855,2027,2027
1936,2101,2101,1993,1993,1932,1932,1897,1897,2110,2110,1966,1966,1975,1975,1924,1924
1904,2012,2012,1902,1902,1979,1979,1780,1780,1922,1922,1995,1995,1956,1956,2059,2059
1888,2010,2010,1800,1800,1993,1993,1889,1889,1829,1829,1885,1885,1979,1979,1883,1883
2021,1960,1960,1941,1941,2030,2030,1904,1904,1961,1961,1987,1987,1900,1900,1821,1821
2028,2033,2033,1899,1899,2083,2083,1927,1927,2025,2025,2040,2040,1887,1887,1906,1906
1930,1957,1957,1940,1940,2013,2013,1891,1891,1943,1943,2012,2012,1828,1828,2020,2020
2012,1941,1941,1903,1903,1962,1962,1905,1905,2021,2021,1976,1976,2030,2030,1955,1955
2064,2012,2012,1940,1940,2016,2016,2048,2048,2030,2030,2031,2031,2045,2045,1951,1951
1953,1966,1966,2123,2123,2140,2140,2234,2234,2159,2159,2124,2124,2097,2097,2102,2102
1990,2070,2070,2171,2171,1974,1974,2047,2047,2054,2054,2076,2076,2056,2056,2079,2079
1881,2076,2076,2107,2107,1913,1913,2078,2078,2037,2037,2031,2031,2061,2061,2051,2051
1972,2007,2007,1950,1950,2094,2094,2060,2060,2021,2021,2102,2102,1929,1929,1996,1996
1927,1852,1852,1921,1921,2133,2133,2059,2059,2059,2059,2068,2068,1824,1824,2051,2051
1938,1956,1956,1879,1879,1950,1950,2092,2092,2080,2080,2114,2114,1929,1929,2174,2174
1905,2059,2059,1852,1852,1895,1895,2079,2079,2061,2061,1972,1972,2014,2014,2122,2122
1878,2002,2002,1958,1958,2092,2092,1925,1925,2105,2105,1970,1970,1985,1985,2049,2049
1985,2117,2117,1954,1954,2018,2018,2036,2036,2036,2036,2052,2052,2038,2038,1955,1955
2000,2040,2040,1885,1885,2122,2122,2098,2098,1831,1831,2067,2067,2063,2063,2037,2037
1981,1996,1996,1982,1982,2150,2150,2030,2030,2039,2039,1927,1927,2005,2005,1925,1925
2017,2003,2003,1934,1934,2059,2059,1958,1958,1954,1954,2057,2057,1974,1974,1977,1977
1994,1980,1980,2032,2032,2094,2094,1990,1990,1943,1943,2050,2050,1959,1959,2045,2045
1827,1924,1924,2044,2044,2069,2069,2031,2031,2068,2068,1944,1944,1921,1921,2184,2184
1982,1840,1840,1840,1840,1996,1996,1859,1859,2077,2077,1895,1895,2122,2122,2066,2066
2035,2012,2012,1854,1854,2052,2052,2115,2115,2034,2034,1987,1987,2042,2042,1979,1979
2257,2170,2170,2247,2247,2209,2209,2345,2345,2078,2078,2113,2113,2100,2100,2266,2266
2008,1991,1991,2170,2170,2070,2070,2151,2151,2122,2122,2075,2075,2157,2157,1906,1906
1985,2081,2081,1988,1988,1906,1906,1954,1954,2039,2039,2121,2121,1973,1973,2034,2034
2024,1934,1934,1947,1947,2041,2041,1984,1984,2014,2014,2176,2176,1784,1784,2071,2071
1899,1912,1912,1930,1930,2089,2089,2121,2121,2001,2001,2082,2082,2023,2023,2104,2104
1991,2053,2053,1734,1734,1971,1971,2140,2140,1941,1941,2017,2017,2053,2053,2112,2112
2092,1961,1961,1941,1941,2041,2041,2189,2189,2057,2057,2082,2082,2041,2041,2130,2130
