data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3927,3924,3924,3925,3925,3919,3919,3921,3921,3921,3921,3915,3915,3921,3921,3917,3917
3709,3707,3707,3708,3708,3698,3698,3705,3705,3704,3704,3697,3697,3702,3702,3700,3700
2537,2549,2549,2591,2591,2543,2543,2596,2596,2573,2573,2540,2540,2563,2563,2636,2636
2328,2260,2260,2246,2246,2219,2219,2209,2209,2236,2236,2192,2192,2204,2204,2195,2195
2144,2180,2180,2136,2136,2104,2104,2140,2140,2149,2149,1915,1915,2036,2036,1959,1959
2010,1986,1986,1989,1989,1988,1988,2008,2008,2078,2078,1918,1918,2136,2136,2082,2082
2121,1925,1925,1973,1973,1967,1967,2055,2055,2025,2025,1929,1929,2081,2081,2067,2067
2052,2031,2031,1932,1932,1893,1893,2159,2159,1916,1916,2005,2005,2122,2122,1991,1991
1847,2050,2050,2004,2004,1977,1977,1989,1989,1959,1959,2115,2115,1959,1959,2109,2109
1941,1763,1763,2044,2044,2063,2063,2055,2055,2015,2015,2126,2126,2027,2027,1933,1933
1936,1829,1829,2119,2119,2007,2007,2023,2023,1966,1966,2117,2117,2006,2006,1955,1955
1919,2033,2033,2018,2018,1959,1959,2151,2151,2088,2088,2076,2076,1942,1942,2054,2054
1846,2154,2154,2075,2075,2087,2087,2074,2074,2170,2170,2179,2179,2129,2129,2079,2079
2279,2107,2107,2216,2216,2198,2198,2140,2140,2215,2215,2176,2176,2284,2284,1888,1888
2572,2600,2600,2632,2632,2603,2603,2585,2585,2641,2641,2580,2580,2459,2459,2632,2632
3704,3701,3701,3702,3702,3695,3695,3691,3691,3701,3701,3689,3689,3694,3694,3698,3698
3935,3933,3933,3933,3933,3931,3931,3931,3931,3931,3931,3927,3927,3933,3933,3929,3929
3719,3715,3715,3719,3719,3715,3715,3717,3717,3717,3717,3711,3711,3715,3715,3713,3713
2566,2555,2555,2578,2578,2566,2566,2612,2612,2596,2596,2575,2575,2572,2572,2614,2614
2256,2251,2251,2245,2245,2174,2174,2145,2145,2232,2232,2202,2202,2195,2195,2186,2186
