data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3928,3928,3928,3926,3926,3925,3925,3928,3928,3925,3925,3925,3925,3928,3928,3924,3924
3705,3704,3704,3707,3707,3707,3707,3708,3708,3708,3708,3702,3702,3709,3709,3704,3704
2548,2545,2545,2568,2568,2610,2610,2604,2604,2638,2638,2549,2549,2525,2525,2562,2562
2242,2343,2343,2255,2255,2109,2109,2250,2250,2288,2288,2290,2290,2345,2345,2216,2216
1908,2048,2048,2044,2044,2006,2006,2143,2143,2169,2169,2190,2190,1948,1948,2132,2132
1941,1949,1949,1947,1947,2134,2134,2024,2024,2095,2095,2118,2118,2044,2044,2008,2008
1796,1950,1950,1854,1854,2004,2004,2122,2122,1868,1868,1988,1988,2020,2020,2001,2001
1961,1997,1997,1920,1920,2075,2075,2050,2050,1997,1997,1938,1938,2079,2079,1902,1902
2060,2031,2031,1884,1884,2087,2087,1979,1979,2006,2006,1763,1763,2099,2099,1977,1977
1956,2123,2123,1963,1963,2138,2138,2088,2088,1881,1881,1972,1972,2010,2010,2003,2003
1881,2007,2007,1990,1990,2122,2122,2019,2019,1900,1900,2015,2015,1854,1854,2122,2122
1981,2058,2058,2089,2089,1971,1971,2048,2048,1980,1980,2084,2084,2064,2064,2099,2099
2181,1993,1993,2177,2177,1976,1976,2076,2076,2263,2263,1987,1987,2153,2153,2142,2142
2285,2264,2264,2279,2279,2316,2316,2218,2218,2174,2174,2278,2278,2246,2246,2109,2109
2552,2571,2571,2612,2612,2523,2523,2578,2578,2555,2555,2558,2558,2571,2571,2629,2629
3702,3702,3702,3702,3702,3702,3702,3699,3699,3698,3698,3701,3701,3702,3702,3699,3699
3933,3934,3934,3936,3936,3936,3936,3933,3933,3935,3935,3933,3933,3936,3936,3934,3934
3719,3718,3718,3721,3721,3723,3723,3723,3723,3722,3722,3721,3721,3722,3722,3719,3719
2557,2574,2574,2604,2604,2623,2623,2627,2627,2637,2637,2580,2580,2537,2537,2566,2566
2276,2278,2278,2209,2209,2176,2176,2163,2163,2246,2246,2273,2273,2323,2323,2318,2318
1918,1972,1972,2044,2044,1992,1992,2115,2115,2042,2042,2073,2073,1831,1831,2051,2051
1987,1932,1932,1993,1993,2015,2015,1882,1882,1900,1900,1923,1923,2017,2017,2099,2099
1957,1846,1846,1995,1995,1804,1804,2007,2007,1984,1984,1963,1963,1943,1943,1830,1830
1834,1963,1963,1883,1883,1899,1899,1990,1990,1872,1872,1616,1616,2050,2050,1946,1946
1898,1950,1950,1792,1792,2061,2061,1864,1864,1628,1628,1774,1774,1980,1980,1957,1957
1893,2087,2087,1837,1837,2024,2024,1848,1848,1885,1885,2014,2014,1876,1876,1831,1831
2020,2031,2031,1979,1979,2021,2021,2004,2004,1833,1833,1974,1974,1730,1730,1930,1930
1947,1989,1989,1950,1950,1977,1977,1988,1988,1777,1777,2041,2041,1875,1875,1878,1878
