data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3842,3842,3842,3848,3848,3840,3840,3840,3840,3845,3845,3841,3841,3845,3845,3844,3844
3618,3627,3627,3635,3635,3621,3621,3627,3627,3630,3630,3627,3627,3630,3630,3627,3627
2478,2489,2489,2578,2578,2424,2424,2515,2515,2521,2521,2499,2499,2459,2459,2489,2489
2098,2294,2294,2117,2117,2296,2296,2230,2230,2207,2207,2300,2300,2204,2204,2275,2275
1949,2132,2132,2090,2090,1979,1979,1954,1954,2041,2041,2011,2011,2070,2070,2042,2042
2045,2095,2095,2051,2051,1960,1960,1999,1999,2020,2020,1875,1875,2118,2118,1912,1912
1970,2203,2203,2110,2110,2101,2101,1830,1830,1935,1935,1872,1872,2023,2023,2052,2052
2019,2227,2227,2079,2079,2061,2061,1987,1987,1969,1969,1906,1906,1932,1932,2052,2052
2037,2018,2018,2050,2050,2072,2072,1923,1923,2041,2041,1917,1917,1944,1944,2057,2057
1966,2071,2071,1959,1959,1933,1933,2054,2054,1897,1897,1979,1979,2030,2030,2029,2029
1887,1920,1920,1846,1846,1913,1913,2015,2015,1958,1958,2004,2004,2068,2068,1893,1893
1869,1937,1937,2117,2117,2023,2023,2166,2166,1953,1953,2154,2154,2028,2028,2093,2093
2074,2135,2135,1889,1889,2139,2139,2051,2051,2119,2119,2017,2017,2116,2116,2049,2049
2225,2056,2056,2158,2158,2186,2186,2108,2108,2205,2205,2268,2268,2098,2098,2130,2130
2476,2490,2490,2451,2451,2510,2510,2477,2477,2448,2448,2450,2450,2583,2583,2499,2499
3614,3610,3610,3615,3615,3614,3614,3609,3609,3614,3614,3606,3606,3616,3616,3612,3612
3859,3861,3861,3863,3863,3861,3861,3859,3859,3862,3862,3861,3861,3863,3863,3866,3866
3633,3637,3637,3645,3645,3636,3636,3640,3640,3641,3641,3640,3640,3641,3641,3639,3639
2455,2496,2496,2545,2545,2454,2454,2513,2513,2514,2514,2521,2521,2463,2463,2516,2516
2018,2242,2242,2068,2068,2297,2297,2216,2216,2147,2147,2234,2234,2179,2179,2216,2216
1864,2004,2004,2027,2027,1991,1991,1937,1937,2080,2080,2030,2030,1863,1863,1930,1930
1928,1891,1891,2116,2116,1878,1878,1884,1884,1979,1979,1854,1854,2103,2103,1880,1880
1858,2024,2024,1928,1928,1995,1995,1916,1916,1964,1964,1982,1982,1890,1890,1902,1902
1984,2049,2049,1936,1936,1902,1902,1956,1956,1926,1926,1820,1820,1816,1816,1832,1832
1863,1900,1900,1835,1835,1902,1902,1997,1997,1896,1896,1957,1957,1966,1966,1881,1881
1913,1939,1939,1907,1907,2016,2016,1943,1943,1936,1936,1938,1938,1816,1816,1878,1878
1839,1912,1912,1815,1815,2035,2035,1854,1854,1901,1901,1954,1954,1921,1921,1933,1933
1904,1866,1866,2004,2004,1966,1966,1955,1955,1951,1951,2093,2093,1938,1938,1987,1987
1983,1934,1934,1826,1826,2126,2126,1997,1997,2096,2096,2094,2094,2070,2070,2028,2028
2198,2044,2044,2279,2279,2158,2158,2215,2215,2166,2166,2226,2226,2076,2076,2130,2130
2523,2503,2503,2427,2427,2509,2509,2489,2489,2473,2473,2453,2453,2563,2563,2496,2496
3633,3631,3631,3634,3634,3635,3635,3631,3631,3635,3635,3629,3629,3636,3636,3637,3637
3489,3492,3492,3494,3494,3494,3494,3491,3491,3495,3495,3496,3496,3492,3492,3496,3496
3270,3269,3269,3273,3273,3272,3272,3271,3271,3272,3272,3271,3271,3270,3270,3275,3275
2183,2109,2109,2118,2118,2137,2137,2190,2190,2121,2121,2150,2150,2214,2214,2159,2159
1883,1842,1842,2001,2001,1944,1944,2017,2017,1910,1910,1981,1981,1822,1822,1983,1983
1714,1891,1891,1999,1999,1794,1794,1923,1923,1947,1947,1929,1929,1779,1779,1796,1796
1889,1899,1899,1880,1880,1762,1762,1950,1950,1789,1789,1885,1885,1948,1948,1861,1861
1803,1727,1727,1843,1843,1882,1882,1890,1890,1920,1920,1965,1965,1981,1981,1787,1787
1928,1665,1665,1902,1902,1822,1822,1864,1864,1924,1924,1893,1893,1970,1970,1848,1848
1891,1691,1691,1880,1880,1770,1770,1981,1981,1849,1849,1815,1815,1937,1937,1869,1869
1931,1867,1867,1887,1887,1889,1889,1940,1940,1772,1772,1795,1795,1876,1876,1870,1870
1972,1881,1881,1901,1901,1896,1896,1817,1817,1882,1882,1805,1805,1859,1859,1801,1801
1874,1675,1675,1930,1930,1893,1893,1795,1795,1978,1978,1887,1887,1965,1965,1845,1845
1983,1837,1837,1756,1756,1954,1954,1925,1925,1897,1897,1882,1882,1821,1821,1859,1859
1975,1924,1924,2025,2025,1863,1863,1895,1895,2008,2008,1953,1953,1979,1979,2005,2005
2159,2086,2086,2044,2044,2154,2154,2144,2144,2146,2146,2179,2179,2234,2234,2201,2201
3263,3262,3262,3265,3265,3267,3267,3266,3266,3269,3269,3271,3271,3266,3266,3274,3274
2474,2412,2412,2439,2439,2442,2442,2410,2410,2458,2458,2488,2488,2391,2391,2376,2376
2301,2217,2217,2299,2299,2275,2275,2318,2318,2284,2284,2332,2332,2306,2306,2182,2182
1866,1753,1753,1854,1854,1791,1791,1845,1845,1824,1824,1851,1851,1966,1966,1839,1839
1866,1770,1770,1905,1905,1852,1852,1898,1898,1696,1696,1975,1975,1932,1932,1992,1992
1866,1857,1857,1896,1896,1839,1839,1823,1823,1849,1849,1720,1720,1942,1942,1836,1836
1822,1851,1851,1841,1841,1814,1814,1887,1887,1814,1814,1952,1952,1948,1948,1744,1744
1854,1679,1679,1832,1832,1773,1773,1935,1935,1860,1860,1937,1937,2010,2010,1664,1664
1896,1779,1779,1927,1927,1805,1805,1991,1991,1940,1940,1922,1922,1975,1975,1802,1802
1883,1692,1692,1862,1862,1851,1851,1884,1884,1905,1905,1910,1910,1881,1881,1872,1872
1818,1810,1810,1692,1692,1774,1774,1894,1894,1854,1854,1666,1666,1925,1925,1913,1913
1876,1738,1738,1920,1920,1887,1887,1870,1870,1867,1867,1726,1726,1793,1793,1868,1868
1955,1869,1869,1891,1891,1776,1776,1838,1838,1972,1972,1704,1704,1804,1804,1920,1920
1919,1835,1835,2008,2008,1925,1925,1906,1906,1932,1932,1803,1803,1888,1888,1848,1848
1977,1784,1784,2011,2011,1809,1809,1846,1846,1887,1887,1856,1856,1879,1879,1955,1955
1854,1836,1836,1948,1948,1896,1896,1595,1595,1938,1938,1979,1979,1826,1826,1957,1957
2224,2232,2232,2262,2262,2298,2298,2155,2155,2299,2299,2279,2279,2181,2181,2309,2309
2072,1961,1961,2051,2051,2116,2116,2124,2124,2001,2001,1990,1990,2013,2013,2075,2075
1862,1978,1978,1986,1986,1963,1963,1997,1997,1848,1848,1928,1928,1949,1949,1926,1926
1996,1892,1892,1851,1851,1820,1820,1812,1812,1820,1820,1889,1889,2031,2031,1866,1866
1897,1815,1815,2022,2022,1993,1993,1915,1915,1831,1831,1873,1873,1982,1982,1978,1978
1730,1884,1884,2095,2095,2007,2007,1832,1832,1798,1798,1863,1863,1932,1932,2000,2000
1807,1815,1815,1951,1951,1970,1970,1944,1944,1777,1777,1947,1947,1956,1956,1830,1830
1843,1775,1775,1816,1816,1875,1875,1934,1934,1827,1827,1833,1833,2023,2023,1848,1848
1782,1999,1999,1879,1879,2006,2006,1900,1900,1889,1889,1805,1805,1891,1891,1992,1992
1759,1914,1914,1889,1889,1896,1896,1777,1777,2022,2022,1730,1730,1827,1827,1829,1829
1906,1751,1751,1896,1896,1906,1906,1828,1828,1932,1932,1896,1896,1897,1897,1827,1827
1924,1638,1638,1852,1852,1959,1959,1772,1772,1846,1846,1736,1736,1795,1795,1940,1940
1805,1784,1784,1946,1946,1927,1927,1871,1871,1949,1949,1894,1894,1782,1782,1907,1907
1950,1836,1836,2004,2004,1802,1802,1980,1980,1991,1991,1991,1991,1904,1904,1975,1975
2036,1832,1832,2006,2006,1863,1863,1918,1918,1853,1853,1982,1982,1844,1844,1998,1998
1885,1876,1876,1920,1920,1975,1975,1708,1708,1924,1924,1916,1916,1861,1861,1988,1988
1934,1826,1826,1832,1832,2045,2045,1919,1919,1988,1988,1914,1914,1870,1870,1928,1928
1909,2079,2079,2051,2051,2108,2108,1993,1993,2080,2080,2087,2087,2169,2169,2050,2050
1951,1933,1933,2069,2069,1985,1985,1846,1846,1946,1946,2021,2021,2077,2077,1851,1851
1919,1816,1816,1828,1828,1900,1900,2028,2028,1857,1857,1809,1809,1930,1930,1871,1871
1733,1885,1885,1910,1910,1879,1879,2013,2013,1833,1833,1705,1705,1819,1819,2023,2023
1877,1818,1818,1985,1985,1998,1998,1950,1950,1971,1971,1770,1770,1685,1685,1985,1985
1955,1972,1972,2004,2004,1985,1985,1825,1825,1978,1978,1881,1881,1849,1849,1930,1930
1999,1945,1945,1884,1884,1971,1971,1902,1902,1978,1978,1910,1910,1964,1964,2012,2012
1998,1894,1894,1880,1880,2037,2037,1884,1884,1959,1959,1928,1928,2001,2001,2013,2013
1879,1900,1900,1953,1953,1926,1926,1707,1707,2027,2027,1907,1907,1976,1976,1820,1820
1772,1815,1815,1957,1957,1776,1776,1876,1876,2023,2023,1872,1872,1860,1860,1875,1875
1891,1790,1790,1917,1917,1925,1925,1821,1821,2022,2022,1980,1980,1737,1737,1889,1889
1859,1851,1851,1859,1859,1947,1947,1851,1851,1980,1980,1868,1868,1875,1875,1914,1914
2083,1900,1900,1824,1824,1911,1911,1798,1798,1960,1960,1972,1972,1947,1947,1937,1937
2064,1923,1923,1921,1921,1868,1868,1965,1965,1954,1954,1879,1879,1751,1751,1888,1888
1946,1956,1956,2028,2028,1905,1905,1991,1991,1900,1900,1916,1916,1884,1884,1920,1920
1996,1910,1910,1928,1928,2012,2012,1984,1984,1958,1958,1980,1980,2042,2042,1952,1952
2062,1777,1777,2005,2005,1958,1958,2005,2005,2005,2005,2001,2001,1956,1956,2004,2004
1956,1962,1962,1957,1957,1839,1839,2002,2002,2016,2016,1976,1976,1937,1937,1920,1920
1891,1943,1943,1796,1796,1933,1933,1996,1996,1931,1931,1937,1937,1961,1961,1872,1872
1635,1967,1967,1726,1726,1828,1828,1995,1995,1927,1927,1716,1716,1839,1839,1953,1953
1811,1973,1973,1899,1899,1947,1947,1985,1985,2062,2062,1841,1841,1870,1870,2019,2019
1932,1966,1966,2009,2009,1973,1973,2055,2055,2031,2031,1925,1925,1973,1973,1993,1993
2024,1932,1932,1822,1822,2002,2002,2025,2025,1975,1975,1883,1883,1929,1929,1987,1987
2039,1864,1864,2005,2005,1984,1984,1996,1996,2003,2003,1859,1859,1878,1878,2004,2004
1974,1867,1867,2061,2061,1845,1845,1959,1959,1853,1853,1934,1934,1897,1897,1797,1797
1907,1860,1860,2056,2056,1889,1889,1981,1981,2110,2110,1968,1968,1850,1850,2071,2071
1971,1795,1795,1926,1926,1964,1964,1783,1783,2051,2051,2027,2027,1899,1899,2057,2057
1928,2002,2002,1948,1948,1989,1989,1868,1868,1990,1990,1903,1903,1899,1899,1835,1835
2020,2025,2025,1951,1951,2013,2013,1902,1902,2000,2000,1897,1897,1977,1977,1955,1955
1894,1963,1963,1954,1954,1932,1932,1973,1973,1959,1959,1981,1981,1981,1981,2038,2038
1619,1936,1936,1848,1848,1794,1794,1887,1887,1846,1846,1948,1948,1875,1875,2016,2016
1869,1899,1899,1838,1838,1918,1918,1922,1922,1949,1949,1951,1951,1991,1991,1867,1867
2103,2020,2020,2008,2008,2040,2040,2023,2023,2010,2010,2205,2205,2033,2033,2063,2063
2164,1998,1998,2048,2048,2036,2036,1836,1836,1945,1945,2103,2103,1954,1954,1965,1965
1984,1956,1956,1910,1910,1990,1990,1964,1964,1948,1948,1978,1978,1840,1840,1901,1901
1943,1924,1924,1983,1983,1908,1908,1893,1893,1843,1843,1773,1773,1962,1962,1836,1836
1849,2006,2006,2079,2079,1912,1912,1882,1882,1779,1779,1823,1823,2032,2032,1808,1808
1856,1968,1968,2041,2041,1893,1893,1970,1970,1913,1913,1842,1842,1932,1932,1933,1933
