data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3882,3881,3881,3880,3880,3881,3881,3880,3880,3879,3879,3882,3882,3879,3879,3885,3885
3664,3659,3659,3662,3662,3663,3663,3665,3665,3660,3660,3662,3662,3661,3661,3664,3664
2533,2481,2481,2473,2473,2559,2559,2550,2550,2519,2519,2475,2475,2584,2584,2518,2518
2094,2166,2166,2237,2237,2286,2286,2173,2173,2212,2212,2244,2244,2080,2080,2206,2206
2083,2121,2121,2071,2071,2144,2144,1929,1929,2029,2029,2039,2039,2091,2091,2118,2118
1922,1874,1874,2050,2050,2047,2047,1986,1986,2101,2101,2077,2077,2068,2068,2092,2092
1964,1992,1992,2169,2169,2068,2068,1843,1843,2219,2219,2024,2024,1954,1954,2106,2106
1914,2139,2139,2103,2103,2061,2061,2012,2012,2139,2139,2088,2088,1916,1916,2064,2064
1767,2085,2085,2092,2092,1864,1864,2087,2087,1869,1869,2036,2036,1997,1997,2009,2009
1985,2011,2011,1958,1958,1952,1952,1989,1989,1894,1894,1966,1966,2058,2058,2040,2040
2079,2022,2022,1897,1897,1871,1871,2061,2061,1922,1922,2044,2044,1980,1980,1966,1966
1977,2129,2129,2096,2096,2073,2073,2114,2114,2136,2136,2104,2104,1985,1985,1950,1950
2169,2055,2055,1989,1989,1796,1796,2010,2010,2193,2193,1901,1901,2020,2020,2189,2189
2020,2193,2193,2099,2099,2141,2141,2211,2211,2257,2257,2249,2249,2139,2139,2045,2045
2530,2556,2556,2563,2563,2527,2527,2472,2472,2512,2512,2526,2526,2498,2498,2600,2600
3653,3655,3655,3653,3653,3652,3652,3652,3652,3651,3651,3654,3654,3650,3650,3658,3658
3883,3881,3881,3882,3882,3882,3882,3883,3883,3881,3881,3883,3883,3881,3881,3884,3884
3660,3660,3660,3659,3659,3662,3662,3663,3663,3662,3662,3661,3661,3661,3661,3660,3660
2526,2474,2474,2496,2496,2551,2551,2550,2550,2525,2525,2508,2508,2539,2539,2527,2527
2101,2209,2209,2126,2126,2205,2205,2165,2165,2127,2127,2217,2217,2126,2126,2030,2030
1991,2140,2140,2011,2011,2089,2089,1947,1947,1974,1974,1937,1937,2045,2045,2085,2085
1953,1970,1970,1981,1981,1999,1999,2021,2021,2099,2099,2035,2035,1980,1980,2032,2032
1852,1970,1970,2050,2050,2012,2012,1766,1766,2087,2087,1978,1978,1891,1891,1973,1973
1940,2027,2027,2025,2025,1841,1841,1901,1901,2028,2028,1893,1893,1888,1888,1994,1994
1825,1933,1933,1878,1878,1777,1777,1915,1915,1920,1920,1874,1874,1960,1960,1948,1948
1923,1847,1847,1817,1817,1624,1624,2014,2014,1960,1960,1832,1832,2033,2033,1995,1995
2056,1892,1892,1971,1971,1582,1582,2036,2036,1913,1913,1860,1860,1982,1982,2006,2006
2019,2030,2030,1968,1968,1939,1939,2038,2038,2012,2012,1962,1962,1920,1920,1931,1931
2075,1897,1897,1959,1959,1876,1876,1977,1977,2016,2016,1994,1994,1995,1995,2151,2151
2187,2236,2236,2153,2153,2180,2180,2190,2190,2213,2213,2135,2135,2050,2050,1992,1992
2557,2532,2532,2537,2537,2500,2500,2488,2488,2507,2507,2538,2538,2523,2523,2563,2563
3656,3654,3654,3653,3653,3649,3649,3652,3652,3651,3651,3653,3653,3652,3652,3657,3657
3505,3505,3505,3504,3504,3506,3506,3505,3505,3504,3504,3507,3507,3504,3504,3506,3506
3287,3282,3282,3282,3282,3290,3290,3285,3285,3282,3282,3286,3286,3283,3283,3291,3291
2208,2143,2143,2187,2187,2230,2230,2180,2180,2150,2150,2165,2165,2208,2208,2203,2203
1911,1860,1860,1916,1916,1876,1876,1944,1944,1968,1968,1951,1951,1926,1926,1845,1845
1954,2047,2047,1733,1733,1829,1829,1900,1900,1981,1981,1856,1856,1815,1815,1894,1894
1724,1854,1854,1920,1920,1924,1924,1860,1860,2069,2069,1840,1840,1853,1853,1874,1874
1894,1931,1931,1850,1850,1793,1793,1782,1782,1901,1901,1746,1746,1647,1647,1819,1819
1931,1814,1814,1862,1862,1804,1804,1818,1818,1691,1691,1775,1775,1931,1931,1847,1847
1893,1875,1875,1797,1797,1901,1901,1854,1854,1886,1886,1704,1704,1998,1998,1888,1888
1981,1778,1778,1842,1842,1869,1869,1850,1850,1972,1972,1795,1795,1926,1926,1864,1864
1944,1714,1714,1824,1824,1714,1714,1806,1806,1946,1946,1728,1728,1950,1950,1811,1811
1922,1932,1932,1747,1747,1844,1844,1822,1822,1841,1841,1807,1807,1852,1852,1809,1809
