data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3835,3840,3840,3843,3843,3839,3839,3840,3840,3840,3840,3839,3839,3845,3845,3840,3840
3620,3620,3620,3622,3622,3624,3624,3618,3618,3621,3621,3626,3626,3627,3627,3624,3624
2511,2565,2565,2493,2493,2516,2516,2413,2413,2481,2481,2543,2543,2505,2505,2508,2508
2143,2193,2193,2285,2285,2141,2141,2265,2265,2329,2329,2235,2235,2044,2044,2102,2102
2023,1997,1997,2081,2081,2004,2004,2112,2112,1975,1975,2076,2076,2088,2088,2192,2192
1934,2031,2031,2055,2055,2021,2021,1977,1977,2111,2111,2142,2142,2021,2021,2019,2019
1956,1951,1951,1948,1948,2037,2037,1985,1985,1948,1948,2075,2075,1974,1974,2026,2026
1779,1954,1954,1966,1966,2199,2199,2032,2032,2000,2000,1904,1904,1907,1907,2061,2061
2003,2022,2022,2031,2031,2152,2152,2008,2008,1806,1806,1880,1880,2005,2005,2003,2003
1986,2048,2048,2078,2078,1909,1909,2084,2084,1899,1899,2019,2019,2061,2061,1946,1946
2019,1956,1956,2042,2042,2039,2039,2000,2000,2001,2001,2001,2001,1775,1775,1970,1970
2011,2179,2179,1959,1959,2046,2046,1948,1948,2079,2079,1844,1844,1706,1706,2005,2005
2040,2022,2022,1990,1990,1996,1996,1985,1985,2067,2067,1878,1878,2021,2021,2139,2139
2056,2237,2237,2250,2250,2208,2208,1952,1952,2174,2174,2184,2184,2222,2222,2170,2170
2427,2518,2518,2500,2500,2508,2508,2455,2455,2545,2545,2464,2464,2529,2529,2493,2493
3601,3611,3611,3616,3616,3612,3612,3609,3609,3614,3614,3606,3606,3620,3620,3608,3608
3857,3859,3859,3863,3863,3860,3860,3861,3861,3860,3860,3862,3862,3864,3864,3861,3861
3638,3635,3635,3640,3640,3638,3638,3635,3635,3637,3637,3641,3641,3642,3642,3639,3639
2535,2560,2560,2509,2509,2498,2498,2478,2478,2484,2484,2529,2529,2525,2525,2532,2532
2153,1988,1988,2225,2225,2222,2222,2189,2189,2260,2260,2233,2233,2183,2183,2039,2039
1823,2021,2021,1935,1935,1915,1915,1951,1951,1908,1908,2015,2015,2064,2064,2090,2090
1831,1950,1950,2052,2052,1882,1882,1901,1901,1995,1995,1976,1976,1875,1875,1874,1874
1753,1971,1971,1827,1827,1901,1901,1914,1914,1934,1934,1956,1956,1886,1886,2042,2042
1847,1973,1973,1904,1904,2019,2019,1940,1940,1873,1873,1795,1795,1932,1932,1933,1933
1968,1881,1881,1891,1891,2032,2032,1787,1787,1725,1725,1859,1859,1995,1995,1881,1881
1909,1901,1901,2001,2001,1772,1772,1936,1936,1809,1809,1854,1854,1955,1955,1882,1882
1936,1882,1882,1894,1894,1895,1895,1958,1958,1799,1799,1841,1841,1985,1985,1980,1980
1820,2138,2138,1973,1973,1907,1907,2041,2041,1990,1990,1861,1861,1908,1908,2028,2028
1905,1878,1878,1817,1817,1857,1857,1889,1889,2029,2029,2005,2005,2028,2028,2127,2127
2117,2208,2208,2238,2238,2166,2166,2057,2057,2181,2181,2201,2201,2201,2201,2218,2218
2454,2539,2539,2463,2463,2514,2514,2494,2494,2527,2527,2491,2491,2516,2516,2522,2522
3629,3634,3634,3637,3637,3633,3633,3631,3631,3637,3637,3634,3634,3638,3638,3633,3633
3496,3489,3489,3495,3495,3493,3493,3496,3496,3496,3496,3497,3497,3496,3496,3496,3496
3275,3268,3268,3276,3276,3273,3273,3274,3274,3273,3273,3277,3277,3275,3275,3275,3275
2157,2169,2169,2191,2191,2149,2149,2171,2171,2131,2131,2184,2184,2126,2126,2149,2149
1989,2030,2030,1930,1930,1982,1982,2000,2000,1898,1898,2026,2026,2010,2010,1881,1881
1834,1862,1862,1886,1886,1899,1899,1822,1822,1815,1815,1839,1839,1858,1858,1842,1842
1848,1724,1724,1852,1852,1835,1835,1944,1944,1957,1957,1759,1759,1785,1785,1962,1962
1828,1917,1917,1814,1814,1426,1426,1877,1877,2027,2027,1853,1853,1875,1875,1959,1959
1662,1931,1931,1851,1851,1767,1767,1856,1856,1877,1877,1855,1855,1786,1786,1863,1863
1746,1851,1851,1887,1887,1783,1783,1897,1897,1842,1842,1837,1837,1835,1835,1819,1819
1870,1781,1781,1916,1916,1926,1926,1988,1988,1847,1847,1787,1787,1780,1780,1918,1918
1684,1958,1958,1912,1912,1850,1850,1911,1911,1771,1771,1818,1818,1987,1987,1878,1878
1808,1982,1982,1860,1860,1904,1904,1876,1876,1808,1808,1770,1770,1782,1782,1905,1905
1856,1801,1801,1731,1731,1896,1896,1660,1660,1767,1767,1989,1989,1703,1703,2037,2037
1906,1859,1859,2023,2023,1972,1972,1824,1824,1956,1956,2025,2025,1913,1913,2002,2002
2130,2204,2204,2087,2087,2227,2227,2218,2218,2171,2171,2203,2203,2067,2067,2200,2200
3272,3267,3267,3267,3267,3270,3270,3270,3270,3271,3271,3274,3274,3270,3270,3270,3270
2512,2434,2434,2534,2534,2406,2406,2480,2480,2471,2471,2459,2459,2449,2449,2463,2463
2285,2201,2201,2348,2348,2181,2181,2278,2278,2333,2333,2272,2272,2215,2215,2336,2336
1901,1836,1836,1826,1826,1918,1918,1870,1870,1805,1805,1887,1887,1850,1850,1950,1950
1950,1941,1941,1880,1880,1937,1937,1766,1766,1684,1684,1766,1766,1950,1950,1711,1711
1787,1856,1856,1824,1824,1802,1802,1877,1877,1834,1834,1916,1916,1913,1913,1738,1738
1839,1848,1848,1987,1987,1770,1770,2005,2005,1844,1844,1815,1815,1780,1780,1892,1892
1904,1856,1856,1914,1914,1871,1871,1981,1981,1959,1959,1699,1699,1725,1725,1897,1897
1857,1928,1928,1721,1721,1897,1897,1813,1813,1933,1933,1865,1865,1844,1844,1825,1825
1774,1942,1942,1940,1940,1835,1835,1826,1826,1843,1843,1935,1935,1881,1881,1909,1909
1812,1876,1876,1950,1950,1868,1868,1830,1830,1977,1977,1903,1903,1913,1913,1900,1900
1870,1910,1910,1941,1941,1922,1922,1677,1677,1840,1840,1931,1931,1901,1901,1598,1598
1924,2005,2005,1764,1764,1865,1865,1739,1739,1872,1872,1977,1977,1784,1784,1814,1814
1879,1980,1980,1855,1855,1775,1775,1827,1827,1639,1639,1983,1983,1661,1661,1947,1947
1784,1822,1822,1882,1882,1869,1869,1880,1880,1959,1959,1938,1938,1643,1643,1925,1925
1894,1788,1788,1945,1945,1923,1923,1930,1930,2005,2005,1996,1996,1886,1886,1932,1932
2358,2190,2190,2297,2297,2253,2253,2300,2300,2213,2213,2350,2350,2276,2276,2280,2280
2067,1921,1921,1933,1933,2063,2063,2040,2040,1882,1882,2001,2001,1995,1995,2061,2061
1976,1812,1812,1932,1932,1878,1878,1807,1807,1916,1916,1779,1779,1952,1952,1988,1988
1898,1982,1982,1899,1899,1842,1842,1893,1893,1862,1862,1828,1828,1921,1921,1927,1927
1788,2019,2019,1831,1831,1864,1864,1857,1857,2012,2012,1842,1842,1841,1841,1801,1801
1827,1869,1869,1856,1856,1821,1821,1944,1944,1975,1975,1925,1925,1933,1933,1833,1833
1908,1856,1856,2013,2013,1865,1865,1995,1995,1843,1843,1925,1925,1827,1827,1924,1924
1825,1855,1855,2001,2001,1933,1933,2037,2037,1835,1835,1879,1879,1850,1850,1810,1810
1967,1953,1953,1931,1931,1993,1993,1846,1846,1821,1821,1920,1920,1813,1813,1814,1814
1755,1988,1988,1784,1784,1797,1797,1854,1854,1882,1882,1975,1975,1797,1797,1873,1873
1938,1789,1789,1759,1759,1817,1817,1747,1747,1990,1990,1877,1877,1779,1779,1777,1777
1961,1911,1911,1938,1938,1943,1943,1643,1643,1804,1804,1859,1859,1941,1941,1930,1930
1796,1997,1997,1938,1938,1892,1892,1820,1820,1678,1678,1959,1959,1856,1856,1951,1951
1853,2014,2014,1838,1838,1810,1810,1768,1768,1914,1914,1927,1927,1885,1885,1905,1905
1791,1708,1708,1834,1834,1703,1703,1905,1905,2027,2027,1917,1917,1863,1863,1934,1934
1750,1796,1796,1999,1999,1902,1902,1908,1908,2031,2031,1905,1905,1889,1889,2003,2003
2008,1871,1871,1906,1906,1924,1924,1921,1921,1852,1852,1963,1963,2017,2017,1996,1996
1895,2038,2038,2129,2129,2090,2090,2110,2110,1991,1991,2093,2093,1961,1961,1993,1993
1999,1948,1948,1976,1976,2014,2014,1963,1963,1964,1964,1818,1818,1980,1980,1766,1766
1962,1927,1927,1936,1936,1825,1825,1780,1780,1788,1788,1856,1856,2073,2073,1912,1912
1806,2060,2060,1968,1968,1885,1885,1792,1792,1959,1959,2000,2000,2003,2003,1758,1758
1826,1993,1993,1882,1882,1909,1909,1934,1934,1926,1926,1948,1948,1912,1912,1803,1803
1901,1965,1965,2003,2003,1887,1887,2092,2092,1903,1903,1992,1992,1948,1948,1820,1820
1891,1892,1892,1957,1957,1949,1949,2046,2046,1834,1834,2036,2036,2005,2005,1766,1766
1862,1884,1884,1942,1942,1885,1885,1945,1945,1817,1817,1941,1941,1927,1927,1830,1830
1808,1869,1869,1881,1881,1874,1874,1926,1926,1708,1708,2043,2043,1780,1780,1859,1859
1943,1905,1905,1677,1677,1850,1850,1943,1943,1752,1752,1938,1938,1903,1903,1989,1989
1898,2027,2027,1767,1767,1946,1946,1760,1760,1942,1942,1754,1754,1826,1826,1898,1898
1833,1910,1910,1777,1777,1974,1974,1846,1846,1920,1920,1760,1760,1824,1824,2049,2049
1992,2042,2042,1666,1666,1980,1980,1892,1892,1962,1962,1746,1746,1885,1885,1873,1873
1960,1900,1900,2015,2015,1685,1685,1897,1897,1959,1959,1863,1863,1772,1772,1959,1959
1860,1946,1946,1934,1934,1788,1788,2043,2043,1907,1907,1930,1930,1714,1714,1952,1952
1932,2002,2002,2124,2124,2003,2003,2064,2064,1977,1977,1840,1840,1814,1814,1794,1794
2046,1979,1979,2009,2009,2055,2055,1958,1958,2053,2053,2096,2096,2107,2107,2097,2097
1882,1831,1831,2063,2063,1967,1967,1784,1784,2035,2035,2071,2071,2021,2021,1994,1994
1778,1877,1877,1988,1988,1756,1756,1890,1890,2038,2038,1873,1873,2046,2046,1897,1897
1950,1873,1873,1863,1863,1913,1913,2024,2024,2007,2007,1906,1906,1989,1989,1869,1869
1847,1911,1911,1752,1752,1984,1984,2057,2057,1889,1889,1942,1942,1938,1938,1908,1908
1875,1981,1981,1938,1938,1987,1987,2060,2060,1815,1815,2057,2057,2000,2000,1897,1897
1853,1966,1966,1946,1946,2041,2041,2026,2026,1898,1898,2073,2073,2070,2070,1977,1977
1851,1965,1965,1950,1950,1938,1938,2033,2033,1853,1853,1888,1888,2052,2052,1850,1850
1837,1982,1982,2072,2072,2089,2089,2015,2015,1873,1873,1832,1832,1967,1967,1905,1905
1980,1885,1885,1915,1915,1890,1890,2014,2014,1945,1945,1902,1902,1876,1876,1922,1922
1963,2043,2043,1889,1889,2009,2009,1877,1877,2036,2036,1950,1950,2029,2029,1857,1857
1882,1958,1958,1969,1969,1937,1937,1849,1849,2030,2030,1972,1972,2050,2050,1880,1880
1841,1958,1958,1958,1958,1791,1791,1872,1872,2041,2041,1794,1794,1946,1946,1814,1814
1867,1975,1975,1947,1947,1764,1764,2064,2064,2010,2010,1804,1804,1821,1821,1939,1939
1918,1986,1986,1909,1909,1817,1817,1985,1985,1925,1925,2029,2029,1920,1920,1822,1822
1982,1973,1973,1831,1831,1931,1931,2067,2067,2062,2062,2003,2003,1919,1919,1941,1941
1968,1926,1926,2042,2042,1999,1999,1960,1960,1831,1831,2076,2076,2124,2124,2014,2014
1799,2023,2023,2005,2005,1966,1966,1999,1999,2040,2040,2001,2001,1822,1822,1958,1958
1867,1887,1887,2037,2037,1903,1903,1872,1872,1999,1999,1854,1854,1984,1984,1882,1882
2008,1998,1998,1791,1791,1887,1887,2010,2010,1964,1964,1809,1809,2061,2061,1870,1870
2011,1969,1969,1612,1612,1967,1967,2050,2050,1924,1924,1964,1964,1924,1924,1937,1937
1851,2039,2039,1904,1904,2038,2038,2016,2016,1821,1821,2013,2013,2088,2088,1836,1836
2027,1982,1982,1929,1929,2018,2018,1917,1917,1896,1896,1934,1934,2111,2111,1860,1860
2006,2002,2002,1988,1988,1980,1980,1986,1986,1908,1908,2016,2016,2071,2071,1943,1943
1983,2050,2050,1988,1988,2034,2034,2024,2024,1832,1832,1915,1915,2061,2061,1962,1962
1941,1842,1842,1851,1851,1907,1907,1902,1902,1834,1834,1760,1760,2045,2045,1896,1896
1999,1978,1978,1879,1879,2005,2005,2050,2050,1975,1975,1868,1868,2050,2050,1948,1948
1927,1856,1856,1900,1900,2012,2012,2022,2022,2000,2000,1847,1847,2068,2068,1979,1979
1959,1930,1930,1984,1984,1852,1852,2050,2050,2042,2042,1900,1900,1927,1927,1939,1939
1986,2051,2051,2110,2110,1799,1799,2009,2009,2063,2063,1731,1731,1747,1747,1852,1852
1851,2049,2049,2032,2032,1949,1949,2043,2043,2047,2047,1973,1973,2047,2047,1839,1839
1938,1779,1779,1860,1860,1940,1940,1903,1903,1997,1997,2024,2024,1990,1990,1977,1977
1991,2124,2124,1939,1939,2115,2115,2044,2044,2156,2156,2039,2039,2077,2077,2143,2143
2027,2088,2088,2060,2060,1971,1971,1974,1974,2160,2160,2069,2069,1965,1965,2019,2019
1899,2030,2030,2034,2034,1919,1919,2020,2020,2066,2066,2012,2012,2026,2026,1993,1993
1924,2024,2024,1915,1915,1937,1937,2090,2090,1893,1893,1928,1928,2049,2049,2012,2012
2003,1944,1944,1912,1912,1982,1982,2085,2085,2009,2009,1983,1983,1847,1847,2013,2013
1897,2030,2030,1798,1798,1970,1970,2035,2035,1906,1906,2029,2029,2103,2103,2017,2017
2017,1934,1934,1939,1939,1907,1907,1992,1992,1872,1872,1911,1911,2125,2125,1936,1936
2071,2054,2054,1937,1937,1931,1931,2024,2024,1873,1873,1875,1875,2047,2047,1957,1957
2095,2052,2052,1820,1820,1978,1978,1991,1991,1962,1962,1889,1889,2023,2023,2018,2018
2089,1844,1844,1867,1867,1988,1988,2014,2014,1870,1870,1866,1866,2019,2019,2127,2127
2032,1890,1890,2007,2007,1925,1925,1981,1981,2064,2064,1825,1825,1990,1990,2120,2120
1940,1841,1841,1987,1987,1999,1999,2021,2021,1843,1843,1875,1875,1930,1930,1954,1954
1860,1903,1903,1993,1993,2051,2051,2101,2101,2010,2010,1970,1970,1760,1760,1930,1930
1969,1865,1865,2093,2093,1936,1936,2066,2066,2050,2050,2017,2017,1917,1917,2078,2078
1930,1995,1995,2046,2046,2008,2008,2036,2036,2077,2077,1995,1995,2055,2055,2061,2061
1751,2035,2035,1917,1917,2075,2075,2032,2032,2102,2102,2045,2045,2090,2090,1983,1983
2148,2108,2108,2144,2144,2033,2033,2172,2172,2012,2012,2030,2030,2201,2201,2026,2026
2193,2128,2128,2177,2177,2021,2021,2062,2062,1846,1846,1996,1996,2082,2082,2011,2011
2106,2003,2003,2093,2093,1926,1926,2112,2112,1859,1859,2082,2082,2016,2016,2052,2052
1934,2112,2112,1861,1861,1941,1941,2070,2070,1932,1932,1970,1970,2069,2069,2022,2022
1836,2032,2032,1995,1995,2058,2058,2051,2051,1757,1757,2040,2040,2022,2022,2020,2020
1869,1976,1976,1967,1967,1959,1959,1889,1889,1925,1925,1998,1998,2097,2097,2015,2015
2024,2095,2095,1970,1970,1845,1845,2146,2146,2008,2008,1955,1955,2046,2046,2013,2013
2064,2097,2097,2002,2002,1942,1942,2083,2083,2040,2040,1871,1871,1841,1841,1899,1899
2079,2017,2017,1926,1926,2027,2027,2006,2006,2075,2075,1956,1956,1856,1856,1962,1962
2148,1773,1773,1726,1726,1944,1944,2027,2027,1960,1960,1855,1855,2011,2011,2111,2111
2131,1919,1919,1937,1937,1890,1890,1984,1984,2144,2144,1844,1844,2023,2023,2136,2136
2058,1915,1915,1847,1847,2116,2116,2040,2040,2046,2046,2034,2034,2055,2055,1989,1989
1880,1699,1699,1889,1889,2089,2089,2090,2090,1992,1992,1990,1990,1835,1835,1988,1988
2055,1904,1904,1965,1965,1930,1930,2020,2020,1953,1953,2129,2129,1935,1935,2121,2121
2068,1997,1997,1878,1878,1942,1942,2065,2065,2029,2029,2029,2029,2002,2002,2059,2059
2058,1952,1952,1976,1976,2029,2029,2075,2075,1972,1972,1942,1942,2101,2101,1959,1959
2560,2614,2614,2538,2538,2585,2585,2577,2577,2499,2499,2469,2469,2508,2508,2470,2470
2331,2467,2467,2283,2283,2387,2387,2428,2428,2281,2281,2325,2325,2330,2330,2285,2285
2146,2100,2100,2130,2130,2028,2028,2130,2130,1927,1927,2074,2074,1926,1926,1958,1958
1983,2050,2050,1927,1927,1918,1918,1950,1950,2074,2074,2037,2037,1962,1962,1985,1985
1852,1917,1917,2052,2052,2076,2076,1945,1945,1949,1949,2067,2067,2101,2101,2129,2129
1923,2048,2048,2049,2049,2079,2079,1985,1985,1925,1925,2078,2078,2078,2078,2037,2037
2061,2133,2133,2079,2079,1964,1964,1940,1940,2022,2022,1914,1914,2115,2115,2102,2102
2141,2113,2113,1983,1983,2059,2059,1978,1978,2051,2051,1905,1905,2010,2010,2022,2022
2181,1862,1862,1939,1939,2039,2039,2017,2017,2091,2091,2016,2016,1938,1938,1952,1952
2166,1804,1804,2065,2065,1935,1935,2036,2036,2075,2075,1862,1862,2073,2073,2074,2074
2032,1804,1804,2059,2059,1753,1753,1931,1931,2139,2139,1846,1846,2168,2168,2071,2071
2120,1851,1851,2059,2059,2015,2015,2036,2036,1998,1998,2027,2027,2088,2088,1942,1942
1929,1759,1759,1922,1922,2134,2134,2009,2009,1852,1852,2028,2028,1923,1923,2027,2027
1879,1950,1950,1953,1953,2098,2098,2004,2004,2082,2082,2135,2135,2045,2045,2093,2093
1974,1986,1986,2146,2146,2022,2022,1961,1961,2040,2040,2084,2084,2002,2002,2015,2015
2336,2387,2387,2397,2397,2425,2425,2366,2366,2086,2086,2230,2230,2237,2237,2328,2328
2558,2678,2678,2603,2603,2610,2610,2619,2619,2539,2539,2661,2661,2498,2498,2561,2561
2307,2520,2520,2367,2367,2414,2414,2513,2513,2385,2385,2471,2471,2222,2222,2362,2362
1956,2075,2075,1919,1919,2050,2050,2052,2052,2002,2002,2085,2085,1978,1978,2036,2036
1834,1980,1980,1875,1875,2020,2020,1994,1994,2135,2135,1941,1941,1930,1930,1842,1842
2061,1900,1900,1971,1971,2132,2132,2058,2058,2054,2054,1994,1994,2044,2044,2078,2078
2063,2097,2097,2086,2086,2126,2126,2080,2080,2000,2000,2082,2082,2051,2051,2080,2080
2122,2008,2008,2119,2119,2046,2046,2080,2080,1994,1994,2105,2105,2117,2117,2052,2052
2069,2060,2060,2091,2091,2005,2005,2093,2093,1940,1940,2074,2074,2031,2031,2114,2114
2174,1996,1996,2057,2057,1996,1996,2046,2046,1885,1885,1957,1957,1903,1903,2089,2089
2133,2029,2029,2100,2100,1996,1996,2001,2001,2022,2022,1942,1942,2067,2067,2110,2110
2041,1768,1768,2104,2104,2030,2030,1946,1946,2030,2030,1955,1955,2168,2168,2039,2039
2070,1981,1981,1994,1994,2068,2068,2042,2042,1832,1832,2116,2116,2073,2073,2018,2018
2043,1932,1932,2061,2061,2119,2119,2064,2064,2004,2004,2154,2154,1755,1755,2016,2016
2095,1956,1956,2058,2058,2030,2030,2077,2077,2167,2167,2131,2131,2077,2077,2045,2045
2090,2063,2063,1998,1998,1953,1953,1755,1755,2052,2052,2045,2045,2050,2050,2023,2023
2351,2451,2451,2459,2459,2460,2460,2410,2410,2331,2331,2480,2480,2310,2310,2441,2441
2529,2606,2606,2597,2597,2563,2563,2507,2507,2568,2568,2559,2559,2588,2588,2766,2766
2370,2407,2407,2344,2344,2387,2387,2410,2410,2393,2393,2418,2418,2292,2292,2571,2571
2000,2019,2019,1987,1987,1959,1959,2017,2017,2107,2107,2053,2053,1953,1953,1983,1983
2029,2003,2003,2024,2024,1959,1959,2012,2012,2204,2204,1965,1965,1922,1922,1854,1854
2169,1999,1999,2057,2057,2070,2070,2070,2070,2120,2120,2106,2106,2161,2161,2031,2031
2069,2050,2050,2077,2077,2079,2079,2060,2060,2061,2061,2155,2155,2112,2112,2076,2076
2050,2148,2148,2096,2096,1964,1964,2072,2072,2039,2039,2233,2233,1982,1982,2027,2027
1979,2110,2110,2138,2138,2092,2092,1993,1993,2053,2053,2161,2161,2018,2018,1996,1996
2024,2151,2151,2049,2049,2050,2050,2012,2012,1931,1931,2041,2041,1977,1977,1929,1929
2051,2003,2003,2009,2009,2056,2056,2108,2108,1809,1809,1884,1884,1933,1933,2001,2001
2063,1923,1923,2027,2027,2176,2176,2066,2066,1857,1857,1864,1864,2056,2056,2046,2046
2056,1943,1943,2080,2080,2105,2105,2060,2060,1950,1950,2053,2053,1908,1908,2104,2104
2055,2018,2018,2100,2100,2105,2105,2015,2015,2064,2064,2166,2166,1881,1881,2070,2070
2071,2154,2154,2133,2133,2004,2004,2032,2032,2150,2150,2022,2022,2104,2104,2049,2049
2165,2146,2146,2143,2143,2016,2016,1959,1959,2145,2145,1961,1961,1899,1899,2027,2027
2280,2409,2409,2390,2390,2318,2318,2272,2272,2360,2360,2422,2422,2338,2338,2542,2542
2823,2774,2774,2821,2821,2712,2712,2746,2746,2745,2745,2699,2699,2778,2778,2896,2896
2598,2480,2480,2611,2611,2475,2475,2558,2558,2518,2518,2537,2537,2601,2601,2700,2700
2134,2053,2053,2127,2127,2067,2067,2046,2046,2151,2151,2036,2036,2097,2097,1987,1987
2136,2026,2026,2152,2152,2014,2014,2074,2074,2202,2202,2032,2032,2029,2029,1995,1995
2082,1967,1967,2105,2105,2021,2021,2037,2037,2084,2084,2018,2018,2203,2203,1987,1987
2138,2155,2155,1959,1959,2066,2066,1920,1920,2073,2073,2003,2003,2176,2176,2097,2097
2081,2051,2051,2017,2017,1961,1961,1998,1998,2030,2030,2148,2148,2074,2074,1932,1932
2020,2002,2002,2057,2057,2014,2014,1965,1965,2101,2101,2144,2144,1976,1976,2020,2020
2009,2113,2113,2135,2135,2080,2080,2116,2116,2110,2110,2085,2085,2017,2017,1892,1892
2055,1990,1990,2130,2130,2150,2150,2136,2136,2094,2094,2038,2038,2125,2125,2055,2055
2065,1879,1879,2111,2111,2207,2207,2084,2084,1874,1874,1959,1959,2036,2036,1984,1984
2004,1909,1909,2036,2036,2262,2262,1963,1963,1863,1863,2053,2053,1940,1940,2059,2059
2196,2066,2066,2050,2050,2138,2138,1963,1963,1942,1942,2144,2144,1990,1990,1967,1967
2116,2164,2164,1949,1949,2073,2073,2100,2100,1932,1932,1944,1944,2076,2076,1984,1984
2109,1952,1952,2070,2070,2034,2034,1992,1992,2202,2202,2087,2087,2002,2002,2064,2064
2574,2586,2586,2591,2591,2527,2527,2553,2553,2506,2506,2513,2513,2551,2551,2642,2642
3092,3094,3094,3106,3106,3084,3084,3039,3039,3079,3079,2999,2999,3128,3128,3189,3189
2852,2862,2862,2888,2888,2862,2862,2823,2823,2840,2840,2790,2790,2910,2910,2992,2992
2123,1934,1934,2045,2045,2104,2104,2040,2040,2134,2134,2075,2075,2183,2183,2066,2066
2085,2104,2104,2045,2045,2064,2064,2191,2191,2047,2047,2029,2029,2119,2119,2128,2128
2045,2058,2058,2058,2058,1998,1998,2199,2199,2192,2192,1996,1996,2138,2138,2149,2149
2180,2128,2128,2074,2074,2093,2093,2078,2078,2125,2125,1949,1949,2157,2157,2112,2112
2262,2150,2150,2135,2135,2078,2078,1993,1993,1979,1979,2091,2091,2082,2082,2080,2080
2186,2098,2098,2104,2104,2098,2098,1978,1978,1989,1989,2012,2012,2021,2021,2003,2003
