data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3878,3878,3878,3879,3879,3878,3878,3885,3885,3878,3878,3881,3881,3880,3880,3883,3883
3659,3663,3663,3663,3663,3663,3663,3666,3666,3657,3657,3664,3664,3662,3662,3658,3658
2558,2568,2568,2558,2558,2561,2561,2538,2538,2523,2523,2573,2573,2571,2571,2428,2428
2083,2152,2152,2292,2292,2247,2247,2250,2250,2117,2117,2097,2097,2203,2203,2325,2325
2092,1998,1998,2056,2056,2049,2049,2003,2003,2093,2093,2142,2142,2037,2037,2001,2001
2043,2146,2146,2124,2124,2084,2084,2067,2067,1895,1895,1892,1892,1971,1971,2040,2040
1970,2029,2029,2062,2062,1980,1980,2153,2153,1945,1945,1936,1936,2100,2100,1888,1888
2061,1924,1924,1915,1915,2010,2010,2064,2064,1908,1908,1896,1896,1994,1994,1933,1933
2076,2054,2054,1967,1967,2030,2030,1828,1828,1949,1949,2018,2018,1967,1967,1930,1930
2041,1975,1975,2091,2091,2021,2021,2037,2037,1981,1981,2004,2004,2015,2015,2045,2045
1814,1868,1868,2029,2029,2041,2041,1938,1938,1810,1810,2164,2164,2023,2023,1969,1969
1911,1998,1998,1969,1969,1893,1893,1935,1935,2044,2044,2041,2041,1888,1888,2061,2061
2104,1925,1925,2078,2078,1998,1998,1935,1935,1951,1951,1941,1941,1997,1997,2053,2053
2191,2219,2219,2214,2214,2191,2191,2177,2177,2267,2267,2175,2175,2124,2124,2236,2236
2508,2495,2495,2470,2470,2545,2545,2545,2545,2525,2525,2547,2547,2555,2555,2569,2569
3649,3651,3651,3652,3652,3652,3652,3658,3658,3654,3654,3655,3655,3656,3656,3657,3657
3881,3880,3880,3880,3880,3881,3881,3884,3884,3881,3881,3880,3880,3880,3880,3882,3882
3658,3659,3659,3660,3660,3660,3660,3662,3662,3657,3657,3659,3659,3660,3660,3658,3658
2526,2541,2541,2544,2544,2542,2542,2496,2496,2527,2527,2554,2554,2573,2573,2483,2483
2114,2129,2129,2243,2243,2188,2188,2260,2260,2055,2055,2106,2106,2170,2170,2245,2245
2065,2011,2011,2034,2034,1989,1989,1927,1927,2092,2092,2164,2164,1991,1991,1935,1935
2035,1998,1998,2046,2046,1975,1975,1996,1996,1960,1960,1910,1910,1951,1951,1924,1924
1878,1943,1943,1921,1921,1883,1883,1965,1965,1895,1895,1904,1904,1969,1969,1856,1856
1910,1953,1953,1962,1962,1931,1931,1847,1847,1926,1926,1847,1847,1905,1905,1795,1795
