data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15
3922,3918,3918,3920,3920,3914,3914,3924,3924,3917,3917,3924,3924,3924,3924
3703,3701,3701,3704,3704,3697,3697,3706,3706,3699,3699,3704,3704,3707,3707
2548,2540,2540,2610,2610,2622,2622,2572,2572,2567,2567,2608,2608,2564,2564
2231,2243,2243,2163,2163,2229,2229,2274,2274,2231,2231,2202,2202,2251,2251
1949,2178,2178,2058,2058,2058,2058,2120,2120,2046,2046,2086,2086,2083,2083
1890,2033,2033,2059,2059,2034,2034,1959,1959,2070,2070,1989,1989,1982,1982
2021,2050,2050,1960,1960,2022,2022,1913,1913,2092,2092,2004,2004,2062,2062
1824,2021,2021,1948,1948,2066,2066,1835,1835,1957,1957,1981,1981,2035,2035
2059,1885,1885,1958,1958,2203,2203,2006,2006,1942,1942,2041,2041,2122,2122
2093,1845,1845,2030,2030,2122,2122,1841,1841,1905,1905,1962,1962,2083,2083
1909,1976,1976,1838,1838,1974,1974,2018,2018,1933,1933,2020,2020,1957,1957
2009,2158,2158,1956,1956,1992,1992,2135,2135,2101,2101,2043,2043,1961,1961
2132,1799,1799,2027,2027,1998,1998,2181,2181,2018,2018,2199,2199,2199,2199
2152,2222,2222,2210,2210,2322,2322,2214,2214,2274,2274,2229,2229,2174,2174
2582,2599,2599,2582,2582,2562,2562,2607,2607,2551,2551,2597,2597,2573,2573
3698,3694,3694,3694,3694,3690,3690,3702,3702,3693,3693,3699,3699,3699,3699
3932,3929,3929,3932,3932,3927,3927,3933,3933,3930,3930,3931,3931,3931,3931
3715,3712,3712,3716,3716,3711,3711,3717,3717,3712,3712,3715,3715,3717,3717
2604,2561,2561,2596,2596,2572,2572,2568,2568,2570,2570,2594,2594,2570,2570
2179,2224,2224,2225,2225,2266,2266,2228,2228,2223,2223,2168,2168,2228,2228
1948,2079,2079,2083,2083,2025,2025,2082,2082,2056,2056,1982,1982,2091,2091
1933,2059,2059,1968,1968,1999,1999,1960,1960,2044,2044,1974,1974,2045,2045
1971,1980,1980,1894,1894,1902,1902,1878,1878,1944,1944,1954,1954,1999,1999
1651,1800,1800,1767,1767,1961,1961,1884,1884,1932,1932,2078,2078,2032,2032
1963,1796,1796,1937,1937,2102,2102,1852,1852,1872,1872,2030,2030,2100,2100
2024,1852,1852,1929,1929,1995,1995,1910,1910,1923,1923,2026,2026,1915,1915
1829,1881,1881,1782,1782,1880,1880,1881,1881,1882,1882,1976,1976,1915,1915
1901,2032,2032,1735,1735,1892,1892,2064,2064,1983,1983,2024,2024,1938,1938
2079,1907,1907,2128,2128,2053,2053,2079,2079,1960,1960,2085,2085,2181,2181
2186,2226,2226,2250,2250,2237,2237,2237,2237,2192,2192,2165,2165,2137,2137
2592,2613,2613,2585,2585,2552,2552,2601,2601,2587,2587,2591,2591,2575,2575
