data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3818,3825,3825,3818,3818,3825,3825,3820,3820,3825,3825,3824,3824,3823,3823,3824,3824
3602,3609,3609,3602,3602,3611,3611,3604,3604,3613,3613,3608,3608,3610,3610,3608,3608
2469,2456,2456,2518,2518,2526,2526,2477,2477,2493,2493,2444,2444,2570,2570,2460,2460
2161,2219,2219,2031,2031,2201,2201,2293,2293,2263,2263,2274,2274,2091,2091,2150,2150
2073,2043,2043,2070,2070,1912,1912,1994,1994,2123,2123,2075,2075,1866,1866,2012,2012
2126,1945,1945,2008,2008,2046,2046,1982,1982,2037,2037,1970,1970,1961,1961,2066,2066
2090,2012,2012,1957,1957,2103,2103,2035,2035,1970,1970,1879,1879,1978,1978,1934,1934
2050,2039,2039,2059,2059,2047,2047,2030,2030,2031,2031,1951,1951,1962,1962,1955,1955
2058,2043,2043,2011,2011,2005,2005,1901,1901,2007,2007,1960,1960,1965,1965,2131,2131
2038,1956,1956,2035,2035,2052,2052,2089,2089,2073,2073,2013,2013,1980,1980,2142,2142
1916,1815,1815,2056,2056,2068,2068,2156,2156,2115,2115,1867,1867,1918,1918,2035,2035
1999,1914,1914,1994,1994,2057,2057,1905,1905,2122,2122,2047,2047,2033,2033,1970,1970
1815,2105,2105,2191,2191,1934,1934,2113,2113,2020,2020,2044,2044,2107,2107,2118,2118
2257,2071,2071,1957,1957,2136,2136,2044,2044,2175,2175,2079,2079,1959,1959,2065,2065
2370,2522,2522,2566,2566,2443,2443,2424,2424,2444,2444,2554,2554,2422,2422,2519,2519
3600,3607,3607,3601,3601,3605,3605,3604,3604,3606,3606,3606,3606,3605,3605,3606,3606
3849,3854,3854,3851,3851,3853,3853,3852,3852,3853,3853,3853,3853,3852,3852,3852,3852
3629,3632,3632,3633,3633,3637,3637,3631,3631,3634,3634,3634,3634,3635,3635,3632,3632
2501,2455,2455,2543,2543,2536,2536,2475,2475,2508,2508,2479,2479,2566,2566,2495,2495
2126,2199,2199,2029,2029,2166,2166,2170,2170,2223,2223,2243,2243,2095,2095,2078,2078
2006,1982,1982,2086,2086,2001,2001,1876,1876,2053,2053,1915,1915,1949,1949,1898,1898
1897,1872,1872,1866,1866,2033,2033,1721,1721,2011,2011,1960,1960,1935,1935,2010,2010
1965,1900,1900,1782,1782,2015,2015,1908,1908,1831,1831,1938,1938,1846,1846,1898,1898
2090,1887,1887,1945,1945,1857,1857,1926,1926,2009,2009,1750,1750,1854,1854,1960,1960
2067,2036,2036,1882,1882,1853,1853,1893,1893,1876,1876,1874,1874,1895,1895,2004,2004
2045,1967,1967,1980,1980,1841,1841,1963,1963,1729,1729,1935,1935,1957,1957,1820,1820
1785,1787,1787,1977,1977,1999,1999,2079,2079,1941,1941,1733,1733,1931,1931,2022,2022
1873,1777,1777,1920,1920,2000,2000,1952,1952,2084,2084,1965,1965,1789,1789,1977,1977
1849,1950,1950,2175,2175,1986,1986,1921,1921,2007,2007,2024,2024,2055,2055,2040,2040
2258,2036,2036,1974,1974,2159,2159,2084,2084,2244,2244,2110,2110,2120,2120,2138,2138
2423,2511,2511,2570,2570,2502,2502,2491,2491,2412,2412,2537,2537,2447,2447,2507,2507
3621,3624,3624,3623,3623,3626,3626,3624,3624,3622,3622,3625,3625,3620,3620,3624,3624
3494,3497,3497,3499,3499,3500,3500,3495,3495,3498,3498,3499,3499,3497,3497,3494,3494
3275,3271,3271,3276,3276,3279,3279,3268,3268,3274,3274,3278,3278,3278,3278,3268,3268
2229,2162,2162,2122,2122,2204,2204,2035,2035,2163,2163,2239,2239,2202,2202,2113,2113
1989,1893,1893,2035,2035,1640,1640,1935,1935,1980,1980,1896,1896,1985,1985,1880,1880
1851,1914,1914,1834,1834,1934,1934,1897,1897,1783,1783,1954,1954,1845,1845,1844,1844
1889,1750,1750,1619,1619,1804,1804,1934,1934,1936,1936,1830,1830,1840,1840,1864,1864
1809,1924,1924,1694,1694,1766,1766,1797,1797,1940,1940,1820,1820,1819,1819,1849,1849
1939,1872,1872,1853,1853,1928,1928,1628,1628,1967,1967,1724,1724,1923,1923,1883,1883
1971,1966,1966,1780,1780,2029,2029,1583,1583,1807,1807,1719,1719,1723,1723,1888,1888
1993,1950,1950,1912,1912,1801,1801,1872,1872,1820,1820,1761,1761,1907,1907,1883,1883
