data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19
3823,3817,3817,3817,3817,3830,3830,3825,3825,3825,3825,3829,3829,3828,3828,3839,3839,3835,3835
3608,3602,3602,3605,3605,3611,3611,3607,3607,3607,3607,3613,3613,3606,3606,3620,3620,3620,3620
2404,2472,2472,2395,2395,2360,2360,2424,2424,2431,2431,2449,2449,2425,2425,2545,2545,2506,2506
2277,2188,2188,2333,2333,2248,2248,2247,2247,2199,2199,2159,2159,2183,2183,2089,2089,2118,2118
1969,2134,2134,2053,2053,1933,1933,2029,2029,2206,2206,2076,2076,2080,2080,2050,2050,2128,2128
2047,1901,1901,2070,2070,2015,2015,2159,2159,2157,2157,2004,2004,1980,1980,2048,2048,2037,2037
1999,1965,1965,1966,1966,2040,2040,2022,2022,1988,1988,1806,1806,2115,2115,2065,2065,1743,1743
1993,2118,2118,1908,1908,1986,1986,1904,1904,1879,1879,1918,1918,2042,2042,1980,1980,1932,1932
1903,2015,2015,2077,2077,1894,1894,2053,2053,1939,1939,1951,1951,1992,1992,1869,1869,1996,1996
1891,1954,1954,2037,2037,2008,2008,2022,2022,1925,1925,2032,2032,1898,1898,1980,1980,2064,2064
1986,2014,2014,1957,1957,2019,2019,1994,1994,2050,2050,2036,2036,1806,1806,2023,2023,2046,2046
1919,2041,2041,1943,1943,1995,1995,2081,2081,2049,2049,1967,1967,2082,2082,2008,2008,2039,2039
1939,1936,1936,2098,2098,2158,2158,2062,2062,1872,1872,1813,1813,2125,2125,2017,2017,2023,2023
2054,2061,2061,2112,2112,2085,2085,2144,2144,2187,2187,2209,2209,2166,2166,1992,1992,2289,2289
2472,2531,2531,2436,2436,2577,2577,2476,2476,2337,2337,2518,2518,2504,2504,2619,2619,2478,2478
3600,3603,3603,3592,3592,3618,3618,3606,3606,3604,3604,3609,3609,3613,3613,3624,3624,3617,3617
3853,3849,3849,3850,3850,3857,3857,3855,3855,3852,3852,3854,3854,3857,3857,3861,3861,3861,3861
3636,3630,3630,3631,3631,3635,3635,3634,3634,3632,3632,3636,3636,3633,3633,3639,3639,3642,3642
2520,2486,2486,2443,2443,2470,2470,2414,2414,2483,2483,2459,2459,2467,2467,2539,2539,2549,2549
2170,1930,1930,2338,2338,2167,2167,2273,2273,2136,2136,2223,2223,2089,2089,1991,1991,2106,2106
1915,2135,2135,1992,1992,1903,1903,1844,1844,2099,2099,1905,1905,2035,2035,1925,1925,2107,2107
1950,1877,1877,2057,2057,2000,2000,2044,2044,1985,1985,1904,1904,1845,1845,1987,1987,2032,2032
1828,1931,1931,2023,2023,1991,1991,1892,1892,1893,1893,1893,1893,1856,1856,1962,1962,1844,1844
1909,1985,1985,1874,1874,1929,1929,1861,1861,1792,1792,1996,1996,1958,1958,1814,1814,1898,1898
1789,1911,1911,1931,1931,1827,1827,1935,1935,1961,1961,1927,1927,1852,1852,1908,1908,1919,1919
1947,2005,2005,1976,1976,1977,1977,2043,2043,1875,1875,2013,2013,1763,1763,1971,1971,1906,1906
1934,1864,1864,1886,1886,1979,1979,2008,2008,1977,1977,1880,1880,1923,1923,1997,1997,2014,2014
2000,1900,1900,1931,1931,1847,1847,2035,2035,2087,2087,1961,1961,1990,1990,2056,2056,1958,1958
1976,1960,1960,2112,2112,1988,1988,2119,2119,1988,1988,1959,1959,1956,1956,2056,2056,1948,1948
2064,2090,2090,2076,2076,2145,2145,2085,2085,2214,2214,2177,2177,2204,2204,1925,1925,2305,2305
2487,2546,2546,2461,2461,2562,2562,2478,2478,2457,2457,2519,2519,2508,2508,2595,2595,2485,2485
3623,3626,3626,3619,3619,3630,3630,3625,3625,3626,3626,3627,3627,3629,3629,3636,3636,3631,3631
3497,3497,3497,3495,3495,3498,3498,3497,3497,3492,3492,3497,3497,3500,3500,3500,3500,3500,3500
3283,3274,3274,3277,3277,3278,3278,3276,3276,3269,3269,3276,3276,3274,3274,3278,3278,3281,3281
2246,2170,2170,2164,2164,2199,2199,2005,2005,2168,2168,2071,2071,2138,2138,2161,2161,2205,2205
1943,1928,1928,1922,1922,1781,1781,2013,2013,1945,1945,1932,1932,1887,1887,1897,1897,1961,1961
1887,1999,1999,1717,1717,1951,1951,1727,1727,1984,1984,1926,1926,1873,1873,1969,1969,1891,1891
1830,1966,1966,1900,1900,1816,1816,1871,1871,1964,1964,1888,1888,1813,1813,1976,1976,1857,1857
1759,1872,1872,1973,1973,1873,1873,1944,1944,1769,1769,1839,1839,1839,1839,1817,1817,1706,1706
1806,1877,1877,1972,1972,1836,1836,1810,1810,1732,1732,1671,1671,1867,1867,1668,1668,1813,1813
1934,1938,1938,1889,1889,1815,1815,1841,1841,1770,1770,1881,1881,1728,1728,1667,1667,1980,1980
1969,1955,1955,2036,2036,1883,1883,1910,1910,1735,1735,2002,2002,1721,1721,1708,1708,2042,2042
1811,1913,1913,2029,2029,1939,1939,1924,1924,1792,1792,1909,1909,1784,1784,1958,1958,2002,2002
1858,1865,1865,1937,1937,1839,1839,1861,1861,1937,1937,1864,1864,1751,1751,2001,2001,1882,1882
1918,1908,1908,1803,1803,1866,1866,1959,1959,1971,1971,1765,1765,1743,1743,1909,1909,1878,1878
1945,1899,1899,1891,1891,1802,1802,1721,1721,1938,1938,1781,1781,1880,1880,1661,1661,1926,1926
2096,2188,2188,2063,2063,2227,2227,2121,2121,2110,2110,2181,2181,2198,2198,2307,2307,2115,2115
3266,3270,3270,3265,3265,3278,3278,3272,3272,3264,3264,3272,3272,3276,3276,3280,3280,3273,3273
2457,2488,2488,2402,2402,2427,2427,2404,2404,2486,2486,2473,2473,2488,2488,2464,2464,2395,2395
2311,2226,2226,2226,2226,2209,2209,2251,2251,2269,2269,2296,2296,2249,2249,2297,2297,2316,2316
1833,1909,1909,1870,1870,1935,1935,1844,1844,1854,1854,1863,1863,1729,1729,1674,1674,1924,1924
1874,1882,1882,1933,1933,1919,1919,1866,1866,1838,1838,1917,1917,1870,1870,1789,1789,1936,1936
