data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3929,3932,3932,3928,3928,3928,3928,3925,3925,3926,3926,3925,3925,3920,3920,3923,3923
3712,3713,3713,3710,3710,3710,3710,3708,3708,3707,3707,3706,3706,3699,3699,3704,3704
2597,2613,2613,2587,2587,2650,2650,2584,2584,2529,2529,2623,2623,2560,2560,2523,2523
2301,2236,2236,2309,2309,2025,2025,2254,2254,2383,2383,2167,2167,2234,2234,2315,2315
2084,2065,2065,2232,2232,2064,2064,2065,2065,1961,1961,2118,2118,2057,2057,1968,1968
2120,2051,2051,1965,1965,1995,1995,2041,2041,1977,1977,2005,2005,1920,1920,2142,2142
1944,1881,1881,2069,2069,2058,2058,1866,1866,2094,2094,1943,1943,1940,1940,2059,2059
2027,2076,2076,1969,1969,1965,1965,1953,1953,1924,1924,2035,2035,1966,1966,1997,1997
1901,2064,2064,1890,1890,2006,2006,1885,1885,1908,1908,2012,2012,1939,1939,1987,1987
2110,2043,2043,1962,1962,2085,2085,2082,2082,1915,1915,1888,1888,2005,2005,1967,1967
2047,2024,2024,1897,1897,2087,2087,2087,2087,2012,2012,2014,2014,2074,2074,2001,2001
2094,2119,2119,2048,2048,2111,2111,1956,1956,2090,2090,1968,1968,2033,2033,2063,2063
2036,2226,2226,2164,2164,1986,1986,2054,2054,2029,2029,2076,2076,2178,2178,2155,2155
2235,2275,2275,2278,2278,2007,2007,2281,2281,2224,2224,2279,2279,2229,2229,2227,2227
2594,2581,2581,2613,2613,2651,2651,2590,2590,2548,2548,2556,2556,2589,2589,2591,2591
3706,3707,3707,3703,3703,3701,3701,3698,3698,3704,3704,3701,3701,3697,3697,3700,3700
3940,3939,3939,3937,3937,3936,3936,3935,3935,3937,3937,3935,3935,3933,3933,3934,3934
3723,3725,3725,3721,3721,3721,3721,3722,3722,3719,3719,3721,3721,3716,3716,3716,3716
2592,2628,2628,2581,2581,2627,2627,2599,2599,2549,2549,2631,2631,2558,2558,2569,2569
2201,2114,2114,2255,2255,2135,2135,2166,2166,2295,2295,2160,2160,2276,2276,2232,2232
1935,2106,2106,2254,2254,1972,1972,2006,2006,1979,1979,2058,2058,2027,2027,2003,2003
2046,2036,2036,1975,1975,2021,2021,2029,2029,1933,1933,1955,1955,1971,1971,2075,2075
1853,1892,1892,1935,1935,2028,2028,1923,1923,1789,1789,1873,1873,1929,1929,1971,1971
1975,1885,1885,1841,1841,2020,2020,1818,1818,1675,1675,2033,2033,1845,1845,1907,1907
1901,1852,1852,1878,1878,1988,1988,1683,1683,1896,1896,2009,2009,1909,1909,1942,1942
1988,1930,1930,1881,1881,1824,1824,1949,1949,1940,1940,1925,1925,1926,1926,2001,2001
1843,1878,1878,1935,1935,1972,1972,2027,2027,2000,2000,1957,1957,2072,2072,1872,1872
1902,1969,1969,2026,2026,2063,2063,2006,2006,2034,2034,1927,1927,2073,2073,1847,1847
1995,2111,2111,2112,2112,1908,1908,1903,1903,2171,2171,2062,2062,2080,2080,2135,2135
2240,2321,2321,2084,2084,2077,2077,2262,2262,2166,2166,2271,2271,2222,2222,2145,2145
2576,2562,2562,2601,2601,2635,2635,2579,2579,2593,2593,2601,2601,2593,2593,2592,2592
3715,3714,3714,3713,3713,3712,3712,3711,3711,3712,3712,3712,3712,3711,3711,3709,3709
3565,3561,3561,3560,3560,3559,3559,3561,3561,3560,3560,3561,3561,3560,3560,3557,3557
3342,3346,3346,3339,3339,3340,3340,3342,3342,3338,3338,3342,3342,3337,3337,3340,3340
2204,2282,2282,2202,2202,2292,2292,2260,2260,2160,2160,2201,2201,2201,2201,2249,2249
1823,1845,1845,1902,1902,1934,1934,1873,1873,1983,1983,1944,1944,1952,1952,1978,1978
1987,1889,1889,2046,2046,1923,1923,1951,1951,1912,1912,1868,1868,2020,2020,1865,1865
1978,1944,1944,1947,1947,1923,1923,1988,1988,1886,1886,1839,1839,1971,1971,1868,1868
1962,1912,1912,1845,1845,1923,1923,1753,1753,1738,1738,1828,1828,1914,1914,1768,1768
1877,1895,1895,1886,1886,1852,1852,1808,1808,1723,1723,1687,1687,1857,1857,1935,1935
1926,1801,1801,1751,1751,1833,1833,1615,1615,1786,1786,1796,1796,1831,1831,1865,1865
1956,1691,1691,1886,1886,1829,1829,1718,1718,1771,1771,1945,1945,1790,1790,1866,1866
1720,1790,1790,2007,2007,1913,1913,1819,1819,1885,1885,1962,1962,1885,1885,1893,1893
1651,1795,1795,1975,1975,1919,1919,1913,1913,1854,1854,1808,1808,1997,1997,1810,1810
1842,1882,1882,1969,1969,1900,1900,1975,1975,2029,2029,2040,2040,1910,1910,1877,1877
1916,2133,2133,1900,1900,2009,2009,2006,2006,1990,1990,1982,1982,2025,2025,1905,1905
2165,2138,2138,2269,2269,2266,2266,2110,2110,2242,2242,2240,2240,2149,2149,2177,2177
3331,3328,3328,3327,3327,3331,3331,3323,3323,3325,3325,3331,3331,3327,3327,3325,3325
2660,2610,2610,2608,2608,2628,2628,2634,2634,2616,2616,2604,2604,2593,2593,2619,2619
2446,2417,2417,2357,2357,2435,2435,2444,2444,2419,2419,2369,2369,2388,2388,2428,2428
1907,1822,1822,1828,1828,1875,1875,1895,1895,1868,1868,1894,1894,1938,1938,1830,1830
1901,1865,1865,1894,1894,1882,1882,1897,1897,1857,1857,1825,1825,1911,1911,1805,1805
1865,1960,1960,1944,1944,1957,1957,1952,1952,1959,1959,1878,1878,1918,1918,1932,1932
1899,1967,1967,1882,1882,1984,1984,1843,1843,1951,1951,1922,1922,2026,2026,1952,1952
1950,1919,1919,1872,1872,1873,1873,1818,1818,1882,1882,1968,1968,2009,2009,1774,1774
