data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3923,3927,3927,3927,3927,3922,3922,3922,3922,3915,3915,3917,3917,3924,3924,3917,3917
3704,3708,3708,3706,3706,3706,3706,3706,3706,3694,3694,3701,3701,3705,3705,3699,3699
2603,2556,2556,2572,2572,2604,2604,2674,2674,2563,2563,2634,2634,2594,2594,2529,2529
2060,2284,2284,2221,2221,2279,2279,2086,2086,2281,2281,2157,2157,2230,2230,2282,2282
2080,1903,1903,2082,2082,2059,2059,2252,2252,1825,1825,2209,2209,2102,2102,2035,2035
2074,2039,2039,2012,2012,1977,1977,2143,2143,2080,2080,1883,1883,2055,2055,2128,2128
1922,2061,2061,2103,2103,1955,1955,2073,2073,1761,1761,1859,1859,2094,2094,2027,2027
2003,2134,2134,2013,2013,1874,1874,1962,1962,1971,1971,1950,1950,2018,2018,2032,2032
1974,1908,1908,1980,1980,2044,2044,2056,2056,2092,2092,2084,2084,1940,1940,1934,1934
1871,1916,1916,1936,1936,1994,1994,1898,1898,2071,2071,2033,2033,2047,2047,2037,2037
2041,1954,1954,1983,1983,1923,1923,2022,2022,1987,1987,1966,1966,2036,2036,1892,1892
2029,1913,1913,2030,2030,1911,1911,2012,2012,2003,2003,2081,2081,2070,2070,2136,2136
2087,2096,2096,2119,2119,2044,2044,2059,2059,1951,1951,2012,2012,1989,1989,2083,2083
2219,2115,2115,2179,2179,2140,2140,2161,2161,2286,2286,2269,2269,2189,2189,2207,2207
2596,2641,2641,2630,2630,2608,2608,2559,2559,2495,2495,2556,2556,2574,2574,2560,2560
3700,3703,3703,3704,3704,3701,3701,3694,3694,3689,3689,3693,3693,3694,3694,3693,3693
3933,3934,3934,3934,3934,3934,3934,3930,3930,3926,3926,3929,3929,3932,3932,3928,3928
3717,3720,3720,3719,3719,3719,3719,3718,3718,3710,3710,3712,3712,3716,3716,3711,3711
2622,2575,2575,2623,2623,2615,2615,2649,2649,2569,2569,2614,2614,2581,2581,2575,2575
2126,2257,2257,2171,2171,2181,2181,2155,2155,2297,2297,2054,2054,2223,2223,2236,2236
2068,1979,1979,2019,2019,2058,2058,2146,2146,1861,1861,2206,2206,2019,2019,2021,2021
1907,2035,2035,1950,1950,1983,1983,2003,2003,2075,2075,1809,1809,2059,2059,1992,1992
1881,1908,1908,2032,2032,1902,1902,2040,2040,1808,1808,1835,1835,2067,2067,1913,1913
1898,2023,2023,2036,2036,1888,1888,1901,1901,1842,1842,1856,1856,1980,1980,1854,1854
1956,1968,1968,2021,2021,1704,1704,2035,2035,1884,1884,1924,1924,1860,1860,1772,1772
1847,1967,1967,2045,2045,1920,1920,1946,1946,2020,2020,1836,1836,1942,1942,1883,1883
1815,2005,2005,1958,1958,1825,1825,1932,1932,1951,1951,1998,1998,2015,2015,1935,1935
1945,1930,1930,2016,2016,1815,1815,2024,2024,1975,1975,1979,1979,2061,2061,2076,2076
2054,2022,2022,2015,2015,2005,2005,1933,1933,2038,2038,1970,1970,2002,2002,2009,2009
2216,2140,2140,2167,2167,2131,2131,2166,2166,2245,2245,2282,2282,2222,2222,2123,2123
2590,2612,2612,2611,2611,2602,2602,2566,2566,2532,2532,2560,2560,2596,2596,2588,2588
3709,3709,3709,3711,3711,3707,3707,3704,3704,3699,3699,3701,3701,3703,3703,3703,3703
3556,3557,3557,3556,3556,3557,3557,3553,3553,3551,3551,3552,3552,3554,3554,3551,3551
3341,3340,3340,3336,3336,3341,3341,3334,3334,3326,3326,3332,3332,3333,3333,3335,3335
2276,2234,2234,2239,2239,2280,2280,2216,2216,2125,2125,2271,2271,2172,2172,2263,2263
1968,1977,1977,1830,1830,1926,1926,1898,1898,2023,2023,1883,1883,1952,1952,1933,1933
1870,1961,1961,1798,1798,1817,1817,1996,1996,1792,1792,2043,2043,1969,1969,1944,1944
1808,1824,1824,1845,1845,1813,1813,1968,1968,1804,1804,1876,1876,1954,1954,1878,1878
1862,1873,1873,1762,1762,1863,1863,1786,1786,1794,1794,1871,1871,1935,1935,1773,1773
1854,1936,1936,1812,1812,1765,1765,1795,1795,1674,1674,1875,1875,1785,1785,1647,1647
1742,1924,1924,1877,1877,1834,1834,1819,1819,1902,1902,1940,1940,1774,1774,1778,1778
1915,1933,1933,1828,1828,1709,1709,1891,1891,1811,1811,1953,1953,1819,1819,1865,1865
1907,1932,1932,1901,1901,1689,1689,1894,1894,1795,1795,1990,1990,1870,1870,1811,1811
1725,1914,1914,2027,2027,1793,1793,1922,1922,1830,1830,2014,2014,2005,2005,1858,1858
2007,1963,1963,1882,1882,1701,1701,1775,1775,1842,1842,1896,1896,1977,1977,1770,1770
1859,2028,2028,2062,2062,1925,1925,1812,1812,1946,1946,1899,1899,1985,1985,1960,1960
2246,2185,2185,2230,2230,2220,2220,2172,2172,2224,2224,2115,2115,2214,2214,2201,2201
3323,3324,3324,3327,3327,3322,3322,3318,3318,3320,3320,3320,3320,3319,3319,3321,3321
2596,2597,2597,2608,2608,2619,2619,2608,2608,2588,2588,2611,2611,2577,2577,2584,2584
2411,2397,2397,2287,2287,2421,2421,2394,2394,2323,2323,2380,2380,2387,2387,2374,2374
2005,1952,1952,1909,1909,1847,1847,1891,1891,1662,1662,2021,2021,1968,1968,1942,1942
1929,1919,1919,1877,1877,1850,1850,1933,1933,1754,1754,1998,1998,1905,1905,1846,1846
1707,1956,1956,1929,1929,1952,1952,1953,1953,1873,1873,2013,2013,1906,1906,1919,1919
1771,1648,1648,1799,1799,1964,1964,1996,1996,1831,1831,2038,2038,1919,1919,1936,1936
1806,1734,1734,1785,1785,1857,1857,1817,1817,1922,1922,1877,1877,1888,1888,1919,1919
1804,1831,1831,1857,1857,1791,1791,1901,1901,1757,1757,1744,1744,1791,1791,1940,1940
1860,1925,1925,1809,1809,1857,1857,1960,1960,1927,1927,1850,1850,1743,1743,1912,1912
1993,1917,1917,1750,1750,1852,1852,1955,1955,1792,1792,1872,1872,1814,1814,1853,1853
