data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37,data_38
3832,3832,3836,3836,3843,3843,3832,3832,3838,3838,3837,3837,3838,3838,3839,3839,3843,3843,3824,3824,3832,3832,3836,3836,3843,3843,3832,3832,3838,3838,3837,3837,3838,3838,3839,3839,3843,3843
3613,3613,3614,3614,3617,3617,3611,3611,3612,3612,3619,3619,3618,3618,3616,3616,3621,3621,3599,3599,3613,3613,3614,3614,3617,3617,3611,3611,3612,3612,3619,3619,3618,3618,3616,3616,3621,3621
2553,2553,2483,2483,2470,2470,2492,2492,2421,2421,2508,2508,2483,2483,2523,2523,2391,2391,2429,2429,2553,2553,2483,2483,2470,2470,2492,2492,2421,2421,2508,2508,2483,2483,2523,2523,2391,2391
2147,2147,2134,2134,2171,2171,2119,2119,2096,2096,2061,2061,2229,2229,2062,2062,2210,2210,2166,2166,2147,2147,2134,2134,2171,2171,2119,2119,2096,2096,2061,2061,2229,2229,2062,2062,2210,2210
1912,1912,1960,1960,2199,2199,1938,1938,2025,2025,2194,2194,1969,1969,2048,2048,2114,2114,2165,2165,1912,1912,1960,1960,2199,2199,1938,1938,2025,2025,2194,2194,1969,1969,2048,2048,2114,2114
1900,1900,2041,2041,2087,2087,2003,2003,1948,1948,2151,2151,1958,1958,2075,2075,2085,2085,2044,2044,1900,1900,2041,2041,2087,2087,2003,2003,1948,1948,2151,2151,1958,1958,2075,2075,2085,2085
1806,1806,2024,2024,2158,2158,1849,1849,1996,1996,2093,2093,2065,2065,1894,1894,2142,2142,2011,2011,1806,1806,2024,2024,2158,2158,1849,1849,1996,1996,2093,2093,2065,2065,1894,1894,2142,2142
1922,1922,1961,1961,1934,1934,1995,1995,1822,1822,1929,1929,2032,2032,1963,1963,2094,2094,1835,1835,1922,1922,1961,1961,1934,1934,1995,1995,1822,1822,1929,1929,2032,2032,1963,1963,2094,2094
2077,2077,2014,2014,2078,2078,2034,2034,1993,1993,2041,2041,2039,2039,1962,1962,1976,1976,1916,1916,2077,2077,2014,2014,2078,2078,2034,2034,1993,1993,2041,2041,2039,2039,1962,1962,1976,1976
2049,2049,1989,1989,1947,1947,2092,2092,1902,1902,1857,1857,1919,1919,2034,2034,2082,2082,1958,1958,2049,2049,1989,1989,1947,1947,2092,2092,1902,1902,1857,1857,1919,1919,2034,2034,2082,2082
1960,1960,1959,1959,1955,1955,1970,1970,1952,1952,2051,2051,1901,1901,2114,2114,1965,1965,2067,2067,1960,1960,1959,1959,1955,1955,1970,1970,1952,1952,2051,2051,1901,1901,2114,2114,1965,1965
2049,2049,2052,2052,2037,2037,1980,1980,1977,1977,2047,2047,1814,1814,2041,2041,1977,1977,2084,2084,2049,2049,2052,2052,2037,2037,1980,1980,1977,1977,2047,2047,1814,1814,2041,2041,1977,1977
2182,2182,2067,2067,2039,2039,2023,2023,2035,2035,1994,1994,2082,2082,2096,2096,1992,1992,1960,1960,2182,2182,2067,2067,2039,2039,2023,2023,2035,2035,1994,1994,2082,2082,2096,2096,1992,1992
2118,2118,2115,2115,2077,2077,2193,2193,2163,2163,2270,2270,2091,2091,2171,2171,2234,2234,2194,2194,2118,2118,2115,2115,2077,2077,2193,2193,2163,2163,2270,2270,2091,2091,2171,2171,2234,2234
2470,2470,2484,2484,2552,2552,2489,2489,2533,2533,2417,2417,2356,2356,2475,2475,2471,2471,2513,2513,2470,2470,2484,2484,2552,2552,2489,2489,2533,2533,2417,2417,2356,2356,2475,2475,2471,2471
3615,3615,3616,3616,3628,3628,3614,3614,3620,3620,3620,3620,3619,3619,3623,3623,3629,3629,3609,3609,3615,3615,3616,3616,3628,3628,3614,3614,3620,3620,3620,3620,3619,3619,3623,3623,3629,3629
3837,3837,3849,3849,3858,3858,3850,3850,3849,3849,3858,3858,3858,3858,3858,3858,3861,3861,3826,3826,3837,3837,3849,3849,3858,3858,3850,3850,3849,3849,3858,3858,3858,3858,3858,3858,3861,3861
3622,3622,3627,3627,3636,3636,3630,3630,3629,3629,3635,3635,3638,3638,3636,3636,3640,3640,3606,3606,3622,3622,3627,3627,3636,3636,3630,3630,3629,3629,3635,3635,3638,3638,3636,3636,3640,3640
2551,2551,2498,2498,2487,2487,2488,2488,2485,2485,2504,2504,2506,2506,2534,2534,2466,2466,2418,2418,2551,2551,2498,2498,2487,2487,2488,2488,2485,2485,2504,2504,2506,2506,2534,2534,2466,2466
2129,2129,2167,2167,2151,2151,2111,2111,2107,2107,2066,2066,2179,2179,2125,2125,2139,2139,2202,2202,2129,2129,2167,2167,2151,2151,2111,2111,2107,2107,2066,2066,2179,2179,2125,2125,2139,2139
1814,1814,1886,1886,2087,2087,2004,2004,2009,2009,2094,2094,1974,1974,1952,1952,2017,2017,2052,2052,1814,1814,1886,1886,2087,2087,2004,2004,2009,2009,2094,2094,1974,1974,1952,1952,2017,2017
1926,1926,1805,1805,1941,1941,1916,1916,1935,1935,2087,2087,1886,1886,1967,1967,1983,1983,2010,2010,1926,1926,1805,1805,1941,1941,1916,1916,1935,1935,2087,2087,1886,1886,1967,1967,1983,1983
1807,1807,1981,1981,2075,2075,1867,1867,2010,2010,1947,1947,2003,2003,1768,1768,2014,2014,1992,1992,1807,1807,1981,1981,2075,2075,1867,1867,2010,2010,1947,1947,2003,2003,1768,1768,2014,2014
1959,1959,1883,1883,1927,1927,1967,1967,1831,1831,1854,1854,1990,1990,1869,1869,1946,1946,1816,1816,1959,1959,1883,1883,1927,1927,1967,1967,1831,1831,1854,1854,1990,1990,1869,1869,1946,1946
