data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3827,3827,3820,3820,3826,3826,3825,3825,3817,3817,3821,3821,3816,3816,3821,3821,3822,3822
3609,3609,3604,3604,3606,3606,3603,3603,3600,3600,3602,3602,3598,3598,3604,3604,3604,3604
2458,2458,2523,2523,2477,2477,2500,2500,2528,2528,2386,2386,2376,2376,2497,2497,2490,2490
2196,2196,2064,2064,2239,2239,2164,2164,1991,1991,2225,2225,2157,2157,2208,2208,2186,2186
2133,2133,2108,2108,2031,2031,1977,1977,2142,2142,1916,1916,1791,1791,2071,2071,2072,2072
2132,2132,1992,1992,1721,1721,2050,2050,2117,2117,1968,1968,2085,2085,1945,1945,1995,1995
1884,1884,2053,2053,1918,1918,1975,1975,1909,1909,1998,1998,2115,2115,2020,2020,1877,1877
1864,1864,1995,1995,1814,1814,1935,1935,1994,1994,1853,1853,2038,2038,1887,1887,1975,1975
1936,1936,1813,1813,1882,1882,1968,1968,1994,1994,2013,2013,1937,1937,1937,1937,2010,2010
1940,1940,2026,2026,1940,1940,1913,1913,1947,1947,1909,1909,1893,1893,1941,1941,2012,2012
1943,1943,1905,1905,1845,1845,1853,1853,2044,2044,1966,1966,2014,2014,2014,2014,2052,2052
2049,2049,1979,1979,1968,1968,1950,1950,2103,2103,1957,1957,2042,2042,2046,2046,2055,2055
2155,2155,1968,1968,2108,2108,2153,2153,2144,2144,2079,2079,2068,2068,2016,2016,2051,2051
2187,2187,2183,2183,2213,2213,1999,1999,2157,2157,2166,2166,2134,2134,2247,2247,2249,2249
2458,2458,2433,2433,2448,2448,2582,2582,2561,2561,2473,2473,2531,2531,2467,2467,2407,2407
3611,3611,3601,3601,3606,3606,3609,3609,3600,3600,3601,3601,3600,3600,3598,3598,3599,3599
3838,3838,3834,3834,3839,3839,3837,3837,3834,3834,3835,3835,3832,3832,3836,3836,3833,3833
3616,3616,3612,3612,3616,3616,3612,3612,3609,3609,3610,3610,3609,3609,3616,3616,3610,3610
2455,2455,2504,2504,2488,2488,2502,2502,2500,2500,2426,2426,2433,2433,2504,2504,2470,2470
2159,2159,2135,2135,2201,2201,2123,2123,1996,1996,2211,2211,2171,2171,2158,2158,2162,2162
2137,2137,2119,2119,1869,1869,1910,1910,2057,2057,1919,1919,1844,1844,2037,2037,1943,1943
2061,2061,1921,1921,1709,1709,1880,1880,2020,2020,1929,1929,1997,1997,1833,1833,1921,1921
1960,1960,1913,1913,1691,1691,1722,1722,1954,1954,1673,1673,1880,1880,1936,1936,1730,1730
1931,1931,1739,1739,1656,1656,1883,1883,1915,1915,1796,1796,1822,1822,1716,1716,1806,1806
1957,1957,1936,1936,1976,1976,1871,1871,1901,1901,1899,1899,1883,1883,1835,1835,1899,1899
1875,1875,2024,2024,1991,1991,1974,1974,1910,1910,1873,1873,1890,1890,1836,1836,1915,1915
1886,1886,1809,1809,1922,1922,1987,1987,2033,2033,1896,1896,1883,1883,1941,1941,2041,2041
1876,1876,2030,2030,1929,1929,1975,1975,1956,1956,1971,1971,2022,2022,1967,1967,2067,2067
2011,2011,2000,2000,2020,2020,2088,2088,2037,2037,2105,2105,1925,1925,2027,2027,1960,1960
2141,2141,2247,2247,2209,2209,2079,2079,2108,2108,2146,2146,2148,2148,2222,2222,2263,2263
2488,2488,2445,2445,2464,2464,2518,2518,2537,2537,2431,2431,2520,2520,2500,2500,2411,2411
3619,3619,3612,3612,3615,3615,3616,3616,3612,3612,3612,3612,3613,3613,3613,3613,3611,3611
