data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13
3927,3922,3922,3923,3923,3927,3927,3921,3921,3922,3922,3919,3919
3707,3702,3702,3707,3707,3708,3708,3703,3703,3703,3703,3700,3700
2552,2542,2542,2652,2652,2563,2563,2545,2545,2596,2596,2625,2625
2359,2285,2285,2202,2202,2212,2212,2196,2196,2268,2268,2050,2050
2141,2032,2032,2078,2078,2034,2034,1822,1822,2089,2089,2214,2214
2062,2050,2050,2078,2078,1994,1994,2037,2037,2077,2077,2026,2026
1913,2011,2011,1977,1977,1986,1986,2001,2001,2066,2066,1973,1973
1950,1900,1900,2064,2064,1851,1851,1981,1981,2042,2042,1878,1878
2066,2065,2065,2076,2076,1796,1796,1934,1934,2007,2007,1839,1839
2085,2217,2217,1962,1962,1837,1837,2038,2038,2098,2098,2129,2129
2069,2123,2123,2026,2026,1997,1997,2058,2058,2115,2115,1974,1974
2118,1973,1973,2031,2031,1699,1699,2068,2068,2098,2098,2036,2036
2013,2135,2135,2138,2138,1921,1921,2106,2106,2048,2048,2139,2139
2155,2155,2155,2276,2276,2177,2177,2231,2231,2224,2224,2266,2266
2629,2590,2590,2518,2518,2593,2593,2537,2537,2491,2491,2534,2534
3700,3696,3696,3695,3695,3703,3703,3693,3693,3696,3696,3691,3691
3930,3927,3927,3928,3928,3932,3932,3929,3929,3930,3930,3928,3928
3712,3712,3712,3714,3714,3716,3716,3713,3713,3715,3715,3713,3713
2540,2584,2584,2626,2626,2576,2576,2569,2569,2607,2607,2619,2619
2332,2215,2215,2132,2132,2158,2158,2174,2174,2182,2182,2142,2142
1926,1937,1937,1982,1982,2080,2080,1837,1837,2035,2035,2124,2124
2021,2002,2002,2011,2011,1865,1865,1974,1974,1968,1968,1968,1968
1749,1896,1896,1867,1867,1921,1921,2083,2083,2005,2005,1949,1949
1965,1779,1779,1949,1949,1837,1837,1901,1901,1854,1854,1855,1855
2077,2036,2036,1946,1946,1769,1769,1853,1853,1935,1935,1953,1953
2067,2080,2080,1933,1933,1849,1849,1989,1989,1959,1959,2045,2045
1952,2021,2021,1868,1868,1866,1866,2038,2038,1933,1933,1879,1879
2102,1782,1782,2033,2033,1939,1939,1993,1993,1997,1997,1834,1834
2057,2080,2080,2105,2105,1937,1937,2084,2084,2024,2024,2123,2123
2129,2151,2151,2231,2231,2247,2247,2208,2208,2275,2275,2297,2297
2630,2592,2592,2568,2568,2570,2570,2581,2581,2530,2530,2530,2530
3706,3702,3702,3703,3703,3706,3706,3701,3701,3702,3702,3700,3700
3548,3546,3546,3549,3549,3551,3551,3550,3550,3550,3550,3549,3549
3324,3323,3323,3331,3331,3329,3329,3330,3330,3331,3331,3332,3332
2120,2228,2228,2238,2238,2193,2193,2239,2239,2167,2167,2242,2242
1937,1945,1945,1968,1968,1947,1947,1965,1965,1774,1774,1990,1990
1936,1891,1891,1897,1897,1946,1946,1773,1773,2007,2007,1864,1864
1865,1959,1959,1873,1873,1966,1966,1892,1892,1948,1948,1828,1828
1796,1910,1910,1778,1778,1799,1799,1816,1816,2001,2001,1777,1777
1795,1888,1888,1883,1883,1715,1715,1867,1867,1877,1877,1625,1625
2002,1902,1902,1930,1930,1633,1633,1738,1738,1906,1906,1849,1849
1993,1918,1918,1942,1942,1761,1761,1953,1953,1774,1774,1824,1824
1814,1788,1788,1770,1770,1684,1684,1885,1885,1740,1740,1855,1855
1965,1829,1829,1886,1886,1811,1811,1915,1915,1802,1802,1764,1764
1878,1939,1939,1931,1931,1814,1814,1866,1866,1925,1925,1907,1907
1925,1961,1961,1799,1799,1938,1938,1962,1962,1943,1943,2029,2029
2266,2176,2176,2280,2280,2170,2170,2280,2280,2183,2183,2145,2145
3317,3316,3316,3320,3320,3320,3320,3320,3320,3316,3316,3315,3315
2576,2588,2588,2607,2607,2574,2574,2640,2640,2602,2602,2574,2574
2337,2344,2344,2382,2382,2327,2327,2436,2436,2394,2394,2347,2347
1871,1923,1923,1879,1879,1819,1819,1886,1886,1796,1796,1922,1922
1779,1940,1940,1742,1742,1928,1928,1914,1914,1651,1651,1881,1881
1912,1932,1932,1972,1972,1977,1977,1764,1764,1855,1855,1854,1854
1845,2046,2046,1973,1973,2004,2004,1894,1894,2003,2003,1916,1916
1848,1973,1973,1778,1778,1882,1882,1895,1895,1843,1843,1875,1875
1922,1917,1917,1869,1869,1813,1813,1887,1887,1871,1871,1816,1816
1893,1758,1758,1836,1836,1581,1581,1883,1883,1983,1983,1823,1823
1937,1896,1896,1928,1928,1928,1928,1931,1931,1869,1869,1897,1897
1771,1924,1924,1862,1862,1948,1948,1819,1819,1735,1735,1993,1993
1931,1775,1775,1828,1828,1803,1803,1804,1804,1742,1742,1996,1996
1913,1923,1923,1906,1906,1757,1757,1929,1929,1818,1818,1957,1957
1874,1667,1667,1890,1890,1770,1770,1882,1882,1807,1807,1760,1760
1992,1817,1817,1919,1919,1941,1941,1817,1817,1975,1975,1862,1862
2320,2384,2384,2425,2425,2366,2366,2419,2419,2361,2361,2341,2341
1853,2056,2056,2096,2096,1967,1967,2009,2009,2083,2083,1904,1904
1899,1949,1949,2021,2021,1914,1914,1758,1758,1926,1926,1956,1956
1759,1918,1918,1919,1919,1633,1633,1951,1951,1765,1765,1916,1916
1813,1932,1932,1927,1927,1896,1896,1848,1848,1729,1729,1823,1823
1996,1920,1920,2032,2032,1920,1920,1821,1821,1796,1796,1809,1809
1916,2008,2008,2014,2014,1927,1927,1844,1844,1886,1886,1983,1983
1915,1962,1962,1935,1935,2003,2003,1866,1866,1928,1928,1966,1966
1935,1901,1901,1825,1825,1948,1948,1773,1773,1966,1966,1870,1870
2005,1916,1916,1870,1870,1783,1783,1857,1857,1915,1915,1644,1644
2021,1888,1888,1869,1869,1798,1798,1950,1950,1850,1850,1950,1950
2031,1868,1868,1889,1889,1877,1877,1899,1899,1900,1900,2028,2028
2075,1962,1962,1969,1969,1958,1958,1871,1871,1855,1855,1929,1929
1950,1930,1930,1898,1898,1964,1964,1855,1855,1929,1929,1911,1911
1974,1879,1879,1743,1743,1914,1914,1621,1621,1925,1925,1876,1876
1947,1778,1778,1802,1802,1898,1898,1709,1709,1973,1973,1946,1946
1949,1878,1878,1976,1976,1891,1891,1875,1875,1996,1996,1872,1872
2055,2060,2060,1998,1998,2029,2029,2107,2107,1965,1965,2159,2159
1958,1877,1877,2009,2009,2049,2049,1943,1943,1936,1936,1982,1982
1884,1924,1924,1919,1919,1650,1650,1975,1975,1873,1873,1949,1949
1857,1871,1871,1964,1964,1794,1794,1885,1885,1892,1892,1858,1858
1942,1912,1912,1996,1996,1895,1895,1807,1807,2009,2009,1975,1975
2093,1880,1880,2016,2016,1866,1866,1902,1902,1868,1868,1983,1983
2080,1864,1864,1834,1834,1971,1971,1900,1900,1902,1902,1910,1910
2043,1883,1883,1965,1965,1944,1944,1844,1844,2044,2044,1834,1834
2036,1956,1956,2031,2031,1881,1881,1831,1831,2064,2064,1826,1826
2014,1911,1911,1869,1869,1936,1936,1950,1950,1969,1969,1824,1824
1956,1801,1801,1912,1912,1810,1810,1921,1921,2040,2040,1783,1783
2038,2015,2015,1865,1865,1922,1922,1951,1951,1990,1990,1990,1990
1909,1942,1942,1891,1891,1989,1989,1863,1863,1948,1948,1958,1958
2085,1854,1854,1925,1925,1910,1910,1851,1851,1952,1952,1964,1964
2049,1858,1858,1927,1927,1925,1925,1812,1812,1820,1820,1949,1949
2048,2077,2077,1981,1981,1927,1927,1976,1976,1880,1880,1974,1974
1838,2087,2087,1965,1965,2081,2081,2034,2034,1955,1955,1930,1930
1923,1963,1963,1965,1965,1973,1973,1964,1964,1759,1759,1914,1914
1885,1921,1921,1891,1891,1751,1751,1924,1924,2020,2020,1838,1838
1827,1958,1958,1905,1905,1864,1864,1945,1945,1975,1975,1710,1710
1867,1900,1900,1917,1917,1918,1918,1963,1963,2052,2052,1942,1942
1925,1809,1809,1900,1900,2012,2012,1992,1992,1882,1882,2033,2033
2009,1693,1693,1929,1929,1882,1882,2000,2000,1968,1968,1939,1939
2049,1961,1961,1925,1925,1869,1869,1854,1854,2031,2031,1970,1970
1959,2010,2010,1958,1958,2010,2010,1897,1897,1941,1941,1904,1904
1904,1859,1859,1924,1924,2097,2097,1980,1980,1925,1925,1919,1919
1764,1860,1860,1964,1964,2055,2055,1981,1981,1953,1953,1987,1987
1701,2021,2021,1954,1954,1888,1888,1978,1978,2055,2055,2005,2005
1734,2053,2053,1822,1822,1890,1890,2051,2051,1838,1838,1881,1881
1961,2084,2084,1786,1786,1863,1863,1983,1983,1903,1903,2032,2032
1974,2054,2054,1962,1962,2002,2002,1820,1820,2016,2016,2004,2004
1894,1980,1980,2016,2016,2064,2064,1925,1925,1815,1815,1966,1966
2085,2089,2089,2038,2038,1959,1959,2027,2027,2102,2102,2087,2087
2021,2058,2058,2052,2052,2047,2047,2013,2013,1962,1962,2009,2009
1953,1936,1936,1940,1940,1923,1923,2083,2083,1938,1938,1967,1967
1930,2062,2062,1938,1938,1950,1950,1907,1907,2006,2006,1838,1838
1909,1974,1974,2092,2092,2052,2052,2010,2010,1942,1942,1884,1884
1890,1952,1952,1996,1996,2089,2089,2069,2069,2000,2000,2012,2012
2030,1859,1859,1913,1913,2008,2008,2036,2036,2012,2012,1899,1899
2069,1903,1903,1845,1845,1922,1922,2043,2043,2084,2084,1938,1938
2020,1910,1910,1748,1748,1990,1990,1824,1824,2026,2026,1702,1702
1941,1880,1880,1936,1936,1970,1970,1965,1965,1829,1829,1869,1869
1946,1955,1955,1952,1952,1999,1999,1953,1953,1978,1978,2055,2055
1982,2103,2103,2097,2097,2043,2043,1970,1970,2110,2110,1993,1993
1806,2040,2040,1952,1952,2028,2028,2042,2042,1907,1907,1971,1971
1930,1922,1922,1802,1802,1802,1802,2003,2003,1945,1945,2036,2036
1888,1989,1989,1943,1943,1986,1986,1914,1914,1947,1947,2057,2057
1989,1958,1958,1936,1936,2048,2048,1889,1889,2043,2043,1968,1968
1987,2099,2099,2091,2091,1948,1948,2040,2040,1979,1979,2148,2148
1915,2081,2081,2050,2050,2131,2131,1991,1991,1901,1901,2034,2034
2073,1948,1948,1860,1860,2152,2152,2178,2178,2012,2012,2051,2051
2056,1929,1929,2004,2004,2140,2140,2106,2106,2058,2058,1910,1910
1985,1998,1998,2087,2087,2068,2068,2054,2054,2040,2040,1967,1967
1943,1942,1942,2016,2016,2158,2158,1972,1972,2052,2052,1983,1983
1981,1943,1943,1972,1972,2076,2076,2044,2044,2060,2060,2041,2041
1906,1878,1878,1916,1916,1974,1974,1966,1966,2111,2111,1996,1996
1940,1965,1965,1954,1954,1865,1865,1859,1859,2076,2076,1907,1907
1799,1978,1978,2096,2096,1786,1786,1857,1857,2002,2002,1929,1929
1920,1861,1861,2103,2103,1880,1880,2003,2003,1882,1882,2054,2054
1960,1950,1950,2125,2125,2030,2030,1908,1908,2057,2057,2025,2025
1914,2053,2053,1916,1916,1992,1992,2032,2032,1987,1987,1992,1992
1889,2031,2031,1869,1869,1882,1882,1966,1966,1995,1995,1939,1939
1888,1976,1976,1907,1907,1994,1994,1893,1893,1879,1879,2015,2015
1914,2080,2080,1908,1908,1971,1971,2042,2042,1860,1860,2068,2068
2000,2020,2020,2064,2064,1972,1972,2095,2095,2136,2136,2100,2100
2010,1894,1894,2057,2057,2005,2005,2095,2095,2036,2036,2050,2050
1918,2020,2020,1921,1921,2164,2164,2151,2151,1916,1916,1948,1948
2133,1879,1879,2019,2019,2134,2134,2083,2083,1942,1942,2005,2005
1980,2020,2020,1890,1890,2154,2154,1895,1895,1899,1899,1976,1976
1927,1875,1875,2042,2042,2240,2240,1999,1999,1936,1936,1974,1974
1880,2037,2037,2049,2049,2152,2152,1889,1889,2086,2086,1969,1969
1989,2074,2074,1841,1841,2123,2123,1957,1957,2135,2135,2061,2061
2021,1966,1966,1943,1943,2022,2022,1902,1902,2006,2006,1958,1958
1965,1995,1995,2136,2136,1875,1875,1915,1915,2084,2084,2010,2010
2071,1905,1905,2101,2101,1970,1970,1947,1947,1968,1968,1971,1971
2018,2086,2086,2161,2161,2098,2098,1834,1834,1982,1982,1973,1973
1821,2144,2144,1915,1915,1901,1901,2049,2049,1989,1989,1965,1965
1887,2086,2086,1787,1787,2025,2025,1963,1963,1978,1978,1994,1994
1839,2109,2109,1837,1837,2108,2108,1873,1873,1920,1920,2022,2022
1964,2060,2060,1817,1817,1993,1993,2040,2040,2062,2062,2033,2033
2260,2131,2131,2208,2208,2067,2067,2308,2308,2380,2380,2281,2281
2127,1895,1895,2074,2074,2019,2019,2227,2227,2194,2194,2108,2108
1931,2050,2050,1913,1913,1980,1980,2017,2017,1997,1997,2024,2024
1972,1950,1950,1968,1968,2015,2015,2086,2086,2028,2028,1977,1977
1872,1944,1944,2016,2016,1966,1966,2019,2019,2029,2029,2028,2028
1913,1958,1958,1968,1968,2178,2178,2065,2065,1820,1820,2102,2102
1795,1977,1977,1936,1936,2192,2192,1905,1905,1866,1866,2039,2039
2035,1991,1991,1965,1965,2149,2149,2017,2017,1953,1953,2037,2037
2001,1904,1904,1972,1972,2133,2133,2029,2029,1953,1953,2054,2054
1821,1944,1944,2065,2065,2065,2065,2006,2006,2029,2029,2136,2136
1916,1927,1927,2027,2027,2020,2020,1972,1972,2046,2046,1980,1980
1941,2102,2102,1988,1988,2054,2054,1940,1940,2095,2095,2075,2075
1817,2161,2161,1818,1818,2042,2042,2041,2041,1901,1901,2056,2056
1905,2121,2121,2038,2038,2102,2102,1965,1965,1847,1847,2027,2027
1720,2111,2111,1942,1942,2117,2117,1957,1957,1931,1931,2033,2033
2052,2074,2074,2232,2232,2053,2053,2008,2008,2210,2210,2152,2152
2231,2380,2380,2363,2363,2340,2340,2304,2304,2156,2156,2395,2395
2067,2245,2245,2197,2197,2206,2206,1947,1947,2100,2100,2230,2230
2144,2014,2014,2013,2013,1987,1987,2027,2027,2089,2089,1992,1992
1896,1955,1955,1992,1992,2097,2097,2070,2070,2195,2195,2127,2127
2019,2041,2041,2102,2102,2043,2043,2049,2049,2016,2016,2126,2126
1923,2025,2025,1893,1893,2030,2030,1995,1995,1999,1999,2019,2019
1995,1971,1971,2049,2049,2072,2072,1921,1921,1932,1932,2063,2063
2017,1891,1891,1976,1976,2083,2083,2116,2116,2021,2021,1710,1710
