data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3927,3927,3930,3930,3925,3925,3930,3930,3925,3925,3928,3928,3929,3929,3925,3925,3926,3926
3704,3704,3711,3711,3709,3709,3710,3710,3700,3700,3708,3708,3707,3707,3702,3702,3702,3702
2544,2544,2657,2657,2658,2658,2507,2507,2540,2540,2580,2580,2536,2536,2578,2578,2476,2476
2232,2232,2018,2018,2101,2101,2340,2340,2184,2184,2235,2235,2276,2276,2149,2149,2398,2398
2114,2114,2258,2258,2222,2222,2106,2106,2059,2059,2049,2049,2107,2107,1998,1998,2068,2068
2171,2171,1944,1944,1946,1946,2024,2024,2106,2106,1965,1965,1999,1999,1994,1994,1996,1996
2112,2112,1920,1920,1974,1974,1840,1840,2014,2014,1997,1997,1989,1989,2076,2076,1945,1945
2097,2097,2024,2024,1951,1951,1907,1907,1961,1961,1908,1908,2042,2042,2092,2092,1854,1854
2067,2067,1944,1944,1882,1882,1947,1947,1916,1916,1930,1930,2031,2031,1908,1908,1962,1962
2034,2034,2087,2087,1915,1915,1964,1964,2012,2012,1959,1959,1897,1897,1944,1944,1933,1933
1997,1997,2122,2122,1970,1970,1863,1863,2106,2106,1978,1978,1918,1918,1921,1921,1970,1970
2100,2100,2052,2052,2030,2030,1995,1995,2065,2065,2191,2191,2107,2107,1929,1929,2117,2117
1905,1905,2133,2133,2115,2115,2137,2137,2077,2077,2069,2069,1780,1780,2022,2022,2059,2059
2136,2136,2102,2102,2297,2297,2166,2166,2300,2300,2324,2324,2198,2198,2177,2177,2361,2361
2591,2591,2599,2599,2549,2549,2577,2577,2612,2612,2448,2448,2596,2596,2579,2579,2537,2537
3704,3704,3702,3702,3698,3698,3704,3704,3702,3702,3696,3696,3704,3704,3699,3699,3697,3697
3933,3933,3934,3934,3932,3932,3935,3935,3931,3931,3934,3934,3934,3934,3930,3930,3932,3932
3717,3717,3720,3720,3716,3716,3717,3717,3715,3715,3720,3720,3718,3718,3714,3714,3714,3714
2566,2566,2638,2638,2619,2619,2542,2542,2561,2561,2613,2613,2559,2559,2568,2568,2522,2522
2212,2212,2032,2032,2130,2130,2239,2239,2232,2232,2171,2171,2289,2289,2158,2158,2310,2310
2089,2089,2110,2110,2050,2050,1978,1978,1902,1902,2135,2135,2010,2010,1801,1801,1972,1972
2041,2041,1862,1862,1922,1922,1986,1986,1986,1986,1931,1931,2018,2018,1951,1951,1945,1945
1992,1992,1632,1632,1949,1949,1768,1768,1812,1812,1945,1945,1902,1902,1774,1774,1866,1866
1843,1843,1804,1804,1937,1937,1730,1730,1890,1890,1796,1796,2103,2103,1740,1740,1863,1863
1950,1950,1949,1949,1888,1888,1867,1867,1898,1898,1855,1855,2047,2047,1894,1894,1955,1955
2036,2036,1910,1910,1984,1984,1788,1788,1927,1927,1715,1715,1966,1966,2002,2002,1851,1851
1955,1955,2007,2007,1892,1892,1759,1759,1969,1969,1887,1887,1933,1933,1903,1903,1891,1891
1981,1981,1923,1923,1938,1938,1940,1940,1860,1860,2066,2066,1995,1995,1909,1909,2058,2058
1944,1944,2027,2027,2062,2062,2013,2013,2030,2030,2139,2139,1781,1781,2035,2035,1980,1980
2220,2220,2242,2242,2163,2163,2204,2204,2238,2238,2270,2270,2190,2190,2098,2098,2316,2316
2596,2596,2583,2583,2565,2565,2560,2560,2623,2623,2525,2525,2594,2594,2592,2592,2539,2539
3709,3709,3706,3706,3705,3705,3708,3708,3709,3709,3708,3708,3708,3708,3707,3707,3706,3706
3554,3554,3554,3554,3552,3552,3555,3555,3553,3553,3554,3554,3553,3553,3555,3555,3554,3554
3335,3335,3336,3336,3329,3329,3336,3336,3334,3334,3334,3334,3337,3337,3331,3331,3333,3333
2230,2230,2210,2210,2146,2146,2188,2188,2143,2143,2228,2228,2277,2277,2147,2147,2221,2221
1917,1917,1905,1905,2008,2008,1922,1922,2070,2070,1920,1920,1697,1697,1991,1991,1909,1909
1842,1842,1770,1770,1933,1933,1689,1689,1798,1798,1961,1961,1904,1904,1599,1599,1808,1808
1739,1739,1679,1679,1807,1807,1733,1733,1793,1793,1825,1825,1923,1923,1546,1546,1796,1796
1956,1956,1906,1906,1780,1780,1835,1835,1849,1849,1839,1839,1907,1907,1820,1820,1738,1738
1851,1851,1848,1848,1835,1835,1690,1690,1925,1925,1874,1874,1727,1727,1805,1805,1718,1718
1825,1825,1872,1872,1723,1723,1884,1884,1946,1946,1912,1912,1845,1845,1790,1790,1911,1911
1794,1794,1901,1901,1952,1952,1912,1912,1905,1905,1961,1961,1908,1908,1900,1900,1918,1918
1713,1713,1971,1971,1962,1962,1803,1803,1825,1825,1956,1956,1857,1857,1845,1845,1972,1972
1671,1671,1904,1904,1937,1937,1809,1809,1739,1739,1840,1840,1705,1705,1827,1827,1840,1840
1853,1853,1890,1890,1955,1955,1921,1921,1854,1854,1808,1808,1876,1876,1890,1890,1860,1860
2028,2028,2097,2097,1917,1917,1869,1869,1818,1818,1905,1905,1981,1981,2048,2048,2071,2071
2191,2191,2094,2094,2239,2239,2207,2207,2284,2284,2219,2219,2198,2198,2244,2244,2123,2123
3323,3323,3320,3320,3320,3320,3322,3322,3323,3323,3323,3323,3320,3320,3323,3323,3321,3321
2622,2622,2624,2624,2580,2580,2598,2598,2615,2615,2612,2612,2614,2614,2564,2564,2595,2595
2412,2412,2396,2396,2333,2333,2442,2442,2377,2377,2393,2393,2437,2437,2264,2264,2393,2393
1903,1903,1857,1857,1876,1876,1914,1914,1845,1845,1803,1803,1850,1850,1882,1882,1995,1995
1764,1764,1904,1904,1923,1923,1878,1878,1906,1906,1662,1662,1912,1912,1846,1846,1759,1759
1919,1919,1718,1718,1971,1971,1784,1784,1867,1867,1971,1971,1899,1899,1703,1703,1779,1779
1844,1844,1813,1813,1944,1944,1877,1877,1773,1773,1788,1788,1826,1826,1819,1819,1727,1727
1731,1731,2027,2027,1981,1981,1952,1952,1799,1799,1820,1820,1916,1916,1864,1864,1855,1855
1785,1785,1970,1970,1914,1914,1796,1796,1847,1847,1992,1992,1926,1926,1823,1823,1882,1882
1696,1696,1776,1776,1936,1936,1930,1930,1942,1942,1957,1957,1948,1948,1749,1749,1878,1878
