data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3831,3828,3828,3831,3831,3830,3830,3835,3835,3833,3833,3836,3836,3837,3837,3828,3828
3615,3607,3607,3605,3605,3610,3610,3613,3613,3615,3615,3613,3613,3612,3612,3603,3603
2502,2485,2485,2484,2484,2503,2503,2370,2370,2431,2431,2442,2442,2448,2448,2361,2361
2200,2135,2135,2010,2010,2222,2222,2139,2139,2354,2354,2224,2224,2168,2168,2365,2365
2012,2163,2163,2176,2176,2115,2115,1796,1796,2054,2054,1943,1943,1876,1876,2014,2014
1945,2030,2030,2063,2063,2092,2092,2030,2030,2091,2091,1900,1900,1972,1972,2048,2048
1969,2009,2009,1973,1973,2039,2039,2014,2014,1872,1872,1974,1974,2135,2135,1981,1981
1791,2069,2069,1984,1984,1974,1974,2004,2004,2028,2028,2017,2017,1979,1979,1995,1995
1890,2140,2140,1929,1929,2001,2001,2014,2014,1947,1947,2076,2076,1932,1932,1916,1916
1726,2044,2044,1890,1890,1970,1970,2076,2076,1808,1808,1999,1999,1821,1821,2023,2023
1923,1925,1925,1979,1979,2107,2107,2054,2054,1899,1899,1966,1966,1901,1901,2027,2027
2044,2013,2013,1930,1930,1924,1924,2069,2069,2013,2013,1979,1979,2057,2057,1886,1886
1994,1924,1924,1994,1994,2020,2020,2079,2079,2253,2253,2047,2047,2073,2073,1976,1976
2225,2240,2240,2051,2051,2177,2177,2060,2060,2214,2214,2273,2273,2190,2190,2186,2186
2534,2506,2506,2504,2504,2474,2474,2479,2479,2508,2508,2493,2493,2485,2485,2420,2420
3614,3609,3609,3612,3612,3613,3613,3615,3615,3614,3614,3620,3620,3617,3617,3609,3609
3860,3857,3857,3855,3855,3859,3859,3861,3861,3862,3862,3861,3861,3863,3863,3861,3861
3639,3636,3636,3634,3634,3638,3638,3640,3640,3641,3641,3639,3639,3641,3641,3635,3635
2482,2511,2511,2507,2507,2509,2509,2445,2445,2457,2457,2495,2495,2492,2492,2386,2386
2277,2107,2107,2067,2067,2150,2150,2165,2165,2295,2295,2161,2161,2125,2125,2256,2256
2043,2093,2093,2148,2148,1932,1932,1912,1912,2065,2065,2053,2053,1883,1883,1986,1986
