data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3874,3882,3882,3878,3878,3882,3882,3885,3885,3882,3882,3881,3881,3885,3885,3877,3877
3654,3661,3661,3654,3654,3664,3664,3667,3667,3664,3664,3656,3656,3661,3661,3656,3656
2552,2604,2604,2478,2478,2555,2555,2581,2581,2580,2580,2475,2475,2481,2481,2516,2516
2114,2131,2131,2089,2089,2178,2178,2118,2118,2166,2166,2206,2206,2314,2314,2200,2200
2156,2029,2029,2084,2084,2080,2080,2057,2057,1868,1868,1939,1939,2114,2114,2061,2061
2065,2078,2078,1913,1913,1964,1964,1929,1929,2039,2039,1875,1875,2004,2004,2030,2030
2156,1887,1887,2007,2007,1987,1987,2010,2010,1931,1931,1869,1869,1910,1910,1929,1929
2144,1904,1904,2075,2075,1858,1858,1894,1894,2016,2016,1909,1909,1845,1845,1962,1962
2084,1972,1972,1999,1999,2055,2055,1850,1850,1913,1913,1981,1981,1868,1868,1988,1988
2028,2018,2018,1920,1920,1948,1948,1996,1996,1990,1990,2064,2064,1902,1902,1997,1997
1847,2045,2045,1919,1919,1951,1951,2033,2033,1963,1963,2031,2031,2000,2000,1944,1944
1963,1959,1959,2002,2002,1900,1900,2122,2122,2077,2077,2005,2005,2019,2019,2031,2031
1984,2057,2057,2051,2051,1904,1904,2159,2159,1920,1920,2208,2208,2054,2054,2019,2019
2139,2121,2121,2245,2245,2210,2210,2143,2143,2129,2129,2089,2089,2202,2202,2198,2198
2537,2600,2600,2545,2545,2542,2542,2588,2588,2567,2567,2546,2546,2559,2559,2517,2517
3652,3655,3655,3653,3653,3657,3657,3655,3655,3657,3657,3653,3653,3658,3658,3649,3649
3876,3877,3877,3873,3873,3882,3882,3880,3880,3879,3879,3879,3879,3881,3881,3876,3876
3651,3654,3654,3650,3650,3657,3657,3660,3660,3658,3658,3654,3654,3656,3656,3652,3652
2559,2583,2583,2487,2487,2552,2552,2544,2544,2564,2564,2507,2507,2483,2483,2527,2527
1939,2083,2083,2007,2007,2186,2186,2136,2136,2169,2169,2145,2145,2236,2236,2105,2105
2057,2011,2011,2089,2089,1968,1968,1984,1984,1974,1974,2020,2020,1967,1967,1959,1959
2099,1930,1930,1865,1865,1890,1890,1928,1928,2029,2029,1737,1737,1917,1917,1827,1827
2051,1752,1752,1915,1915,1998,1998,1819,1819,1986,1986,1836,1836,1989,1989,1796,1796
1983,1920,1920,1859,1859,1982,1982,1737,1737,1908,1908,1824,1824,1916,1916,1921,1921
1921,1866,1866,1942,1942,1918,1918,1909,1909,1937,1937,1899,1899,1877,1877,1894,1894
1885,1856,1856,1879,1879,1793,1793,1920,1920,1851,1851,1945,1945,1863,1863,1694,1694
1780,1963,1963,1944,1944,1893,1893,1882,1882,1943,1943,1870,1870,1998,1998,1869,1869
1836,1951,1951,1872,1872,1753,1753,2015,2015,2004,2004,1778,1778,1944,1944,2080,2080
1964,2059,2059,1914,1914,1916,1916,1992,1992,2030,2030,2176,2176,2033,2033,1996,1996
2171,2133,2133,2183,2183,2221,2221,2060,2060,2077,2077,2024,2024,2178,2178,2210,2210
2530,2553,2553,2539,2539,2537,2537,2553,2553,2552,2552,2556,2556,2523,2523,2491,2491
3648,3650,3650,3651,3651,3652,3652,3649,3649,3650,3650,3651,3651,3650,3650,3647,3647
3500,3494,3494,3494,3494,3497,3497,3498,3498,3496,3496,3500,3500,3499,3499,3493,3493
3277,3277,3277,3273,3273,3278,3278,3278,3278,3275,3275,3285,3285,3281,3281,3275,3275
2219,2174,2174,2220,2220,2198,2198,2178,2178,2155,2155,2139,2139,2189,2189,2212,2212
1745,1871,1871,1980,1980,1946,1946,1946,1946,1958,1958,1889,1889,1985,1985,1858,1858
1782,1882,1882,1948,1948,1886,1886,1949,1949,1905,1905,1900,1900,1810,1810,1791,1791
1957,1722,1722,1849,1849,1751,1751,1820,1820,1957,1957,1722,1722,1857,1857,1755,1755
1896,1679,1679,1917,1917,1908,1908,1842,1842,1978,1978,1811,1811,1884,1884,1700,1700
1826,1828,1828,1750,1750,1839,1839,1850,1850,1736,1736,1823,1823,1956,1956,1872,1872
1584,1850,1850,1878,1878,1839,1839,1855,1855,1826,1826,1807,1807,1880,1880,1941,1941
1824,1809,1809,1961,1961,1791,1791,1870,1870,2022,2022,1879,1879,1860,1860,1830,1830
1918,1870,1870,1889,1889,1762,1762,1812,1812,1952,1952,1734,1734,1817,1817,1836,1836
1879,1927,1927,1845,1845,1789,1789,1800,1800,1857,1857,1723,1723,1849,1849,2092,2092
1893,1891,1891,1863,1863,1883,1883,1850,1850,1867,1867,1937,1937,1964,1964,1900,1900
1933,1981,1981,1949,1949,1898,1898,1847,1847,1725,1725,1876,1876,1854,1854,1918,1918
2159,2199,2199,2196,2196,2166,2166,2157,2157,2154,2154,2129,2129,2147,2147,2056,2056
3279,3272,3272,3268,3268,3274,3274,3269,3269,3271,3271,3271,3271,3275,3275,3266,3266
2524,2451,2451,2442,2442,2475,2475,2430,2430,2503,2503,2536,2536,2572,2572,2499,2499
2332,2307,2307,2346,2346,2234,2234,2187,2187,2244,2244,2396,2396,2426,2426,2321,2321
1717,1813,1813,1894,1894,1741,1741,1667,1667,1849,1849,1785,1785,1957,1957,1770,1770
1667,1808,1808,1993,1993,1799,1799,1842,1842,1805,1805,1667,1667,1945,1945,1858,1858
1667,1868,1868,1903,1903,1730,1730,1852,1852,1854,1854,1846,1846,1830,1830,1782,1782
1844,1845,1845,1871,1871,1831,1831,1924,1924,1881,1881,1812,1812,1766,1766,1628,1628
1858,1772,1772,1895,1895,1912,1912,1838,1838,1791,1791,1762,1762,1892,1892,1703,1703
1948,1681,1681,1841,1841,1904,1904,1745,1745,1840,1840,1666,1666,1983,1983,1909,1909
1716,1884,1884,1876,1876,1800,1800,1781,1781,1789,1789,1664,1664,1915,1915,2026,2026
1813,1845,1845,1819,1819,1911,1911,1986,1986,1951,1951,1879,1879,1867,1867,1887,1887
1955,1830,1830,1933,1933,1903,1903,1822,1822,1906,1906,1819,1819,1818,1818,1740,1740
2020,1941,1941,1822,1822,1943,1943,1805,1805,1996,1996,1821,1821,1799,1799,1846,1846
1942,1859,1859,1712,1712,1925,1925,1857,1857,1898,1898,1791,1791,1908,1908,1805,1805
1792,1894,1894,1738,1738,1702,1702,1901,1901,1736,1736,1826,1826,1855,1855,1606,1606
1736,1972,1972,1871,1871,1766,1766,1871,1871,1904,1904,1864,1864,1829,1829,1721,1721
2297,2291,2291,2290,2290,2197,2197,2303,2303,2366,2366,2274,2274,2307,2307,2240,2240
2076,2152,2152,1640,1640,1949,1949,1913,1913,2155,2155,2073,2073,2050,2050,2002,2002
1994,2052,2052,1880,1880,1941,1941,1910,1910,1976,1976,2029,2029,1847,1847,2028,2028
1798,1895,1895,1955,1955,1976,1976,1839,1839,1956,1956,1866,1866,1798,1798,2005,2005
1839,1944,1944,2107,2107,1828,1828,1870,1870,1909,1909,1808,1808,1967,1967,1927,1927
1827,1946,1946,1968,1968,1689,1689,1884,1884,2038,2038,1820,1820,1888,1888,1647,1647
