data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3879,3878,3878,3880,3880,3878,3878,3880,3880,3880,3880,3876,3876,3880,3880,3883,3883
3664,3655,3655,3657,3657,3656,3656,3662,3662,3661,3661,3654,3654,3658,3658,3660,3660
2604,2532,2532,2475,2475,2526,2526,2537,2537,2536,2536,2428,2428,2517,2517,2566,2566
2100,2259,2259,2268,2268,2267,2267,2122,2122,2217,2217,2261,2261,2248,2248,2101,2101
2156,1916,1916,2102,2102,2002,2002,2006,2006,1884,1884,2075,2075,2188,2188,2002,2002
2083,1974,1974,2182,2182,1896,1896,1929,1929,2052,2052,1884,1884,2049,2049,1985,1985
1987,2024,2024,1922,1922,1955,1955,1975,1975,1937,1937,1905,1905,1988,1988,1996,1996
1944,2022,2022,2032,2032,2000,2000,2010,2010,1977,1977,1915,1915,1970,1970,1984,1984
1874,1928,1928,2012,2012,1998,1998,1945,1945,1907,1907,1917,1917,1993,1993,2097,2097
1772,2075,2075,2094,2094,2010,2010,2023,2023,1859,1859,1902,1902,2052,2052,1980,1980
1809,1965,1965,1940,1940,1899,1899,1983,1983,2051,2051,2067,2067,1937,1937,1881,1881
2070,2009,2009,1960,1960,1883,1883,2023,2023,1976,1976,2115,2115,2071,2071,1917,1917
2074,2017,2017,1976,1976,2002,2002,2040,2040,1964,1964,2157,2157,2069,2069,1957,1957
2216,2171,2171,2156,2156,2160,2160,2158,2158,2227,2227,2165,2165,2063,2063,2194,2194
2464,2559,2559,2599,2599,2580,2580,2514,2514,2502,2502,2530,2530,2501,2501,2510,2510
3643,3651,3651,3655,3655,3651,3651,3650,3650,3650,3650,3645,3645,3647,3647,3653,3653
3877,3875,3875,3877,3877,3873,3873,3879,3879,3878,3878,3876,3876,3877,3877,3878,3878
3659,3651,3651,3652,3652,3653,3653,3656,3656,3654,3654,3651,3651,3655,3655,3653,3653
2586,2530,2530,2471,2471,2496,2496,2527,2527,2531,2531,2450,2450,2528,2528,2530,2530
