data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3827,3820,3820,3833,3833,3827,3827,3829,3829,3830,3830,3826,3826,3820,3820,3823,3823
3608,3608,3608,3621,3621,3614,3614,3616,3616,3614,3614,3607,3607,3607,3607,3609,3609
2488,2535,2535,2524,2524,2530,2530,2499,2499,2508,2508,2518,2518,2498,2498,2544,2544
2073,2177,2177,2291,2291,2090,2090,2276,2276,2035,2035,1946,1946,2080,2080,2004,2004
2037,1991,1991,2077,2077,2049,2049,2089,2089,1939,1939,2188,2188,2220,2220,1879,1879
1988,2170,2170,2127,2127,1861,1861,2118,2118,1954,1954,1929,1929,2004,2004,2031,2031
1801,1998,1998,2013,2013,1863,1863,2029,2029,1976,1976,2088,2088,1845,1845,2045,2045
1934,2002,2002,1922,1922,1985,1985,2083,2083,1984,1984,1888,1888,1821,1821,1942,1942
2037,2038,2038,1983,1983,1957,1957,2019,2019,1933,1933,1874,1874,1996,1996,2024,2024
1971,2017,2017,2018,2018,1914,1914,1901,1901,1958,1958,2108,2108,2010,2010,1807,1807
2073,2075,2075,2020,2020,1939,1939,1977,1977,2028,2028,2096,2096,1751,1751,1961,1961
1882,2015,2015,1968,1968,2024,2024,2035,2035,2053,2053,1976,1976,1912,1912,2069,2069
2066,1968,1968,2137,2137,2110,2110,1866,1866,2034,2034,1946,1946,1990,1990,2107,2107
2122,2162,2162,2102,2102,2083,2083,2262,2262,2194,2194,2181,2181,2127,2127,2028,2028
2487,2441,2441,2393,2393,2504,2504,2407,2407,2512,2512,2528,2528,2400,2400,2481,2481
3609,3597,3597,3608,3608,3609,3609,3605,3605,3609,3609,3605,3605,3596,3596,3603,3603
3851,3847,3847,3853,3853,3851,3851,3850,3850,3852,3852,3848,3848,3849,3849,3846,3846
3628,3626,3626,3633,3633,3631,3631,3633,3633,3629,3629,3624,3624,3625,3625,3625,3625
2490,2498,2498,2499,2499,2539,2539,2483,2483,2527,2527,2473,2473,2500,2500,2516,2516
2118,2166,2166,2242,2242,2122,2122,2272,2272,2137,2137,2102,2102,1985,1985,2061,2061
1992,2066,2066,2024,2024,2019,2019,1941,1941,1875,1875,2109,2109,2052,2052,1962,1962
2037,2105,2105,2063,2063,1941,1941,2005,2005,1976,1976,1986,1986,1876,1876,2053,2053
1896,1845,1845,1872,1872,1953,1953,1776,1776,1844,1844,1993,1993,1862,1862,1974,1974
1933,1940,1940,1672,1672,1987,1987,1873,1873,1965,1965,1671,1671,1803,1803,1827,1827
1841,2009,2009,1891,1891,1834,1834,1880,1880,1931,1931,1726,1726,1805,1805,2024,2024
1861,1951,1951,1935,1935,1904,1904,1990,1990,1666,1666,1816,1816,1837,1837,1815,1815
1821,1927,1927,1966,1966,1901,1901,2069,2069,1867,1867,1920,1920,1818,1818,1990,1990
1905,1909,1909,2027,2027,1904,1904,1895,1895,1897,1897,1984,1984,1811,1811,2031,2031
2024,1987,1987,2081,2081,2039,2039,1883,1883,2016,2016,1880,1880,2007,2007,1976,1976
2211,2069,2069,2169,2169,2126,2126,2215,2215,2076,2076,2215,2215,2094,2094,1973,1973
2497,2471,2471,2472,2472,2487,2487,2470,2470,2503,2503,2518,2518,2454,2454,2495,2495
3622,3613,3613,3619,3619,3620,3620,3618,3618,3623,3623,3616,3616,3614,3614,3616,3616
3488,3485,3485,3489,3489,3489,3489,3487,3487,3486,3486,3485,3485,3483,3483,3483,3483
3266,3265,3265,3269,3269,3268,3268,3265,3265,3264,3264,3260,3260,3262,3262,3263,3263
2173,2160,2160,2072,2072,2191,2191,1989,1989,2218,2218,2047,2047,2072,2072,2127,2127
1824,1887,1887,2022,2022,1880,1880,2077,2077,1909,1909,2013,2013,1886,1886,1857,1857
1938,1994,1994,1869,1869,1742,1742,1951,1951,1796,1796,2028,2028,1948,1948,1816,1816
1865,1953,1953,1884,1884,1811,1811,1930,1930,1757,1757,1890,1890,1758,1758,1926,1926
