data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3924,3926,3926,3924,3924,3929,3929,3933,3933,3928,3928,3925,3925,3926,3926,3926,3926
3704,3703,3703,3703,3703,3710,3710,3713,3713,3710,3710,3707,3707,3706,3706,3709,3709
2582,2526,2526,2574,2574,2559,2559,2557,2557,2583,2583,2599,2599,2566,2566,2621,2621
2283,2259,2259,2163,2163,2139,2139,2296,2296,2245,2245,2194,2194,2271,2271,2184,2184
2036,2143,2143,2055,2055,2129,2129,2029,2029,2163,2163,1874,1874,1897,1897,2045,2045
2010,2022,2022,2170,2170,1941,1941,2074,2074,1956,1956,1924,1924,2024,2024,2032,2032
1886,2007,2007,2023,2023,2080,2080,2105,2105,2034,2034,1983,1983,1932,1932,2069,2069
1919,1981,1981,1893,1893,2006,2006,2094,2094,1861,1861,1769,1769,2071,2071,2066,2066
2049,1871,1871,1750,1750,2003,2003,1672,1672,1977,1977,1959,1959,2034,2034,2076,2076
2150,2020,2020,1881,1881,2025,2025,1969,1969,2018,2018,1901,1901,1959,1959,2018,2018
2034,2034,2034,1709,1709,1911,1911,1989,1989,1905,1905,1978,1978,2113,2113,1921,1921
2054,2226,2226,1995,1995,2111,2111,2091,2091,2032,2032,1917,1917,1994,1994,1851,1851
2042,2180,2180,2000,2000,1975,1975,2159,2159,2133,2133,2056,2056,2125,2125,2137,2137
2192,2324,2324,2120,2120,2228,2228,2104,2104,2058,2058,2218,2218,2261,2261,2329,2329
2568,2533,2533,2610,2610,2572,2572,2657,2657,2623,2623,2630,2630,2553,2553,2603,2603
3698,3699,3699,3700,3700,3702,3702,3711,3711,3705,3705,3704,3704,3699,3699,3704,3704
3931,3931,3931,3933,3933,3935,3935,3938,3938,3935,3935,3935,3935,3934,3934,3935,3935
3715,3716,3716,3717,3717,3718,3718,3719,3719,3721,3721,3720,3720,3718,3718,3717,3717
2576,2556,2556,2599,2599,2570,2570,2549,2549,2587,2587,2597,2597,2579,2579,2592,2592
2241,2218,2218,2093,2093,2218,2218,2283,2283,2248,2248,2200,2200,2227,2227,2224,2224
1973,2015,2015,2010,2010,2097,2097,2087,2087,2143,2143,1997,1997,1870,1870,2027,2027
2095,1978,1978,2073,2073,1934,1934,2021,2021,2003,2003,1774,1774,1932,1932,2001,2001
1855,1985,1985,2012,2012,2022,2022,2088,2088,2069,2069,1955,1955,1956,1956,1997,1997
1877,1976,1976,1894,1894,1986,1986,1912,1912,1781,1781,1863,1863,2030,2030,1945,1945
1811,1823,1823,1773,1773,1976,1976,1764,1764,1801,1801,1855,1855,2095,2095,2007,2007
1930,1854,1854,1930,1930,2077,2077,1903,1903,1971,1971,1901,1901,2004,2004,1692,1692
1957,1941,1941,1909,1909,1866,1866,1972,1972,1872,1872,1955,1955,1998,1998,1862,1862
1955,2167,2167,1927,1927,2068,2068,2002,2002,1917,1917,2078,2078,2005,2005,1952,1952
1991,2043,2043,1864,1864,1943,1943,2150,2150,2018,2018,2019,2019,2069,2069,2073,2073
2183,2272,2272,2206,2206,2203,2203,2062,2062,2166,2166,2192,2192,2246,2246,2272,2272
2573,2562,2562,2612,2612,2595,2595,2644,2644,2612,2612,2601,2601,2587,2587,2590,2590
3706,3706,3706,3706,3706,3709,3709,3714,3714,3711,3711,3711,3711,3708,3708,3710,3710
3553,3552,3552,3553,3553,3554,3554,3556,3556,3556,3556,3559,3559,3556,3556,3557,3557
3332,3335,3335,3335,3335,3332,3332,3334,3334,3338,3338,3339,3339,3336,3336,3335,3335
2103,2212,2212,2265,2265,2187,2187,2167,2167,2245,2245,2222,2222,2184,2184,2181,2181
1981,1938,1938,1843,1843,2062,2062,2042,2042,1881,1881,2023,2023,1873,1873,1894,1894
1922,1925,1925,1901,1901,1878,1878,1914,1914,1957,1957,1735,1735,1812,1812,1905,1905
1976,1956,1956,1994,1994,1887,1887,1880,1880,1842,1842,1698,1698,1894,1894,1835,1835
1899,1804,1804,1957,1957,1797,1797,1888,1888,1850,1850,1880,1880,1886,1886,1896,1896
1917,1870,1870,1952,1952,1824,1824,1920,1920,1740,1740,1788,1788,1771,1771,1853,1853
1911,1702,1702,1827,1827,1908,1908,1945,1945,1766,1766,1822,1822,1830,1830,1847,1847
