data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3923,3921,3921,3921,3921,3925,3925,3927,3927,3923,3923,3921,3921,3923,3923,3924,3924
3705,3703,3703,3703,3703,3708,3708,3706,3706,3709,3709,3704,3704,3708,3708,3710,3710
2577,2591,2591,2530,2530,2601,2601,2536,2536,2599,2599,2584,2584,2622,2622,2643,2643
2111,2181,2181,2286,2286,2257,2257,2312,2312,2251,2251,2260,2260,2246,2246,2308,2308
2063,2130,2130,2120,2120,2008,2008,2068,2068,2157,2157,2111,2111,2183,2183,2012,2012
1905,2088,2088,2014,2014,2031,2031,2107,2107,2149,2149,2011,2011,1972,1972,2039,2039
2027,2088,2088,2164,2164,2013,2013,1865,1865,1987,1987,2042,2042,2035,2035,2026,2026
2000,2152,2152,2095,2095,1917,1917,2018,2018,2104,2104,2065,2065,1979,1979,2157,2157
1855,2087,2087,2021,2021,1850,1850,1968,1968,1993,1993,1937,1937,2072,2072,2090,2090
1986,2005,2005,2083,2083,1943,1943,1822,1822,1934,1934,2025,2025,1961,1961,2061,2061
1894,1963,1963,2048,2048,1973,1973,1899,1899,1898,1898,1872,1872,1959,1959,2013,2013
1987,2033,2033,2049,2049,2052,2052,1908,1908,1913,1913,1966,1966,2011,2011,2065,2065
2097,2112,2112,2025,2025,2153,2153,2099,2099,2132,2132,2158,2158,2126,2126,2121,2121
2214,2269,2269,2295,2295,2153,2153,2146,2146,2300,2300,2111,2111,2030,2030,2088,2088
2580,2525,2525,2541,2541,2615,2615,2627,2627,2474,2474,2594,2594,2636,2636,2603,2603
3697,3695,3695,3692,3692,3702,3702,3708,3708,3700,3700,3697,3697,3700,3700,3699,3699
3933,3932,3932,3933,3933,3936,3936,3935,3935,3933,3933,3932,3932,3934,3934,3932,3932
3714,3717,3717,3717,3717,3718,3718,3717,3717,3718,3718,3716,3716,3719,3719,3719,3719
2586,2576,2576,2562,2562,2566,2566,2559,2559,2592,2592,2577,2577,2624,2624,2619,2619
2201,2211,2211,2229,2229,2251,2251,2299,2299,2269,2269,2253,2253,2208,2208,2248,2248
2035,2088,2088,2037,2037,2092,2092,2093,2093,2002,2002,2091,2091,2175,2175,2126,2126
1935,2094,2094,1888,1888,1959,1959,2106,2106,2114,2114,1735,1735,1926,1926,1903,1903
1988,2066,2066,1991,1991,2013,2013,1709,1709,1956,1956,1996,1996,1799,1799,1899,1899
1974,2029,2029,1940,1940,1929,1929,1889,1889,1999,1999,2087,2087,1726,1726,2080,2080
1834,2087,2087,1966,1966,1862,1862,1883,1883,1958,1958,2111,2111,2062,2062,2068,2068
1930,1987,1987,2058,2058,1754,1754,1899,1899,1920,1920,2073,2073,1964,1964,1982,1982
1855,2007,2007,2033,2033,1814,1814,1820,1820,1893,1893,1946,1946,1786,1786,2093,2093
1948,2144,2144,1984,1984,1877,1877,1939,1939,1951,1951,1861,1861,2016,2016,2055,2055
