data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3830,3821,3821,3820,3820,3825,3825,3827,3827,3823,3823,3827,3827,3826,3826,3826,3826
3613,3601,3601,3605,3605,3608,3608,3608,3608,3606,3606,3615,3615,3613,3613,3611,3611
2445,2398,2398,2478,2478,2530,2530,2451,2451,2464,2464,2498,2498,2579,2579,2489,2489
2266,2127,2127,2271,2271,2135,2135,2243,2243,2208,2208,2204,2204,2092,2092,2048,2048
1944,2024,2024,1983,1983,2055,2055,1721,1721,2004,2004,2139,2139,2153,2153,2012,2012
1888,2000,2000,1860,1860,1904,1904,1968,1968,2059,2059,2022,2022,1895,1895,1958,1958
1880,1911,1911,1880,1880,1810,1810,2018,2018,1923,1923,2025,2025,2034,2034,2042,2042
1908,1910,1910,2070,2070,2034,2034,1896,1896,1977,1977,1837,1837,1997,1997,1973,1973
2001,1879,1879,2007,2007,1949,1949,2029,2029,1981,1981,1932,1932,1986,1986,2098,2098
2118,2011,2011,1917,1917,1770,1770,2144,2144,2041,2041,1976,1976,2099,2099,2091,2091
2131,1949,1949,1933,1933,1781,1781,1980,1980,1913,1913,1854,1854,2155,2155,2122,2122
2074,1900,1900,2016,2016,1769,1769,1843,1843,1814,1814,1942,1942,2110,2110,2122,2122
2090,2003,2003,2193,2193,2106,2106,2080,2080,2061,2061,1954,1954,1971,1971,1954,1954
2018,2081,2081,2128,2128,2104,2104,2084,2084,2092,2092,2095,2095,2147,2147,2180,2180
2578,2537,2537,2495,2495,2508,2508,2496,2496,2387,2387,2501,2501,2473,2473,2434,2434
3609,3602,3602,3598,3598,3604,3604,3608,3608,3597,3597,3604,3604,3606,3606,3605,3605
3850,3844,3844,3844,3844,3848,3848,3848,3848,3844,3844,3849,3849,3847,3847,3848,3848
3627,3620,3620,3623,3623,3625,3625,3622,3622,3622,3622,3629,3629,3629,3629,3625,3625
2495,2445,2445,2521,2521,2524,2524,2339,2339,2490,2490,2527,2527,2562,2562,2480,2480
2130,2152,2152,2196,2196,2041,2041,2223,2223,2124,2124,2163,2163,1930,1930,2111,2111
1956,1882,1882,1893,1893,2046,2046,1885,1885,2026,2026,2021,2021,2137,2137,1941,1941
1898,1979,1979,1823,1823,1900,1900,2025,2025,2038,2038,1781,1781,1842,1842,1981,1981
1855,1904,1904,1832,1832,1957,1957,2000,2000,1976,1976,1994,1994,1935,1935,2002,2002
1872,1894,1894,1950,1950,1989,1989,2000,2000,1977,1977,1719,1719,1992,1992,1808,1808
2003,1894,1894,1935,1935,1865,1865,1920,1920,1912,1912,1840,1840,1984,1984,2001,2001
2124,1963,1963,1891,1891,1799,1799,1953,1953,1932,1932,1821,1821,2053,2053,1984,1984
2092,1848,1848,1920,1920,1841,1841,1911,1911,1736,1736,1884,1884,1923,1923,2019,2019
2138,1856,1856,1896,1896,1854,1854,1806,1806,1864,1864,1962,1962,1985,1985,2032,2032
1996,1878,1878,2002,2002,2126,2126,2023,2023,2034,2034,1976,1976,1851,1851,1923,1923
2126,2144,2144,2116,2116,2068,2068,2056,2056,1967,1967,2188,2188,2134,2134,2142,2142
2530,2537,2537,2514,2514,2523,2523,2496,2496,2522,2522,2462,2462,2474,2474,2484,2484
3621,3617,3617,3614,3614,3618,3618,3619,3619,3617,3617,3616,3616,3618,3618,3620,3620
3482,3481,3481,3479,3479,3483,3483,3481,3481,3480,3480,3481,3481,3480,3480,3483,3483
3260,3257,3257,3261,3261,3261,3261,3256,3256,3258,3258,3266,3266,3263,3263,3261,3261
2127,1978,1978,2245,2245,2128,2128,2125,2125,2100,2100,2195,2195,2237,2237,2087,2087
1879,1938,1938,2002,2002,2000,2000,2015,2015,1890,1890,1886,1886,1906,1906,1974,1974
1819,1899,1899,1786,1786,1804,1804,1787,1787,1916,1916,1871,1871,1935,1935,1956,1956
1808,1864,1864,1862,1862,1844,1844,1830,1830,1832,1832,1827,1827,1822,1822,1913,1913
1748,1853,1853,1861,1861,1920,1920,1973,1973,1910,1910,1777,1777,1911,1911,1835,1835
1781,1841,1841,1943,1943,1810,1810,1967,1967,1875,1875,1694,1694,1901,1901,1883,1883
1845,1893,1893,1965,1965,1750,1750,1842,1842,1787,1787,1754,1754,1830,1830,1894,1894
1990,1803,1803,1956,1956,1723,1723,1811,1811,1785,1785,1843,1843,1928,1928,1978,1978
1985,1968,1968,1748,1748,1833,1833,1979,1979,1834,1834,1817,1817,2093,2093,1945,1945
2013,1899,1899,1881,1881,1889,1889,1835,1835,1792,1792,1944,1944,1980,1980,1756,1756
1767,1865,1865,1750,1750,1860,1860,1749,1749,1796,1796,1937,1937,1715,1715,1819,1819
1937,1921,1921,1787,1787,1927,1927,1912,1912,1799,1799,1862,1862,1774,1774,1701,1701
