data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3928,3922,3922,3921,3921,3924,3924,3922,3922,3927,3927,3923,3923,3927,3927,3922,3922
3708,3704,3704,3702,3702,3708,3708,3705,3705,3705,3705,3699,3699,3705,3705,3704,3704
2610,2592,2592,2515,2515,2629,2629,2614,2614,2572,2572,2572,2572,2589,2589,2602,2602
2313,2126,2126,2237,2237,2050,2050,2214,2214,2331,2331,2205,2205,2125,2125,2138,2138
2085,2098,2098,2155,2155,2162,2162,2013,2013,2107,2107,2057,2057,2162,2162,2120,2120
2007,1993,1993,1998,1998,1972,1972,1963,1963,1985,1985,2011,2011,2082,2082,2070,2070
1975,2086,2086,1973,1973,2014,2014,2147,2147,1917,1917,1971,1971,2037,2037,2093,2093
2016,1999,1999,2070,2070,2053,2053,2072,2072,1838,1838,1978,1978,1898,1898,2096,2096
2012,1954,1954,2113,2113,2112,2112,2009,2009,1894,1894,1939,1939,1936,1936,2054,2054
1896,1879,1879,2082,2082,2026,2026,2014,2014,1954,1954,2032,2032,1977,1977,1903,1903
1926,1937,1937,1871,1871,1896,1896,1994,1994,1975,1975,2097,2097,1992,1992,1873,1873
2124,2017,2017,2087,2087,1887,1887,2091,2091,2102,2102,2068,2068,2127,2127,2114,2114
2129,2163,2163,2105,2105,2162,2162,1975,1975,1982,1982,2205,2205,2143,2143,1988,1988
2280,2172,2172,2275,2275,2185,2185,2241,2241,2337,2337,2343,2343,2385,2385,2111,2111
2519,2580,2580,2544,2544,2615,2615,2523,2523,2535,2535,2578,2578,2549,2549,2620,2620
3699,3698,3698,3699,3699,3699,3699,3692,3692,3702,3702,3701,3701,3704,3704,3700,3700
3933,3933,3933,3933,3933,3932,3932,3931,3931,3932,3932,3932,3932,3933,3933,3932,3932
3718,3716,3716,3715,3715,3718,3718,3717,3717,3716,3716,3714,3714,3717,3717,3716,3716
2601,2605,2605,2556,2556,2602,2602,2601,2601,2567,2567,2583,2583,2592,2592,2597,2597
2316,2131,2131,2236,2236,2217,2217,2265,2265,2260,2260,2181,2181,2199,2199,2143,2143
2120,2093,2093,2138,2138,2076,2076,2028,2028,2005,2005,2175,2175,2110,2110,2103,2103
2026,1857,1857,1984,1984,1902,1902,1889,1889,1975,1975,2035,2035,2041,2041,1894,1894
2067,1891,1891,1961,1961,1953,1953,1910,1910,1903,1903,1803,1803,1920,1920,1920,1920
1919,1807,1807,1946,1946,2013,2013,1904,1904,1838,1838,1902,1902,1837,1837,1933,1933
1989,1894,1894,1937,1937,1907,1907,1847,1847,1904,1904,1917,1917,1977,1977,2045,2045
1854,1969,1969,1985,1985,1997,1997,1946,1946,1860,1860,1933,1933,2025,2025,1886,1886
1953,1902,1902,1904,1904,1836,1836,1891,1891,1895,1895,1990,1990,2039,2039,1721,1721
2094,1944,1944,1960,1960,1767,1767,2081,2081,1898,1898,2013,2013,2021,2021,1980,1980
2052,2184,2184,1976,1976,2130,2130,2018,2018,1939,1939,2211,2211,1982,1982,2014,2014
2264,2170,2170,2265,2265,2128,2128,2237,2237,2292,2292,2172,2172,2337,2337,2155,2155
2551,2595,2595,2579,2579,2611,2611,2560,2560,2554,2554,2574,2574,2557,2557,2611,2611
3708,3707,3707,3707,3707,3707,3707,3702,3702,3707,3707,3706,3706,3709,3709,3708,3708
3554,3552,3552,3555,3555,3553,3553,3547,3547,3551,3551,3552,3552,3552,3552,3552,3552
3333,3336,3336,3334,3334,3334,3334,3329,3329,3333,3333,3330,3330,3330,3330,3332,3332
2161,2265,2265,2240,2240,2241,2241,2117,2117,2130,2130,2177,2177,2133,2133,2241,2241
2092,1917,1917,1736,1736,1895,1895,2123,2123,1998,1998,1848,1848,2009,2009,1831,1831
1994,1764,1764,1940,1940,1998,1998,1889,1889,1829,1829,2010,2010,1924,1924,1935,1935
1899,1784,1784,1898,1898,1890,1890,1895,1895,1867,1867,1983,1983,1912,1912,1809,1809
1857,1654,1654,1838,1838,1904,1904,1810,1810,1844,1844,1940,1940,1849,1849,1706,1706
1851,1706,1706,1871,1871,1944,1944,1894,1894,1899,1899,1877,1877,1967,1967,1822,1822
1851,1937,1937,1974,1974,1910,1910,1882,1882,2012,2012,1808,1808,1960,1960,1924,1924
1764,1875,1875,1912,1912,1960,1960,1801,1801,1969,1969,1871,1871,2002,2002,1943,1943
1844,1854,1854,1829,1829,1816,1816,1771,1771,1888,1888,1817,1817,1987,1987,1809,1809
1860,1985,1985,1774,1774,1973,1973,1879,1879,1702,1702,1958,1958,1808,1808,1558,1558
