data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3925,3920,3920,3918,3918,3919,3919,3921,3921,3922,3922,3928,3928,3922,3922,3928,3928
3706,3704,3704,3697,3697,3699,3699,3706,3706,3707,3707,3708,3708,3705,3705,3706,3706
2552,2607,2607,2501,2501,2539,2539,2606,2606,2622,2622,2579,2579,2575,2575,2611,2611
2280,2208,2208,2346,2346,2084,2084,2037,2037,2048,2048,2210,2210,2136,2136,2261,2261
2043,2121,2121,2033,2033,2160,2160,2302,2302,2152,2152,2137,2137,2269,2269,2138,2138
1995,2020,2020,1961,1961,1983,1983,2108,2108,1976,1976,1844,1844,2124,2124,2123,2123
2017,1954,1954,2061,2061,1982,1982,2045,2045,1883,1883,2021,2021,2026,2026,2008,2008
1917,1987,1987,1905,1905,1872,1872,1963,1963,1955,1955,1751,1751,1945,1945,1739,1739
1888,2013,2013,1951,1951,1950,1950,1846,1846,1921,1921,1818,1818,1972,1972,1982,1982
1939,2019,2019,2017,2017,2020,2020,1935,1935,2008,2008,1933,1933,2008,2008,1917,1917
1863,1856,1856,1985,1985,1963,1963,2060,2060,1967,1967,1985,1985,2047,2047,1934,1934
1915,1948,1948,1982,1982,2056,2056,2013,2013,1929,1929,1915,1915,1881,1881,2154,2154
2029,2123,2123,2078,2078,1962,1962,2075,2075,2153,2153,2042,2042,2093,2093,2009,2009
2276,2351,2351,2105,2105,2279,2279,2316,2316,2277,2277,2167,2167,2187,2187,2349,2349
2578,2556,2556,2608,2608,2554,2554,2539,2539,2572,2572,2617,2617,2597,2597,2564,2564
3700,3696,3696,3696,3696,3696,3696,3698,3698,3699,3699,3702,3702,3700,3700,3704,3704
3933,3933,3933,3931,3931,3929,3929,3932,3932,3932,3932,3933,3933,3931,3931,3932,3932
3718,3715,3715,3712,3712,3711,3711,3717,3717,3720,3720,3719,3719,3715,3715,3716,3716
2579,2614,2614,2544,2544,2576,2576,2606,2606,2636,2636,2588,2588,2575,2575,2617,2617
2247,2134,2134,2323,2323,2089,2089,2101,2101,2076,2076,2224,2224,2129,2129,2193,2193
2069,2127,2127,1923,1923,2114,2114,2104,2104,2114,2114,2038,2038,2213,2213,2036,2036
1980,1941,1941,1879,1879,2047,2047,2034,2034,1883,1883,1937,1937,2020,2020,2020,2020
1924,1940,1940,1854,1854,1892,1892,1933,1933,1809,1809,1911,1911,1918,1918,2055,2055
1954,1903,1903,1872,1872,1861,1861,2008,2008,1870,1870,1797,1797,1900,1900,1778,1778
1908,1993,1993,1962,1962,1986,1986,1661,1661,1900,1900,1778,1778,1858,1858,1858,1858
1881,2004,2004,1798,1798,1915,1915,1895,1895,1850,1850,1899,1899,1960,1960,1929,1929
1812,1951,1951,1893,1893,1861,1861,1947,1947,1887,1887,1980,1980,1893,1893,1984,1984
1964,1964,1964,1750,1750,1991,1991,1940,1940,1806,1806,1863,1863,1974,1974,1939,1939
2044,1942,1942,2063,2063,2045,2045,1970,1970,2121,2121,2047,2047,2086,2086,1978,1978
2261,2277,2277,2153,2153,2252,2252,2248,2248,2253,2253,2133,2133,2247,2247,2269,2269
2584,2564,2564,2596,2596,2578,2578,2577,2577,2576,2576,2603,2603,2596,2596,2588,2588
3708,3705,3705,3705,3705,3705,3705,3707,3707,3705,3705,3708,3708,3706,3706,3708,3708
3558,3555,3555,3551,3551,3553,3553,3555,3555,3552,3552,3553,3553,3552,3552,3549,3549
3339,3337,3337,3332,3332,3330,3330,3334,3334,3336,3336,3338,3338,3325,3325,3331,3331
2219,2241,2241,2166,2166,2224,2224,2241,2241,2314,2314,2238,2238,2108,2108,2306,2306
1956,1905,1905,1908,1908,1904,1904,1665,1665,1854,1854,1962,1962,1827,1827,1762,1762
1808,1790,1790,1874,1874,1940,1940,1899,1899,1880,1880,1823,1823,1942,1942,1974,1974
1895,1729,1729,1881,1881,1944,1944,1766,1766,1813,1813,1873,1873,1900,1900,1976,1976
